 November 2022,5,Great place to stay in Rabat,"Fabulous place to stay! Gorgeous grounds and pool. Room was very nice, quiet, comfortable. Waterfall shower! Ate at least 3 meals here (B, L, D) - food was outstanding, service also. If nice weather, eat in the outdoor area. Room had a little patio.",hotelName,city
 February 2018,5,Beautiful French-country style atmosphere,"I very much enjoyed the 2 nights I stayed here. The garden grounds and decorations were beautiful. I'd describe the style as French country but also somewhat eclectic. The corridors were adorned with many interesting and attractive items: pottery pieces, paintings, etc., that made it enjoyable to walk around and examine everything. The frequent singing of birds was a delight. Our room was very clean and comfortable, not a huge size but quite adequate. The small balcony area with table and chairs overlooking a garden area was a nice touch. We had two breakfasts; the quantity of selections was not large but the quality was very good. We had one dinner here; the harira soup and pastilla dessert were delicious, but the leg of lamb main course was overcooked and tough. I only…",Villa_Mandarine,Rabat
 January 2018,5,Wonderful introduction to Morocco.,This hotel was arranged through our Gate 1 Discovery Tour of the Allure of Morocco. We loved our two night stay. Everything was beautifully done. We also enjoyed a massage in the spa area. We would return to this lovely place.,Villa_Mandarine,Rabat
 November 2017,5,"Beautiful, Quiet, Aboslutely Lovely!","This is a retreat! You feel as if you are in your own garden with all the pleasure of spa and dining available to you. Good food, nice breakfast buffet. Well appointed room with a real flair for Morocco style.",Villa_Mandarine,Rabat
 July 2017,5,Paradise close to the center of Rabat,Wonderful family owned hotel in the midst of orange trees and a wonderful garden. A perfect place to relax from a business trip or just for a city visit of Rabat and its surroundings. Rarely had a better sleep and breakfast in a hotel.,Villa_Mandarine,Rabat
 January 2018,5,Winter vacation,"Exotic boutique hotel. I would come back to Rabat just to stay in this hotel. It’s beyond 5 star property, if you like to appreciate food, interior decor, gardens, Landscape, this is the place to stay. There is attention to every detail. Every room decor is different. Well managed property. Among all the 5 star properties we stayed all over Morocco in 9 days this property was the highlight of our trip.",Villa_Mandarine,Rabat
 December 2017,5,"Beautiful, restful, delicious","On our second night of a two week tour of Morocco, we enjoyed a night at Villa Mandarine, in Rabat, a quiet, beautiful, interesting and hospitable home turned boutique hotel. The food is fresh, interesting and delicious. Easily a destination restaurant. Great place to recover from jet lag and experience the caring spirit of Moroccan hospitality!",Villa_Mandarine,Rabat
 November 2017,5,beautiful grounds,"nice spacious room with a balcony overlooking fruit trees etc. grounds are beautiful to walk around. nice pool area. good location. can safely walk - maybe 1/4-1/2 mile to a mini mall. grocery store, food court, etc.",Villa_Mandarine,Rabat
 November 2017,5,Elegant little oasis in the city of Rabat,"We spent our first two nights in Morocco at this hotel (riad) on November 13 and 14 at the begining of our tour. The photos used on their website are somewhat dull and mundane and do not do justice to this beautiful boutique hotel. We were assigned to room #1 located on the ground floor; the room was relatively large with seperate entrance, bath room and toilet. I was very pleased that our room had a small patio with a small private backyard with jasmin and citrus trees. As all riad, there was a cortyard, a fountain and garden inside the building. The ground was expansive with numerous citrus trees, flouring shrubs and palm trees; very soothing and gave me an excellent first impression of the country. Altough it was not in the central part of the city, there was a small…",Villa_Mandarine,Rabat
 October 2017,5,Simply stunning,"From the moment you arrive in this private oasis tucked away from the city, the smell of orange blossom drifts through the air scenting the hotel with a delightful perfume. Everything about this place is gorgeous from the well appointed rooms with private courtyard garden, to the gourmet food, the large outdoor pool and cabana, through to the very tame peacock that wanders through the courtyard at breakfast as you try and resist yet another pastry or fresh-made Moroccan pancake with honey or orange jam.",Villa_Mandarine,Rabat
 November 2017,4,Great Place To Relax,"A very nice hotel. Very comfortable and nice grounds. The pool is outdoor,although it is heated to around 80 degrees, not useable in winter for most people. Fun pool table though, and a good restaurant too!",Villa_Mandarine,Rabat
 December 2016,5,Exquisite property great service,"We stayed here on our way to Fes from Marrakesh, and to meet friends working in Rabat. While our stay was short it was memorable enough for us to recommend this venue to our hosts and their endless list of constant guests. The gardens are gorgeous and it seems in constant blooming. The sweet smell of gardenias and yellow honey suckles is everywhere. It is how I remember this place. The Mid century decor of the common areas pays tribute to the architecture of this colonial village turned hotel. The breakfast was great . We had dinner at an official venue in town by our hosts, so we could not enjoy dinner. The staff and service were excellent. The hotel has many places where one can seat to write a travel journal and read and relax. The gardens are sumptuous , mandarins and…",Villa_Mandarine,Rabat
 September 2017,5,Beautiful hotel and grounds,"The hotel and grounds are beautiful. The gardens and flowers are amazing. The hotel also has a pool (not heated). The hotel once was a private residence with an orange grove, the transformation is excellent. One night the service and food in the restaurant was excellent, the next night the service was so poor we left without eating.",Villa_Mandarine,Rabat
 October 2017,5,A Beautiful Place to Relax,"What a great introduction to Morocco! I loved this incredible hotel. The rooms were a lovely combination of luxury and comfort. The grounds were fragrant and lush; as you wandered along you encountered garden art and the occasional peacock. Each room had its own private patio. My friends enjoyed the swimming pool. The food in the restaurant was delicious, serving both Moroccan and European fare. I am happy to give this lovely villa my highest recommendation!",Villa_Mandarine,Rabat
 October 2017,5,Excellent service,The service is excellent in this beautiful property. It is a lovely hotel with a very romantic cachet and the garden is beautiful. The service is extreme attentive to details. I recommend this first class property in Rabat.,Villa_Mandarine,Rabat
 September 2017,5,a stunning introduction to Morocco,"My inaugural tour of Morocco started here and cannot imagine a more delightful introduction to Moroccan style, service and taste. There is so much to appreciate about this property - its salubrious and very quiet location, the lush and expansive gardens, the delightful cuisine (the pot set orange flower yoghurt and local pink grapefruit not to be missed at breakfast), the gorgeous artifacts, carpets, ceramics, the solicitous staff and very comfortable rooms with balconies flooded in sunshine. The pool is a welcome respite after sightseeing around this wonderful city. I cannot wait to return next year with my travel group as this years guests adored it as much as I did,",Villa_Mandarine,Rabat
 October 2017,5,Stunning Property amongst the orange groves,"Wish I had been able to enjoy a longer stay at this gorgeous Hotel in Rabat. As it turned out because I was on a tour we did not arrive until close to 7.00 pm and then left at 9.am next morning. In the short hours I was a guest I was very impressed. The gardens were magnificent - I took a stroll in the morning, saw many birds and put a foot in the pool. Our room was lovely, spacious and clean with nice amenities. Room keys are quirky - nice touch. Dinner in the restaurant was delicious and the service good despite the fact we were a large group eating late. Breakfast next morning offered a great selection. The shop appeared to have a nice selection of items but was closed whilst we were there. Would love to return and enjoy a relaxed stay for 2 nights with my family.",Villa_Mandarine,Rabat
 October 2017,5,villa madrine,"a wonderful oasis. just delightful place. gardens, lovely rooms. nice breakfast. dining terrace. warm and , friendly staff.beautiful neighborhood. market .atm across the street. pretty inner courtyard.",Villa_Mandarine,Rabat
 October 2017,5,A wonderful Riad in Rabat,"We were looking for a Moroccan experience on the first night of our Moroccan vacation, and Villa Mandarine didn't disappoint. The Rooms were beautiful and comfortable and the grounds equally magnificent. Our stay was the perfect way to begin our trip. Howard D.",Villa_Mandarine,Rabat
 October 2017,5,low key élégance.,"after coming home from a 2 week tour of Morocco which included a stay at La Mamounia in Marakesh, this ended up being my favorite place. It was thé first night of a long journey. The staff were very welcoming and accomodating. Our meals in thé courtyard were delicious. The place and stay had thé feel of an overnight visit with some very well to do friends in Morocco.",Villa_Mandarine,Rabat
 September 2017,5,The best hotel in Rabat,"This place is really nice, clean and relaxing. We live in Rabat but we like having relaxing weekends in hotels. Villa Mandarine has beautiful bedrooms, food is amazing and service is great. All staff are very professional and friendly. We are hoping booking a few weekends in this hotel. We felt like being at home. Breakfast is very nice as well. The swimming pool is really good as well. We tried Sofitel in Rabat before that and it was rubbish, they are far behind! Villa Mandarine beat them easily in term of services! Book Villa Mandarine, you will not regret it!",Villa_Mandarine,Rabat
 September 2017,5,A beautiful and amazing property in Rabat,"My wife and two sons stayed just for one night - unfortunately. This is striking beautiful property in the middle of orchard and garden with many birds singing. Rooms were large, clean and interesting. The pool was large and heated. We had dinner and breakfast at the restaurant and food and service and prices were all very good. The only drawback is that the hotel is not near the downtown area, so not really any place to walk to...but the gardens and hotel is so beautiful that you don't really think about it. Definitely recommend for anyone going to Rabat.",Villa_Mandarine,Rabat
 September 2017,2,Disappointing although nice gardens,"I was delighted by the beautiful and mature garden, that's the one nice point... as for the rest, the rooms are nice but getting old (furniture, bath, carpets...) , the passage between the restaurant & the reception zone and the rooms zone has a weird roof... the spa is also getting old and out of date... the worst is the bar and the terrace.... around 5 pm it gets full of locals who come there to drink ... as smoking is allowed , the whole bar restaurant terrace reception zone stinks.... even at breakfast, it still smells... really sad...",Villa_Mandarine,Rabat
 August 2017,5,Nice and serene,"The hotel location in a quite street in residential area of Rabat. Gated entrance to the property for residents. The hotel is full of greenery and plants and small and large birds running around in the hotel garden which makes it a relaxing experience . Check in is fast and welcoming. Hotel is like historical mansion with Arabic style architectural design, where by the rooms surrounds the courtyard. They have large swimming pool.I stayed twice within a week ,a night each and was given different rooms each with its own different colors, both are nice , spacious and clean and all have the amenities you need. I had breakfast and lunch in the hotel , all fine. This is my first time in Rabat and would definitely stay here again in my next trip.",Villa_Mandarine,Rabat
 July 2017,5,Charming hotel,"Really liked this hotel. The gardens are beautiful, the rooms very nicely decorated. Staff could not have been nicer. Work up to the sound of birds. Breakfast was average but otherwise an excellent place to stay. Highly recommend.",Villa_Mandarine,Rabat
 August 2016,5,A Brilliant Mistake,"On my Morocco tour (circa 2007) my dad had come to join me for the final 5 days of my month-long adventure. After an interesting time getting lost in Fes, and experiencing some rather intense hammams in Chefchaouen, it was time to make our way to the capital - Rabat. Driving along the dirt roads masquerading as motorways we eventually found it; a big sprawling city with about as many donkey vehicles as actual motorised vehicles and the typical bustling atmosphere we were becoming used to in Morocco, tho with that added granure gloss typical of a capital city. We had actually booked this hotel by accident (hence the title of this review) but it was a fantastic accident! It was like somewhere you would imagine James Bond would stay in - you're met with a gold gilt chandelier…",Villa_Mandarine,Rabat
 June 2017,5,Tranquil stay,Peaceful environment. Pool & garden beautiful. We had dinner there which was excellent & breakfast very good also. Room was very nice & spacious. Reception staff were welcoming & all staff very pleasant.,Villa_Mandarine,Rabat
 April 2017,5,Unwind in Another Era,Very comfortable with a wonderful old world ambiance. You feel not only like you are in another country but another era of bygone colonial elegance. Both the rooms and the beautiful grounds provide a feeling of space and tranquility.,Villa_Mandarine,Rabat
 April 2017,4,Oasis of calm after long haul flight,"Room a little small for twin share but bathroom facilities etc good. Better to avoid west facing room as very warm, lots of little bugs. Breakfast on the terrace lovely especially the home made yoghurt and garlic bread with tomato reduction. Gardens lovely and pool good for swimming. Restaurant food so so.",Villa_Mandarine,Rabat
 May 2017,5,Just beautiful,"We started our visit to Morocco in Rabat at the Villa Mandarin. What a beautiful property, rooms, gardens. Service wonderful, staff helpful and friendly. We don't usually eat on site, but given the location, there were not other options if on foot. Food was good, not the least disappointing. Lots of outdoor space to sit and enjoy a glass of wine. Asked for some munchies and we're presented with a tray with olives, nuts and cookies on it. Outstanding. The only drawback was the distance from town, but the rest more than made up for it!,",Villa_Mandarine,Rabat
 May 2017,2,Overpriced restaurant with a nice outdoor terrace,"I stayed at the hotel, so I was captured audience and had 3 breakfasts and 3 dinners there. Also a few drinks at the bar. Here is the verdict: It is a decent restaurant, but for the price it is not worth it. The food is very uneven. Some dishes are great (tagine di lapin, food gras poilee), some are cafeteria style (Moroccan salad), and the Italian-inspired dishes (although for some reason on the French menu) are not good at all (bar et risotto aux seiches, beuf semi cuit et fois gras). Finally on wines: I ordered half-bottles twice, and the wine was good. Last night I made a HUGE mistake of ordering wine by the glas: it is expensive, bad quality and tiny portions. They probably squeeze 8 glasses out of a bottle. Breakfast is ok: first day is nice because they have excellent…",Villa_Mandarine,Rabat
 March 2017,5,Great Stay.,"My wife and I stayed here three weeks ago for one night. Very nice accommodations, beautiful landscape and set up, and the dining room was extremely high-end. Thanks so much for the stay. We hope to be back.",Villa_Mandarine,Rabat
 April 2017,5,One night stay in a great villa,"Stayed for one night as part of a tour. The villa was lovely. The staff were very attentive. Our room looked out on to the orange groves with lush flowers and peacocks. The room had good air conditioning and wifi. Pool was nice and free mint tea and lemonade was provided. Our dinner was lovely, sitting outside on the patio. Tasty tagines. Breakfast was a little limited but still overall pretty good. Hotel is not located near anything but embassies.",Villa_Mandarine,Rabat
 March 2017,5,Hotel in a Garden,"Set in an old mandarine grove, La Villa Mandarine provides a serene and comfortable break from the bustling city of Rabat. The rooms on two levels off the typical, beautiful, relaxing courtyard each have either a balcony or patio, made completely private by the carefully maintained mandarine trees. The beds were comfortable, the bathroom well appointed, the closets spacious. We ate dinner in the restaurant and found the food excellent. We also loved the breakfast buffet. The weather was cool when we stayed there, so we didn't use the heated pool but loved walking around the gardens and sitting around the pool.",Villa_Mandarine,Rabat
 April 2017,5,Outstanding way to start our visit to Morocco,Villa Mandarine is an exquisite example of blended Moroccan and French hospitality. The room was spacious beautifully decorated with a garden patio. The grounds are lush and and expansive with outdoor dining and a swimming pool. It is located in a residential area about a $4 taxi ride to central Rabat.,Villa_Mandarine,Rabat
 March 2017,5,Amazing,"After arriving at the hectic train station in Rabat, arriving at Villa Mandarine was a welcome surprise. We are staying here as part of a Gate 1 tour. They always choose the best hotels. Taxi from the train station is about $2.50. Take a blue metered taxi. See my review on the taxis from the Agdal Rabat train station. Dinner in the restaurant was amazing. Some of the best food i have ever had. Try the wine from the region. Tip - included in the breakfast buffet is a ""made to order"" menu. We didn't realize this until we filled our plates and sat down. The menu is better. This hotel is not near attractions, but you will welcome the peace and beauty of this hotel.",Villa_Mandarine,Rabat
 March 2017,4,Nice location with nice gardens in the back - Away from the city,"This was a nice, quiet area away from the city. The rooms were clean and comfortable. We stayed just one night, but had a good time, and had good service. The gardens behind the hotel might be one of its best assets.",Villa_Mandarine,Rabat
 March 2017,4,A Lovely property,"We enjoyed our one night stay at this hotel. The property is located in the embassy district in Rabat. The property is on lovely grounds with beautiful gardens, patios, a gorgeous courtyard and a pool. There are many nice public rooms, including a living room type area, billiard room and bar. There are lots of beautiful flowers and fruit trees on the grounds which give the place a wonderful smell. Our room was large and comfortable with a large bath including a bath shower combo and a separate toilet. There was a weak hairdryer and wifi was spotty. We called reception when we could not connect to the wifi and though they came upstairs to help they were not able to fix it and though they promised to return they never did. It eventually worked but not particularly well.…",Villa_Mandarine,Rabat
 March 2017,4,It would be great with a better service,"The Villa Mandarine offers something different from the standard hospitality industry and this is very pleasant. The setting in a big park is lovely. The rooms are big, furnished with taste and with a nice terrace. But, unfortunately, the service is not at the same level. The staff is polite but not welcoming both at the reception and in the restaurant. Tip: location is good for business (close to many business locations) but too far from the historical center for tourists.",Villa_Mandarine,Rabat
 March 2017,5,Villa Mandarine,"Perfect retreat from hustle and bustle of Rabat. Lovely spacious, clean and eclectic decorated rooms, perfect setting, great food and friendly staff. The best in Rabat and I have been visiting for 20 years! Must try but please leave space for me!",Villa_Mandarine,Rabat
 March 2017,5,Beautiful and serene atmosphere,"The hotel was converted from a private residence of the orange grove owner. The main part was the home and has several rooms off the bar set up with comfortable seating for relaxation and conversation. Even has a billiards room. The rooms are spacious and have a private balcony overlooking the beautiful grounds. The buildings and gardens are interwoven amongst the orange trees. Note there is no conditioner, only shampoo provided. Food was excellent. Breakfast buffet with make to order eggs and pancakes. As others have said it's in a residential area, about a $3-$4 taxi ride from the medina. Very beautiful and serene place.",Villa_Mandarine,Rabat
 February 2017,5,lovely hotel in an orange grove,We spent one night here. Gardens and orange trees are lovely to walk around. Room was very nice. Dining room as well as bar and billiard rooms are inviting. Food was excellent. We highly recommend this place as a starting point to visit Rabat and then on to Meknes and Volubilis.,Villa_Mandarine,Rabat
 February 2017,5,"Beautfiul, peaceful place","Overall lovely hotel. Beautiful grounds. A ways from the old town, but cabs are really cheap. We were there in cool, rainy weather so not able to fully take advantage of the outdoor space. Friendly, professional staff.",Villa_Mandarine,Rabat
 January 2017,5,So very lovely in every way,"In a month long tour throughout Morocco, the Villa Mandarine was my favorite stay. The grounds and decor are a beautiful blend of Moroccan and French styles. Everything about the hotel is just splendid. The rooms are large, very comfortable, tastefully decorated and the many living areas are diverse and provide great places to relax. Breakfast is good and typical of the nicer hotels. The dinners (while a bit pricey) are elegant and wonderful with great choices for everyone's taste. Dinners there were the best cuisine during my trip which is a high compliment since Moroccan food is wonderful. I highly recommend having dinner there. The staff was extremely helpful and friendly. They arranged for airport pickup which was appreciated and also arranged a day tour for Casablanca.…",Villa_Mandarine,Rabat
 February 2017,4,Elegant Hotel,Very nice Hotel in the garden with lots of orange trees. Spacious and clean rooms with very good services. Excellent breakfast and good dinner. Outside of city center but in a very nice environment. Highly recommended.,Villa_Mandarine,Rabat
 November 2016,5,beautiful,"one of the most beautiful hotels i have ever visited of course, service was great! highly recommend, although rabat is a less than exciting place to visit but great for on the way between casablanca and fez",Villa_Mandarine,Rabat
 November 2016,3,A Little Dated,"Maybe they are going for the classic look and feel of the movie ""Casablanca'"" but maybe they need some updating. Certainly clean and reasonably comfortable, but not a luxury property. Good restaurant with nice variety for dinner and adequate but not memorable for breakfast. Not sure about other available properties, but would probably ask around before booking here.",Villa_Mandarine,Rabat
 October 2016,5,Gate 1 Organised tour of Morocco,"The ambience could not have ben better. A combination of French and Moroccan architecture. It is full of wonderful corners outside, with tables and chairs. All different, lots of green and lots of mosaic tiles. The rooms are very comfortable and you have visiting peacocks in your own outdoor space. The swimming pool and table tennis facilities will delight young and old. Two nights here, left us wanting for more!",Villa_Mandarine,Rabat
 October 2016,5,Great initiation in Morocco,This lovely hotel is situated in a quiet neighborhood on expansive grounds with lovely trees and plants. When I entered my room and opened the curtain to my private patio there was a lovely peacock resting on the flagstone right outside my window. The bar and restaurant have serene views of the gardens and the food is delicious.,Villa_Mandarine,Rabat
 October 2016,5,Lush and colonial,"Lovely hotel and a nice contrast to the typical riad. Wonderful gardens and lovely French colonial atmosphere. Rooms are large and tasteful; pool is heated and just long enough to be able to swim laps; food is quite good, but it is the tropical lushness, flowers, fruit trees and peacocks that make it stand out.",Villa_Mandarine,Rabat
 December 2015,5,If you miss this wonderful hotel it will be your loss!,"We stayed at Villa Mandarine while on an extended tour of Morocco. It was without a doubt one of the best hotel experiences we have had in our many years of world travels. The food, staff, accommodations were all first rate. It was much more than we had expected. As an example, we had an issue with some of our photography equipment and the owners stepped up and made sure we had the contacts necessary to secure a fix and continue to record our journey. The gardens are world-class and it was incredibly enjoyable to just sit outside and take it all in. If you are visiting Rabat this is the place to stay.",Villa_Mandarine,Rabat
 September 2016,5,Beautiful Grounds and lovely service!,This is an excellent place to stay when visiting Rabat. It is away from the city a bit but the grounds are so lovely and the restaurant so nice that you want mind. This is a lovely haven away from the business that is Rabat. Pool is wonderful and the grounds are filled with flowers and fruit. A great place to explore. Great Service,Villa_Mandarine,Rabat
 September 2016,5,Lovely place and service,"The bad thing is that the hotel is quite far from the train station. Other than that the place is an oasis. When we arrived at dinner time we could smell the flowers and trees already in the taxi, and it stayed with us. We only stayed there one night, but both Rabat and the hotel deserves more time. The building is lovely, like a fairy tale at night, the rooms are very spacious with terrace and the smell of flowers is all over. The staff is nice and they know their job.",Villa_Mandarine,Rabat
 September 2016,5,Wonderful,"One of the most lovely places I have ever stayed. Exquisite gardens on site of old mandarine farm. Gracious Villa with superbly beautiful room. chef amazing, best home-made ice creams pistachio, orange, velvin.",Villa_Mandarine,Rabat
 September 2016,5,Beautiful Moroccan style Hotel,"I stayed at this Hotel while on a business trip to Rabat. What a wonderful place to relax after a day's work.I loved everything about it, the decor, the large garden, the room, the pool and most of all the very friendly staff. This is a gem, Morocco at its best.",Villa_Mandarine,Rabat
 September 2016,5,Perfectly quiet stay in a beautiful garden,"We stayed there for 2 nights (a couple, 4 kids and a baby). The staff was very helpful and responsive (above Moroccan average). The owners were present and checked that we were properly settled. The food was excellent. The scenery is beautiful with bedrooms well isolated from each other's, and from the other parts of the hotel. The great plus of this place is the huge garden, packed with orange trees. Only (small) area of improvement: the staff sometimes forgets to bring an order. This is still worth 5 ratings. We will come back. Perfect for a 2/3 nights stay to rest and enjoy Rabat.",Villa_Mandarine,Rabat
 September 2016,5,High Morrocan Cuisine,"There is nothing better than to cool down in a beautiful garden having a cocktail and watching the few chickens and paons. The meal is excellent as well as the wines, and the waitresses are well dressed (and with a fez) and really attentive. It's upper class, but fair. We had supper with four colleagues and had no noisy impact on our conversation. A hotel is next-door, but we haven't insights. So, next time staying in Rabat I'll try to book there!",Villa_Mandarine,Rabat
 May 2016,5,Tranquil luxury..,"I had heard it was a Boutique Hotel but nothing prepared me for the beauty of this retreat. The lush gardens and rich Moroccan colors make for tremendous ambiance. I had a room with two single beds, a balcony, bath with bathtub and shower. I had one meal here and it was fantastic. The staff members are extremely helpful. The hotel has an old world charm with beautiful rugs and antique furniture decorating the rooms and common areas. If you're looking to create amazing memories of your time in Rabat, this is the place to book.",Villa_Mandarine,Rabat
 June 2016,5,A tranquil haven,"My partner and I spent 4 nights at Villa Mandarine back in June 2016. The hotel is tucked away and we felt so calm and relaxed here. The gardens are beautifully attended with a mixture of colour and scents. The hotels interior is a feast for the eyes, clean and very well designed. It is traditionally done but with modern comforts. Our room was also very well thought out, and spacious with nice little touches like the tagine filled with biscuits. We spent a lot of time at the outdoor pool, which I don't think was heated - it doesn't need to be as the weather was so hot. There are handy showers and changing facilities poolside too. The service was friendly and efficient, a great choice for breakfast and delicious dinner menu. We are very much looking forward to returning next year.",Villa_Mandarine,Rabat
 June 2016,5,A puppy-friendly and charming marvel,"We stayed at the Villa Mandarine for 5 nights during Ramadan. The setting is spectacular - in a perfectly landscaped orange grove. The service was impeccable and the staff and management very friendly. I was travelling with my Chihuahua and he was made to feel at home everywhere in the hotel. Breakfast was outside as the weather was warm. If you're lucky and he's in a good mood, you might be delighted with the visit of the peacock who lives there with his family. The hotel is full of charm. It is exquisitely furnished with beautiful paintings and antique furniture adorning all the rooms. The hotel has a garden within it which makes it very bright and pleasant. It is a pleasure to come back to the hotel after a hectic day and to escape the noise and heat of the city. If…",Villa_Mandarine,Rabat
 June 2016,5,Exquisite boutique hotel,"I have just spent a magical week in this enchanting boutique hotel. The rooms are on two levels around a central courtyard full of roses and palms and from the outside, balconies and patios are guaranteed privacy by artfully planted gardens. The hotel is built in a citrus grove and the gardens are a delight, bursting with colour from hibiscus, hydrangeas, lantana, plumbago, datura, geraniums, bougainvillea, aubretia and more. A pair of peacocks wander through this Eden. Every morning on my balcony a scattering of jasmine flowers perfumed the air. My room was decorated in harmonious blues and greys with a large dressing area, big bathroom with tadlakt walls, TV, mini bar and the most comfortable bed I have ever slept in. Everywhere in the hotel the floors are covered with…",Villa_Mandarine,Rabat
 June 2016,3,Beautiful hotel but,"What a fabulous setting for a hotel. Wonderful gardens, great rooms, great setting. You won't get the 5 star things you get from the big hotel chains but who cares. Orange trees all around, flowers all over, nice relaxing pool area. Food was really good. Reasonable selection of local and French wines. Loved it Ok so now the down side. I was there during Ramadan. Obviously I wasn't a Muslim so the service you get is poor if you were like me, an Englishman abroad. Asking several times for a bottle of wine, watching as everyone else gets waiter service (almost) when it's a buffet, snacks etc on the table. Me? Got nothing like it. Three days of exactly the same. Took me ten minutes and two waiters to get a spoon! Very frustrating. Ok so I knew the time of year but I'm a guest…",Villa_Mandarine,Rabat
 May 2016,5,Perfect beginning,What a perfect beginning to our Moroccan adventure. We arrived late our first night after a very long flight from Portland Oregon. Made longer as we had to wait for our luggage at the Casablanca airport for the next flight. The Villa Mandarine was wonderful. Our room had a wonderful terrace that overlooked Mandarine trees. The food and service at the lovely dinning room was wonderful. Hopefully we will able to return soon.,Villa_Mandarine,Rabat
 May 2016,5,A Sultan's paradise with modern conveniences,"What a beautiful hotel. The grounds are spectacular with splashes of color everywhere and the hanging tumpet blossoms were magical. I adored this place, my favorite place we stayed our 15 days in Morocco. There is every amenity available in the room and your own private patio. The courtyard is a maze of mosaics and is absolutely stunning in the night light. The restaurant was top notch. I only have superlatives for this wonderful place.",Villa_Mandarine,Rabat
 May 2016,4,Lovely Hotel,"Lovely hotel in the suburbs of Rabat. Spent our first 2 nights here at the beginning of a 2-week visit to Morocco. Great place to ""transition"" to our new environs. Gardens and rooms are beautiful. Restaurant was good. Most of the guests appeared to be internationals in Morocco for business. Only negative (repeated elsewhere) was that both the indoor and outdoor bar allow smoking, which kept us from enjoying some very lovely spaces, although there are plenty of lovely non-smoking spaces. It would be a great place to stay if traveling with children...nice pool, extensive gardens and large rooms.",Villa_Mandarine,Rabat
 May 2016,5,A Garden of Eden in the city,"It is always a pleasure to return the this hotel, it is quiet, calm and so doesn't fit with your usual vision of a business hotel. It is more like a retreat. But don't be fooled it offers everything the business traveller requires. Give it a go....it will transform your view of hotels!",Villa_Mandarine,Rabat
 May 2016,4,4 Nights at Villa Mandarine,"We stayed at the Villa Mandarine for 4 nights and didn't venture off the property. This is a beautiful older property that used to be the private residence of a French couple who moved to Rabat. It was converted into a hotel property and still maintains the beautiful acreage of flowers and fruit trees. The property is still run by the grandson of the original owners who can often be seen in the dining room with his family. I would have to give the hotel great ratings although I would not give such high ratings to the dining room for various reasons. I will comment on this as well, which I found to be true all over Morocco but was particularly acute here in the dining facility. If you speak no French, then you should study up on some before you go. French and Arabic are spoken…",Villa_Mandarine,Rabat
 May 2016,5,What a splendid place! You'll feel wonderful being here,"Villa Mandarine was formerly a grand private home that shows what happens when taste and money are present at the same time. But this is not so much a grand place as a warm and welcoming place From the lovely gardens to the several outdoor seating spaces, you feel completely at peace and surrounded by beauty.. The public rooms feel serene and comfortable, and the guestrooms are quite nicely appointed. The restaurant is pleasant, and the hotel staff couldn't be more friendly and helpful. You'll feel wonderful being here. I promise!",Villa_Mandarine,Rabat
 June 2015,5,Home Away From Home!,"Best Hotel in Morocco. I work as a consultant for the UN and I have seen a few. Staff in the most gracious, and very capable. Rooms are splendid. Except for the gym , amenities are first rate, including the pool. The bar should be ""No Smoker"", but that is another issue. The restaurant is wonderful.",Villa_Mandarine,Rabat
 May 2016,5,Luxury and Comfort,This is an exquisite boutique hotel. Our room was luxurious and comfortable with a balcony overlooking beautiful gardens. The dining room offers fine cuisine and we enjoyed dinner and breakfasts served there. We stayed on a tour not sure if it would be easy to find on your own.,Villa_Mandarine,Rabat
 May 2016,5,Outstanding hotel !,The best option in a Rabat if you are looking for some serenity and peace. The design is amazing with all the outstanding details. Service is perfect and friendly. The room is comfortable and the value for money is excellent !,Villa_Mandarine,Rabat
 April 2016,5,Nice Riad in the outskirts of Rabat,"Review of Villa Mandarine, Rabat, Morocco We stayed at the Villa Mandarine for 2 nights in April 2016 as the first stop on a two week tour of Morocco. Our group of four occupied two of the hotel’s “standard” rooms on the ground floor. The hotel is located within the exclusive Agdal area of Rabat also known as the “embassy” section and was originally a private estate. It is a 10-15 minute taxi ride from downtown Rabat. Taxis in Morocco will transport 3 or fewer people, so we needed 2 taxis for our group of four every time we left the hotel. The fare ranged from $3-5 USD (30-50 DH) per taxi each way. The hotel has a large living room with a fireplace, a billiards room, a bar and small terraces shaded by bougainvillea, jasmine or datura. The garden at the hotel covers…",Villa_Mandarine,Rabat
 April 2016,4,A truly nice Villa,"In the outskirts of Rabat, this is a nice respite from the city. Very nice gardens and swimming pool, this villa is away from the hustle and bustle of city life. They have a full bar and restaurant on property. Plenty of alcoves and sitting areas to have a drink and relax. We enjoyed our stay here before beginning a tour of Rabat and Morocco. Rooms were spacious with a nice sitting area and patio. The management or owners were personally checking rooms and their guests needs.",Villa_Mandarine,Rabat
 May 2016,4,Beautiful Gardens,Lovely stay in this converted hotel with beautiful gardens and courtyards to explore. The Riad still feels very private as if you are a guest in an interesting historic or traditional home. Dinner in the restaurant was quite good and reasonably priced.,Villa_Mandarine,Rabat
 March 2016,5,Beautiful setting!,Nice hotel set in beautiful gardens. The citrus trees were blooming and the smell was delicious. The rooms were comfortable and the restaurant served good meals. A quiet retreat. The resident peacock put on a show for us.,Villa_Mandarine,Rabat
