 December 2022,5,Fifth visit to Le Pietri - My home away from home,"Le Pietri is in a great location with very friendly helpful staff. The low floor street side rooms are a bit noisy at times. They have a nice variety and tasty breakfast and dinner menu with good wine options and a bar all in a comfortable space. We enjoyed an amazing jazz concert on a Saturday night. All in all a comfortable place to hang out with friends, be alone and get around the city. I will defiantly return.",hotelName,city
 January 2016,5,Deserve its title of Urban Hotel,"I have stayed many times at this hotel over the course of 2-3 years and enjoyed it very much every time. The rooms are very clean, well serviced, nice amenities, and they are part of the Green Key programme aimed at reducing footprints. Very central, about 500 meters from the train station, 200 meters from the fantastic Modern Art Museum, 100 meters from the 6eme symphony, a cheap watering hole with a very diverse crowd and two underground levels, the second one with a scene for student bands belting out rock/funk/pop tunes. The Pietri itself has a great bar often serving live jazz/funk/african music, one the best scenes of Rabat, although as such it does draw a crowd that seems a bit snooty sometimes. Morning Breakfast is a brilliant and generous affair of all you can eat…",Le_Pietri_Urban_Hotel,Rabat
 November 2016,5,The perfect 3-star hotel,"Le Pietri wins on location (central), friendliness, upkeep, breakfast and rooms, all at a good price. The bar and restaurant, with live music at the weekends (don't worry about noise in the rooms though), is a big extra plus.",Le_Pietri_Urban_Hotel,Rabat
 August 2016,4,"Nice, clean, ideally placed","It was renovated, clean and nice rooms. Ideally placed in a smaller street near the flower market. Friendly staff, very good breakfast. Went there for two night during the week for business. Had rooms at the 4th floor. Not hearing any noise from neighbouring rooms. only some talking of children in the evening. No traffic noise. Liked the style. Seems to have music on weekends, nice style of the lounge.",Le_Pietri_Urban_Hotel,Rabat
 July 2016,4,"Great location, modern ameninities","We stayed here the last night of a two week vacation in Morocco. It's right next to the train station, the tram station, and not too far from the airport, making the location very convenient for travelers. The room was modern and simple, a contrast to all the Riads we'd been staying at. The staff was nice but down to business, which was a bit of a change from the Riads that are mostly family-owned and take time to get to know you and help you with anything. This hotel is very very close to the new Modern Art Museum, and that is definitely worth a visit. Overall- this place feels like a Western hotel, and even has an expensive restaurant and jazz bar to give you that Euro vibe. It's convenient, but lacked the Moroccan flare and hospitality we loved at all the family-owned…",Le_Pietri_Urban_Hotel,Rabat
 June 2016,4,Good service and good value hotel,"Le Pietri is a hotel with restaurant that also doubles as a jazz bar. It's a short walk from Rabat train station and Place Al Joulane tram stop. Staff were consistently friendly and helpful and I was able to check in early. The rooms are clean with a comfortable bed. Noise may be an issue from the street but not the bar, at least not on the third floor rooms. The towels were noticeably worn. The bathtub is deeper than usual so stepping in and out could be awkward and along with the glass barrier by the bathtub which does little to prevent water from getting on the floor during a shower this could be a safety issue. There's a small breakfast buffet but you may need to bring your own bag if you're checking out early and want breakfast to go. The restaurant is good value…",Le_Pietri_Urban_Hotel,Rabat
 May 2016,2,"Central location, mediocre breakfast, noisy on the lower floors",Avoid rooms on the first and if possible second floor. Noise from music and other guests on the terrace makes it almost impossible to sleep until early hours of the morning and then you doors banging just a few hours later. Receptionists try to accommodate but you also feel you might be given the runaround.,Le_Pietri_Urban_Hotel,Rabat
 April 2016,4,A Pleasant Surprise,"No room at a Medina hotel that I had needed to confirm, so after a little stressful search found a room here, recommended, very close to the Gare de Rabat Ville that I had just left. So, after a nice pizza, walked back to the hotel where a room was waiting. They spoke English and were very helpful. My room was immaculate and if I hadn't known, I would have thought I was on the continent somewhere. Bed was comfortable and shower forceful: no complaints about the amenities. To me, however, it just lacked a Moroccan flavour. Good value. Average breakfast. This place is close to the Hassan Tower and garden and 3 km to the Kasbah of the Udaiyas",Le_Pietri_Urban_Hotel,Rabat
 April 2016,5,HOSPITALITY,"clean and nice hotel very nice stuff members ,friendly people travelling to Morocco since 1995, must say this hotel is outstanding in regard to price and service it os located quite in the center; good location close to the railway station",Le_Pietri_Urban_Hotel,Rabat
 February 2016,5,Clean and comfortable hotel,"I stayed in this hotel for one night in February. I was very pleased with my experience. I arrived in Rabat by train and this hotel is very close to the train station, just a few minutes walking distance. The location is pretty central and there are shops and restaurants close. Staff was very helpful and spoke English. The hotel is small but well taken care of. I was traveling alone but I got a big room with a big and very comfortable king size bed. The room was modern and clean. Bathroom too, with a bath and good working shower. The hotel is more business orientated and you don't really get the feeling that you are in Morocco. That suited me fine, but if you are looking for something more authentic this may not be the place for you. Breakfast didn't have a lot of choice but…",Le_Pietri_Urban_Hotel,Rabat
 December 2015,5,Excellent base for Rabat and Train travel,"In all respects the service was excellent, the room comfortable with all expected facilities. It is centrally located within easy walking distance of the station, tram, shops and market. I traveled to a wedding in Sale and a day in Casablanca.",Le_Pietri_Urban_Hotel,Rabat
 January 2016,4,Warmly recommended,"I really liked this hotel. The desk staff are very friendly and helpful. The rooms are very clean and adequate without any frills, with a good pleasant bathroom. The rooms could do with some more electric plugs in the wall. There was only one in my room and not even for the desk lamp which it was impossible to plug in. Breakfast is pleasant and the hotel is well situated close to the railway station and several quite decent restaurants. I was there for a week so there was plenty of time to have a complete experience of the hotel. The drawbacks are that there is no swimming pool or working out space. But at least there is free wifi which is moderately good.",Le_Pietri_Urban_Hotel,Rabat
 December 2015,4,One of the best in Morocco,Very close to train station if that's the way you are coming from. My room is small but very adequately decorated and very clean. It is modern looking. Breakfast is decent as well. The staff are all very polite. The neighborhood is awesome. Very close to the government area. There is really not much to complain about and I recommend this place to anyone visiting Rabat.,Le_Pietri_Urban_Hotel,Rabat
 December 2015,4,Friendly staff - exellent food in Bistro - deafening live music at night,"Downsides - music from the restaurant can be very disturbing. In fact it ruined the stay. Upside - the reception staff and porter were incredibly welcoming and hospitable. More French in their attitude than Moroccan (take that comment positively, negatively or both...) Room was clean",Le_Pietri_Urban_Hotel,Rabat
 November 2015,4,Love their bistro!,"Been here a couple of times by myself or with business partners and it was always a great dining experience. Fine dining and elegantly lighted, food was very good, good crowd to hang out and chill after a tiring day's work. Waiters/staff can be more attentive to customers though. Overall, the experience was great.",Le_Pietri_Urban_Hotel,Rabat
 August 2015,5,Center city hôtel in Rabat with great service and tremendous food,I'm a fan of Hôtel le Pietri. I'm staying there a week per month for business. The rooms were recently renovated. Le Pietri is also one of the best table of Rabat. And they serve the entire restaurant menu via room service. What a luxury. The personnel cares for you and is entirely problem solving oriented. For me it's the best deal in town.,Le_Pietri_Urban_Hotel,Rabat
 April 2015,4,Nice hotel with friendly staff,"This is a nice hotel with friendly staff. They have a bar where there is live music during some nights in the week. The atmosphere is very good in the hotel. The rooms are maybe a little outdated, but it didn't bother me at all.",Le_Pietri_Urban_Hotel,Rabat
 June 2015,4,Stayed during Ramadan / great staff,"I spent a week at the Pietri in June/July 2015 during Ramadan. The staff were very friendly and very helpful. The room was pleasant, if not very big. Very conveniently located a few blocks from the central train station. Breakfast was a bit of a light affair, especially given the need to eat well at breakfast during Ramadan. Dinners were a buffet format, with a variety of salads, three main dishes, soups, snacks and desserts. It got crowded in the evenings, so even if staying at the hotel it may be worth reserving a table. During Ramadan everyone arrives more or less at the same time, and then starts eating at the same time (7:45 p.m. the week I was there). It was thus quite crowded at the buffet during the crucial minutes leading up to the breaking of the fast, and things…",Le_Pietri_Urban_Hotel,Rabat
 May 2015,4,"Nice, clean, stylish hotel","I often stay here for my business trips in Rabat and I enjoy it. The bulding itself seems old but I believe that it has been renovated and now the hotel has a very stylish and modern look (which I I enjoy very much). I also appreciate the friendly staffs. I also like the breakfast buffet. Although there is not a big variety of dishes it's enough for me and I enjoy some of the fancy small pastries they offer. I believe the restaurant downstairs hosts live jazz concerts on Friday nights so some guests who aren't interested in these concerts and just want to sleep in early could be bothered by the noise. I've personally never had this problem, but if you're worried you could ask the hotel to get you a quiet room. Over all I like the hotel and this is why I continue to stay here…",Le_Pietri_Urban_Hotel,Rabat
 May 2015,1,Pretentious and overpriced,My partner and i had a few days left in Morocco and wanted to splurge a little in a fancy hotel for a few nights and ended up leaving after a single night because of a few reasons. Right from the beginning we were greeted by a pretentious and disrespectful receptionist who barely looked us in the eye. He refused to grant us a room with a double bed and put us in a room with two single beds. When we complained he kept trying to up sell us to the more expensive suites even though we booked a standard room in advance. I asked to speak with the manager and he said he was unavailable. Finally after a lot of back and forth he suddenly found a room available for us despite saying they were all fully booked a few moments ago. We decided to have dinner in the hotel restaurant which…,Le_Pietri_Urban_Hotel,Rabat
 February 2015,4,Good option for overnight in Rabat,"We stayed here for one night breaking our journey from Ifrane to Marrakech. The hotel was easy to find, off a side street right beside the new contemporary museum of modern art. The staff at reception were very friendly and accommodating. The rooms need a little updating and I felt they did not reflect what was published on the website but they were very clean and comfortable. The main feature of the hotel is a lively restaurant and bar which we really enjoyed.",Le_Pietri_Urban_Hotel,Rabat
 January 2015,4,A Real Hotel,"This is a wonderful hotel in a classic European-style city with neat urban boulevards. The hotel has all the right amenities that you would expect for a hotel around the $100 mark. It was very clean, the room large with a view and a full complement of satellite channels. There was even an excellent bar which can be a rarity in parts of Morocco. I couldn't fault it in service standards, cleanliness or amenities. However, it does have more of the business rather than a tourist vibe.",Le_Pietri_Urban_Hotel,Rabat
 December 2014,4,Good stay,"We chose Le Pietri for one night during travelling through Marocco. Positive: The location was easy to find from the Rabat Ville Train Station. The room was very stylish, modern and clean, with a useful and detailed guide book of information from all services and instructions. Wifi was working well in the room. The breakfast was very rich, great selection of food and you can eat as many as you can.:)) Staff was friendly and so helpful, they helped us to print our boarding cards from the internet on the reception. There were technical problems but they were very patient and assisted until we succedd :) Thank you! Negative: The safe was not working at all. The hole in the tub was not able to close for bathing. We could pay with credit card, but they wanted to charge much more…",Le_Pietri_Urban_Hotel,Rabat
 December 2014,3,90's Travelodge but the Bistro made it,We stayed here as a stopover in late December as a last minute decision to break up our journey from Fes to Marrakech. After a long train journey we were pleased to find this hotel was within walking distance from the train station and well signposted so very easy to find and well located for a day's wander around Rabat. Having read the latest review plus the fact a picture of our room was not on the booking website we were a bit dubious about what we would be sleeping in - the rooms certainly do have an outdated 1990's Travelodge feel - very basic and dull. However we only stayed one night so couldn't grumble. The bistro attached was the saviour of this hotel! It had a great jazz vibe (we were a little disappointed to miss one of the famous jazz sessions as this would normally…,Le_Pietri_Urban_Hotel,Rabat
 December 2014,3,they cannot have tried harder to be average,"This is a small hotel well located in Rabat. I checked in late and had to agree to order room service. The meal was fine however I had to go through a palaver to get this - no menu in the room, order the menu, waiter demanding an instant order, refusal by me, then order by phone. The room I had was fine though one that I could not warm up. I had problems with the safe and the hotel porter had problems getting it to work and in the end I did not use it The bed had blankets and sheets - something I have not experience d for years in a hotel. I managed to pull the sheet out every night and ended up covered by an itchy blanket. I think that all these small things started telling on me that stopped me enjoying my stay The breakfast was OK - but they never seemed to replace food that…",Le_Pietri_Urban_Hotel,Rabat
 December 2014,4,Nice stay,"I stayed at the hotel for 3 nights. Its in a pretty central location. Due to this central location it can be quite noisy due to all the hussle n bussle outside. The hotel staff were very helpful & friendly. The hotel in my opinion is a little dated, rooms rather basic, but if its a short stay than its not the end of the world. I found the room to be clean & tidy, the shower was amazing ! Its a smoking hotel, so that was something I wasn't too keen on and found the smell of cigarettes to be quite unpleasant. The highlight of my stay was the restaurant, it is fantastic. I ate there 2 nights and I have to say, the service was good, but the food was excellent. On the Tuesday night, a band played whilst I ate, which was really nice. Breakfast is good, it does the job. I was in town…",Le_Pietri_Urban_Hotel,Rabat
 December 2014,5,Excellent,Very pleasant hotel in the center of town. Le Pietri has a wonderful contemporary decor and all the amenities required by the urban traveler. Rooms are comfortable and stylish and the atmosphere is intimate as the hotel is small. There is an excellent restaurant on site. Will definitely return when I'm back in Rabat.,Le_Pietri_Urban_Hotel,Rabat
 September 2014,3,Good location,"We stayed here one night before heading back to Casa. The hotel in Rabat is fairly expensive compare to the rest of Morocco. But we did enjoy our stayed in this hotel and it was about 10 minutes walk from and to the train station. The room and the bathroom were fairly comfortable size and clean. WiFi was a little slow but adequate. There is a restaurant in the hotel and have live Jazz music but we only have our breakfast there and it was just basic continental style and not much choices. There are lots of restaurants around the area, a block or 2 before the train station from the main road and turn right for another block or 2. La Mama grill Italian is pretty good and lots of selection and reasonable. We used taxi to go to Chellah, the Roman ruins, hassan Tower and the Kasbah.…",Le_Pietri_Urban_Hotel,Rabat
 October 2014,4,"Unchallenging, comfortable european styled hotel","If you're needing european standards anaesthetised from moroccan adventure you can't go wrong here. Formulaic rooms and generally good standards throughout, the hotel also has a lively bistro with either live or recorded jazz to accompany your evening meal. Friendly reception staff.",Le_Pietri_Urban_Hotel,Rabat
 May 2014,3,"Good place for business in Rabat, compared to other hotels...","A pretty nice hotel in terms of rooms and service, but not cheap. Prices for hotels in Rabat are way over the top, no idea why everybody thinks they can charge people like in NYC. I liked the rooms (clean and spacious) and the outdoor terrace on the first floor, Internet was usually ok, breakfast was very limited and did not really have much to choose from. Locations of the Pietri is very good - just about 3 minutes from the main train station.",Le_Pietri_Urban_Hotel,Rabat
 May 2014,4,Great business hotel,"Very good rooms, terrace to have lunch and bar for cocktails with great live music tuesdays and fridays. In town centre so very easy to get around. Food is ok not amazing but ok. Really recommend for business trip.",Le_Pietri_Urban_Hotel,Rabat
 August 2013,5,Love this place,"This is a great centre ville hotel-- much nicer than other hotels I've stayed in in Morocco. It is clean and well kept. The bathrooms are nice and modern. They have air conditioning. They have some sustainable features in the hotel. The Wifi was slow on my last stay; the stay before that it was fine. Breakfast is lovely provided the restaurant is open; I was a little disappointed with the breakfast on the terrace on my most recent visit. I've enjoyed the jazz and dinner in the restaurant several times. It's walking distance to the main Rabat train station, the Parliament building, and the medina. It's also close to the tram. I definitely recommend it!",Le_Pietri_Urban_Hotel,Rabat
 September 2013,5,Great Central Location - Good Value,"Good price/performance ratio. Please don't expect the bedding one would find in a Grand Hyatt. If you are fussy, bring your own towels. There are some features or benefits worth noting: Order a tajine or couscous at the next door restaurant - and you find it wonderful ! Also, pick up some wonderful, perfect, fragrant, Morroccan roses - the Hotel abuts a square filled with wholesale/retail flower sellers. Also, it is walking distance to the old Medina. With a location like this - how could you go wrong? The staff is helpful and work hard.",Le_Pietri_Urban_Hotel,Rabat
 October 2013,3,Confortable and Central,"I stayed in Le Pietri for 3 nights during a business visit in Rabat. The Room: The room was spacious, and overall clean (with the exception of some stains in the couches). Rooms do not have hair dryers or irons, but if you call the reception they will be glad to bring it over. Wireless was available in the entire hotel at a good speed. A big minus was that they had Jazz nights I could hear the entire set being played in my room (including the cheering) which made it very difficult to sleep. Staff: The staff was friendly and wanted to help. Location: The hotel is well located and we were within walking distance from the train station, the medina, and many restaurants. However, it not very well known by the “petit taxis”, which made us returning to the hotel difficult, but as…",Le_Pietri_Urban_Hotel,Rabat
 August 2013,4,Clean and Comfortable Stay,"I stayed for two nights after flying into Rabat-Sale Airport which was a short taxi ride from the hotel. It is also right down the street from the train station so it is easy to travel from here. The room was better than I expected for cleanliness and I slept like a rock. Shower and bathroom were also spotless and larger than expected. Wifi worked well, but not outstanding. The only complaint I can make is about the breakfast in the hotel restaurant. The juice was warm and there was really no selection for a ""continental"" style breakfast.",Le_Pietri_Urban_Hotel,Rabat
 September 2013,5,Highly Recommend Le Pietri,"Accommodations were clean, staff were friendly and more than helpful and able to converse in several languages. The food in the Bistro is fresh and delicious. I recommend trying a glass of Moroccan red wine, Sahara, which was lovely. The hotel is central to all the major destinations in Rabat and close to taxis. All in all an excellent value and a hotel I recommend.",Le_Pietri_Urban_Hotel,Rabat
 September 2013,1,THE JURY IS STILL OUT,"I only arrived last night so I have not formed a definitive opinion on the hotel. I am booked in here for the next week so I will be updating regularly. So far the restaurant was a total disaster yesterday evening. Cold sole fish, raw vegetables and indifferent staff. Breakfast was no better. WiFi didn t work but as far as the receptionist was concerned it was somehow my lack of comprehension of how to make it work. I have a feeling I am going to regret my stay",Le_Pietri_Urban_Hotel,Rabat
 August 2013,4,"Clean, Comfortable, Good value for money for a business stay","Location: Le Pietri is located in the Hassan part of Rabat close to the Cathedral, close to the Tram (all one way journeys are 6MAD) and close to the main Rabat railway station. This part of Rabat is pretty quiet. It is within a short 5-10 minute walk to Tour Hassan and access to some great restaurants like (Comeback, Cosmopolitan, Ty Potes). Le Bistro restaurant connected to the hotel is also a decent place to eat and socialise. Staff: the reception staff made me very welcome. Even though my French is poor the welcome was genuine, friendly & polite. Room: stay in the higher standard rooms on 4th floor to be furthest away from any chance of street noise. My room 405 was very comfortable with a double bed, clean wooden laminate floor, flat screen TV with English, French and…",Le_Pietri_Urban_Hotel,Rabat
 May 2013,4,Modern and Central,"The hotel is in a great location for the train station and Ville Nouvelle (it's also close to the Archaeological Museum). However, if you are interested in seeing the medina and kasbah, you are about a 15 dirham cab ride or 45 minute walk away. The hotel is modern, with comfortable bedding, and in-room wifi (a bit slow, and you have to keep switching back and forth between the different networks to get a solid connection). Continental breakfast is really basic (no tea and no fruit). Also situated right near a main street, so it was loud until about 11:30.",Le_Pietri_Urban_Hotel,Rabat
 March 2013,5,Close to everything,"The hotel is very nice with modern rooms, nice bathrooms and a great breakfast buffet. It is centrally located about a five minute walk from Rabat Ville train station and the tram stop, as well as a short walk to the medina (maybe 10 minutes) and other points of interest in central Rabat. The hotel is located on a quiet side street.",Le_Pietri_Urban_Hotel,Rabat
 January 2013,4,modern and confortable,"We stayed at Le Pietri the last night of our long tour of Morocco. We enjoyed some modern commodities. Le Pietri is clean and up-to-date. Our standard room was nice and modern; the bathroom was nice and the hot shower very appreciated. Unfortunately it took us a while to get asleep because our room was on the side of the lounge bar which on weekends turns into a disco and closes at 3am; you may ask for a businness room. The price is OK for a European standard, a bit expensive for Morocco. We arrived on Friday so we could enjoy a nice jazz concert in the lounge bar of the hotel. We could also find a table with no reservation after wayting 30 minutes at the bar. They serve alcoholic drinks; beer is expensive but cocktails are quite cheap. We expected the dinner to be expensive…",Le_Pietri_Urban_Hotel,Rabat
 January 2013,4,Recommended,Rabat city is more proper than other cities in Morocco. But it is not easy to find an appropriate hotel for business stay. I can recommend this hotel. It's far from luxury but cozy. Internet connection is free with mediocre speed sometimes.,Le_Pietri_Urban_Hotel,Rabat
 November 2012,4,Good modern hotel,"Good modern hotel with spacious rooms, nice bathroom and a good restaurant attached. Friendly staff too. Really handy for the main train-station too. i'd definitely recomend this place if you are in Rabat",Le_Pietri_Urban_Hotel,Rabat
 September 2012,3,Clean and basic,"Room size was ok, but very basic. Bathroom reasonable size and clean. Staff were helpful. We used the restaurant downstairs for dinner as could not find anything else suitable within short distance of hotel, this was ok but thought expensive, paying for nightclub type experience. Depending on room placement, could not hear music from restaurant, but noise of people leaving restaurant venue at night could be a problem if your room is near the entrance door. Breakfast was varied and ok.",Le_Pietri_Urban_Hotel,Rabat
 August 2012,3,Great staff and restaurant! But basic,"The staff were really helpful, good wifi, good ambience and food in restaurant. Location was great for walking around city tourist spots. Room was clean, but basic. There was no refrigeration in room and rooms were a little tired as was the bathroom. Eg only two pillows in room and air conditioning cuts out when you leave room.",Le_Pietri_Urban_Hotel,Rabat
 June 2012,3,Clean and efficient,"My colleagues and I had an enjoyable stay at this hotel. Very warm staff. Free Wifi (UK hotels should hang their heads in shame - this is a typical drawback at home), good restaurant, very clean rooms if a bit small. Nice open terrace if you don't want to go out for some sun. Smoking throughout.",Le_Pietri_Urban_Hotel,Rabat
 May 2012,5,"Friendly, clean and chic urban hotel","Friendly staff and clean rooms made it easy to travel here with our 14-month old baby. The location is easy (5 minutes walk from the train station). Restaurant had very nice, well-arranged food (both Moroccan and international) and very good breakfast. The jazz sessions on some evenings are nice and well-visited (though we still got a table without a reservation) and - important for a family - the restaurant is well sound-proofed, so you can't hear anything from the rooms. When we needed to find a pharmacy Sunday morning, the receptionist had someone drive me to the nearest open place. They were always happy to explain the way, call a grand taxi, wash the bottles for our son (!), etc. Very helpful. Rooms are a bit small, but very modern and comfortable, so no complaints there.",Le_Pietri_Urban_Hotel,Rabat
 March 2012,4,Quality hotel,"During my Moroccan wedding, I had my family stay here. The staff were very accomidating and helpful. My parents stayed in a suite with a beautiful terrace. There is construction next to the hotel, but my parents didn't notice the noise. The rooms were modern and comfortable. Breakfast was hearty and delicious. We had supper Friday night while listening to a jazz musician. The atmosphere was fun and lively. The food, while expensive, was absolutely delicious and a variety of cocktails were offered.",Le_Pietri_Urban_Hotel,Rabat
 January 2012,5,A clean and modern hotel in strategic position. Very advisable,"This is a very clean and professionally run hotel, at a short walking distance from Rabat Ville station. Rooms are very clean and have recent furniture. Bathrooms are ok as well. Breakfast is quite complete, but probably has some margin for improving. The internal Bistrot is an elegant place offering absolutely good food. I can certainly confirm the positive reviews that I read about this great hotel.",Le_Pietri_Urban_Hotel,Rabat
 February 2012,4,"Central, clean - a few drawbacks, but overall good. I'd stay again","A small hotel close to the central train station, and the new tram system (handy if you want to go over to Sale). Also walking distance to good shopping and many of the things you want to see with a lively street scene not too far away. This ain't the Ritz, but they try hard and rooms are clean and you feel safe. For anglos, the desk staff don't always include someone with more than very limited English. Wifi not great and avoid rooms on the forst floor if you're there on a night they have jazz in the restaurant. The restaurant is convenient and great for breakfast (think they stay open fairly late in morning if youre a sleepyhead) - thay even made sure someone made coffee when we had a 6amish departure. We ate there once for dinner, but really found more interesting places…",Le_Pietri_Urban_Hotel,Rabat
 February 2012,3,Less than expected,"I stayed only one night at the Le Pietri Urban as I was in Rabat for business. Having looked at the website, I was expecting more. I agree with other reviewers that the location is excellent and the bar and restaurant welcoming. It was my first time at the hotel and, though I would stay again for an overnight, I would definitely keep a few things in mind when making the reservation. I was disappointed with the room. I have stayed in many Moroccan hotels of similar category and have never found one without the usual amenities of a hair dryer and shampoo until I stayed at the Le Pietri. The room was only average. The usual bed, bedside tables, and dressing table, but there was also an unfurnished alcove - I have no idea what that was for. The toilet ran constantly and the room…",Le_Pietri_Urban_Hotel,Rabat
 October 2011,5,Excellent hotel,"Great location, close to main train station and within walking distance of all of Rabat's main attractions. Beautiful hotel with modern, tastefully decorated rooms with all the amenities you require. Great adjoining restaurant with yummy, reasonably priced food and great live entertainment. Hospitable and friendly owner and staff who were only too willing to help me with anything I required. Highly recommend this hotel if you are visiting Rabat!!",Le_Pietri_Urban_Hotel,Rabat
 January 2012,5,"Perfection, especially if you like jazz","I was in Rabat on a business trip and had the hotel booked for me by my local contact. Excellent central location, five minutes walk from the railway station and the trams. Fifteen minutes walk from the medina down a fine shop-lined C19 French style boulevard. The hotel rightly promotes itself as an 'urban hotel'. No gardens, No balconies. Good modern rooms Great hotel. Very international but with a strong French-Moroccan character. Live jazz in the ground floor restaurant three evenings a week. Very atmospheric to the extent that as a non-smoker I was able to tolerate the cigarettes rapidly extracted by a decent ventilation system. A very good place to which to return",Le_Pietri_Urban_Hotel,Rabat
 January 2012,5,"Jazzy Urban, but an oasis of calm","Le Pietri Urban Hotel in central Rabat - 5 minutes from the main train station, 3 minutes from the new tram line - is on Rue Tobrouk, just off what was called ""Place Pietri"" in French protectorate days. The hotel has a good restaurant, and a very active cultural calendar, with its Jazz Sessions on weekends. The staff is very friendly, and the accent is on value for price. Limited parking right in front of the hotel. I stay here regularly on business trips from Tangier. Wouldn't stay anywhere else in Rabat.",Le_Pietri_Urban_Hotel,Rabat
 March 2011,3,Location and price can't be beat,"We picked Le Pietri Hotel mostly for the location and price. Although we flew in to Rabat, its practically a stone's throw from the main train station (about 3 blocks). We left Rabat via train so the location was really welcome when you are traveling with bags. We also felt very safe in the location. The neighborhood was nice with several cafe's and pastry shops nearby. It was only a 10 min walk down to the medina. We stayed here again at the end of our trip before flying out of Rabat. The hotel has pretensions of being a really hip, cutting edge place, but the rooms themselves are pretty simple, yet quite comfortable. The room was also spotlessly clean. The bathroom was fine, nice shower, but soaps and shampoos were from dispensers. I'm personally not a big fan…",Le_Pietri_Urban_Hotel,Rabat
 June 2011,5,Hope to come back someday!,Very nice hotel. A nice and clean room and very sweet and helpfull employers. Hope to come back someday.,Le_Pietri_Urban_Hotel,Rabat
 June 2011,5,excellent hotel,"Well situated hotel in Rabat : near railway station ""Rabat ville""; very kind reception ; friendly people; efficient and discrete service ; comfortable and clean rooms; restaurant held by a French ""chef"" proposes good cuisine with wide variety of dishes including of cours delicious tajines. This hotel develops an environment-friendly policy. Go there ; you will spend a nice stay in Rabat",Le_Pietri_Urban_Hotel,Rabat
 March 2011,4,Great,"You get what you pay for. This is not the Tour Hassan or the Sofitel Diwan. This is an outstanding 3 star hotel. Super location next to the Rabat flower market, smiley and helpful team, standard room is small and simple but is highly functional and well done. Excellent satellite TV. Nice small terrace with wi-fi. One of Rabat's better restaurants. Highly recommend.",Le_Pietri_Urban_Hotel,Rabat
 February 2011,5,A wonderful stay - would return tomorrow!,"We spent three nights at Le Pietri and wish we could have stayed longer! Nice modern hotel (room was quiet and comfortable), great breakfasts (""help yourself"" selection included almost everything from scrambled eggs and toast to delicious Moroccan ""pancakes""/breakfast breads and sweet, freshly-squeezed orange juice). By the second night Le Pietri started feeling like our home-from-home. The staff were lovely and very welcoming. Extras worth noting are the free Wi-Fi throughout the hotel, free parking in the street in front of the hotel for guests, the excellent restaurant (breakfast, lunch and dinner) and, best of all, the live music sessions on Tuesday nights in the relaxed lounge-bar-restaurant downstairs (great atmosphere) which Le Pietri is well known for. All in all…",Le_Pietri_Urban_Hotel,Rabat
 December 2010,4,one towel for two people,"The hotel totally was good: price, place, breakfast. what surprised me - only one towel in a bathroom (in a double room!), and garbage was not taken away. Though the bed was with new linien! strange... the location is very convinient - 5 minutes walk from railway station and 15 min walk from medina",Le_Pietri_Urban_Hotel,Rabat
 December 2010,4,Good short stay,"it's near from railway station in modern area of rabat and 10-15 min walk to Medina. Room and bathroom had good furniture and even live flowers. Not clean - garbage in trash box was full after cleaning. Only one towel for two people in double room, it's typical for all moroccan hotels. Breakfast is ok (fresh orange juce, omlet, bread, tea, coffie, salad). It's not cheap hotel, but if you want to make a pleasure and comfort for you for 1-2 night, it's not bad place.",Le_Pietri_Urban_Hotel,Rabat
 September 2010,5,Lovely small hotel in the heart of Rabat,"This was my first trip to Rabat and probably my 10th trip to Morocco. I had been going since the early 1970's. I had not gone for many years. I am so glad I did. First, I very much enjoyed Rabat. Clean, friendly people, wonderful food, etc. Le Pietri Urban Hotel was great. A simple quite oasis in the center of busy Rabat. Wonderful people at the front desk , especially the young receptionist M. Bouchara. Good English, Good French, very helpfull and friendly. The other older woman on the front desk is not a good ""image"" for the hote. Not friendly, no smile, not helpfull. But as we know, when we travel it is sometimes better to ignore these kind of people. So, I always waited until the afternoon when M. Bouchara came on the desk to help me. 24/7 the doormen were…",Le_Pietri_Urban_Hotel,Rabat
 November 2010,5,Very friendly place,"Great place, nice and vey friendly staff....fom the cleaner, barman, waiter, to the owner....Great food at pretty decent price....we stayed one night in the suite room then we moved to a normal room, both were clean and agreable, I just wished they had better pillows......Live music on Tuesdays, Fridays and Saturdays is the best, you get to listen to all kinds, Jazz, Blues, Rock......plus nobody bothers you....I will definity go back......one more thing you are at the heart of the city, walking distance to the medina, train station, or you can grab a cab to Rabat's airport..... I remember Bouchra at the reception was of great help to advice you of places to go to. Thanks le Pietri staff for your smile and hard work. and keep smiling :)",Le_Pietri_Urban_Hotel,Rabat
 November 2010,5,So good I'm coming back next week,"Having stayed in most of the major hotels in Rabat, (mainly because Le Pietri was full) we finally managed to get in over Eid al Adha. And very glad we were to do so. The staff were exceptionally helpful and friendly, from the front desk to the waiters, with whom we had many interesting chats about everything from football to Rabat's customs and nightlife. Driss, the owner, was the epitome of a good host and his attempt to turn Le Pietri into the best little hotel in Rabat, if not Morocco, has been acheived as far as we're concerned. The thrice weekly music sessions in the restaurant are just what is needed to liven up one's stay and the food is a great mix of local and international dishes. Keep it up, Driss and the team at Le Pietri, you are on a winner.",Le_Pietri_Urban_Hotel,Rabat
