 December 2022,5,Warm and welcoming - Reflective of the great Moroccan culture! Highly recommended.,"Abdallah (hotel manager), Hamdi, Yassine and the entire Hyatt team at Casablanca made us feel like coming back home after long hours of travel. This is my 5-6th stay with the Casablanca Hyatt over 15 years and I cannot recommend it higher. They took care of everything!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,hotelName,city
 September 2018,3,Do not take the highest floor,"As this was the first night on our roundtrip we came in pretty late, so we just went too bed...only to find out that if you are on the highest floor there is a permanent thrumm from the a/c of the Hotel. Not the individual one for the room, but the main thing for the whole building. Otherwise the room was up to expected Standards the breakfast was also ok and if you do like dark decor with bright point lights it if ok for a night.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2018,4,Nice hotel but not worth the price,"Stayed here for almost a week for a conference. I’d have given it a 3 but the staff were super. The hotel has some nice attributes- lovely pool; helpful, multilingual staff; well appointed rooms; plentiful bottled water. Beds were very comfortable. I liked the decor- pictures of old Casablanca in the common areas, various shades of white in the conference rooms, Moroccan touches throughout w/o being touristy. The negatives were that no matter where you stayed it was noisy- on one side of the hotel there was a band playing until 11 pm every night on the plaza and on the other you were woken up by the call to prayer early every morning. The windows seemed to block out very little of the noise- Not ideal for jet lagged business travelers. Other issues were small- but important.…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2018,5,"Impressive Service, Professional Staff, 1st Class Appointments","We loved this hotel – the rooms are very well appointed, very clean, the Nespresso machine in the room a very welcome touch. Two main restaurants, we tried both – importantly for us, they are both open late - indeed, in Casablanca, things don't get really going in the dining scene till after 21h00. The Moroccan restaurant also offers Moroccan music and a belly dancer - very welcoming to the weary traveller. The selection of Moroccan wines was very good and not expensive. The French Brasserie is also one of Casablanca's top restaurants. A feature of the hotel is the lobby - here you will see a cross-section of Casablanca's society - while you sip your cocktails and if you are so inclined, have a cigar! Even numbered rooms have a view of the fantastic Hassan II Mosque and the old…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2018,4,Amicable environment and excellent location,Friendly staff and great location: The serves were seamless. It promotes green and environmentally-friendly living styles by reminding guests to save energy/water. The location is excellent making it easier to explore Casablanca from each angle.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2018,4,Great hotel!,"Class has a name in Casa: The Hyatt Regency Hotel. What I like most about the hotel, is the spacious lobby, which gradually turns into the hotel bar. This has been nicely done! The bar has a lot of seating arrangements, some of which are just a little bit uncomfortably crowded and close together. The back part of the bar doubles as the breakfast venue. This is a nice touch: it really makes the this big space lobby-bar-restaurant the beating heart of the hotel. The rooms are ok, for what you pay for them. Nothing more, nothing less. Nothing to complain about, nothing to rave about.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2018,4,Great spot with a lot of energy,"This is a very western hotel in the middle of the fun of Casablanca. While the lobby is very smokey, the rooms are clean and don't smell of smoke. The pool is small but very nice. The fitness facilities are state of the art. The on-site restaurant with music and belly dancing is entertaining but very loud.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2018,4,Great lobby,"If you want a nice place to stop for a quiet cool drink out of the sun and hustle and bustle of Casablanca then I can recommend the lobby bar of the Hyatt Regency, the Living Room. Service can be slow.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2018,5,Overall great service,"I have been to this hotel many times, mostly for business purposes. I have always had the best attention by the staff who have been tremendously helpful. A word of appreciation to the Concierge Mr. Yassine Bourou who has been of tremendous help particularly this morning the agency wrongly booked a taxi service. Great service. The Restaurants and the breakfast are great!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2018,5,Standard five star,"This was for the most, secure business hotel with all needed services. For a foreign guest it was somehow like safe haven in the city center. Hyatt chain kept promises, nothing to complain. For the leisure I would choose by the beach. Gym was in excellent order.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2018,4,Good service,"Friendly hotel, in good location, facilities are good, gym and pool were excellent, eating facilities restricted due to the end of EID so not fully experienced, overall stay was enjoyable and easy to access key attractions",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2018,4,Two pleasant nights,"My wife and I spent two very pleasant night in this hotel on our way back home, after a week in Marrakech. The hotel is very good and well located in town. The service is good also. But the place should be refurbished .",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2018,3,The pool is the reason to stay here,"Definitely a brilliant large pool with lots of sun beds and friendly staff. But overall the hotel is average. We asked for twin non smoking room and they gave us a room that was dirty, hadn't been cleaned, Stains everywhere, lights didn't work and could hear drilling. Changed to a smoking room which was much more upgraded and clean. Didn't smell bad of smoke. The problem is the street noise is immense. A concert took place in he square the 3 days we were there that went on till 130am which they didn't warn us about or do much to control. For a 5 star hotel you expect to be able to sleep in it which was not great due to the noise. Hotel is well situated to get around from, I would recommend asking for rooms at the back of the hotel away from the square, maybe it would be quieter",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2018,5,Good quality hotel,Was here for a friend's wedding. Great hotel. No problems. High quality. Restaurant food was decent and the entertainment was fun. Hotel facilities are pretty good (gym etc). Spa could be a bit more glamorous but otherwise ok. Location is decent.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2018,4,Stay good but poor reception team,"Hyatt regency Casablanca is in the middle of a busy street. With old souk, cafe, port, entertainment all around, you cannot be alone Very good experience and hotel is also very comfortable. Restaurant staff, housekeeping and other staff were exceptionally trained. Reception staff is very rude and extremely unapologetic. The staff identified and greet d guests as per their nationalities. Very rude and strange !!! Never seems such horrible staff at the reception of any hotel The staff named IBTIHAL should be terminated immediately. Inspite of reprimanding her she rebuked back and started arguing !!! Horrible checkout it experience ! This staff didn’t even listen to her duty manager ABDULLEH’s instructions to behave properly. Very very sad for such a reputed hotel. …",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2018,3,"Too much ""music""",We stayed here three days at end of vacation. The hotel has a good standard (very old style corridors with baguettes) and old style furniture. Level good but definitely not exceptional. The pool is too small to be interesting but the gym is very good. Good breakfast with very nice and efficient personnel. We couldn't taste the Moroccan restaurant because ... It was closed!!! We were offered to have dinner in the lobby but we kindly refused. The bad thing of this hotel is that it is placed in front of the Medina. As a result ... We had three TERRIBLE NIGHTS WITH MUSIC AND DRUMS FROM THE SQUARE (the first day until FIVE IN THE MORNING ... second and third day until TWO IN THE MORNING). When we complained with the receptionist she asked in what side of the hotel was our room ....…,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2018,3,Check your bill!,The room seemed clean although I found 3 pubic hairs in the bathtub! It was a good sized room with sufficient space to accommodate my large suitcase on a bench. There was an armchair and footstool and a long desk area. One entire wall was windows providing a view of the mosque in the distance as well as a busy shopping street. As the room was on about the 3rd floor and the window was not double glazed there was considerable traffic noise at night. The bed was comfortable and was made up with nice sheets. The bathroom was large with a large sink area with ample space for toiletries. There was a large separate shower and a big bathtub. Large towels were provided along with the usual soaps. The loo was in a separate room. There was a large safe in the cupboard and it was attached…,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2018,2,Very bad,One of the worst hotels i have ever been in ! Very old!!! Has a bad smell in the lobby also in the corridor ! Very limited selection in the breakfast The hotel located in the old town! I could not sleep at night from the street noise,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2018,4,Good for business,"Service was very good, staff was friendly. Breakfast buffet is pricey without offering very much at all. The hotel is very centrally located so it's easy to get to different stores and restaurants. It's great for business but if coming for pleasure, there are other, less expensive alternatives. Don't be turned off by the metal detector you have to walk through to enter the hotel....there's a consulate nearby so security was always around.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2018,5,Great hotel,"I spent a week at the Hyatt for business, rooms are great, very comfortable and well facilitated, service is excellent very friendly staff and will get you anything you need, food is good. The pool seemed lovely though i didn’t get a chance to use it, right in front of the hotel theres a tram, and u can stop taxis too. A lot of shops are around as its in the downtown.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2018,5,First class stay,The staff is lovely. The room is spacious with big windows. Important for me is that the air conditioning works and is not centrally controlled by the hotel. Adjustable in the room. The pillows are the best. I am tempted to nick one. The pool area is perfectly acceptable for a hotel in the middle of a city. Much happening outside - so it feels lively. WiFi is a bit iffy - but that is not specific to the hotel. I like it and will be back next week.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2018,4,Relaxing,Very nice and clean and very friendly. Food is expensive and pool closes early but otherwise it was perfect. Staff was very kind but not able to extend the pool hours which was so frustrating after a full day of travel.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2018,1,Unfriendly service,"I am a regular customer of the Hyatt Regency booking rooms when having our monthly company board meeting in Casablanca. However, the concierge service has been very bad not accommodating our simple needs.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2018,5,Elegant,"I knew this Hotel as a wonderful Film Location when I worked on a Tom Hawk’s movie but this time I enjoyed staying there. The lobby is warm and elegant, the service excellent and the room was at the top of every single detail",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2018,3,"Good location, average at best","Good location and the main lobby is the beautiful, but smells horribly of strong fragrance from the store. The rest of the lobby often smells of smoke from smokers. The beds are very firm and uncomfortable. The pillows are completely flat with no support. The bathroom has a near transparent door offering no privacy. The food is average at best with slow service.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2018,5,Good location and Nice Room,The service and food were excellent. I also loved the room. It had a beautiful view of city. The pool area was very nice and I spent a whole afternoon there. The check in and check out took a little longer than I expected.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2018,3,Got a great deal on a club room,"We went to Casablanca during club room renovations and scored a deal where we could enjoy dinner and breakfast for only 17000 Hyatt reward points - which is a complete steal. However, the rooms were, very interesting, in that all the bathrooms were one way mirrors and not very family friendly in that regard. (Do NOT recommend for families traveling with children). Our view, however, was fantastic looking at the square and evoked what I would imagine as images of turn of the century Shanghai. The rating I'm giving is thus a mixed bag of many good components with a little bit of shock value.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2018,4,Service,The hotel staff went out of their way to attend to our every need. Special recognition has to go to Rida at the front desk whose attention to our every whim went above and beyond! I would recommend this hotel.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2018,4,Hotel Review from Business Prospective,"Hotel location is very good for business needs, hotel staff are very helpful and welcoming.One small comment with the dinner at the club lounge, more options of food needs to be included. I recommend.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2018,4,Nice Hotel,"Nice looking hotel, just on the City Centre. Very courteous staff, even if they dont speak English, they try their best to establish a connect, excellent breajfast spread, well maintained new look Gym. I enjoyed my stay",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2018,5,You’ll feel right at home,"This hotel is in the best location in Casablanca; Right next to the market. Rooms are spacious, breakfast is excellent, but the best thing are it’s friendly staff. Everyone made you feel right at home.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2018,4,"Very good, t",he team is very professional and very nice with customers. High appreciated that team remember you at each visit and customize their welcome. Rooms should be refreshed and clean up should be improved.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2018,2,Disappointed,We stayed for two nights. Although the security was excellent we were very disappointed in some of the food and service. If you have any allergies or dietary issues don’t go as they are awful at dealing with any issues. Although staff can speak some English they do not understand when you are asking things and it became very difficult to get someone to help. Concierge was hardly ever there and when asked they would just send you to someone else rather than help as we had expected. Food was okay but not great. Our dinner the second night came with burnt bread and was subpar. The French restaurant was very good and they were good at accommodating allergies. The beds are really hard and by the end of the second day all of us were having problems. All four of us would not…,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2018,4,Business standard with elegance,Business standard 5 star hotel in the downtown area with elegant interior and good Club Lounge on the 8th floor. Located across the road from a huge market that can be a bit noisy but still one of the nicest international hotels in Casa.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2018,5,Excellent hotel! Good place in the city.,"Very good rooms, food, people, real fitness! Ftour during ramadan was just amazing. Good place in the city. Rooms might be a little noisy at night, particularly during ramadan. Service is very fast and good. From outside, the building doesn't look nice but inside it is really nice.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2018,4,Very pleasant stay,"Enjoyed a very nice stay at this well looked after and ideally situated hotel. Right in the hustle and bustle of Casablanca. Outside is quite busy, but once you enter the gates of this hotel it’s calm and tranquil. The interior is lovely with dark shades and elegant deep brown and red colours. The staff are very attentive and though I did not have dinner at the hotel, the breakfast in the morning was excellent. The newly renovated gym was superb - great equipment and facilities. Unfortunately the pool area was closed. Will definitely be back!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2018,1,Like rude & incompetent service? The Hyatt Casablanca is for you!!,"Never and I mean NEVER have we received such horrendous service! I cannot speak to the service of the hotel. My review is strictly on the bar-restaurant on the main floor that we received May 27/18. We arrived at about 4 pm and asked if we could just have a drink as we noted the tables were set. No problem. We had to move to another table as thoughout the bar they have machines pumping out the smell of potpourri which is revolting and so not in tune to a world that is going towards a no-scent policy in offices, etc. Is there mildew or some other odor they are trying to cover up? It took us about 15 minutes to get our drinks and then waited expecting at least some little appies such as olives or nuts to arrive with the drinks. After another 10 minutes I approached our…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2018,5,Very good Hotel,"Just a quick business trip! A good central place to stay in a quality hotel. The decor is grand, the food good and the staff friendly and ready to help. The rooms are a good size and have everything you need. There is a reasonable gym and pool ( not open that night). Plenty of local restaurants ( I would recommend Le Riad Restaurant, only 5 mins walk). Next door to the Medina. About 40 mins to the airport.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2018,5,Top quality hotel near center,"Beautiful room, bathroom and linens. Well-stocked mini-bar but be careful not to touch anything you don't intend to use in case you get billed anyway. Room-service was good and all hotel staff were helpful and friendly. Our second floor room only had a view of the roof of a ground floor section of the hotel but I hope other rooms had a better view. This is a really top hotel in the center of a noisy and not-so-clean city.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2018,5,Modern hotel in central location,"A modern hotel in a central location. They upgraded us to a junior suite on the 5th floor with a great view of the old Medina (see photo). The room was incredibly quiet despite not being that high up -- excellent sound proofing to the outside and between rooms, both on the same floor and the upper floor. Comfortable bed, pillows just the right balance between soft and firm. OK but not great blackout curtains. The bathroom in this suite had a separate toilet area. The bathroom had all the usual amenities. Fluffy bath towels. There were four free bottles of water included with the room. We had a pistilla in the Moroccan restaurant, it was excellent. Concierge did a great job of arranging a car to take us to Rabat the next day.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2018,5,Very positive and pleasant experience,Very positive and pleasant experience either with my family who came one month ago for holidays or during my weekly stays for work/business. A service that is at the state of the art. A food that is very good at the level of the best standards. A very nice and cosy environment A gym/fitness room very well equiped,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2018,5,Best Regency Club in the World,"Hoiumiri, Abdelilah, Reda, and Ihssane ...super team leaders who go the extra mile and meter to provide outstanding help and service. No detail is too small. Warm welcome and very friendly and professional help. Excellent.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2018,5,Hyatt Morocco,A lovely hotel and staff. Nicely appointed lobby and rooms. Linens are of an upgraded quality. Good lighting on rooms which I have not experienced in.several other hotels in Morocco. Pool is inviting however closed at this time.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2018,1,Needs a dramatic improvement,"Been there a few times and it doesn't get any better. Water in bathroom are yellow Electricity outage all the time Very poor breakfast Smell in the lobby, cigarettes Service in the restaurant is poor Parking is full with no hotel residents",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2018,4,1 night in Casablanca,"The hotel is centrally located. It is very close to the Medina and suk (market). The rooms were spacious and clean. The Moroccan restaurant in the hotel was great. it includes a nice Hafla. All through the night a musician band played Arabic music, with replacing singers (we counted 4) and a belly dancer. The breakfast was good as well. In spite of all that, it offered less what one expects from a 5 star hotel.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2018,5,excellent hotel great location,"loved this place-centrally located, very accommodating staff that moved our room as the one we had faced the rock concert going on that night. Went to Cafe M on property for dinner and the food was incredibly wonderful. Had a drink in the bar and it was probably the best mojito ever.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2018,5,Clean and value for money.,"Very comfortable and feels relaxing. Near to tourists places. The most important is the security of this hotel, it give us real safety. The lobby is so nice and rooms are very clean. Good maintenance.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2018,3,Dated but not quite a Classic,"The hotel is getting old and it shows.. Sound proofing is poor, water pressure is barely ok, carpets are worn, TV's are tiny. Breakfast room and offer could do with a refresh, Room Service was good and efficient, staff is generally nice. Good location.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2018,2,Disappointing,"Visited the Hyatt in Casablanca this evening for a night cap. Ordered a beer and a wine which were a little slow in arriving, but the waitress was pleasant and helped with the wifi. Ordered a second beer, and waited ... and waited. Eventually caught her attention and ordered the second beer again and asked for the bill. When the bill arrived discovered we had been billed for three beers - which at €8.50 is not a huge deal, but still, not something to just gloss over. Queried the bill and the waitress who was adamant that we had been served three beers. Eventually a manager sorted out the issue, but it was a disappointing end to what had been a pleasant evening. We will not be visiting again.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2018,5,Oasis in Casablanca,"Location was ideal, across restaurants and cafés, and local transit train, next to medina and walking distance to city train station. Rooms were modern and vary spacious with all the amenities. Staff made you feel at home and helpful of your needs.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2018,2,Good location. Dated and dirty hotel rooms.,"Location is good. Hotel common areas are nice, i.e., lobby, bars, restaurants. Rooms are dated and not clean. Booked a suite and it was filthy. Cushions were tattered, curtains were sagging, carpet was dirty with lots of cigarette burns. And to boot - the room reeked of cigarette smoke. The walls in the bedroom were stained with greasy hand prints all over. No comment..... Hotel staff - lip service......",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2018,3,Mah. Extremely noisy. Mediocre experience.,Overall: Mediocre experience. Property is not a Hyatt Regency and should be rebranded as just a Hyatt. Probably wouldn't stay there again. Pros: Impeccable location in the heart of the city. Close to absolutely everything. Lobby is very inviting. Lobby bar/restaurant was excellent (burger is tops). Moroccan restaurant was also very good. Rooms are laid out very nicely and are really comfortable. Cons: The street noise is incredible. The windows are not double pane or noise proof. The entire hotel needs renovation/updating. Hotel staff wasn't very friendly and not at all what I would expect from a Hyatt.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2017,5,Good 4 night stay with a touch of luxury,"I stayed here 4nights with a friend after my 10day morocco tour with a group of 11 people. The hotels and riads I stayed during my tour are all charmingly decorated in Moroccan tradition but lacking the standard service I accustomed with a high end hotel. I was expecting to have a comfort stay in Hyatt Regency didn't actually expecting anything Luxury. I am a long time Hyatt member, honestly I would never pick Regency if there is Grand or Park available. And I wanted a city center location so Four Season was out. I was surprised by how beautiful the lobby is and how professional and courteous the staff are, the bell man the security, the front desk. Every of my request was handled efficiently: money exchange, taxi, local attractions, direction to restaurant etc. The security…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2018,5,"Excellent location, facilities, and especially service","We stayed here for a few days before and after a tour of Morocco. The location is excellent, right next to the Medina, business center and trams. The hotel was well kept, had great food, and the rooms were comfortable, although as we found throughout Morocco, the toilet room was separated from the rest of the bathroom. The restaurants and bar were great and the service was outstanding from the bellmen to front desk and concierge. We wanted to take the tram to La Corniche and the concierge had a bellman walk us out, buy the tickets and put us on the right one. Another time we wanted to go to Habbous and again the concierge had a bellman walk us out to haggle with taxis and private drivers to get us there.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2018,4,Good hotel,"Good hotel but they gotta do like a discount when they close the pool! Any compensation will be appreciated Their food is the weakest point, it’s just a food with average tasting Clean renovated rooms and a very good gym with a big access to an outdoor area",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2018,5,Very Good,The hotel is well located in the centre of Casablanca. I try to stop here now as the hotel has a very good atmosphere and staff have a excellent manner. Used the Club Lounge service very good in the evening and morning . Ilsane provided excellent service and organisation in the morning and the evening staff were very helpful and professional. Whilst I rate this as an excellent business hotel I would always look to stay here irrespective of whatever my reason for being is Casablanca is.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2018,3,Don’t See a reason to rate more than average!,"The best thing in this hotel is the smiling friendly staff and service providers. Other than that....average. Slow service, room key has to be changed several times during the stay. Clock at room haven’t changed to the new timing. Poor TV screen. Poor room carpets. Reception and concierge are great!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2018,5,Luxurious hotel in the heart of Casablanca,"Great hotel in every regard, from the beautiful and modern decor to the caring and accommodating staff. It has a great location, has high level of security, and plenty of amenities (several restaurants, a lounge, bars, pool, etc). Hyatt continues to impress making it more and more my preferred hotel! Will stay here again when I return to Casablanca.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2018,5,Best large luxury hotel in Casablanca,Big clean rooms and spacious bathrooms. Staff was friendly and helpful in every way. Be sure to get a room that includes access to VIP bar/Restaurant on the 8th floor. Also request a room not facing the loud main plaza in front.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2018,3,Average Hyatt hotel,"Location: Downtown in Casablanca. A better location hotel might be by the ocean Hotel: Well maintained lobby and average room. Similar in character to a Hilton US style room, basic but functional. Room and bathroom were very clean and well maintained but nothing special or memorable. Summary: An average room but nice hotel central. A solid 3 1/2* hotel.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2018,4,Good hotel for business meeting,"Stayed here for four nights during a business meeting. Room was very nice, with a good view of all the goings on in the plaza across the street. Staff was top notch - very helpful. Lounge and bar was a good place for socializing in the evenings or chatting in the daytime, with a very open layout. Pretty good breakfast and lunch buffet with a variety of options. We ate at the Moroccan restaurant in the hotel. The food was great - lamb tagine was excellent. Good wine. Decent live music. There was a belly dancer at one point. Service was excellent. Conference room for our business meeting was spacious, though there was noise from staff in an adjacent room and we had to occasionally tell them to keep down the noise. Have to say it was a business trip, so this is a pretty upscale…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2018,1,Unpleasant in every way.,"Mediocre food, bad attitudes, cramped bathroom, dirty windows, constant street noise, unreliable transportation, and an overall feeling of being totally unwelcome. Four Seasons is the better option. Avoid.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2018,5,Love the service at this hotel!,"Have made the Hyatt my home from home on my business trip from Dubai. The rooms are great and in good condition. Try to get a room at the front to avoid the mosque waking you up at 05:45 or do what I do and use the well equipped gym when you wake. Staff are excellent, from the staff at reception, especially Salma and Asmaa.... The lounge is great and the service their wonderful. I promise to get the name of the staff their next time.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2018,5,Here's Looking at You. . . . .Hyatt!,"Hyatt, located in the heart of downtown Casablanca, lives upto the reputation of the Hyatt brand, recognized the world over for comfort, luxury and service. A 5-star, 255-key hotel, this Hyatt is well equipped with conference facilities, swimming pool (closed in winter), a Moroccon-style restaurant , fitness room, wi-fi, business center and concierage Its rather modest exterior belies the luxurious look of its lobby, the pillared entrance and the modern rooms. We found the service to be top-notch. From your room, depending upon the floor, you have a spectacular view of the city, the ocean and the Hassan Mosque, with its towering minaret (the largest in the world). We tried the spicy lamb at the restaurant called Dar Beida, and found it to be exceedingly tasty and flavorful.…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
