 December 2022,4,Holiday in Tanger - Awesome service,"This was our first time stay here, although I did stay at the next door Hilton once before. I must say the staff here were all Supa amazing & gave us a customer deserving treatment of note! They acted on every request and delivered even more than requested. We need to mention the staff at reception that assisted us in making other reservations for us at other hotels and arranging our tours to changing the reservations at this hotel. They made great suggestions for us & made our holiday much more value four our money. Thanks to Lubnah, Wiam & Reda for your help, much appreciated. Our friendly staff at restaurant @ breakfast for taking special care of us, you are Supa stars & have great futures in your industry. We wish you success and climbing the ladders of success in your…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 December 2018,5,Hilton Garden Inn Tanger,"Staff at receptionists are always welcoming with a warm smile. They are efficient and very helpful. Every time I reach to them for help or a question, i find them more than happy to help out. Very good variety of options in Breakfast restaurant. Staff are also very helpful and extra nice. They are always on top of your service. Rooms are well maintained with nice view. Location is very unique and can't be compromised. Close to everything. Train station, taxis, malls, grocery stores, restaurants, beach, etc. Always has been a very pleasant experience for me, the reason I keep going back to it.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2019,4,Slow lifts nice location close to beach.,Room 426 Luxury layout king singles. First hotel that gave x 2 free small bottles of water in room Aircon tricky woke up hot in the middle of the night. Elevators useless only carry 4 people at once. One wait was over 4 min for lift. To get from 4th floor to lobby Hit water kettle supplied with tea and coffee in room. Good breakfast good choice of foods. Fire alarms went off several times jamming lifts open. Further inconvieniencing patrons.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2019,4,Very comfy and practical,"Stayed there on several business trips in Tanger. The place is really nice, very well located, close to the train station and the beach. Rooms are clean, comfortable and quite new. Staff is friendly and efficient. Definitively a very good hotel for a business stay in the region.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2019,5,Pleasant stay,"I stayed two night in this hotel , it location is perfect next to the beach and train station. It was busy in EID holiday , they have underground parking, overall experience very nice from check in to check out, the breakfast was good and the girls at the breakfast reception very nice and welcoming and so are the waiters very helpful. Very nice stay at this Hilton.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,5,Excellent Location!!,"2 Minutes Walk To The Beach. There We Rode Horses And Enjoyed A Very Lovely walk Along The Beach. The Hotel Is 2 Minutes Away From A Mall And Supermarket, And A Train Station Is 4 Minutes Away. There You Can Board A Train That Can Take You To Casablanca And Marrakesh. Great Location.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,4,Very good hotel,I really enjoyed the time I spent in this magnificent hotel. The location and the room view to the sea was spectacular. However the food was not so good. Service was average. Spacious rooms very bright and modern,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,4,Very good,Excellent staff excellent service Delicious cuisine Confortable room Excellent location In dining room start at 5:00 pm till 11:00pm ! I hope for 24/24 AC remote not useful very difficult to use Carpet in corridor need cleaning !,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2018,5,Excellent location,"As a regular guest of Hilton hotels, I have stayed at Hilton Garden Inn Tangier/Morocco, I was impressed by this hotel location and service, regarding the location, this hotel is near to the sea, which makes it very special hotel in this vibrant city, especially in summer, all attractions are near and restaurants, McDonald’s just next door, shopping centre on the neath of the hotel,train station opposite, on general myself and my family loved this hotel, the room was very clean, staff were very kind and helpful, breakfast was excellent different choices. I will definitely book again this hotel, and I will recommend it to all my family and friends.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,3,Not what I would expect from a Hilton Garden Inn,Food service was poor. Customer service overall was average which is I guess common thing in Morocco. So be prepared if you come visit the country. Otherwise the rooms were clean and parking staff was very curious and friendly.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,4,Excelent Hotel in the middle of Tanger near to the sea.,"First of all i'd like to thank everyone of the staff for the professional, nice & friendly way welcoming their guest. Starting with Receptionists, cuisine staff & house keeping ,, many thanks for making my & other guests stay that easy & comfortable. Not to mention that Hotel in the heart of Tangier city so close to sea & TGV station too I do recommend the place for who want a comfortable, pleasant stay at Tangier.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,4,"Nice hotel, good location","This is a lovely hotel in a good location (the new train station is half a block away). The breakfast buffet is great with lots of options. The beds are comfortable, and the rooms are clean. If it’s rainy or you are tired, there is TV in several languages in the room.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,5,"Great location, good service","Location It’s located just opposite the train station, and below the tanger mall. Walking distance from the seaside. There bus 14 to reach the Médina. (3.5dh per person). If not you can go there with taxi. Room Room is very clean and bright. Love the rooms. Check in time is 3pm. Service Staff speaks very good English. Service is top notch. Highly recommend this hotel.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,4,Feels like a five star hotel in-terms of great location & facilities but staff service quality requires improvements,"The hotel is located in a very good location, it is very close to the train station and has excellent sea view as well as many restaurants to eat near by. The hotel feels very new and the room are clean and spacious, however the staff service quality is not up to Hilton standards yet. When I first checked in the room, the front desk insist I haven’t pay in full yet for my booking, until I strongly insist they rechecked again, then they found out it was their mistake. Later when I enter the room around 7pm, my room was not cleaned yet, I see the staff is still trying to make up the beds from last guest. Then I found out the room was missing slippers and hair dryer which I requested half hour ago and still not send to my room yet, I had to call twice for the same request. Also the…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,5,Excellent hotel,Wonderful hotel in a perfect location. Staff in this hotel are second to none. Breakfast spread was excellent and dinner a la carte menu is very good. Would definitely stay here again when in Tangier.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,4,Perfect,"Have to say I’m a big fan of Tangier anyway but stepping out the train station to see the hotel in front was great. Check in easy and room spotless. Didn’t get a high floor but windows were super sound proof. Shower was lovely and powerful. Bar area downstairs was great and thought the breakfasts were the best in Morocco, although have to say the lack of Moroccan tea was a shame. Was a great stay and when I’m next in tangier will be staying again",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2019,5,Friendly and Helpful to Everyone !,"First time in Morocco, here for business trip. I stepped out of the train station and i was looking for a taxi to go to hotel. I could not find anybody that speaks English well, strangely, i was told that taxis do not give receipts. I felt the need of double checking because it was not logical not giving a receipt and taxis all around the world tend to cheat. I looked for someone who can explain me this, tried to talk few people including police. None could speak english well. Desperately i saw Hilton Hotel right across the train station. Hoped someone could know english there. Thanks to Mr. Mounir from reception, although he knew i will be staying in another hotel, in a friendly way spare time for me and verified the no receipt system. He also called a honest taxi driver who…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2019,3,Service is important too!,"Check-in was friendly and welcoming, but a key request made at check-in was not communicated. We had an early morning check-out, and requested ""to go"" breakfast bags. The woman at the front desk acknowledged that. Imagine our surprise when, at 5:30 the next morning, with a taxi waiting to take us to the airport for our 8 am flight, no breakfast bags! So, although the rooms were lovely and we liked the location, service is equally as important. (Kudos to the early morning reception staff that jumped into action and got us those bags - you rock!)",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2019,5,Beautiful Property,"We stayed here for two nights and the property is nothing short of superb, the staff are off the charts great on customer service, the bar is a nice place to relax, and overall it just a great place. Well worth the stay and if we go back to Tangiers, we will definitely consider staying here again.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2019,5,Perfect Stay Feb 2019,"Stayed in this hotel in Feb 2019. Staff is extremely helpful and hospitable. As an HHonors member, we received a free upgrade to a room on the 7th floor, facing the Atlantic ocean. We also received a free breakfast. Their facilities are well maintained, room was huge. Wifi is fast. Location is great, near the water and also near a mall. There is also a TGV station within walking distance. Breakfast had excellent selection. We highly recommend this hotel and would stay here again!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2018,5,Nice memory nice moments,"Stayed there at Hilton Garden Inn Tangier for one night and I would give them 4 stars for the next reasons, good location, brand new building, good wifi connection, super cool view of the city, big flat screen telly. They lost one star because of the breakfast. Had an incident while I went to get the fruits salad (so the should improve the display of the breakfast items..",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2019,5,Amazing Restaurant Hostess,"This is a dedicated compliment to restaurant hostess “Nassima” for her warm welcoming and kind hospitality during our whole stay. She was always pleased to serve and help us as much as she can, with a big bright smile on her face. She never forgot to serve everyday on breakfast a complimentary welcoming fruit or desserts dish. Also, I cannot forget to mention our hostess on last day “Rajae”. Please make sure to share this message with them directly.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2019,5,Hilton Garden Inn Tangier Center,What wonderfully welcoming staff and such a refreshing change from other hotels I had stayed in during my visit to Morocco. The food and drinks manageress and her staff made me extremely welcome and Sarah was so kind. Our group of 7 friends were given free mint tea and I placed photographs about the hotel experience on my food blog.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2019,5,Moroccan weeked getaway,"The hotel and staff were amazing at this property. Upon arrival and seeing how big my family was, they upgraded us to a king size suite on the top floor which was incredibly spacious. All the staff members knew us by name (probably because we were diamond members) and were very accommodating; especially during dining time. They offered us a private tour of Tangier which was very relaxing and not rushed at all. The location was perfect because as soon as you went outside, the mall was right next door and around the corner was another Hilton property in case you wanted to access different Restaurants and the swimming pool. You could very easily walk on the beach which was less than 5 minutes away and if you had time, can take a boat over ti spain which was approximately 45…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2019,5,Great Cozy Breakfast Place,"What a nice encounter! We finished an overnight train journey from Marrakech to Tangier. Upon walking out of Tangier train station in early morning at 7am, we wish to have a decent place for breakfast. None inside the station. After a few steps of walk, we discovered HILTON! What an oasis! We decided to enjoy a luxurious breakfast. Although we later realised it's not the five-star Hilton we thought, we were not disappointed as the buffet breakfast was very nice. Views excellent overlooking the sea and mountains. We watched the sunrise views. Food good with variety. Ambience very cozy spacious and clean. We spent a quite number of hours here with our suitcases stored at their storeroom on the same floor as the breakfast. Service good too. The staff speak good English. …",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2019,5,The best staff ever,Here I found the best staff ever. Kindness and professionality. It was the first time I felt sad to leave. They made me feel home. During my four days stay my 15 month baby girl had high fever. They were all so sensitive and available in every respect. I strongly recommend this hotel. And many thanks to all the staff. ❤️❤️❤️,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2019,5,Great Hotel and Service,"Hi Quality service as expected on Hilton brand, but the Staff was most helpful and, above expectations. The Breakfast was spectacular e with an huge offer but, surprise-ling, the mini-bar at the rooms was totally empty.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2019,4,What you expect - good for families,Just had two nights at this property and room was standard and clean. Breakfast buffet included in our rate had good variety and an egg station. This is a very good property for families/kids/teens and there are a lot of them. Adjacent to a McDonalds and a food court at the mall next door. The beach area is an easy walk with a lot of entertainment options. A better hotel option for mobility needs since this and the sister property on the other side of the mall have elevators. Staff was helpful and nothing to fault if you are looking for a non-riad stay in Tangier.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2018,5,Great stay!,We booked 2 nights at the hotel the day before we were due to arrive and had no problems finding a good price. We were given a lovely room on arrival with views of the ocean. The room was a good size and came with kettle etc. for in room tea/coffee making (much appreciated by us!). I didn't have a hairdryer the first morning but asked at reception and one was delivered. The hotel is a very short walk from Tanger Ville train station where we had arrived from Casablanca on the fast train. There are lots of places to eat nearby the hotel and along the Corniche. A lovely place to stay!,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2019,5,A welcoming place!,Friendly and helpful staff especially Meryem at reception. We appreciated our room upgrade. We would also like to thank the restaurant staff for their professional service and the cheffs for the delicious food. Heartfelt thanks go also to house keeping for keeping the rooms spotlessly clean. We always feel in this facility as if we are in our place.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2018,5,Overall Fantastic,"This is a great hotel. About 20 minute drive from the airport. They do not have a shuttle to the airport but you can request they arrange a taxi for you. The cost is about 250MAD vs 150-200MAD if you arrange a ride on your own. They are very clear about this when you make the request and you can decide if the convenience is worth it for you. There are security staff and a metal detector on your way in. I’m not used to this but I appreciated it, made me feel safe. The front desk staff were very pleasant and always ready and willing to help. The rooms are spacious and clean. The ocean view is really a must! The hotel is located in a wonderful area - walking distance to the boardwalk, mall, and train station. We enjoyed local food and great views. We unfortunately did not…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2018,5,Great Experience,"From start to finish this hotel was superb. When we travel, we typically do not stay in big,name brand hotels. We decided however to stay at a Hilton for one night to end our stay in Morocco. We wish we could have spent more time here. From start to finish the staff was amazing. They went out of their way to be helpful and even remembered our names. The rooms are large and clean. The breakfast was abundant and delicious. I recommend this hotel 100%.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2018,5,Great service from both front desk and restaurant staff,"We found that this Hilton is not standard like other Hilton properties around the world. We reserved an ocean-view room but did not have a full ocean-view (only saw a corner of the ocean). Room amenities were quite basic. I was surprised that there was no hair dryer in the room. I had to call the front desk to request one which I never had to do at any American chain hotels! We had breakfasts for two mornings, and frankly, their breakfast selections were limited. However, the staff at the restaurant were providing great service. One of the female servers remembered on the second morning that I had mentioned my coffee was hot the day before, and personally prepared cappuccinos for me (instead of from the machine). When we left the restaurant after breakfast (both mornings), a…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2018,5,Great stay at a lovely hotel,"My girlfriend and I were very impressed with the level of hospitality we received at the Hilton Garden Inn in Tangier. The restaurant supervisor in particular was very friendly, offering us tasty Moroccan mint tea and sweets. He really made our stay very memorable. The entire staff was very attentive and helpful. I would highly recommend the day trip the hotel offers to the blue city! All in all, we really enjoyed our stay here.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2018,4,Comfortable hotel friendly service,"We had a great stay at the Garden Inn in Tangier. It was the experience we expected from a Hilton hotel, with the exception of hotel staff which were exceedingly welcoming, friendly, and helpful above expectations from a large hotel. The rooms were large, clean and comfortable. Internet was dependable. The breakfast was tasty and extensive. The hotel is in a nice area, close to the shoreline and across the street from the train station though rather far from the Medina (30 minute walk or short taxi ride). Also next to a large mall. In summary, we had a pleasant experience at the Hilton Garden Inn. This is a much different experience than you would have staying in the Medina at a Riad, but is a comfortable alternative next to the train station.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2018,5,Great Stay,"Enjoyed my stay at this lovely hotel. The staff at the front desk, housekeeping and the restaurant was simply outstanding. In my many many nights at hotels around the world, I have never experienced such hospitality. Nicely located next to the shopping mall and new high speed rail station. You have access to public transportation and the many taxis. Would highly recommend this hotel and great staff. Oh yes the rooms very lovely and beds super comfortable...",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2018,5,Amazing hotel and staff with a personal touch,"Myself and my husband stayed at the hotel for 4 nights and loved our stay. This is the best hotel experience we both ever had. The location is close to the beach and right next to a mall and supermarket. The room was very comfortable and modern. The internet in the room was very fast. What we really enjoyed was having breakfast every morning with the wonderful staff. They really got to know us and what we liked for breakfast. Rajae was wonderful and would bring my husband his coffee every morning as he was sitting down. The entire staff was amazing, warm and very welcoming. It feels great being so valued by everyone.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2018,5,Excellent service,"This is a wonderful hotel,it’s in a great location close to a shopping mall,if it’s raining it’s a short walk,with food outlets. The hotel has the best staff I have encountered in a hotel,from the minute you walk in. By the second day they all knew me by name which was impressive I have only had that at the Langham hotels. Rooms are clean and tidy,most with nice views. The breakfast was exceptional,good choices on food,but most of all the staff were very attentive from the minute you walk in, In particular I have to mention just a couple who went out of their way to look after me, Nasima,Raja and mr Mouataz,a very big thank you to them,that’s just a few but all the hotel staff I have to say are great WELL DONE HILLTON!!! You have a great team and I can’t wait to come back.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2018,5,Great Vacation in Tangier,"We have stayed in many Hiltons around the world, but this was the 'greatest' experience we have ever encountered during a stay. The entire staff was amazing from being checked-in until being checked-out. However, in particular the breakfast staff was the most memorable for us; our family will never forget the quality service, genuine friendliness, and the great interactions with everyone in this crew of professionals. Nadir not only provided us great Moroccan Tea and breakfast, but also took the time to get to know us and entertain our family from day one until we left. Additionally, Ema was very friendly and ensured we were satisfied with the food (which was delicious!) and service there. The lead (his name escapes me now) there also very engaging and offered us advice about…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2018,5,Wonderful staff,"I recently stayed with a travel group to visit some sites in the Tangier area. Our experience with the HGI was very nice. The front desk staff was excellent, very friendly and efficient for all our needs. I will play to stay here again.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2018,4,Great location,Typical Hilton. Good service. Good breakfast with excellent service. Parking on the street which was secured by the hotel. The greatest attraction for this hotel is its location.Beautiful seaviews from our room.Good restaurants around the hotel and a mall 100meters from the hotel.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2018,5,A wonderful welcome to Morocco,"As a group of six who were just starting our adventure tour of Morocco, our agent chose this hotel for us. What a wonderful surprise...don't know what I was expecting but we thoroughly enjoyed our stay. The room was clean and the restaurant was fabulous. Food was superb both at dinner and breakfast-time.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2018,4,Best option for the moment under quality versus pricing rates,"Location is very much convenient on access and neighborhood's offers. New building sets on an interesting and pleasant decoration, 4 elevators available, restaurant correspond to the expected level, free wifi with sufficient and stable signal, front desk efficient and professionally welcomes guests, check in & out very short and accurate.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2018,5,"Very Nice, Modern, good location Hotel","On Oct 2018 my husband and I stayed overnight at the Hilton Garden Inn Tanger. I was really hesitant on spending the night in Tanger with all the bad reviews online. It was an incredible experience for us. Just perfect. The hotel looks like new. Nice breakfast buffet. The lobby is really nice, the staff was very friendly and efficient. LOCATION: The hotel is in a very nice area of Tanger. You can walk to the beach where you can find cafes and restaurants. And the most important shopping mall is at walking distance too. ROOMS: Our room has two double beds. Good size room, good vibe, nice furniture. - Views: We had really nice views of the beach. - Illumination: The room it’s very well illuminated, lots of lamps and spots. Just how I like it. - Beds: Very comfortable beds.…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2018,5,Loved this hotel,"The Hilton Garden Inn was our oasis at the end of a long road in Morocco. We really enjoyed our stay here. The rooms were clean, quiet, spacious, and had great hot water/pressure. We had an amazing water view from the 11th floor. The breakfast was delicious and the staff was friendly and kind. We wouldn’t hesitate to come back.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2018,5,Wonderful 5-star hotel,"An exceptional hotel located in a very beautiful area and with an exceptional panorama. The breakfast was very rich and tasty, the staff very nice, thank you very much for the cleanliness for the offered service thank you very nice to the reception, especially the two beautiful girls beautiful girls Assia and Didi and especially the girl from Sara bar. Thank you very much for your beautiful performance and kindness. I wish you beautiful and beautiful days of wonderful customers and tourists.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2018,2,Stay in a riad this is impersonal and with out character,Curtain rail broken lifts so slow and small took us 20 mins from level4 to ground floor .buffet on level 1 a la carte on level 0 so we got relocated...we arrived from nz with back packs we might as well have had 2 heads and green ears... find somewhere else to stay...we went to the ibis next door to have dinner!!!!,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2018,5,Amazing hotel,"We stayed there last week for 4nights was amazing,staff are so friendly and willing to help the location is just 2 min from the cornich, the food is so tasty we had the breakfast at the 15th floor restaurant it’s just no comment...a typical moroccan breakfast Briefly worth visit you won’t regret Thanks Hilton for the memorable stay will definitely come back",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2018,5,Wonderful hotel!,"This is a typical Hilton Garden Inn. The staff is oh so polite and helpful. Rooms impeccable. Just steps away from the beach and wide promenade....and a mall just feet away. If you need a grocery store, you’ll find it there. Rooms have mini-fridges.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2018,5,Housekeeping,"Had a great time at Hilton in Tangier Morocco, Chafika and Amal, always did a great job with my room, if I had any questions they were always able to help and point me in the right direction, will visit the Hilton again for my travels",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2018,5,excellent location.. good recognition to Hilton Honor membrs,"This hotel is my home in tangier ..The location is excellent just few steps to the shopping mall .. MacDonald's ..coffee shops , restaurant , and a shisha ( Hookah ) places If you are shisha smoker ,, and the beach .so your are in the center of tangier .. The staff are very nice ,, smiling ,,welcoming .. and with lovely behavior . special Thanks to Ms. Fatima al Zahra from the front desk for her co operation , helping . and to Ms. Hajar from the restaurant ,, for her warm welcome and extra-ordinary service she provide during breakfast time , which was rich with a lot of varieties . the rooms are very clean .. bed is comfortable .. the view from my room to the sea was amazing . Recognition and Honor to Hilton honor members ( Good 7/10 )",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2018,5,Housekeeping,Nice and clean rooms! I am very satisfied! Thank you for the excellent housekeeping service Chafika! I can recommend everybody that is visiting tanger to stay at this hotel. PS: if you have the choice to include breakfast then do it!,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
