 October 2022,5,A Fabulous Stay,"We had a wonderful stay here at Riad Zahra. The staff are SO friendly and the Owners are just the loveliest: so attentive, polite and it was so nice to have been made to feel like a guest in a home rather than as a room number as hotels can make you feel. The riad is less than a 5 minute easy walk down to the beach, which was perfect! The vibe of the riad is so calming and relaxing, the rooms were kept immaculately clean and tidy and had all that we required. The garden area (with resident tortoise!) was probably our favourite, the pool was fabulous a lovely relaxing area, spacious enough to be comfortably used by multiple guests staying at the Riad. Breakfast was OUTSTANDING, the best breakfast out of the three stays we did during our Morocco trip. Walking down to…",hotelName,city
 April 2017,5,A family reunion for a big birthday,"We had a great family and friends time here for a week, The pool area is wonderful to sit around when it got too hot, the food is excellent, and there is a good selection of drinks, all at very reasonable prices. The staff are excellent, very helpful indeed. The rooms were fine, the shower was hot and powerful, everything was clean. The location, away from the Medina (about a 25 minute walk) but close to the beach, worked well for us. I would certainly recommend the Riad Zahra.",Riad_Zahra,Essaouira
 April 2017,4,"Cosy, relaxed and friendly","The interior is cosy and welcoming, relaxed and friendly. We had 2 nice days along the pool (where there are turtles!) and had excellent breakfast and dinner at the hotel. I would definitely book this next time as well. I can recommend it.",Riad_Zahra,Essaouira
 March 2017,4,"Great place, lovely atmosphere","Our stay in Riad Zahra was very enjoyable. The owners and staff are very friendly and helpful and the place looks great. Breakfast was relativel meagre compared to other places we visited during our trip to Morocco, but given the price, it is still great value for money!",Riad_Zahra,Essaouira
 March 2017,5,Fantastic Fortnight,"An hotel with a great friendly, welcoming atmosphere! This hotel was booked from me by Bleukite as part of a kite boarding package. I was very happy with every aspect of the hotel. All the staff are very friendly, and efficient. The hotel boasts 2 restaurants, both of which serve delicious food. The main restaurant downstairs has a good mix of local and 'regular' dishes. The 'specials' menu changes daily and the dishes I sampled were very good. The steak from the 'regular' menu was simply delicious. The Zahra Grill upstairs is a fish restaurant which is reviewed elsewhere, but is a *must* for anybody who likes fish! Thanks for a great stay.",Riad_Zahra,Essaouira
 February 2017,5,"Relaxing, Clean, Quiet, Great food, will definitely stay again!","We came here to escape Marrakech for a bit. We had 2 nights booked at Riad Zahra and shortly after arriving decided we wanted to stay 3 nights. Every single thing from check-in to check-out, front door to the room, breakfast to dinner was absolutely amazing! We had the best sleep I think a person could get in Morocco, and after the noise of Marrakech we needed it! The managers are brilliant to say the least, helpful and friendly. The location is also top notch, near the beach and several beach bars/restaurants. The garden is a paradise for anyone who is a plant lover; it has tropical palms and flowering plants out by the swimming pool area which has both sun loungers and shaded comfortable places to sit while outdoors. The decor in this place is beautiful with grand staircase…",Riad_Zahra,Essaouira
 February 2017,5,"Clean, Friendly, Comfortable","This lovely place is in a quiet peaceful area, about a 15 walk along the beach to the medina, and about a 4 minute walk to beach. It is full of very friendly and helpful staff. The whole place is very clean. The rooms delightfully comfortable ... comfy bed for a good sleep, and good bathroom. All very peaceful. All good. I'd happily go back.",Riad_Zahra,Essaouira
 January 2017,5,Sea and souk stay,"Great accommodation run by a Spanish couple with lots of experience and good advice about what to do, where and how. It's about 15-20 mins walk from the Medina but you have very close access to the beach and all the activities there. It's also worth walking around the back and through the newer part of town as an alternative route to the port and/or Medina. Lots of local walks or horse riding or camel riding. Surfing and other water sports are on the door step. Riad is more like a hotel but still maintains morrocan theme. For sun worshipers it has a nice size swimming pool with good sun in the morning. I would definitely go there again, highly recommended.",Riad_Zahra,Essaouira
 December 2016,4,"Quite nice riad, good service","This is a quite nice riad, located on the outer part of town in a nice and quite neighborhood. Customer service was very good and welcoming, breakfast was also quite good. We booked a double room through our guide and stayed there for two nights. Our room was not bad, it was clean, but had one drawback: bed mattress and pillows were quite stiff and need to be replaced. It was not very uncomfortable to sleep in that bed.",Riad_Zahra,Essaouira
 February 2017,5,Beautiful Riad and wonderful staff.,"We've just returned from our fourth trip to Morocco. This stay at Riad Zahra stands out like the jewel in the crown. The staff were warm and friendly, the rooms comfortable and extremely spacious. The shower, hot, roomy and really powerful. That's been a negative in past stays in other Moroccan hotels. We ate here most days, either lunch by the pool or dinner in the evening. Lots of choice, lovely Moroccan wines and above all the service and warmth of the people running the hotel, was second to none that I've experienced in recent stays in hotel chains. We stayed from the 31st January until the 11th of February. We were only booked in originally for seven days, but we were so comfortable and happy there, we extended our stay for a further four days.. The location near the…",Riad_Zahra,Essaouira
 January 2017,5,Great out of season holiday break,"The Riad Zahra is located close to a long, sandy beach which ends at the the walled city of Essaouira, about 20 minutes walk away. The hotel is attractively decorated in Moroccan style with spacious rooms and communal areas including a restaurant downstairs, bar, patio and lovely pool which was just warm enough for a swim in January. During high season, there is an additional fish grill on the second floor. Jofre and the staff could not have been more helpful and even let me use the office computer each evening. This is definitely the place to stay in Essaouira.",Riad_Zahra,Essaouira
 February 2017,2,Real shame,"Whilst the local staff were friendly welcoming and extremely helpful this place was not what we were expecting. When we got there the room smelt damp and was very cold. It had been raining and by the time we got back to the room in the evening there was a leak and water inside the suitcase. We asked to change room explained that the clothes in the bag were wet. That took a while which wasn't a problem - we understand that these things can happen. What was a problem was the owner's son who was in charge. He was rude, acted like we were making it up. He eventually agreed to put us in another room downstairs which was damp too but at least didn't have a leak. He did nothing for us on the wet clothes not even a sorry. Another day we heard a whole lot of commotion in the…",Riad_Zahra,Essaouira
 December 2016,5,"excellent service, location and overall experience","We spent our Christmas Eve at Riad Zahra two nights during Christmas of 2016 and we were absolutely happy to be there. The best thing about Riad Zahra is its location. It is just few meters from the beach in Essaouira and you can walk along the beach to the city medina - it takes only around 10 - 15 minutes and it is a splendid walk. It is a great spot especially if you travel around Marrocco by car - you can park right in front of the Riad and do not have to worry about the car anymore. Another awesome thing is Zahras ""feel home"" approach of its owners. The owner Xavier made us feel very welcome, he will give you great tips and recommendations regarding the city and activities. Breakfast was also very lovely in a very nice hotel restaurant. The riad is full of amazing art…",Riad_Zahra,Essaouira
 January 2017,5,"Wonderful, homely, relaxed, beautiful riad","Lovely riad with proper Moroccan hospitality. Everyone here is friendly and laid back and very very helpful. Visited in January so didn't use the pool but I'm sure it's great in warmer months. Lovely meals, room was perfect, and just a short walk up the promenade to the medina. Highly recommended and we will be back here for sure.",Riad_Zahra,Essaouira
 January 2017,5,Please find time to stay at this fabulous family run hotel,"Wow is the way to describe this place Staff ,food, wine are superb .Location v near the beach Last weekend was my 5th stay and I would not consider staying anywhere else .I am loathed to tell you how wonderful it is as there may be no room in the inn for myself and family",Riad_Zahra,Essaouira
 January 2017,5,Lovely Holiday!,A lovely destination. 2 minutes from the beach and a short stroll by the sea to the medina. The food was excellent and the room was very clean and comfortable. What really made the trip was the hosts. All of the staff were very friendly and I even got a free lift to the airport as mein hosts were getting the same fight as me! Could not recommend highly enough and I hope you had fun in NZ!,Riad_Zahra,Essaouira
 December 2016,5,Great Christmas and New Year,Xavier and Edith are wonderful hosts being always about to talk to and attentive to guests needs. The Riad itself is beautiful and the food changes daily but is always good and tasty and the staff are efficient and friendly. A great place to make your centre when visiting the area,Riad_Zahra,Essaouira
 January 2017,4,Just what was needed,"Away from the main hub of activity in Marrakesh and into a more peaceful Essaouira was aided by this Riad. It's 20 mins from the Medina and 2 mins from the beach. Has a lovely pool which was too cold when there but looks a good morning swim in warmer months. Staff all brilliantly friendly and on hand for info on things to do and with transport questions. Rooms could get quite cold,they had big blankets which helped but it's that time of year. It's not far from bus station and medina. And I think is a better bet for a peaceful time in Essaouira.",Riad_Zahra,Essaouira
 December 2016,5,"Stay at Riad Zahra, Essaouira","Thank you for a lovely stay! Amazingly helpful and friendly team at Riad Zahra who helped with any request and made my stay really comfortable. Room was basic but clean and view of the sea, just what I needed.",Riad_Zahra,Essaouira
 December 2016,5,Very cozy place!,"Friendly hosts, very clean and comfortable room, nice fire place in the restaurant. The draw-back is a bad wifi. It did not work in my room at all, and was on/off in the reception area. I stayed for a week, my fav treat was mint tea and Moroccan sweets:) breakfast is ok, missing cereal. But very delicious crepes!",Riad_Zahra,Essaouira
 September 2016,4,Nice riad near beach,"+ location is great: 2 min walk to the beach where you can ride camels/horses (my kid loved it) and to all the beachfront restaurants with good views + The riad is beautiful and nicely decorated + Big, clean pool with little garden around: it was kinda cold and pool wasn't heated but we still enjoyed a swim in the water and just hanging out by the pool looking at the flowers and birds. + Decent breakfast: had to order eggs separately though + poolside breakfast + Ok food: they also have a thai menu and I decided to try it because I had been eating veggie tagine for 3 days by then. The noodle dish wasn't authentic thai by any way but it tasted good. + friendly owners/managers + friendly and helpful staff : we ordered food in the restaurant but my kid didn't eat his plate at the…",Riad_Zahra,Essaouira
 December 2016,5,Really enjoyed our stay,"After a hectic few days in Marrakech this was exactly what we were looking for, nice clean rooms, a quiet pool (with entertainment provided from watching tortoises) close to the beach and only 25 minutes walk from the Medina (along the sea front which is very nice) the staff were very accommodating, posted our post cards, showed us directions to shops etc over all very enjoyable, just a couple of mozzy bites which I have a particularly bad reaction to so maybe bring along some repellent/close your window",Riad_Zahra,Essaouira
 February 2016,5,Wonderful place to stay,This is a lovely riad with lovely staff. The food is excellent. The rooms are small but we never spent very much time in the room except to sleep The Riad is very well positioned on the beach I highly recommend it !,Riad_Zahra,Essaouira
 November 2016,5,"Great, laid back Riad near the beach and a bit away from the Medina","We spent 2 nights at Riad Zahra and had a great experience. It's just off of the beach and about a 25 minute walk from the Medina (straight down the beach) which was perfect for us. The loacation was perfect for us to enjoy the Medina but have a more relaxing, quiet place to go back to. It's family-run and the staff are all really nice and laid back. Rooms are simple but sufficient, and the mattresses are quite hard which is something another reviewer commented about. They also have a restaurant on the main level that's open all day. I really liked the food and the wine we had was great. They have some interesting Moroccan wines, which we didn't know about, and there's the option of a wine tasting with tapas. The restaurant is next to the pool, and they also serve coffee/tea so…",Riad_Zahra,Essaouira
 October 2016,5,Second visit and we loved it,"We came to arias Zahra in easter 2015 and loved it so much we returned for the exact same holiday in October 2016. This is the first time in our lives we have returned to do the Sam holiday. Xavier and his family are so welcoming. Our children loved the hot chocolates and pancakes for breakfasts; the swimming pool with its turtles and tortoises is very popular; and we love how you're so close to the beach bars - far enough out of the medina to have some tranquility, but close enough to hit the town to shop, visit and eat out. Thanks again Road Zahra for another wonderful trip.",Riad_Zahra,Essaouira
 October 2016,3,Beautiful but lacking,"This Riad was very pretty, but not very functional. The food was very good here, I epsecially liked the Meatball Tajine. I liked the location away from the Medina, close to the beach, and close to the Carrefour! I did not think the lack of air conditioning would be an issue in late October, but I was mistaken; it was very warm at night. We opened the window to cool down, but there was no mosquito net, so we got eaten up by mosquitoes. I think the addition of air conditioning would absolutely bring the rating up. I would stay here again in the cooler months, it was a very lovely place, and the staff was very kind.",Riad_Zahra,Essaouira
 October 2016,5,Perfect end to our Moroccan adventure!,"We arrived to this beautiful Riad weary from our adventures through the Atlas mountains and the Sahara and we're delighted with what we found. The Riad itself is absolutely beautiful and is perfectly located in a nice quiet area but with excellent access to the beach and the medina. The rooms were well appointed although our bed was a bit too hard for us (true everywhere we stayed in Morocco though!). The pool area and downstairs restaurant were lovely and the staff very helpful. The food was delicious. The transfer arranged to the airport on the last morning was efficient and very comfortable whisking all five of us to the airport in plenty of time. We all had a wonderful stay at Riad Zahra and to top it all off, it was priced very reasonably indeed. We'd return if…",Riad_Zahra,Essaouira
 October 2016,3,Friendly but flawed.,"Lovely welcoming Riad. The owners & staff couldn't have been more friendly & helpful, especially when our daughter was poorly. The Riad is gorgeous with a great (if a bit cold) pool. The setting is also great - we liked being a bit further away from the Medina & so close to the beach. Travelling with teenagers means that Wi-Fi is far more important than it should be - it was unreliable & slow, & our room had so few plug sockets that the 4 of us struggled to get everything charged in the 24hrs we were in Essaouira. Also, we may have chosen badly, but the food wasn't as nice as we had elsewhere on our trip, a bit disappointing & the main reason for only 3 stars. If theres any thoughts of future investment, we knew there was no air conditioning, & that was ok. But even at the…",Riad_Zahra,Essaouira
 October 2016,5,Sian&Ricky,"We stayed a week at Riad Zahra....what a place, the staff were more than pleasant the rooms were clean and comfortable and the food is awesome, we definitely will go back again, thank you Xavier and family ☉🐪🖒",Riad_Zahra,Essaouira
 October 2016,4,First visit to essaouira,"We stayed in this comfortable well managed Riad for two nights. The room was clean and well furnished in traditional Moroccan style. Good breakfast is included in the price- and the owner and his spouse are very hands on, eating breakfast and dinner with hosts. We had a lovely meal - Moroccan European style and if you wish to consume alcohol this is available with a selection of wines and beers as well. The location is a twenty minute walk from the Medina so it feels quiet and relaxed. I would go back again because the owners are so friendly and welcoming.",Riad_Zahra,Essaouira
 September 2016,5,Simply perfect,"Thanks to Xavier and Edith for their hospitality and kindness. Everything is excellent at Riad Zahra (rooms, cleanliness, food, pool, beers!) but what makes it something exceptional are the people working on it. We travel with our 3 years old daughter and they made us feel at home. Thanks to the staff: women in charge of the cleanliness, men serving breakfast and dinner, they are really friendly. Because of my job, I'm travelling all around the world staying in many different hotels and for the first time, there is nothing bad that I can introduce in my review.",Riad_Zahra,Essaouira
 October 2016,5,Excellent stay,"I stayed with my dad for one week in mid October. We found the owners of Zahra to be very friendly and helpful, and very interactive with all guests, taking a genuine interest in everybody's experience. The decor was gorgeous, the location fab and the food delicious. We ate most days or evenings in the downstairs dining area and once in the grill upstairs. Both were fantastic. The pool was chilly but the tortoises hilarious. The staff were all very friendly and attentive and I highly recommend this hotel. The only area I think they could improve is to offer some tomato/cucumber and a boiled egg for breakfast. The choice is plentiful but it's all sweet based which is not my preference.",Riad_Zahra,Essaouira
 October 2016,5,An excellent stay.,"We enjoyed a relaxing stay at the Riad, with friendly attentive staff. Advice was plentiful regarding sights and activities, including booking taxis and bicycles during out stay. We hoped to kitesurf as the beach is only a few minutes away. Unfortunately there was only one day of good wind so we hope to return another time soon!",Riad_Zahra,Essaouira
 October 2016,4,One of the best,I came to this hotel with my husband for a week the room was nice clean with nice moroccan style the staff very helpfull with a big smile all the time the location is amzing 5min walk to the beach and 8min driving to the city i recommend the place,Riad_Zahra,Essaouira
 September 2016,5,So good that I'm taking a group of family/friends next year,"I stayed with my daughter for a week at the end of September and loved everything about the Riad. The room (a standard) was basic but clean and traditional. Everything we ate at the Riad was wonderful and the upstairs restaurant was incredible. The staff are friendly without being intrusive and as 2 women travelling alone we felt very safe staying here. The Medina was great fun and you can get a taxi there or back for less than £1. We had such a wonderful time that we have already booked to go back for my husbands 50th birthday, along with family and friends. Would definitely recommend staying here if you're visiting Essaouira!",Riad_Zahra,Essaouira
 October 2016,5,Kite surfing holiday,"Xavier and family were exceptional hosts and made us feel very welcome at all times and nothing was too much trouble. Rooms were very clean and lovely decor ,and staff very friendly . We were both impressed with the restaurants as we are both into catering especially Zahra Grill! We had fresh fish that day which had been caught and the chef cooked In front of us a great experience ! Our first time in Morocco really enjoyed it will definitely return to this hotel what a lovely welcoming family .",Riad_Zahra,Essaouira
 October 2016,5,Modern Riad,"Stayed here for 2 nites in this modern Riad... beautifully furnished the Lobby as well as the rooms had a typical local touch...even the bedcovers were the locally spun ones..bright beautiful colours...we did find them in the market . Xavier was a great host and saw that we were comfortable...location...25 minute walk to the Medina along the beach and also taxis @ 10 MRD . The breakfast was not a buffet but they would serve a group of six on their round tables..freshly baked bread , eggs to order to pay extra, we were told that the baker delivers it every morning around 8 am, for early check out you have to inform them a day earlier. Dinner served on the ground floor restaurant is good as well, we did not try the Zarah grill on the enclosed terrace space. We drove directly to…",Riad_Zahra,Essaouira
 September 2016,4,feel goooddddddddddddddddddd stay,"...Essaouira is a beautiful seaside laid back town....three hours away from marrakesh...main airport.... so plan in advance... .beautiful stay......convenient location ........walking distance to the town along the sea front .........and most of all safe.....taxis not expencive........... the decor at riad zahra is beautiful .....rooms are comfortable n airy .can i sugest ......a few more plug points are needed, now a days we travel with lots of stuff that needs charging............. the breakfast was delicious . and fresh.and the bread ............ out of this world...........even though eggs were not included in the complementary breakfast... we had dinner one night at the resturant . good food a bet expensive..... the owners are very warm and hospitable ........ 1 night stay…",Riad_Zahra,Essaouira
 September 2016,5,nice small hotel in Essaouira,"Very friendly small hotel, rooms were nice, with 2 patio windows to allow breeze to waft through. Staff were very good, lunches and dinners, were excellent, but breakfasts became repetitive. Nice swimming pool, but unheated, just a little too refreshing for me. it came with resident turtle which was novel. The room we stayed in , a superior room, was large enough but lacked storage space, a small chest of drawers would have worked wonders. We had a couple of small faults on arrival, but these were sorted by the next morning.",Riad_Zahra,Essaouira
 September 2016,5,A great experiance,Yet again the Raid Zara has come up trumps great safe family Hotel that never fails to please Superb food great location .If you are going to Essaouira this is the only place to stay it maintains a true Moroccan style The wine tasting is recommended Many thanks to all the family and staff .Recommended Many thanks see you in November,Riad_Zahra,Essaouira
 September 2016,5,Great food and incredibly friendly,"Xavier and his family were incredibly friendly - always willing to help / provide tourist advice at almost any time of day. I don't like eating in hotel restaurants but the food at Riad Zahra was excellent (try the seafood in both restaurants). Location was great for us as we were there for kite surfing, surfing, horse riding etc. which was only a couple of minutes walk away. The medina is a 20min walk or a cheap (1eur), quick (<5min), easy (one road) cab ride. Being away from the medina made it nice and peaceful as well. I would definitely stay here again.",Riad_Zahra,Essaouira
 September 2016,5,All good,"Its my 3rd visit to riad zahra. I will for sure come back again. Very friendly service, very nice food, clean and confortable rooms. Its very close to the beach and 10min walk to the medina. The best place to stay in essaouira",Riad_Zahra,Essaouira
 September 2016,4,Cosy riad,"Stayed here in a group. The management were very understanding to our needs. The food excellent. The swimming pool a great size. Ambience, wifi and location all made our stay conforable. If you have mobility issues, then there are comfortable rooms on ground floor too. Highly recommended.",Riad_Zahra,Essaouira
 July 2016,3,Good service,"We stayed here too shortly (arrived at 4pm and left the morning at 9am) to enjoy the swimming pool and restaurant. We preferred to visit the city, which is really nice, and spend time there. The hotel is nicely located, you can walk to the center in 15 min just along the beach, or take a taxi ride if you want to take easy. The room is spacious and plenty of comfort. Breakfast well prepared with plenty of options, fresh or cooked as you prefer. The owner and the rest of the personnel take seriously their job, paying attention to the costumer comfort. We had our rental car delivered at the hotel, and the guy could only speak Arab or Moroccan, so they also offered to help us in translation. Thanks!",Riad_Zahra,Essaouira
 August 2016,5,relaxing stay,"Beautiful surroundings, with a lovely family atmosphere, riad zahra is the perfect stay for all. Provides the perfect base to explore the interesting surroundings, yet also a great environment to relax around the pool, read a book, drink tea and watch our children play safely. Food is tasty, good portions and great value for money, staff and owners are happy, helpful and make you feel very welcome with some great tips and advice about things to do and the local area. Thank-you for a lovely holiday, I would highly recommend this riad for a traditional, relaxed and welcoming holiday.",Riad_Zahra,Essaouira
 November 2015,4,Really nice hotel,Very nice hotel and really nice and helpful staffs. On our arrival we got warm welcome by the owner of the hotel. He showed us the paces to visit on the guide map. We had problem with internet and they upgraded our room free of charge. They serves amazing foods. Only a couple of minutes walk to the the beach of Essaouira. you can spend the entire day at the beach of just be lazy by the hotel pool. Its a great place for family stay. I loved it there and I am sure you will love to stay there as well. Contact the hotel if you need pick up and drop off to and from the airport.. Book directly over the email and you'll get discount which is saved from booking websites.,Riad_Zahra,Essaouira
 August 2016,5,Wonderful Riad in Essaouira,"Riad Zahra is excellent in so many ways! We stayed over a week and were so well accommodated by Xavier and his wife, and the great team of staff there. They really went above and beyond to make our stay as pleasurable as possible. Rooms on the second floor are bright & beautiful, with an amazing sea view. The pool is lovely and clean, with comfy sun-loungers and the added charm of the resident tortoises who are just adorable! The facilities are very well maintained. We loved having 2 restaurants on site, and had some of our best meals in Essaouira here. The one upstairs, Zahra's Grill, is a really exceptional fish and seafood restaurant. We had a very relaxing and peaceful time, and the Riad seems to accommodate families very well too. We were assisted in arranging and…",Riad_Zahra,Essaouira
 August 2016,5,Essaouira visit,"Wonderful place to stay for a family of 5 children. Excellent service and food. Very safe environment for children. The staff were always exceptionally friendly. Reasonably priced. We would defiantly return. Thank you all very much. The owners were always on hand. Essaouira is exceptional for surfing, kite surfing.",Riad_Zahra,Essaouira
 August 2016,5,Riad Zahra Essaouira,"What a lovely holiday we had in Morocco. We booked directly with Xavier (Owner) and his emails were always prompt and reassuring. The taxi organised by the hotel was waiting for us when we arrived at the airport and we were very warmly greeted by the owners of the riad. Every where was very clean and every member of staff was courteous and helpful. The rooms are very traditional and this makes it more personal. We passed many of the large and expensive hotels on our way into town and were glad that we chose this riad. The breakfast was lovely and a hit with children and the half board evening meal was always and without exception lovely. We didnt try the upstairs restaurant as we had lovely meals downstairs, but we did have a peek and it looked lovely with sea views. The pool…",Riad_Zahra,Essaouira
 August 2016,4,Nice,We stayed at the Riad zahra during a two day stay in Essaouira. The Riad is in an excellent location a few metres from the beach. The staff are very friendly and the rooms were clean and nicely decorated. We ate at the restaurant and the food was very nice although the service was a little slow. The only negative aspect of our stay was the lack of air conditioning in the rooms. Although I can appreciate this may not always be necessary so close the sea the rooms were stuffy and the Windows had to be opened. Opening the windows resulted in a lot of mosquito bites. Our room was also situated above the bins and the smell wasn't pleasant. A dog barked all night and there was a lot of noise which disturbed our sleep.,Riad_Zahra,Essaouira
 August 2016,4,Nice lunch in stylish riad close to beach.,"Nice lunch just off beach front - hotel itself looks very nice but we just had lunch here. Traditional Moroccan food with generous glass of wine. I noticed they offered morrocan wine tasting too. We are at the more casual one adjacent to pool, there is a #1 trip advisor Zahara grill also there. Kite surfing holidays available too!",Riad_Zahra,Essaouira
 August 2016,5,Fantastic stay!,"We have just returned from our second visit to Riad Zahra. I have stayed in hotels all over the world, and never stay in the same place twice.....until now!!! The Riad is absolutely fantastic and a wonderful stay if you want to recharge your batteries in a beautiful setting. The rooms are spacious. We had one with two balconies! The Riad has two amazing restaurants, making it possible to eat there day and night!!! Make sure you visit the Grill on the top floor which has a lovely view at night of the coast. There is a lovely pool which is very welcome when the temperature is so hot. The children staying were entertained by the resident turtle and tortoises there! The one thing that really makes Riad Zahra stand out from anywhere else I have stayed is the owners, their…",Riad_Zahra,Essaouira
 June 2016,4,"Great place, very freindly and helpful staff","We were a group of 14, including children, teenagers and grown-ups and we all had a wonderful time at Riad Zahra in June. The pool and terrace is a great place to relax and have fun and the food is very good at both restaurants. The staff is very friendly and helpful. We can really recommend this place to everybody.",Riad_Zahra,Essaouira
 August 2016,5,An amazing place to stay!,"Lovely people. Wonderful venue. Location is excellent, away from medina but all walking distance. Really close to some fantastic beach bars. Excellent value for money. We stayed here 5 nights for a really good price. Lovely swimming pool and they do excellent tapas and beer between 6-7pm for 35 dirham. What an excellent stay!!!",Riad_Zahra,Essaouira
 July 2016,5,"Lovely, welcoming hotel in a good location","We had a great stay at Riad Zahra. The staff were very welcoming and friendly, and nothing was too much trouble. Anytime we needed info or wanted to arrange something they had no trouble helping us out. The pool was very well kept, although the Essaouira winds got a bit strong at times. The room, a standard double, was simple but nice. It was cleaned daily and had everything we needed. Riad Zahra also has two restaurants. The restaurant downstairs (Les Délices de Zahra) was is good but basic. The restaurant upstairs (Zahra’s Grill) was amazing, with one of the best meals we had in Morocco. It's a 20 minute walk to the Medina, where you'd probably spend most evenings. You can get they for no more than 10 dirham if you want to take a taxi. All pretty easy. All in all, I'd have…",Riad_Zahra,Essaouira
 July 2016,5,"Lovely, welcoming hotel","The owners and staff at the Riad Zahra were exceptionally welcoming about everything, and in actual fact, is nicer than the official photos portray. We were very happy to have chosen this hotel and would certainly recommend it to other travellers looking for an economic place to stay. Simple but charming.",Riad_Zahra,Essaouira
 July 2016,5,Fantastic Hosts,"Our month long stay in Essaouira for kiting is, sadly, coming to an end. Have had a fantastic time and the family who run Riad Zahra are the most welcoming, helpful and charming hosts anywhere! Would definitely contact Riad Zahra for accommodation for our next trip to Essaouira.",Riad_Zahra,Essaouira
 July 2016,4,"Good location, great staff.","The owner of this Riad Hotel, as I'd describe it, was very helpful and welcoming. He speaks English, French and Spanish so communication is easy and there is good info around the Riad. The room wasn't the biggest we stayed in during our Morocco trip but it was fine for our two night stay. Breakfast was good and included cake which always gets the thumbs up from me! The pool area isn't as big as it appears on the photos, with many areas in the shade, but it is clean, tidy and nice to have if you need to cool down. The 20 minute stroll into town is lovely. We took a taxi back to the Riad in the evenings and it only costs 10 dirham (around €1). The Zarah Grill restaurant gets great reviews but we didn't eat there as the draw of the many eating places in the Medina was too…",Riad_Zahra,Essaouira
 July 2016,5,"Refreshing pool, quiet nights, beautiful interior, spacious room","Refreshing pool, a bit windy, but it is so everywhere in Essaouira. quiet nights, very good to sleep. beautiful interior, with amazing collection of art. spacious room. Nice breakfast in a beautiful dining room. Tasteful wine tasting of Moroccan wines with tapas- affordable (60dh). Free parking.",Riad_Zahra,Essaouira
 June 2016,5,Great Family Run Riad,"We had 2 nights here in June and agree with all the reviews here. A great choice and very professionally run by a family who know their business and clientele well. Xavier (owner) is also completely honest, as the first night we missed the evening meal due to a mix up with our tour company (we didn't know we were on full board). So Xavier mentioned this the next morning to make sure we didn't miss again and cheerfully, without request, he would refund the meal charge and would do this again for the second night if we preferred to eat elsewhere. A very honest approach and they could have elected to not say anything and keep the difference. Room was large (even for 4) and very clean. It's a newer place and rooms are all off a central, double story foyer making it essentially a…",Riad_Zahra,Essaouira
 June 2016,5,Saudi man in Essaouira -Riad zahra,"It is so strange from saudia arab man to find them in small town looking for kiting beach activity and relaxing faraway from hustle, noise, nightlife. I was very concern about my accommodation, the price, hospitality, food, supportive, cleaning, same as usual from any traveler. I'm really did not imagine that (Riad) or hostel can be better the 4/5 star hotel. RIAD ZAHRA they mad that to me great welcoming, excellent team work , smiling all the time, supportively at any request from me and they im coming back to Riad Zahra again. Regards to all",Riad_Zahra,Essaouira
 June 2016,5,Friendly family run hotel a great find so close to the Kitesurfing action,"My first visit to Morocco but I have travelled extensively. Nothing faceless or bland here - family run friendly service where you can simply see 'it matters' to them. Xavier the owner and his family where always friendly and could not do enough to help. They were importantly never overpowering as can sometimes can be the case with a smaller venue. The balance is just right. It is a street back from the seafront within quick reach of the kitesurfing and windsurfing action we had come for. Only 15-20 mins easy seafront walk to the Medina. One of the best local kiters is actually Xavier's son Geoffrey (seriously!) - always smiling he gave the more experienced in our group help with quality surfing spots and kitesurf downwinder action. The rooms were of good size, beds comfortable…",Riad_Zahra,Essaouira
 June 2016,5,This is a fantastic place to stay...,"I stayed here last week with a group of friends who had organised the trip and kindly asked me if I would like to join them. As such I had not done any of the pre-planning and booking so I didn't know what to expect especially as it was my first trip to Morocco. To say we had a great time and that this is a fantastic place to stay is an understatement. It has a very traditional feel as you walk in, rustic isn't the word really but certainly in keeping with it's locale. Also as you walk in you will be met by the owner and his staff. To a person they were always very friendly and helpful. Always very accommodating. I have stayed in a lot of hotels in my time and I really think this is the best experience of hotel personnel I have had. The rooms are basic but again that's in…",Riad_Zahra,Essaouira
 June 2016,5,Lovely staff in a lovely city,"The staff make this riad. Each of them that we dealt with were lovely. Room was fine, no air conditioning but being a windy city that wasnt a major proble. Breakfast was lovely, pool very nice and some good deals to be had in the bar.",Riad_Zahra,Essaouira
 June 2016,5,Just returned from a Fantastic Holiday,"The hotel is about 15 minutes walk from the Medina. We had a 9 year old and a 5 year old with our group and it was perfect. The owners and staff couldn't do enough for us. There were other families there and the kids all loved the pool and the turtle. This really is a super place for a family. They are so accommodating, the beach is very close and the walk to the medina along the beach is actually a bonus. The food at the hotel is also excellent and again very accommodating to families. I cannot recommend Riad Zahra enough. We are already looking forward to our next visit.",Riad_Zahra,Essaouira
 June 2016,5,Family holiday,"What a great find. We we're looking for a hotel for probably our last family holiday, kids getting older. We were made exceptionally welcome by the owners on arrival, and were treated by all the staff in a similar fashion until we left. To coin the phrase "" it does exactly what it says on the tin"". It's a family run hotel and offers great service, I would like to mention the standard of food; excellent and the choice of sea food again exellent.",Riad_Zahra,Essaouira
