 January 2023,5,The best place in Fes - no contest,"This is in the top two places I have ever stayed in in my life. Incredible experience, everything is at the top level. We also visited a couple of high end bigger hotels-riads in Fes which were very nice, but nothing compares with Riad Le Caliphe. It's a 5-star ""hotel"" with amenities and service you would expect, but on a personal level. Yasmine and Alex are passionate about what they do and it makes all the difference about how you will experience Fes.",Riad_Le_Calife-Fes_Fes_Meknes,hotelName,city
 December 2018,5,Love every corner of this Riad!!!,"I love every corner of this Riad, the room, the rooftop, the owner’s office, the dinning room, the bar, the yard and even the entrance!!! It really makes me feel like home, and I wish I could stay for more time. The design of the Riad is a mixed design with traditional Moroccan style with a French flavor. The owners, a Moroccan-French couple, are very nice and humorous. They took very good care of us and everyone in the house. (They can even make your wife disappear if you find she is too noisy/talkative. Haha this is a joke.) They have the best view of Fes old town on their rooftop. Oh by the way, the lounge next to the rooftop looks like a Chateau, which reminds me of my days in Fontainebleau. The location of the Riad is also very convenient, with a couple of minutes of…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 December 2018,5,The perfect riad!,"I’m not sure what to add to all of the wonderful reviews already posted about Le Calife. Yasmine and Alexandre really are the perfect hosts, and made us feel so welcome. Before our stay they were quick to respond to emails, and throughout our visit they were always on hand to answer questions. Our room, the Rubis Suite, was large, quiet, comfortable and warm. Breakfasts were simple but delicious, and we had one evening meal at the riad which featured a chicken rfissa, one of the best Moroccan dishes I’ve ever had. If you are lucky enough to visit Fes, Riad Le Calife is the only place to stay!",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 December 2018,5,"Classy, Caring Riad in the Heart of the Medina","Our stay at the Riad Le Calife was a lovely, special experience. Alexandre and Yasmine are wonderful hosts. They have really put their hearts into this place and it shows. It is beautifully decorated throughout, making a peaceful retreat from the craziness of the medina. They are also very good ambassadors and have a lot of knowledge and pride for their city and had endless recommendations for walks, sightseeing, eating, shopping. The entire staff was endlessly helpful and courteous. We had wanted to experience different restaurants in the 3 nights we were in Fes, and Alex had many great recommendations, but we had a hard time going outside of the Riad since meals at the Riad were so excellent. Kudos to everyone, especially Mohamed and Fatima. The room itself (we stayed in…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 December 2018,5,A wonderful time in Fez,"We spent 4 nights at the Riad Le Calife and were warmly welcome by Yasmine, Alex and the team. The place is a wonderful oasis and very conveniently located close enough to the main areas of the Medina. Very quiet, respectul, efficient and friendly service. We stayed at the Diamond Room and it was worth every penny. We would definitely go back and recommend Le Calife to our best friends!",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 November 2018,5,"Beautiful, homey Riad in the Fes Medina","I can't even start to explain how nice our stay at Raid Le Calife was! From the moment we stepped foot into the Riad, we were welcomed like family. Of course, our stay started with delicious Moroccan tea and cakes. The owner Alex then took the time to give us a little history of Fes and the Riad itself. He also gave us tips on what to see, and what to expect from the Medina. It was a great overview! Since it was my wife's birthday, Alex and Yasmine were kind enough to give us a complimentary upgrade to the Emerald Suite, and what a beautiful room it is! Alex kept reiterating that he wanted to feel like this was our home, and we felt that it was for the short time we had there! Breakfasts were delicious, with the typical Moroccan fare. Bread, eggs, fruit... all served…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 December 2018,5,Amenities of a luxury hotel and a perfect location,"This is a first class Riad, with the sort of amenities and service that are usually available only at luxury hotels. We stayed in the Diamond suite, which is gigantic and feels like a palace. The entire Riad is elegantly decorated with antique furniture and interesting art work. We had fun sipping cocktails and wandering the Riad to admire and browse the collection of books, art work, antiques, and machines from times past. The location is so convenient, because it's in the Medina, yet on the edge. So you can walk to everything in the Medina, and easily get out to explore other parts of Fes. The bathrooms are appointed with bath robes, slippers, high quality hair dryers, large beds with luxury linens, modern lighting, and showers. WiFi is fast, the min-bar in the rooms…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 November 2018,5,Elegant Riad; Personal Attention,"We had a great time at this very lovely Riad. The elegant rooms, the beautiful views from the terraces, the breakfast, the service, the dinners (thank you, Fatima) were perfect. Because we only had the one day, we asked for a guide at 8:00 at night and Alex stopped what he was doing and hired Aziz, a really great guide, for the next day. Although it was Friday and many shops were closed or closed at noon, we had a full 6-hour tour of and a good sense of the Medina. It was a real pleasure to meet Alex and Yasmine, the owners. They are very personable and have great stories of the renovations of the Riad to tell - it took 14 months. They clearly have put their passion for life into the decor, the service and the food. We have very good memories of our stay in Fes which was only…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 November 2018,5,Just fabulous!,"Whenever I come across a place like this part of me wants to keep it a secret in case I can’t get in again but that would be unfair to Yasmine and Alex, the delightful owners of this riad. The riad is situated in the medina and is a beautiful oasis amid the hustle and bustle of Fes. The whole place is decorated in a quirky style with lots of interesting antiques dotted about. There is a roof terrace with a bar which, unfortunately, the cool weather prevented us from using much. The rooms are gorgeous. We stayed in both Topaz and Emerald. Both are furnished to the highest standard and small details have not been overlooked. Magnifying mirror and good lighting in the bathroom, plenty of electrical points in sensible places, top quality bed linen, complimentary water and fruit.…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2018,5,Beautiful property,"What a spectacular room! We stayed in the Diamond Suite and it was like staying in a palace. I spent 3 nights with my wife. When we got to the room, there were little tiny fez hats with dates in them waiting for us, with a big plate of fresh fruit, perfect refreshment after a very long trip. The service is top-notch. All our bags were hauled up the hill for us, which would have been exhausting without their help. Alex is a wonderful host, and has a passion that is hard to match. He clearly loves his city and did his best to give us a heads up about how the medina works, and how to negotiate prices. Highly recommended place!",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 November 2018,5,Beautiful and cosy stay in Fes,My husband and I stayed here for two nights and were sad to say goodbye. It is a lovely Riad with beautiful decorations. Very friendly owners and staff. It is pretty centrally located within the old medina.,Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2018,5,One of the best hotels I've stayed at in 30 years of traveling,"I didn't need to add to all the raving reviews I saw when I booked the hotel for a 3-night stay in October but I felt compelled to do it anyway. As many have written before, this Riad Le Calife is a true gem. Luxury isn't so much about the number of stars stamped on a place but rather the given attention to details and needs of your hosts when you stay at one's place. And to that effect, Le Calife offers true luxury to their guests, us included. The owner Alex was our main point of contact and his assistant Khaoula which both were exemplary in helping us feel welcome and comfortable during our stay in Fes. Fes is a beautiful ancient city that can feel overwhelming at first and hard to get around, yet when you get to the Riad, you immediately feel at ease, at home and in a calm…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2018,5,"Love, love, love!","Fabulous accommodation and wonderful service. It is the attention to detail that makes the differed here....the riad is beautiful, the antiques and art pieces make it quite unique and stunning. Alex and Yasmine are fabulous hosts ensuring that everything their guests need is taken care of. We were celebrating my husbands birthday and had make a booking (by coincidence) at Palais Farah for the birthday dinner...when Yasmin found out she organised complimentary transport and a special, surprise birthday cake for Jim. It made the dinner even more special! Relaxing on the roof terrace watching the sunset is wonderful. Being able to purchase a bear or bottle of wine is wonderful ..... Every day, a complimentary (large) bottle of water and fresh fruit. Lovely toiletries, a good…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2018,5,Best Riad in Fes and best couscous meal of our trip. Couldn't have been happier with our choice to stay here,"Where to start. This is an exceptional place. It is so beautifully designed with every last detail in mind - from the little bar off the delightful courtyard to unwind after the day and play board games to the terrific music playlist to the rooftop breakfast room to the thoughtfully curated art pieces everywhere. Our room was lovely, charming, clean with very comfortable bed and pillows. But as beautiful as our surroundings were, the wondering hosts Alex and Yasmine and Riad team made our stay exceptional. They met us at the taxi, gave us a local phone to stay in contact, set us up with a terrific Medina tour guide, arranged a car to Casablanca for us. They called a restaurant and asked them to meet us so we wouldn't get lost and sent someone to walk us back from the square when…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2018,5,Yasmine & Alex.... Simply the Best,"We had a lovely stay @ Riad Calife with Yasmine and Alex being the most wonderful hosts. We had good communication from the time we booked through to arriving, arranging pick up from the railway station, a staff member met us at the road and took our bags to the Riad which we may not have found through to taking our bags out and arranging the taxi back to the railway station and advising us the price. When we arrived we received a welcome cup of Moroccan mint tea which wasn full of sugar. We the got an orientation of the Medina and offered other assistance for any bookings we required during our stay. Our room was up a couple of flights of stairs and had windows opening into the courtyard, so we had lots of natural light. The bathroom was spacious and the water pressure in…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2018,5,Second visit to the perfect place to stay-outstanding,"Once again Alex and Yasmin have shown that they are the most perfect hosts in an outstanding Riad. The Riad itself is wonderful with many details making the stay even better and all the staff are attentive to the right level. We ate there every night and had something different every night that was perfectly cooked and delicious. I really can't add more other than it is a fabulous place to stay, right in the heart of the Medina and Alex and Yasmin are the perfect hosts. Hopefully I won't leave it another three years for my third visit.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2018,5,Wow...just wow,"We booked the Amethyst Room here...up 4 flights of windy narrow stairs..and worth every step. This utterly charming Riad is a tranquil, quiet haven in the heart of the Medina. Sumptuously decorated ..we especially enjoyed the stained glass windows that opened up on a lovely courtyard, the deliciously comfortable bed, beautifully appointed bathroom...and the sweet proprietors, ready to help with any large or small request. The on site restuarant offered delicious Moroccan specialities...breakfast and dinner on the rooftop terrace with magnificent city views.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 September 2018,5,Incredible!,"I had the opportunity to be in Fes for three days and chose to stay at the Riad Le Calife based on the reviews I read. I am so glad I did as the experience was one of the most unique and enjoyable I have had while traveling in a long time. Clearly the riad is a labor of love for the owners Yasmine and Alex, who are very attentive to their guests (as is the staff). The food is so very good. The views of the Medina from the rooftop sitting area and nearby eating area are unparalleled. And the room - so lovely. I would absolutely stay here again and hope to in the future.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 September 2018,5,An absolute delight! You'll feel like royalty.,"All I can say is - wow. This is the loveliest hotel I've ever stayed at in my life! Not only are the facilities and decor absolutely stunning, but the owners and staff were the most accommodating and thoughtful that I've ever seen. Our room was cool and comfortable, a perfect respite from the overwhelming souks, with thoughtful small touches everywhere. Jasmine and Alex, the owners, were so great and helpful..they gave us wonderful restaurant recommendations (especially Barrada Family Restaurant) and we loved the meal we had from the restaurant chef one evening. We enjoyed the hotel bar on numerous occasions and the rooftop terrace is relaxing and has a great view of the medina. The hotel has so many interesting historical photos and artifacts. You feel like you're in the…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 September 2018,5,"Beautiful, friendly riad in the heart of the medina.","We stayed at the Riad Le Calife in Fes Morocco for 2 nights this September. It was very unassuming from the outside, yet the inside was absolutely beautiful! Room was large and comfortable. The courtyard was very pretty. The rooftop dining area was nice, with great views of the city. Alex and Yasmin, the owners were so friendly and personable, we felt so at home. Fatima was an outstanding chef and her meals were incredible!!In fact, the first night there we were not too hungry and did not want dinner. Fatima cooked us up some appetizers that would make your mouth water and some delicious homemade cookies that were so good we asked for the recipe, and got it. I would highly recommend this riad to anyone traveling to Fes.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 September 2018,5,Amazing stay in Fes,"We had a great vacation in Fes, a big part due to our experience at Riad Le Calife. Not only is the facility impeccably restored and decorated, but the same level of attention was also paid to the quality of the experience by the staff. The rooftop lounge and restaurant have a amazing view of the Médina and hills surrounding the city and the dinner and breakfast up there are great. Last but not least, Alex and Yasmine went out of the way to make sure all of our excursions in the Médina and the neighboring towns were the best quality, including a great hammam and spa visit.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 September 2018,5,6 star review,"This is one of those cases where one of the highlights of the trip was the place for accommodation and the owners and personnel. This was no just a Riad with a central patio and a garden with a fountain like most are. Alex and Jasmin the owners of Le Calife really went to the to the level of excellence. Before, during and after our stay we felt close to them. They really know how to deal with visitors after 10 years in business. Every single minor detail is carefully taken care of. The Riad has a home atmosphere with hundreds of items exquisitely selected. The food is also amazing. Next time with more time we wish to take the cooking class there. People working there are also super helpful. At the end, Alex and Jasmine dedicated countless time to talk about us about Fes…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 September 2018,5,Fantastic Stay in Fes,"We have just spent a fantastic three nights at Riad Le Calife. From our arrival where we were met in the nearby square by a member of staff to our departure with an early breakfast arranged especially for our departure day, nothing was too much trouble for Jasmine and Alex, including providing us with a mobile phone to contact them if we got lost in the souks! The riad is delightful with traditional furnishings alongside modern comforts. The roof terrace is the perfect setting for breakfast or evening drinks and dinner while the dining room is a beautiful air conditioned alternative if the weather is too hot. The food was excellent - breakfast was a good selection of breads/pastries fruit and yoghurt alongside freshly made omelettes. The dinner menu changes daily and we enjoyed…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 July 2018,5,At Home in Fez,We were welcomed with an immediate upgrade as the hotel was not full during the low season. The room was very well appointed and the Riad a wonderful first impression of Morocco with a stylish French eye. We felt like guests in their home and left hoping that we could return the hospitality if Alex and Jasmine ever come to Australia.,Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2018,5,Wonderful Riad,We had a wonderful stay at the Riad Le Calife. The location was fantastic and our hosts looked after us incredibly well. It was like home from home but better. The food was incredible and the breakfast was substantial. Would highly recommended not a bad word to say! Looking forward to visiting again. 😃,Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 July 2018,5,Amazing views from Riad,"A beautiful Riad in a great location of Fes. Alex, Jasmine and staff will really make you feel like you're on vacation and take care of everything. We arranged a couple of excursions through the Riad and each was amazing. The breakfast is delicious and served on a terrace overlooking the beautiful Fes medina. I would definitely stay here again if I'm back.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 July 2018,5,"Beautiful Riad, top service!","We stayed here for the last part of our honeymoon and were made to feel incredible welcome! Alex, Yasmine & the team very kindly upgraded our room and it was absolutely beautiful! The Riad is stunning and in a great part of the Medina, away from the main hubbub but still a short walk to the heart of the souqs! The service was incredible and we were provided with a mobile phone in case of emergencies. The team were able to recommend a bunch of great places to eat and drink etc.! Highly recommend",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 July 2018,5,Riad Le Calife,"We had an outstanding stay! I cannot overstate the decor ( attention to detail ❤️)service and enthusiasm of our host and their staff. Nothing was too much trouble. The view from the dining area on the rooftop, breakfast, and dinner on our first night, WOW. This is a riad that I would revisit if to stay in Fes again. Thank you Alex and Yasmine.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 June 2018,5,Wonderful stay,"Our stay here was outstanding, we would stay here again, we would recommend it highly. Our stay here enhanced what was a great visit to Fez. It provided a calm oasis in the otherwise chaotic Medina, it provided a quiet place for a great night’s sleep after long days of touring. Our hosts, Jasmine and Alex, were very helpful and friendly, providing us excellent advice regarding our touring in Fez. The riad is beautifully decorated, our room was excellent (although a bit small). The rooftop breakfast and dinner area was outstanding, providing a very pleasant venue for our meals, with a great view of the old city. They were very accommodating with our early starts, even providing us with 3:00 am hot breakfast service. The staff was great, they were very helpful, even providing us…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 June 2018,5,Unbelievably fantastic,"I would give this riad more than 5 out of 5 if I could. It was amazing. We had the most wonderful room, the Diamond Suite. Yasmine, Alex and the staff were so kind, extremely helpful and provided outstanding service. The first night we ate dinner at the hotel which was excellent. The views from the dinning area upstairs (outside) are breathtaking. The riad is like a haven within a busy city, peace and tranquility abound. The entire riad is beautifully and tastefully decorated. Put Fes on your list of destinations just so you can stay at this riad. Its a must!",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 July 2018,5,Gorgeous property,"This is an absolutely gorgeous property in the heart of the Médina (old city). The thing that makes this property special is it’s owners (Yasmine & Alex) and their staff. They are extremely hospitable and do everything they can to make your experience memorable! The riad (hotel) is beautiful and very comfortable. It’s an old house which has been converted to a hotel. The entire property has 4 floors including the ground and terrace. Each floor has no more that 1-2 rooms Our room was on the ground floor and opened into the courtyard. It was lovely waking up to a quiet, tranquil morning everyday with the birds chirping, the water trickling from the fountain, music & the crisp cool air. Each room in the riad is unique & tastefully decorated with artifacts & antiques. Our room…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 April 2018,5,Spring Break 2018- wonderful Riad!!!,"This is an amazing riad. Only a few rooms, nice and quiet with beautiful common areas. The rooftop was small, but it overlooks Fez and it very beautiful. The riad was a little tricky to get to at first since it is tucked away in the alleys, but once you find your way there it is easy to find it again. Highly recommend!!!",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 May 2018,5,Excellent,"A wonderful riad run by the vey capable Yasmine and staff. Excellent room and bathroom, the entire riad is beautiful and houses a wonderful collection of books, artifacts and collectibles. Highly recommended. It is not located very close to the main shopping areas of the riad so you might need to use an inexpensive taxi to reach the blue gate (if that be your destination).",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2018,5,"Love the Riad, love the owners more!","We spent 4 nights at Le Calife in the Opaline room. Very lovely room, large, comfortable, with all the luxe amenities. The grounds of the Riad are BEAUTIFUL with a lovely garden, fountain and beautiful tile work. The courtyard is very inviting and we would spend the evenings having a drink by the fountain. There was usually a fire going since we were there in the cooler nights of March. We had two dinners at the inn - very traditional Moroccan and very delicious. The breakfasts were the best we had in Morocco. The dining room, like the rest of the inn, has original details and is very cozy. But the real gems of the inn are owners and the staff. We felt from the moment we walked in that we were very welcomed in a good friend's home. Yasmine and Alex are warm, exuberant,…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 May 2018,5,An oasis in an ancient city,My wife and I stayed at the Riad for 4 nights and we wished we could have stayed longer. Yasmine and her team made us feel so at home. Yasmine contacted us a week before our arrival and was quick to respond to all our questions. No request was too difficult. The service provided by every team member exceeded our expectations. The owners have maintained and decorated the Riad so well it is truly an oasis in what is a chaotic but lovely city. We had the emerald room and loved it. The Wifi in the room was a little patchy but I guess that is to be expected when you have such thick walls! The only thing I would warn is that the stairs can be a little difficult for those with reduced mobility. Overall we loved it and recommend it to anyone who wants an authentic Riad experience but…,Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 May 2018,5,Beautiful gem in magical Fes,"Too many good things to report! We had a wonderful time staying here. We stayed in the Rubis room which was very spacious, comfortable and beautiful - we really appreciated all the extra details such as fruit and water popped into our room every day. To be inside the Riad is such a breathtaking contrast from the hustle and bustle of the winding Medina streets outside - it is truly gorgeous with a peaceful courtyard and a great spot on the roof to appreciate the views of the city and relax. The breakfast is very generous and the dinners are very sumptuous and tasty, and my allergy to gluten was accommodated with no problems and some extra special treats! We also did the cooking lesson with Fatima - she is a kind and patient teacher and was very lovely to spend time with, even…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 May 2018,5,"Amazing Riad, gorgeous views, so comfortable","We spent 4 days at this lovely riad. We were in the Topaz room (on the first floor, up separate set of steps from the steps to terrace and breakfast area). Our bed was so comfortable. The AC worked well, but we enjoyed leaving the windows open. There was a huge shower with amazing water pressure. Seriously....we wish we had that at home. Bed really nice, soft pillows and luxury linens. We loved : being able to get dinner at the Riad. The food was delicious. The view from the roof terrace.....amazing. The lounge furniture on the terrace was very inviting, and we enjoyed having tea or wine up there. The staff was so great. Nothing was too much trouble. Alex and Yasmine were perfect hosts. So kind and…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 May 2018,5,The best of the best,"The Riad Le Calife is not a five star hotel but rather, if possible, I would classify it as a six star accommodation. From the very start of your arrival, the riad, provides customer service which is beyond expectations. The difference between checking into our riad in Marrakech and Le Calife were like day and night. First, our driver contacted the riad as we approached Fes. When we arrived, the riad sent someone to meet us outside the medina wall to help us with our luggage and direct us to the riad. Upon entering the riad, you are immediately met with a level of detail that surpasses anything I have ever experienced. The riad is decorated with well appointed antiques arranged meticulously. The court yard is spotless with a beautiful fountain surrounded by shady trees and…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 May 2018,5,Wonderful place near the medina,"The owners of this unique riad, Yasmine and Alex, are such great hosts. So friendly and welcoming! We felt we were guests in their own home. We stayed 4 nights in the top floor terrace suite. All the staff were very friendly, caring and professional. Alex and Yasmine have done an amazing job renovating and decorating this historic Riad. They also helped give us a good orientation of Fes and made sure we knew where we were going for dinner each night. I was lucky to celebrate my birthday in Fes and Alex and Yasmine made sure it was special. Their Riad is so close to the medina, it is easy to walk everywhere. Riads tend to have a lot of stairs, but like the winding streets of the Medina, it is worth the effort. The roof top terrace of Riad le Calife offers brilliant views of the…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 April 2018,5,Most PERFECT place!,"It really makes a difference where you stay in a country that's new to you, and our experience at Riad Le Calife was amazing! The service was impeccable, great breakfast and very friendly and welcoming owners who always went the extra mile for you. They even helped arrange for taxis to the main sight seeing places, making sure the prices were negotiated so we weren't getting ripped off. Also a great location - easy to get in and out of and easy to find. Loved it and would only recommend staying here!",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 April 2018,5,A jewel in the Medina of Fes:),"We stayed in the Emerald room at this beautiful Riad, and it was a true gem. Everything about this place was perfect, starting with the owners, Alex and Yasmine. Husband and wife, they continually went out of their way to make sure had everything we needed to make our visit in Fes the best it could be. In fact, they answered questions before we knew to ask them. I highly recommended this to anyone visiting Fes!",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 April 2018,5,Most unique place ever,"I’m staying at the Riad Le Calife and I have to say it’s wonderful. The decorating is so eclectic and warm, the attention to detail is outstanding. Our room is very comfy and colourful. We just did a cooking class with Fatima and it was fun, I can’t wait to try it out tonight. Fez is a very challenging place to get around, I would recommend having a guide show you around the first time, then try it in your own. The tannery was not as smelly as I expected but it is the beginning of winter, summer would be a different story. All in all if your coming to Morocco make Fez a definite stop.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 April 2018,5,"Outstanding personal service from Alex, Yasmine and the staff, good location.","We enjoyed a wonderful stay at Le Calife, and it really deserves its high rating in Fes. Alex was outstanding and informative, full of enthusiasm and commitment, Yasmine was charming and friendly, and the fez-wearing staff were exceptionally polite and helpful. Breakfast was very enjoyable, with omelettes as the cooked option, and we also had two very pleasant evening meals during our stay. The roof terrace was a great place to spend the early evening winding down after the busy day. The location proved very convenient, though typically tucked away on a narrow alley, being just a short walk down to a busy square which was on a main road leading to Bab R'Cif, the main entrance to the medina at its top end. We were also able to walk to the other end, Bab Boujeloud, without always…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 April 2018,5,Perfect,"I rarely write reviews, but this property was so exceptional I feel compelled to do so. The beautifully restored Riad evokes a vintage Moroccan-Parisian feel. The rooms are large and well appointed with luxurious beds. The attention to detail is amazing. The entire staff knocks themselves out to make everything exactly right. The bar and dining room are convivial and inviting. Then the food.......this was the best food in all of Morocco! Hands down! We ate at a lot of restaurants, but Fatima's sophisticated twist on Moroccan food was perfect. Alex and Jasmine are wonderful hosts! They professionally handled all the excursions and transportation for us. Change nothing....ever. I will return after the new attached restaurant and cooking school opens. Tip: Have a drink on the…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 April 2018,5,"Home atmosphere, comfort, beauty and hospitality","Our recent stay with Jasmine, Alex and their attentive staff was a truly wonderful introduction to Morocco and the best possible way to experience the wonders of the Fez medina. Special thanks to Muhammad for his friendly assistance and to Fatima for her truly outstanding cuisine - you are really missing out if you do not have her cook for you during your visit. We spent 2 nights in the emerald suite and two in the amethyst room - both were wonderful. The location is peaceful and very convenient. The guided day tour of the medina arranged by Jasmine was the perfect way to get our bearings, see the major attractions, and give us ideas for further exploration on our own. The driver they arranged for a day excursion to Ifrane, Azrou and the middle Atlas was also very good. We…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2018,5,A Sparkling Gem in Fes,"Riad leCalife is a gorgeous wonderfully restored and furnished treasure. It is a thrill from the moment you step off the small medina street and into its ornate beauty. The wonderful owner-hosts Alexandre and Yasmine welcome you with charm and treat you to a thorough briefing on the ancient Fes medina, which is a fascinating maze of souk shops and the ever bustling home to 260,000 residents. We stayed in the sumptuous Ruby and the Emerald suites, located up two twisting flights of stairs above the ground floor. The suites are spacious and richly furnished in ornate historic Moroccan style. The bathrooms are quite large too and done in the same style but feature modern fixtures. The ground floor with its central atrium open to the sky - a perfect place for reading or a…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2018,5,A Marvel in the Medina,"My husband and I had a tremendous stay at this beautiful riad. We marveled at the attention to detail throughout, which added to the graciousness of our hosts Jasmine & Alex. The rooms were spacious, staff hospitable and location very convenient to many key sites. We would recommend without hesitation.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2018,5,Feel Like Royalty,"Storybook dreams are made from places like Riad Le Calife. Fes is a beautiful place... an ancient walled city dripping with history and charm. To have the complete experience of Fes is to stay at this luxuriously timeless riad filled with gorgeous tile and soaring ceilings. Every detail is seen to with meticulous care as the lovely owners are collectors of beautiful antiques and have the upmost taste in aesthetics. The public spaces and rooms are a feast for the eyes... saturated colors, gorgeous patinas and old world charm. Rooms are large, beds are perfect, bathrooms to die for, antiques galore, fresh fruit throughout your stay, tea service... you want for nothing here. The breakfast is glorious with local pastries, mint tea, fresh fruit, eggs, pancakes, etc all served by a…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2018,5,Absolutely Delightful !,"We have travelled extensively throughout the world and this ranks very highly on the charming places to stay list. The Riad is in an excellent location, within the Medina but quiet and close to taxis. Stepping into the Riad, you are struck by the lovely courtyard and beautifully decorated rooms. The whole place exudes luxury and interest, reflecting the passion of the owners, Alex and Yasmin, who are excellent hosts. The restaurant is a must, where Fatima serves really good Moroccan dishes ( her tagine of beef with fennel was the best of our Moroccan trip ). Our suite ( Diamant ) was spacious and very well appointed. The roof terrace is a great place to unwind after sightseeing. In sum, an excellent place to stay.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2018,5,Great experience,"Wonderful service, beautiful house, warm and welcoming hosts. Amazing rooftop terrasse to chill out. All food served self made, great taste, and safe to eat for weak european stomachs. Good value for price. Don't miss the cooking class with Fatima! Absolutely recommended!",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
