 November 2022,5,Awesome experience!,"We loved our stay at Sofitel Rabat Jardin des Roses. The hotel is absolutely beautiful, the service was awesome, the food at all restaurants was delicious. Everything went flawless and we felt pampered our entire stay. We had our first experience with Moroccan food at Al Warda restaurant, and it was excellent. Fatima Zohra and Oumaima Sanae did a great job helping us to select dishes and serve dinner and vine. The overall experience was outstanding!",hotelName,city
 August 2018,5,Excellent staff,All of the staff are so helpful and can’t do enough for you. Some parts of the hotel do require some work this is due to the popularity of the hotel. All of the restaurants are very good and will try there very best to accommodate to your needs,sofitel _rabat,rabat
 October 2018,2,Stay Away 2 Star Hotel,"From the hotel’s website, I had very high expectations when making my reservation. I was totally disappointed when I checked into the hotel. The hotel is old and in desperate need of a renovation. Furniture, seats, flooring, walls are all damaged, everywhere in the hotel. My room had a broken shower, broken mirror glass and dripping water. I complained and was moved to a second. My second room turned out to be worst - the mirror was also broken, no bedroom slippers, a TV that was hanging skewed, it had a micro wardrobe (no place to hang all my clothes and keep my bags) and much more. I complained again and was told that I needed to wait 3 hours for another room. This is an old and “tired” hotel. Question: Why were these rooms not blocked in the first place? My advice:…",sofitel _rabat,rabat
 September 2018,5,Professional staff,"the hotel have a very good location , good room design good service and really good Professional staff and especially Mrs. Hassanh who work at reception, she is help us as professional when the air-condition in the room is not work. Sofitel Jardin des Roses is the only hotel that I will consider due to my excellent experience.",sofitel _rabat,rabat
 September 2018,4,HELLO,"the hotel have a very good location , good room design good service , and average pricing the higestl floor gave an oustanding view on rabat city .breakfast is well arranged . many historical spot to visit , and transportation mainly by taxi is available .",sofitel _rabat,rabat
 September 2018,3,Beautiful grounds but hotel and management have seen better days,"We stayed in a suite on the 5th floor, which was nicely designed but dated somewhere around 2005, which is when I am guessing this property was last refreshed. The suite itself was comfortable, with a nice fruit basket provided by management. The suite featured beautiful, large bathrooms with Hansgrohe fixtures and Hermés toiletries, but the bathrooms are also showing their age, with numerous cracks and repairs evident on the marble surfaces. The halls are dark and humid as the hotel has elected to turn off the AC in these areas. You can also see where painting and drywall repair have been done and not repaired in a professional manner. The restaurants by the pool and ground floor are wonderful, with professional, kind staff and great food. The outside garden is gorgeous, one of…",sofitel _rabat,rabat
 September 2018,5,Mark Bronsky visit to Rabat,"I travel to Rabat approximately every 6-8 weeks. Sofitel Jardin des Roses is the only hotel that I will consider due to my excellent experience. Probably the best shower I have taken in the past few years. Room service is fantastic, front desk, cleaning staff, are all top notch.",sofitel _rabat,rabat
 September 2018,4,Comfortable Experience,"Rooms are comfortable, staff is courteous, location brilliant, food average. However the bothering thing was air conditioning in the conference hall in particular and hotel lobbies / corridors in general. Have seen windows open, to be honest had not asked about.",sofitel _rabat,rabat
 September 2018,5,Pleasant 10 Day Stay,"Always professional and courteous! Guest manager Miriam always tends to my every need. The Club Millésime staff are great, Nadia, Khadija, Hicham, and Mona. All receptionist, concierge, and doormen are friendly and helpful. Receptionist assistant manager Hasnaa always smiles and ready to assist. Great Job! The facilities are more than adequate, with spa and pool amenities top notch. The gym needs to be revisited. There are outdated equipment and much room for improvement. However, Nourdine the fitness instructor is very knowledgeable. I recommend that management ask him for redesign ideas. There are no basic weight apparatuses like bench press or curls. Plus, a lot of machines are broken and useless. I see a lot of people in the gym, so attention to this area is a priority! …",sofitel _rabat,rabat
 September 2018,5,Service,"I would like to say that the service I received in the hotel an especially in “Club Millésims “ was perfect! They make sure that the guests are as satisfied as possible. My waitress was the sweetest I have ever met! Nadia the manager and the staff, loves their job and works with their heart, which makes the energy perfect!",sofitel _rabat,rabat
 June 2018,5,Very Good Service.,"With regards to Ms Nadia @ Lounge on 8th floor, Club Millesime for very good services. Always friendly and helpful and always offering excellent food and drinks. Best coffee with milk in town. It's a pleasure to be here.",sofitel _rabat,rabat
 August 2018,5,Kids play station,Its good to be at the swimming pool with my little girl Alina..so many things to do here especially in the kids playing area..KARIMA is so nice and acvomodating even there's a lot of children..no tiredness of playing with the children..hope to be back again here..Inchallah,sofitel _rabat,rabat
 August 2018,4,Sofitel Jardin Des Roses Rabat,"I’ve been living at this hotel for the last 2 months. The staff has been fantastic,from Housekeeping’s Zineb making sure that every detail in the room is carefully looked after. The lounge Nadia , Khadija and Hicham have everything covered from the time you walk in the door! Real VIP service. The Amber Bar is great place to meet and pass your time. The Bar tenders are Knowledgeable and usually pour generously. The wait staff is very friendly and know you by name the second time you walk in the door. The Night club SO Night Club was really fun as well. The Band was very good Mark, Hamza , Ridho . And the two singers were a total pleasure, Jodi had his style going most of the time and Alexis was totally poetry in motion with a voice that could rock the house but still sultry and…",sofitel _rabat,rabat
 August 2018,5,Great hotel even better lounge service.,"Jardin du rose is definitely one of the best hotels in Rabat, but I want to make a special note about Nadia who goes above and beyond for her guests. THANKS Nadia! Will be coming back when in town for business",sofitel _rabat,rabat
 July 2018,5,Excellent stay,"I enjoyed my stay in Sofitel Rabat thanks to guess relations manager Meryam and Hassna. They were very helpful, courteous, and very professional. They took care of my needs. I also enjoyed the club, and the staff- Nawal, Nadia, Khadija, Mouna, and Hicham were phenomenal. Aziz and Hassna from the front desk were great. Finally, Nawal left my suite spotless and very clean; Noufal was great!",sofitel _rabat,rabat
 August 2018,5,Best first taste of Morocco,"We stayed for two wonderful days. Hotel is close to perfection. Beautiful scenario, clean, always in order. Smiling people ready to give help. We recommend it in the strongest terms. Breakfast in the garden terrace is the best way to start a day in Rabat",sofitel _rabat,rabat
 June 2018,5,Exquisite afternoon at the spa,I traveled to Rabat for leisure to enjoy the Mawazine Festival. I didn’t stay at the Sofitel this time because it was already full at the time I reserved but I booked and afternoon at the spa. It was not my first time and as always it was tremendous time. The massage lady was super caring and I spoiled myself with delicious macarons from the Wright Thés store in the hotel lobby. These macarons are perfumed with exceptional tea blends and this was a perfect match for my spa indulging time... What an exquisite afternoon!,sofitel _rabat,rabat
 August 2018,1,Terrible service,"I’ve never experienced such a terrible service as this time when I went to the Sofitel Rabat. I ve been to the swimming pool and I ve requested an umbrella for my kids and myself. I’ve kept asking for the umbrella during 3 hours and I saw them giving umbrellas to new clients but never thought about the kids under the sun for long hours. The staff was not dealing with the issue seriously and they even kept laughing between them when I started becoming nervous about their lack of professionalism. I’ve requested to see the responsible to be reimbursed but he didn’t come. So, I left and I’ll never come back there. It’s a shame the Sofitel is providing such a terrible service to its clients especially that the prices are very high. PS: food at the swimming was not good. Tasty at…",sofitel _rabat,rabat
 July 2018,5,3 Week Stay,"First and foremost, this is one of my favorite Sofitels because of the staff. The Club millésime crew are the best, Nadia, Nawal, Khadija, Hicham, and Mona are so warm and friendly. They are always smiling and ready to assist. Miriam the guest manager is another doll who tries her best to provide you with anything you need. The SO Spa is nice, Ijlal does a great job. So overall the staff is exceptional to include everything from housekeeping, room service, reception, concierge, and doormen. So great job all! The gym could use some renovation, it has some outdated equipment and does not compliment the rest of the hotel facilities. The garden is beautiful, and there are plenty of restaurants and shops. One thing to watch out for, weddings! If there is a wedding planned there for…",sofitel _rabat,rabat
 July 2018,5,Wedding night,"Thank you Habiba for setting up the most romantic suite for our wedding night ! Everything was perfect, flowers everywhere, suite was clean and tided up. Everyone from the front desk was also very helpful, sprecially during the preparation.",sofitel _rabat,rabat
 July 2018,5,Best Place,This place is like heaven . Staff are always polite .The rooms are beautiful. A lady called Aisha is in charge of my room and she is just THE BEST . She is always making sure my room is cleanand I have everything I need . Best hotel in Rabat for sure !,sofitel _rabat,rabat
 July 2018,5,Great hotel in Rabat,"I was staying at this hotel and the i loved the hotel decorations , foods are great, they served me moroccan tea that i really loved, the pool is amazing, garden is breathtaking, there was a bar for sisha and aslo lounge with live music,was great experience stayin in this hotel , big thanks to Fatima and aicha they always made my room, definitely will comeback to This hotel when i go to rabat morocco.",sofitel _rabat,rabat
 July 2018,5,Extremely pleasant.,"I stayed for work and it was extremely pleasant. Slightly tatty in places but still deserving of 5 stars. Wonderful food, just a little on the expensive side. Rooms are great and the pool is fantastic. Extremely helpful staff also. Would recommend.",sofitel _rabat,rabat
 July 2018,3,Questionable Five Star,"I’ve stayed here several times, with some great experiences and some less so. This time was in the less so category. Upon arriving to my room I found that it had a tub rather than shower. Called down to front desk and was told they were sold out, even though later a friend checked in and got a room with shower without requesting it. Some of the rooms are beginning to show wear, and this time the air conditioning struggles to get the room to an acceptable temperature, even though the outside temps were not unbearable.",sofitel _rabat,rabat
 July 2018,5,"Excellent service, great views, convenient location","Excellent Sofitel. The service at the business lounge in the 8th floor was fantastic (especially Nadia!). FYI: Some of the rooms only have bath tubs and no showers, I wished all rooms have showers. Next time during booking I will request a room with a shower. Per the front desk all you have to do is ask.",sofitel _rabat,rabat
 June 2018,4,Nice hotel in Rabat Morocco.,"I liked this wonderful hotel. A large garden of roses that worths its name,large and clean rooms, delicious and varied breakfast although without scrambled eggs, young and helpful personnel ready to serve, I didn't regret my stay despite the loud music from the mawzzin festival next door.",sofitel _rabat,rabat
 July 2018,5,Lovely end to a super evening at the international stage at Mawazine .,Super hotel with excellent layout of seating over looking a palm garden . Truly a lovely setting and designation hotel . Staff are lovely too . End of a beautiful evening at the famous music festival held in Rabat . Mawazine .,sofitel _rabat,rabat
 July 2018,5,Wonderful spa,"Although I stayed at another location, I couldn't pass the opportunity to enjoy an amazing Hammam at the Sofitel spa in Rabat. Sayida was fabulous, made me so comfortable and my skin like brand new. She is a gem, not to be missed!",sofitel _rabat,rabat
 August 2017,5,Very friendly staff and comfortable stay,"I stayed for 7 nights in this hotel. Good location, nice decor and design. Spacious rooms and comfortable bed. Nicely clean rooms. Very convenient for business and leisure travelers. I highly recommend this hotel to anyone looking for a comfortable stay with friendly and professional staff in Rabat.",sofitel _rabat,rabat
 October 2017,2,Running out of supply at breakfast,I booked this hotel because it seemed to be one of the better hotels in Rabat. I have no complaints about the room and the personnel is very friendly and helpful. But the juices and bread were getting empty 30 minutes before breakfast ends. I do not expect this at a Sofitel hotel.,sofitel _rabat,rabat
 August 2017,4,No Camels to be seen ...any where !!!!,"Very nice Hotel with very nice rooms and surroundings perched over looking Rabat it does take a Taxi ride to get in to Rabat unless you like Hiking for the `morning ,although the Tram system in Rabat and the surrounding area is first class ,quick and clean and cheap to get into the city centre ,Breakfast was first class with a whole host of food one of the best i have seen for my over 20 years of travel on display ,loved the hotel although i wish i could have picked it up and moved it closer to the city centre so it was walking distance ,but for the quality of stay in this hotel a Taxi or Tram ride is a good compromise and also adds for a little adventure although work out a price for the Taxi before you close the door ,my advice is to get the Taxi to drop you of on the tram…",sofitel _rabat,rabat
 June 2018,4,I would visit again and again,"A large hotel with a very nice green garden that fits with its name ""jardin des roses"". Very clean rooms, very rich breakfast despite the lack of my favorite scrambled eggs. Ihad sometimes a feeling that the room maids and the waiters are overwhelmed by clients requests so they seemed to respond with some delay, but that seems normal when you know that the hotel is close to a mawazin-music festival area and so many music stars and temporary clients prefer to make a relexing halt in this hotel.I highly recommend sofitel le jardin des roses Rabat.",sofitel _rabat,rabat
 June 2018,5,The best guest relation agent,"We stayed for four nights in this hotel. Good location, nice decor and design. Spacious rooms and comfortable bed. Nicely clean rooms and nice set up on bathroom. Very convenient for business and leisure travelers. But what impressed us more is the guest relation team specially Hassna. A person who was following with us through our stay and making sure our stay is comfortable and our son is enjoying his time in the hotel. She goes out of her ways and coordinates with all hotel departments to make sure they deliver our request on time. Bravo Hassna and thank you very much. We would like also to thank all hotel staff from the concierge,receptionists, waiters, housekeeping, and security staff who were doing a great job as there was s big event in Rabat next to the hotel but we felt…",sofitel _rabat,rabat
 May 2018,5,Stunning,"Pricy but worth it. This is one of the best hotels I’ve seen. The gardens are beautiful. The staff is friendly, the lobby gorgeous. One problem though hard to get a taxi!!! I was very impressed! They gave a superb view of the gardens and it was a phenomenal night",sofitel _rabat,rabat
 June 2018,4,BOOSTING SPIRITS AFTER A LONG JOURNEY,We are on holiday in Morocco and upon checking in the hotel tired and hungry we had a small issue at the concierge & upon raising it with the duty manager Hamza he immediately ordered for us Moroccan mint tea and sweet bites & served it himself too. All our worries were wished away upon addressing the complaint and our smiles were put back on our faces considering the fact as this is a foreign place for us. Congratulations to Hamza and hoping his team do continue to emulate him.,sofitel _rabat,rabat
 May 2018,5,Absolutely loved it!,"The room needed a tiny bit of TLC for wear and tear but the brilliant atmosphere, facilities, food, views and wonderful staff mean you really don’t notice and, if you do, you don’t really care! Awesome rain shower, such a comfy bed and generally good sized room. My girlfriend really loved the Spa as well. Thank you Sofitel for a fabulous stop on our Moroccan tour!",sofitel _rabat,rabat
 June 2018,5,The beautiful Sofitel,"I think it’s the best spot in Rabat ! Up to the international updates ! Rooms cleanliness and set up , restaurants , customer service , food quality , and the view all in all is a great job . Thank you",sofitel _rabat,rabat
 June 2018,1,"First time I've ever had to rate a hotel as being ""Terrible""","As a Le Club Accor Platinum member I have enjoyed numerous Sofitel hotels in Morocco and round the world which makes this hotel stand out as so disappointing. So bad in fact that my wife would rather loose money paid for a future reservation than having to risk further abysmal service. Emails sent to the duty manger H6813-DM@sofitel.com, to Revenue Manger H6813-RM@sofitel.com go unanswered. Requests to escalate to General Manager Hassan Bargach are refused. I have been forced to raise complaint with Accor Customer Care as attempts to reach out to the hotel management to seek resolution have been ignored. Even Accor customer care can't get a satisfactory response from the hotel, instead getting the run around by the hotel. The only thing Magnifique about this hotel is they…",sofitel _rabat,rabat
 June 2018,5,Luxurious Room,"My first impression upon entering the hotel ground is as if I am being treated like a royalty. The hotel ground is beautiful and the room itself did not disappointed. We stayed at the regular room and it was very spacious. The bed was extremely comfortable and the shower was pretty spacious as well. The receptionist staff was nice but I can tell that they were not comfortable speaking English and would often look for the concierge staff for assistance. The concierge staff was very helpful in arranging a taxi driver that took us sightseeing throughout Rabat. He gave the taxi driver instruction of where to take us. In addition, we were able to ask the taxi driver to take us to additional places. After having experiences with different tour guide from other cities in…",sofitel _rabat,rabat
 May 2018,5,"Wonderful experience at SOFITEL, Rabat","I attend the UCLGAfrica Executive Committee meeting at Sofitel and was really impressed with the level of service at this hotel. My first impression entering the lobby was WOW!!!!!. The architecture, the service, the staff, the food,.....nothing to complain about. the massage at the SPA was below expectation but quite good. The bed was so comfortable. Very large room, clean with all the expected facilities.",sofitel _rabat,rabat
 April 2018,5,Had a great time,"We have been to the Sofitel a few times, each time it gets better. The difference is in the staff the girls in the reception are great and always willing to help from giving directions, helping with exchanging money and much more. one young lady i think her name is Houda always has a smile and is ready to help us, even with some of the translations as we don't speak or read french and she is always willing to help, she was kind enough to help us purchase tea to take home, as the girl in the tea store did not speak any english. see its the nice little things one does the makes a big difference for a guest.",sofitel _rabat,rabat
 May 2018,5,Nice hotel,Nice hotel for business and even leasure in a good location and nice helpfull staff. The food is nice the breackfast is not up to the hotel standards as i think it should contain more options. The overall stay was nice.,sofitel _rabat,rabat
 May 2018,5,A very good stay,I really appreciated the excellent service and the Spa. Rooms were very clean. I specially recommend the Swimming pool restaurant where I had a very healthy meal. The hotel is very central as You can go to the golf or to the city center within the same time range. To be renewed,sofitel _rabat,rabat
 May 2018,1,This is not the Four Seasons,"We stayed in the most charming hotels and Riad in Morocco and were disappointed when we found our own way to our hotel room and there was a chair wedged against a passage way door to another room, a large stain on our carpet, and a dirty washcloth on the chair. When we talked to the receptionist as we wanted to leave early after explaining why we wanted to leave, her reply was "" You already paid for the next night"". We waited 1 and 1/2 hours for our luggage and it never came to the room and we had to go to the lobby to get it.",sofitel _rabat,rabat
 May 2018,1,Reminds Me of a Motel,"Let's be honest here... this hotel is faux luxury. The lobby is filled with male workers who oogle my young daughter with their eyes. Maybe its cultural, but this behavior was not tolerated nor experienced at the Four Seasons in Marrakech or Casablanca. Second, our room was purportedly ""nice"" but has a giant stain on the floor in carpet and a dirty napkin on the chair. There is chipped paint everywhere. NO CULTURAL TOUCHES. This is merely a Holiday Inn on Steroids. Do not be fooled by photos as they do not highlight the overlooked moldings and cracked tile. I would be happy in a small, clean Riad with character without the five star price tag rather than this feigned luxury.",sofitel _rabat,rabat
 August 2017,4,Nice,"The hotel staff were nice, amazing suite good decoration nice balcony view on the garden. Swimming pool is huge, green garden for walk. Breakfast was amazing and many choices. Good experience and one of the best hotel in Rabat",sofitel _rabat,rabat
 February 2018,5,Golden Fish restaurant Sofitel Rabat,"A friend and I had the good luck to stay at the Sofitel for 6 nights on a trip to Morocco. Having been busy during the day time it was a delight to relax in the Golden Fish restaurant. Great tasting and dishes along with deserts one can normally dream about! Plus friendly staff who looked after all our needs. Thank you Sau Fiane, Rafik and Salah.",sofitel _rabat,rabat
 April 2018,1,"Terrible customer service, poor quality room. Staff don't care about you",I'm half through a week long stay here and really not impressed. 1) there is a gap between the shower and wall so water pours all over the floor when you take a shower 2) the shower is over the bath with a massive gap so you have to limbo yourself to use it 3) I ordered lunch at pool restaurant with 95 being charged on menu and with 120 on bill! I queried this and a very rude waitress told me that they gave me a larger portion which I didn't ask for. I wasn't happy with her response so spoke to the food and beverage manager who gave me a mocktail and a free sandwich the next day. Thank you 4) the room keys don't work every day. So you go in the lift and walk to your room. Ours is on 6th floor and you can't get in! Very annoying as we've kept them deliberately away from our…,sofitel _rabat,rabat
 April 2018,5,So Spa: Hammam & Body Scrub,"Enjoyed an amazing Hammam & Body scrub in Sofitel Rabat today. Saida looked after me & she was amazing. Such a lovely lady & my skin feels divine. Thank you, Saida, I cannot recommend you highly enough.",sofitel _rabat,rabat
 February 2018,3,Very good experience spoiled by billing problems,"On arrival the hotel upgraded my booking of “Luxury Room - Club Sofitel - Double or Twin, including breakfast” to junior suite. This was for two nights i.e. from 21st Feb 2018 to 23rd Feb 2018. The suite was very spacious including an extra-large and well-furnished drawing room, and a bedroom with a balcony. Toiletries provided were minimal but adequate for me. The remarkable feature was the way rose petals were abundantly used to decorate everything. A bottle of champagne was also nicely kept in the ice tub. Since my trip was tightly scheduled, I could not explore much of the facilities. The rose garden did not have the flowers as it was not the season. But the garden and exteriors were maintained well. Breakfast served were also good enough, though may not exceed the…",sofitel _rabat,rabat
 April 2018,5,Spa treatments,"The massages are very relaxing. The facial is also very good. My skin has never looked this good. A particular spectacular employee is Kawtar. She knows exactly what she is doing, using the best products, explaining throughout why and what she uses. She is very professional and kind.",sofitel _rabat,rabat
 April 2018,5,Luxury hotel!,We stay as a family of 2 adults and 4 children. Great breakfast!! Amazing design!! Excellent maroco food. I would recommend it for couples!! And also for family. The only prontos that he is far from down town,sofitel _rabat,rabat
 April 2018,3,"Amazing lobby, poor rooms","Lobby and customer service is amazing. Room carpet is vile. Fixtures and fittings (at one point were probably very nice), but now dated and dirty. Blood on the bedding. Didn't use the pool but it looked nice, and separate pool for kids. Location is far out for anything without a car / taxi ride.",sofitel _rabat,rabat
 April 2018,3,Needs renovation,"Need a renovation ASAP, the rooms are old and smelly. The service is very good and friendly. The fish restaurant food is bad, I tried the catch of the day, it was a sole and when they prepared it they killed the fish. The gardens are beautiful and the location is good.",sofitel _rabat,rabat
 March 2018,4,Luxury hotel,"This is a lovely upmarket hotel with superior rooms, service, wifi, breakfast and overall comfort. My only two comments to explain the very good rating, rather than excellent, were its location and our bathroom. As tourists the hotel was not centrally located so unless you ate at the hotel you would need a taxi to take you to other restaurants. It was about 10-12 mins to the Medina in light traffic at night but it was slower during business hours. Our bathroom was lovely except it only had a bath with a hand held nozzle for the shower. There was no where to hang the nozzle so it had to be held all the time if using it. The bath was also quite deep so might present a challenge to someone a bit older. However it was a beautiful hotel and I would stay again",sofitel _rabat,rabat
 March 2018,5,Perfect,"Perfect stay at the Sofitel jardin des Roses Rabat. All has been great: The rooms, bathrooms, views, surroundings and restaurants. Above all, a warm thank you to all the staff, especially Faouda from the breakfast. She treated our venue like kings Will return for sure",sofitel _rabat,rabat
 March 2018,5,Great great great!,What a priveledge to be able to stay at this wonderful hotel. The staff were all very friendly! Even the ladies who clean and monitor the rooms were great! We exchanged several laughs while sharing an elevator on the way to the lobby. It was my first stay in Rabat and staying here made everything memorable.,sofitel _rabat,rabat
 August 2017,5,great hammam,"I have had an unforgettable hammam treatment witn Saida.She really is very experienced in it and give you a great time.A real proffesional.I will recommend her to everybody.After the hammam she gave me a nice moroccon minttea, what I like so much.I enjoyed it and will come back for sure.Thank you, Saida.",sofitel _rabat,rabat
 March 2018,5,Fabulous garden setting for a world class hotel!,"We were thrilled with our recent stay at the Sofitel Rabat Jardin des Roses. Beautiful, serene gardens frame this elegant resort hotel, an oasis apart from the hubbub of Morocco’s capital. Large, comfortable rooms, delightful restaurant fare and friendly, helpful staff complement the splendid atmosphere of the Sofitel Jardin des Roses in Rabat. We heartily recommend this world class hotel.",sofitel _rabat,rabat
 March 2018,5,Lovely hotel,"Such a beautiful hotel, a real breath of fresh air!i Just been to a massage at their Spa and it was amazing! Really recommend a masseuse called Kawtar, she healed my stiff back in a matter of an hour!",sofitel _rabat,rabat
 March 2018,5,So Spa,"The best hammam ever, many thanks to employe Saïda, she is very professional and treats guests like princes. Clean and beautiful hammam area, natural products used and my skin, body and mind refreshed. I enjoyed a book with a delicous Moroccan menth tea after the treatment at the spa. I had a very relaxing time, definitely will come back! Thank you! Sali from Hungary",sofitel _rabat,rabat
 March 2018,5,Thank you Habiba floor supv !,"I was in Rabat last weekend for my engagement party. Just want to say few words to thank Habiba who was a great listener/advisor and a very reactive to my various needs. Moments before significant life events are important, critical to surround yourself with helpful people. Thank you Habiba !",sofitel _rabat,rabat
 February 2018,5,Moroccan Luxury,"In every sense of the word, Sofitel Jardin des Roses is 5-star luxury. Centrally located in Morocco's political capital, the hotel is distinguished amongst all others in Rabat, not only for it's beautiful architecture and accommodations, but for its first class amenities and spectacular guest service. Upon arrival we were kindly greeted and escorted to our room. The suite was clean, modern and stylish in decor. The table had hot mint tea and a gourmet selection of handmade sweets awaiting our arrival. And, the balcony boasted a gorgeous view overlooking the resort below and distant cityscape of Rabat. Over the next 24 hours we were whisked away upon a romantic adventure across the hotel's sprawling gardens, into the breathtaking marble hammam for massage and stone scrub, seated…",sofitel _rabat,rabat
 March 2018,5,"Wonderful home away from home in Rabat, Morocco","I travel periodically to Rabat for business and I have had the pleasure of staying at the Sofitel Rabat Jardin des Roses several times. The physical facility is tasteful, beautiful, and well-maintained. The food is delicious---they offer traditional Moroccan dishes and other international food, all of which are the highest quality, taste, and presentation. I especially enjoy the GYM---it is immaculate and the hours are convenient for guests who are from different time zones. The rooms are modern and clean with lovely bathroom fixtures, inviting beds, an oval desk, and a reading couch. The views from the room are something out of a travel guide---so gorgeous that no camera can do it justice. The staff are categorically ""on point"" at all times and truly understand the…",sofitel _rabat,rabat
 February 2018,5,Amber Bar,"Had a great stay - wonderful gardens, pool and spa. We were especially spoiled in the Amber Bar by Jassine Cujiba and Benmooussa Salmi! We were waited on hand and foot, cocktails were amazing, and loads of great nibbles.",sofitel _rabat,rabat
 March 2017,5,Excellent staff,"All of the staff within the entire hotel are extremely accommodating the golden fish has Sofianne and Younes the Amber bar has Anouar. Nabil, Mohammed and zahira the very best staff on reception with Houda and Iman and all of the team at the hotel. I would highly recommend a stay and always feel free to ask for assistance as they are more than happy to accommodate your every need.",sofitel _rabat,rabat
 February 2018,5,Fantastic friendly staff,"Just come back from a 6 night stay in the Sofitel Rabat, lovely hotel, great food and service in both the fish restaurant and the Moroccan. I just wanted to say a big thank you to both Soukaina and her floor supervisor Zineb for keeping my room so fantastic, thank you ladies, I look forward to my next visit.",sofitel _rabat,rabat
 February 2018,5,Amber bar,Special thanks To samir the greatest water i ever met we spent a great night thanks To him and his services . Keep smiling Samir we need that !! It was just Perfect. See u soon ..............un.moment agréable grâce à ce serveur aimable souriant .un.service client irréprochable,sofitel _rabat,rabat
 February 2018,5,Sofitel shines,What an amazing hotel it’s a cultural hub with great decor and very nice staff in all areas. I travelled for business and was very busy the staff made me very welcome . I loved the breakfast and the bar area where you could eat work smoke and relax. The room was amazing with a balcony overlooking the Royal Forest . I love Rabat and love coming here .,sofitel _rabat,rabat
 February 2018,3,Tired,"She was once considered grand. She now sits a tad worn and frayed amongst beautiful landscaping. The property is sprawling and mature in its landscaping. The gardens are spectacular with fruiting orange trees, palms and enormous blooming hydrangeas (I think). Unfortunately, the namesake roses were not to be found but tiny little plants requiring some love and attention. The lobby, restaurants and especially the guestrooms are tired. Very, very tired. My tub/shower combination was dreadful. I was challenging for to figure out how the overhead shower worked and when it did I flooded the bathroom. There’s only a small, hinged glass panel to keep the water in with no lower lip. I had to request extra towels counter to their water conservation efforts. The light…",sofitel _rabat,rabat
 February 2018,5,Flawless,"Away from the medina. If you want to be dettached from the real Morocco and be pampered this a great choice! Great rooms, beautiful gardens and swimming pool, excellent restaurants. Attentive service too.",sofitel _rabat,rabat
 January 2018,4,Nice hotel,Very nice accomodations and friendly staff. It is not close to any grocery or corner stores and does not have a convenience store itself. Be sure to hang the “Do Not Disturb” sign on the door as staff will enter the room after a knock and brief pause.,sofitel _rabat,rabat
 February 2018,5,Very friendly staff and comfortable stay,"I had an amazing stay at thia hotel, the staff were exceptionally friendly in particular receptionists Houda and Imane. I highly recommend this hotel to anyone looking for a comfortable stay with friendly and professional staff in Rabat.",sofitel _rabat,rabat
 January 2018,5,Number one,"Excellent hotel , had a conference there , hotel is big well maintained , fantastic food ,excellent staff ,there is a nice forest nearby ,the only small issue is its location a bit far from main attractions",sofitel _rabat,rabat
 January 2018,5,Best hotel in town?,"Been to Rabat a few times and this could be the best hotel in town. It may not have the charm of some smaller places in town like the 'Tour Hassan Hotel' but it has many great things to like. Updated rooms, which are spacious, large modern and clean bathroom, overall very good service from staff and a calm/quiet neighborhood.",sofitel _rabat,rabat
 January 2018,5,Excellent Hammam experience,This was my first Hammam experience. My husband and I combined it with a half-hour massage. Saida provided me with a most relaxing experience in the hotel spa! This was welcome after a week of very long work days trying to finish an assignment. All staff were professional and knew their trade well! They made us feel comfortable with the whole experience. Our experience ended with a relaxing Moroccan tea and cookies.,sofitel _rabat,rabat
 January 2018,5,Loved this hotel,"I wanted to live here. This hotel was beautiful, and a nice change from some of the others we stayed at while in Morocco. The grounds were stunning, with a magnificent tree lined garden area, and the rooms were large and comfortable. The pillows were just right, and the beds were great. No complaints at this property",sofitel _rabat,rabat
 January 2018,5,Don't think. Stay here.,"Best hotel we stayed in Morocco. Clean. Friendly staff. Many restaurant choices. MAGNIFICENT property. Beds were very comfortable, the bathroom was spacious and very clean, and was one of the few hotels with a makeup mirror in Morocco. The breakfast was great, and I would highly recommend this hotel.",sofitel _rabat,rabat
 January 2018,5,Beautiful Hotel and Friendly Staff,"Stayed here on group trip. This hotel was clean, beautiful and modern. The bathroom was clean with a good shower and the bed and pillows were comfortable. Hasnaa Yassine kindly attended to our every need when we had a minor health issue. The whole staff from housekeeping to food service were wonderful.",sofitel _rabat,rabat
 January 2018,5,Heaven on earth,"I really enjoyed my stay there, professional and friendly staff. I could spend all the day walking in the gardens. My wife felt in love with the Spa. Thank you Miss Shemsi for taking care of my wife while i was having a disappointed stay in Sofitel Casablanca",sofitel _rabat,rabat
 January 2018,5,Hamam and Spa,Excellent spa and above and beyond personel ! Kawtar if i remember correctly gave an expert massage and her colleague (cant remembet name) gave a very good hammam experience. Price is very reasonable as well,sofitel _rabat,rabat
 December 2017,4,"Nice stay, beautiful hotel","We stayed for one night only at the Sofitel Rabat last December. The hotel is beautiful and modern with nice (but not very spacious) rooms. Like other Sofitel I've stayed, the bathroom is open in the room which is OK if you are alone but not so good if you are sharing the room. The location is also not the best one as it is a bit far from the city centre and its attractions, even though Rabat is not a touristic city. The Hotel gardens and pool area are gorgeus! The restaurant serves amazing food but service despite polite and nice is slow.",sofitel _rabat,rabat
 January 2018,5,Excellent as Always,"We had another excellent experience, from arrival to departure. Houda, at the front desk, is always there to welcome us with a smile, which starts our stay on a very positive note. The lounge staff is also fantastic - au petit soin!",sofitel _rabat,rabat
