 October 2022,5,"Amazing riad, a must when visiting Morocco","There are no words to describe this amazing riad, or better say magical castle! It is incredibly decorated, both in the common spaces and the rooms. The food is authentic and you can not imagine how delicious it is, both breakfast and dinner! But above all is the warm hospitality that will truly make you feel like you are with family. I highly recommend staying here. There are the cinema studios near by that will make for a great attraction. I know I will be back!!!",hotelName,city
 January 2018,5,"Very friendly and service minded staff, very nice accommodation","By friends we were recommended to stay over at this hotel. It was a very nice experience. Very friendly staff, food was excellent and the service and atmosphere were very good. High quality room, consisting of bedroom, daily room, bathroom and toilet room.",Dar_Daif,Ouarzazate
 December 2017,4,Overall good,We really liked the service at this hotel. However end of december it was a bit cold. THey have heating but it is nog nice you cannot sit outside. It was nice and warm outside the kasbah but because of the way it was build there was no sun on the terrasses. So I would recommend this place for the warmer months.,Dar_Daif,Ouarzazate
 August 2017,5,Very charming and authentic Kasbah,"We booked the suite in Kasbah Dar Daif for 3 days to explore the area around Ouarzazate. The hotel, the suite and the staff were all wonderful. The inner courtyard is beautifully maintained with lots of plants to create lots of shade. The courtyard also has a small pool. The suite is very spacious and nicely decorated. It has 2 large rooms (both with A/C), a large bathroom and a small guest room. Staff was exceptionally friendly and helpful, also when we changed our arrival date at the last moment. The hotel has a good and tasty menu with a nice selection of local food. The price of the meals is very reasonable. We normally choose to eat in local restaurants and not in the hotel. Based on the quality of our dinner on the first night we decided to have our dinners for the 2nd and…",Dar_Daif,Ouarzazate
 January 2018,5,Incredible,"The hotel is awsome! For a cheap price, they offer you a nice room, a pool and a very beautiful structure. The staff also is very gentle and helpful. Unfortunately, I spent just one night in the hotel.",Dar_Daif,Ouarzazate
 January 2018,5,Paradise!!,"One of the best hotel I have ever stayed! Staffs are friendly, kind and always smiling. The room was clean and well designed, we had wonderfull traditional moroccon night. I recommend this heaven without any doubt all the visitors, thank you dar daif!",Dar_Daif,Ouarzazate
 October 2017,5,Lovely Kasbah,"Kasbah Dar Daif is ten minutes outside of Ouarzazate. I wish we had stayed more than one night. Lovely garden setting with multiple verandas, hidden balconies and terraces with views of the surrounding countryside, some of the rooms have private balconies. There is a small (not heated) pool. Inside there are several charming seating areas. Feels very much like a home. Because of the layout, you don't realize how large it is, or how many people are staying at the kasbah. One of the best breakfasts we had in Morocco. We also had dinner, which was excellent. They allowed us to keep our wine in the refrigerated storage area in the kitchen. The kasbah is well maintained with an old world charm. We were a group of 10, and all gave Dar Daif a thumbs up. Some of the staff…",Dar_Daif,Ouarzazate
 December 2017,5,Wow!,"It's the most wonderful place! The room was super, as was the view. The staff was very welcoming and helpful, the owner Jean-Pierre gave us tons of great tipps, thanks again so much! Last but not least: the food is absolutely delicious. We will be back for sure!",Dar_Daif,Ouarzazate
 January 2017,5,Favorite place we stayed !,This multi-level kasbah is tucked away on its own and was a welcome retreat away from the busy medinas of Marrakech and Fez. Cozy and charming. We had 2 rooms for our family of 5. The vegetarian food was delicious ! The host/owner was so kind as were all of the staff. There is a peekaboo window into the kitchen where you can see the friendly ladies preparing meals. The green ceramic tiles and pottery come from a nearby town of Tamegroute. On entering the main house you exchange your shoes for traditionally embroidered “house” shoes. The ambience takes you back to another time. I️f we had extra time we would have stayed longer.,Dar_Daif,Ouarzazate
 December 2017,5,Amazing,"We just arrived at ouazarzate after a Long travel by car and what we were look in for was only a Clean bed and Hot shower. .But what we found was just amazing. As you enter. .. You feel as in a fairytale. . If you have the car I surely recommend this place. Super Clean, very Kind personell.. veeery good breakfast and dinner.good Job!",Dar_Daif,Ouarzazate
 November 2017,5,"Beautiful Riad, Especially After a Desert Trip","We stayed here the night before and the night after a three day desert tour and it was ideal for this. It is beautiful and luxurious (in what felt like a very traditionally Moroccan way), which was quite welcome after the long hours in the car and sleeping in tents in the desert. The food was quite good and you really felt like you were in a palace of sorts. However, it was super affordable given the level of luxury.",Dar_Daif,Ouarzazate
 November 2017,1,Dar Daif Bed Bugs,"A friend and I stayed at Dar Daif in Ouarzazate , MOrocco on the night of Tuesday 21 November 2017. We were both very badly bitten through the night by bedbugs, please see attached photo. I was bitten on my face, hands, arm, torso and leg and my friend on his arm, hand, neck and torso. I reported this the next morning to the employees at the front desk as the owner was out of town. This occurrence most definitely put a damper on the remainder of our time in Morocco, the bites and associated acute itching and great discomfort were very disagreeable, uncomfortable and wholly unacceptable. After returning home a few days later reported this to the owner via email and unfortunately he has not bothered to reply.",Dar_Daif,Ouarzazate
 October 2017,5,Charming,"Thank you so much to the owner Mr.Jean & his team for being a good host for me & my friends . We self drive using waze to arrive here , advice to go before sunset 🌅, there's ample parking along the street . We were serve with tea & biscuits while filling up the form and waiting to be check in to our rooms . The place was relaxing . Our room was spacious and comfortable, 2 of my friends went for the Hamman and massage 💆🏻 and we have dinner here , I saw Mr Jean the owner busy preparing the food in the kitchen , he's a hard working man so was his team . The food was delicious especially the Tagine chicken and breakfast was good 👍🏻.Overall was an enjoyable stay here !",Dar_Daif,Ouarzazate
 October 2017,5,Very special Riad / Kasbah,"Very special for it's unique rooms - the best we had in all Morocco . The food is outstanding, the staff is great. The location is out of city center - need a car for arrival. Owner is a french guy with a good willing and very nice touch for esthetics",Dar_Daif,Ouarzazate
 October 2017,5,A Paradise,"After a very long day on the road I arrived at the Medieval door of Dar Daif and was shocked when I entered the riad. The street was dusty, noisy and busy but once inside there was another world, a reception area and desk with a kind lady(Sarah) who welcomed me. I was quickly registered and taken into the centre of the Riad with a pool, fountain, beautiful landscaping and birds singing for mint tea. There was no hint of the outside hustle and bustle, just peace and quiet. The room was very traditional, clean and well maintained. It's evident the owner and staff take personal pride in the care of their visitors. Dinner was a lovely mix of couscous and tagine. There are multiple private patios throughout the riad at different levels for sitting, dining or just relaxing to look…",Dar_Daif,Ouarzazate
 October 2017,5,Whimsical,Got here after a long day of touring film sets. Been welcomed by wonderful friendly staff who could not do more for us! Got lovely tea and biscuits at the arrival. The hotel is wonderfully decorated and gives you a total moroccan experience! Very romantic! LOVED IT!,Dar_Daif,Ouarzazate
 August 2017,5,Excellent,"We stayed at Dar Daif twice and always had a very good experience. The house is located a bit outside the town but we always managed without a car (a public bus is available now connecting to city center). In front of the house there is a green agriculture area with date palms. The setting is peculiar and authentic since it keeps some features of a traditional local house: It is irregular and labyrintic with stairs, rooms and terraces on different levels. Rooms are well equipped, unique and welcoming; spaces vary in dimensions and luminosity, but are all very warm and cozy in our opinion,. Manutenction is good and everything is kept clean and in good order. There is an inner terrace-patio with a small pool and tables for having dinner with good weather. This place is full of…",Dar_Daif,Ouarzazate
 August 2017,1,Worst Place to Stay,"I made the reservation based on the reviews made by the other guests, so me and my wife we have decided to visit it since we are celebrating our Honeymoon. However i was shocked as once i arrived they did not allow me to check in because i was not carrying my marriage certificate with me. The lady and the guy who said that he is he supervisor he was completely rude and literally kicked us out of the property, after a long drive of 8 hours we were tired and we needed to shower and have some rest. I don't recommend this place to anyone. Regards, Oumahjoub.",Dar_Daif,Ouarzazate
 July 2017,5,Paradise,"My fiancé and I traveled to Ouarzazate in July and stayed at Kasbah Dar Daif. In my 33 years of traveling, this was possibly the best place at which I’ve ever stayed. We had an enormous, clean, and beautifully decorated room. The room had a romantic, in-set bedroom, an additional bedroom, a well-designed bathroom (with shampoo, soap, and lotion provided), and a private terrace with a lovely view. The staff were extremely kind and friendly and the service was outstanding. The owner even took the time to speak with us. On the first day we decided to take our dinner at the hotel. The food was superb! We ended up eating all of our meals for the rest of the trip at the hotel. Not only did we enjoy the fantastic food but also the location of our meals. We took all our meals on a…",Dar_Daif,Ouarzazate
 July 2017,5,Gracious hospitality,"Dar Daif is a bed and breakfast style lodge on the outskirts of Ouarzazate. It is a bit tricky to find, but once you're there it will be like you've found a hidden oasis. The property itself is beautifully constructed and furnished, and the courtyard is an absolutely beautiful and restful spot to take a meal. I was so impressed by how friendly and helpful the staff are. We had a problem with our air conditioner, and it was taken care of right away. Any question we had, there was a staff member who would listen to and help us. The owner, Jean Pierre, was quite gracious and friendly as well. He took time to sit down and talk to us, and arranged a driver to take us into Ouarzazate one day to see the kasbah and tour one of the movie studios. My friend and I stayed in a room on…",Dar_Daif,Ouarzazate
 August 2016,5,One of the best stay of my life,"I stayed only one night (unfortunately) with my girlfriend last summer and we literally loved the place and the people. The hosts welcomed us in their wonderful riad and they prepared dinner even if it was too late. The room was nice and clean, the bathroom was a bit small but definitely something you get used to in morocco. Getting there by car was a bit hard (even with google maps), but nothing impossible with daylight (I wouldn't advice getting there by night). Great place, great food, great people. Definitely recommended!",Dar_Daif,Ouarzazate
 May 2017,5,a hidden gem in the regio of Ouazazate,"We only stayed for 1 night on our way from Merzouga to Marrakech, but it was a perfect stop. When we arrived we got an upgrade of the room for the same price. Very friendly staff, beautiful courtyard, we had a nice dinner and breakfast, a good sleep and our car was even washed by the guard. I would definitely recommend this place!",Dar_Daif,Ouarzazate
 May 2017,5,Treated Like A King & Queen,"Outstanding service from beginning to end. All the staffs were friendly and went out of their way to ensure us having a good time. Dinner was served in our own private balcony overlooking the city which made it one the most memorable dinners I've had. They served free snacks in our room such as dates, peanuts, and tea.",Dar_Daif,Ouarzazate
 May 2017,3,"Gorgeous looks, OK place to stay","We were only coming in for 1 night as a stopover from the Sahara to Marrakech, and you actually have to make a small detour to get to the Dar. There's no official place to park your car, but if you park it on the curb of the Dar, someone will look over it. Once inside you'll be amazed by the setup; flowers, pretty balconies, fountains, refreshing pool and different flights of stairs taking you up to all corners of the Dar and some will treat you to amazing views. Overall our room was clean (except for a spider, but hey, TIA (This Is Africa)), luggage was brought up, bed was a bit small (especially for two tall Dutchies), wifi only works in the garden, I had a cold shower (but my bf's was medium warm), you have to take your shoes of halfway through the building (to preserve the…",Dar_Daif,Ouarzazate
 April 2017,5,Lovely authentic riad .,"Large,old and genuine riad. Staff were exceptional and the food even better They took such good care of us. We had a lovely room with views. My only regret is that we only stayed there for one night. WiFi was spotty but we were lead to believe it was due to satellite issues. Wouldn't have mattered normally but my daughter had a Skype job interview booked while we were there and desperately needed to connect.",Dar_Daif,Ouarzazate
 April 2017,5,Secret Treasure on the oute edge of Ouarzazate,"Once you made you way to Dar Daif and enter the door you leave all the dust behind you. A nice garden with well, pool, small tables to rest and singing birds. The rooms are small but charming. We had dinner just on the veranda in front of our room. Dinner was excellent as well as the breakfast. Friendly people made our stay very pleasant.",Dar_Daif,Ouarzazate
 April 2017,4,Very beautiful hotel but can improve,"The view from the hotel balcony was very relaxing. The Beautiful Kasbahs also offered dinner and spa. The staff gave us a wrong room. Normally I don't mind to pack the bags again and move to a new room, but after 6 hours driving, I was exhausted and already changed clothes. It was a very unpleasant discussion at the reception. In the end they decided to let us stay in the room with a price increase. We just want to enjoy the holiday and let it go. Breakfast was served every morning in huge quantities, but in my view lack of personality and quality. It was also quite annoying to have so many flies around during breakfast. Toilet needs to be flushed at least 3 times if you are lucky. There was a weird smell in the bathroom as there is no ventilation system in the shower.",Dar_Daif,Ouarzazate
 July 2016,5,My alltime favorite place to visit and stay !!!,"AMAZING PEOPLE , AMAZING FOOD , AMAZING LOCATION ........ AMAZING AMAZING AMAZING . If possible we will stay there every year !!!!!!! The French owner is an absolute expert of the region , the culture .... and there is a extensive library on site . You just have to ask anything and they will provide . Great little swimming pool ...... Like I stated AMAZING ;-)",Dar_Daif,Ouarzazate
 March 2017,5,Pleasure Palace,Like everywhere we travelled in Morocco the people working at Dar Daif were generous and welcoming and very attentive to our requests. You can usually tell how well a property is managed but how happy the staff are working there. We stay here for three nights and used it as a base to explore the many sights all within an hour of the kasbah. Particularly enjoyed the dinners in the evening in the plush carpeted alcoves that form the extended dining room. We were also entertained every night by several Berber musicians. Appreciated some tips for local sights from the owner for our trip to Zagora.,Dar_Daif,Ouarzazate
 March 2017,5,Amazing place,"You feel at home, that is the best way to say it. Extremely nice and friendly staff, beautiful rooms.....They also have excursions in the area, it is a bit expensive if you are alone, but cheaper if you travel with other people.",Dar_Daif,Ouarzazate
 February 2017,5,Unique experience : the place to be in Ouarzazate,A great Ryad in Ouarzazate and probably one of the best in whole Morocco without exageration. This place has such a special athmosphere ! The Moroccan food served is at an exceptionnal standard even from a Moroccan point of view. The view on the oued (river) is stunning. The Ryad is a bit far from city center (3km) and on a area which does not let you expect to have such high standards so don't be surprised when you first arrive (especially at night) what you're going to find inside is a jewel !,Dar_Daif,Ouarzazate
 January 2017,5,A magical relaxing experience!,"From the moment you step through the arched door, you are treated like a guest, rather than a customer - from the welcome of mint tea and moroccan cookies in the room, to the slippers provided to walk around the residence, it seems that everything at Kasbah Dar Diaf is done with a mind toward the comfort of the guest. The Kasbah is very much in keeping with the Berber tradition of the area, but with all the mod cons - wifi, air con, power shower. It's taken 25 years to restore the original building and the owners (Jean Pierre and Zinab) have done this with love, care and elegance. We explored this beautiful Dar, loving the artwork, and artisanship - carpets, metal-work, tiling - and it evidenced just how much care and thought had gone into the restoration. This mindfulness…",Dar_Daif,Ouarzazate
 February 2017,5,The best place we stayed in Morocco,"Oh man, how do I begin to describe dar daif? Oasis, meditative, quiet, romantic, relaxing, luxurious...Dar Daif was definitely the best place in which we stayed during our trip to Morocco. At around 60 euro a night we got our own private room on a roof top overlooking Ouarzazate and was able to stargaze while laying in a comfortable recliner into the desert sky. There are many features which stand out about Dar Daif: the slippers they give you to walk around, the endless mint tea and cookies, the fresh goats milk yogurt in the mornings, their kind attentive staff (everything is ""as it pleases you"" or ""your pleasure""), and beautiful setting to name a few. The only drawback which I will pass on because we got in a pickle about it, is they are about 10 minutes drive out of the city…",Dar_Daif,Ouarzazate
 August 2016,5,Exceptional experience,"The place is incredible. From the rooms, to the patio to the rooftop area, staying at Dar Daif was an unforgettable experience. Most of all though, the service, and especially the owner are as friendly and kind as they get. If I were to go back to Morocco I wouldn't miss going to Dar Daif for anything.",Dar_Daif,Ouarzazate
 January 2017,5,Such a lovely place to stay,Beautiful traditional Moroccan decor throughout the building. Lots of lovely terraces to sit and read a book. Very peaceful and situated just out of the town in the countryside. The staff were very hospitable. I would definitely stay there again.,Dar_Daif,Ouarzazate
 December 2016,5,Great and beautiful place to stay,"Friendly staff, an oasis of peace, beautiful riad, very nice bedding, excellent views and quiet place. Last but not least : une bonne cuisine. In short: do not pass by OUrzazate without going to this Riad.",Dar_Daif,Ouarzazate
 January 2017,5,Beautiful Kasbah with friendly staff and great breakfast!,"Beautiful rooms, great service and the best breakfast we had during our 12 days in Morocco. The rooms are absolutely perfekt - soap and towels, hair dryer and a welcome snack are provided. Absolutely recommended!",Dar_Daif,Ouarzazate
 January 2017,4,"Nicely decorated kasbah, with view of city and mountains from the terrace","The kasbah has a nice view from the terrace towards the city and the mountains. It has fine architecture and detailed decor, and one can get lost through all the hallways and stairs of the kasbah, trying to find the way from the room towards the dining area. Unfortunately, we were disappointed by the food served for dinner, especially after reading the positive reviews on trip advisor. The main course was reheated, we could taste it on the potatoes from the vegetable tajine. And the meat kefta lacked taste when compared to all the other tajine we have tasted over the past two weeks in Morocco. It was very surprising, and we thought the 22 euro per person was expensive. Maybe it was not the right season or not the right cook that night. The breakfast the next day and the lunch…",Dar_Daif,Ouarzazate
 December 2016,5,Wonderful find,"Not only did we stay here 4 nights with wonderful service, great food - they organized a 3 day trip for us up the Draa Valley with a chauffeur and a guide. Lots of walking and some visits along the way. One of us continues on to the dessert for a week organized by them. Very highly recommended.",Dar_Daif,Ouarzazate
 December 2016,5,Environmentally friendly approach,The personnel is eager to make your stay as pleasant as ever. The Kasbah is beautifully set in the middle of nature - the view from the terrace in the morning is spectacular. The Kasbah in itself is wonderful. We had dinner and breakfast (excellent and abundant). It's the top choice for a couple of extra-relaxing days. Our room had all the comforts. A plus to all this is the environmentally friendly approach that the owners decided to adopt in managing the Kashbah. Highly recommended.,Dar_Daif,Ouarzazate
 December 2016,5,Absolutely amazing!!,"This was by far the BEST place we have stayed during a 10 days trip around Marrakech. The whole building is a live museum, exquisitely decorated. Food is fantastic and can be served on the terrace with views on the whole valley. The stuff is very attentive and kind and the owner, Jean-Pierre, a very patient and thoughtful man who gave fantastic information and maps on the area - the trip was extremely unique thanks to him. Completely recommended!",Dar_Daif,Ouarzazate
 November 2016,5,quiet and amazing,"Was there for one night. Very friendly and helpful staff. Great location and architecture. Big and comfortable rooms. They also serve very good food. I didn't go to the Hamam, but my friend did and he said it was small, but good, traditional. Don't trust the GPS or you will end up in very narrow streets. There is a nice way to get there. I can higly recommend this place.",Dar_Daif,Ouarzazate
 October 2016,5,Moroccan Magic,"Two relaxing nights here to break our journey from Marrakech to the desert. Well out of town, with a rural outlook and distant views to the lake. Beautiful courtyard garden, with turtle doves to serenade us. Self-contained, traditionally stylish, peaceful and intimate. We ate delicious meals on a balcony, and were made to feel thoroughly welcome by the owner and his friendly and helpful staff. Merci.",Dar_Daif,Ouarzazate
 June 2016,5,"It is an interesting place to visit in terms of location good services,treat the client in best manner,a dream to live.","i was there and i feel as iam inside my family,nice place to stay in with a family or a friend. meals are so good,prices are normal...that place is not far from the kasbah of Taourirt,an ancien building that was built in the 17th century,studios of the cinemas is not far from the hotel,you can also discover the culture of the original people of Morocco.",Dar_Daif,Ouarzazate
 October 2016,5,Most authentic experience,"We had the chance to spend a night in Dar Daif. We had same last minute plans and managed to arrive one day before the day of reservation. We were 3 friends : Me (Moroccan), Vietnamese, and a Russian. It was by far the most authentic stay in a Riad or Dar during our 10 days trip. We also had free access to Hamam and a perfectly Moroccan breakfast. Before our departure, the owner gave us a map with special places to visit in our road to Merzouga. Last but not least, they washed our car. It was a pleasant surprise after a muddy road from Marrakech. Thank you",Dar_Daif,Ouarzazate
 October 2016,5,Perfect in every way,"The standard of service here exceeds 5 star easily, from a never ending supply of complimentary tea, coffee, biscuits, nuts and bottled water to the attentive and friendly staff even cleaning our car each morning! The building is a traditional Kasbah design with all the modern facilities you could want and a few old ones, make sure you use the hammam! The rooms are tastefully decorated, comfortable and have air-con and wifi. This was more like staying in someone's home as a special guest than staying in a hotel.",Dar_Daif,Ouarzazate
 October 2016,5,Perfect morocco,"A fantastically peaceful stay, with great food, lovely staff. I want to stay forever. I cannot find a single fault. It is a perfect place to use as a base to explore the desert and nearby oases. There is a small swimming pool, no alcohol, beautiful terraces and a shady courtyard with fountain. A really good night's sleep.",Dar_Daif,Ouarzazate
 October 2016,5,Paradise,"Beautiful hotel, like a fairytale. Friendly staff and good breakfast on the sunny terrace. Has its own kitchen with good food. The junior suites are large but very cozy. At our departure, the owner sat down with us to advise us on our further trip, which made our trip towards Zagora much more enjoyable. We would absolutely recommend to spend one or more nights here!",Dar_Daif,Ouarzazate
 October 2016,5,Relax stay,My friend and I spend two nights at Dar Daif and liked it very much! The owner knows his way around in Morocco and can informe you about different trips you can do on your own! Breakfast and dinner is good value! Highly recommanded!,Dar_Daif,Ouarzazate
 September 2016,5,wonderful experience,"one of the best experience during my Morrocco trip. Everything is just perfect. almost all staffs are very kind and professional, the strutture is a real oasis. excellent food, and what is more, the owner had organised a very special dessert trekking for me.",Dar_Daif,Ouarzazate
 September 2016,5,"Beautiful, comfortable and above all gracious","Everything that is good about the enclosed beauty of the Moroccan inner courtyard, with flowers, fountain, tables and candles at dinner. The rooms are spacious and comfortable and the staff delightful. Above all, the gracious attention of the owner, with his tips on roads to take and places to stop (including how to avoid Agadir, where to buy bananas en route and where to go for lunch by the sea) added a generous element of genuine care to the experience. In terms of money, also the best value place we stayed at.",Dar_Daif,Ouarzazate
 July 2016,5,wonderful place,"I was in dar daif with some friends. We spent one night, it was for us beyond our imagination. We didn't want to leave. The architecture, the location, the colors, the stuff, and the very friendly owner. Everything seemed to be perfect. I would love to go there again",Dar_Daif,Ouarzazate
 July 2016,5,Our best stay in Morocco,"Most amazing helpful staff! Especially the help of the owner in advising us the spots to visit were the best. Good clean rooms, and a nice pool. The breakfast was typical Moroccan, and delicious. They even washed our car for free! If you are going to visit Ouarzazate, you should definitely stay at Dar Daif.",Dar_Daif,Ouarzazate
 July 2016,5,"Our best stay in Morocco - amazing host, interior design, food & view","The Kasbah is a highlight of our Moroccan trip. It is beautifully decorated in traditional way and has an ecological certificate. Rooms are spacious accommodating 4, with beautiful view, separated wc and bathroom. The hotel has a refreshing pool and roof terraces with amazing views of desert with lake and mountains. The owner and stuff are so nice and helpful. The owner gave us useful informations with maps about surrounding trips and what do. The food was beautiful. Already upon arrival they served us fresh mint tee with home baked cookies. Planning a dinner here's a must. Everything you get is prepared in their kitchen. Breakfast is served on terraces and it is nice fresh air in the morning. Next time we would plan the whole week staying here! Bivanje v Kasbahu je bilo eno…",Dar_Daif,Ouarzazate
 July 2016,5,Great authentique place,"The owner is a researcher of maroccan culture and it shows in the Dar Daif. It is tasetefully designed and very complexed, with small terraces and secluded places. As we arrived we were served welcome minth tea and amazing cookies by very friendly staff. Dinner is delicious and you have a wide variety to choose from. The owner can advise you on whole of Morocco. Places to visit, restaurants...",Dar_Daif,Ouarzazate
 June 2016,5,WOW!,The road that leads to this gorgeous Riad reveals nothing of the beauty that will be revealed to you as soon as you are inside Dar Daif. The building is large and complicated. It is indeed like a maze with rooms and balconies at each corner. It was one of the most beautiful Riads we stayed in Morocco and we truly wished we had more time to explore the building. Staff is incredibly friendly and our host (who lives in the Riad) is a true gentleman. A lovely breakfast which is included in the room price is served at any location you want in the garden.,Dar_Daif,Ouarzazate
 May 2016,4,A castle outside the city center,"This Kasbah/hotel is not located in the city center so I would only recommend if you don't mind driving a few kilometers out of your way to reach it. They have secure parking. Upon arrival, they served tea and immediately began giving some advice and maps about the area and our next destination. Highly recommended if you need assistance in planning a road trip or excursions. I also appreciated the recommendations in town such as the inexpensive shop Rabat In the town; there is not much in the city center for tourists. Jean-Pierre and his staff are all very accommodating. The Kasbah itself is beautiful. You really feel like you're in a castle. they will provide you with slippers, and lead you to multiple sizes of rooms to choose from. We upgraded to a slightly larger room that…",Dar_Daif,Ouarzazate
 June 2016,4,A true oasis in morocco,After the hustle and bustle of casablanca and marrakech dar daif in ouarzazate was a welcome relief. It isnt a five star hotel by any means but for ouarzazate it was as good as it gets. (My ratings are based on ouarzazate hotels )The owner has 35 employees so the staff to guest ratio was excellent. I would call it more a riad than dar but I felt like I was in a moroccan home. The service was great and the food was the best I have eaten in morocco for only 23 dollars per person for a 5 course meal. The cooks were women and any body knows moroccan women are the best cooks. (Breakfast is included in the price of the room) You could either choose to eat outside your room looking at the desert and palm trees or eat inside the dining room which was full of moroccan rugs. Mohammed…,Dar_Daif,Ouarzazate
 April 2016,5,The best hotel I have even been,"Simply the best place I have even been to rest. I will return and I will tell everyone will pass to Uarzazate to pass at least one night in the Dar Daif. The ambient, the apartment, the people, the hammam...everything is incredible.",Dar_Daif,Ouarzazate
 April 2016,5,Amazing stay!,"Truly a shame that we only stayed for one night. When we entered the riad we decided to stay one day of our trip near the swimming pool and in the garden of the riad. We booked the mini room, but were upgraded to a bigger room, that we would definitely recommend. Breakfast was magical in this garden and includes a small chat with the owner. Rooms were clean and the riad was full of authentic Moroccan details. When we left the owner provided us with al the travel tips for our next destination.",Dar_Daif,Ouarzazate
 April 2016,5,really the best hotel we had in Marroco,"we didn't have a reservation, we just found it in TripAdvisor and we drove there. We arrived late but somebody is watching the house and parking from outside all the time, so we received help to park and he helped us with our luggages. We went inside, received tea and cookies. they are very polite, the room was clean and we had in our room peanuts, oranges and water. breakfast was delicios, dinner very consistent and delicios also. during the day we received orange juice,tea and cookies, and they didn't put it on our bill. even more, when we left we received instructions, maps and water for the road. I have only great words for the place, for the people in there! the house is very beautiful and traditional. so many terraces, one more beautiful than the other, and you can take…",Dar_Daif,Ouarzazate
 April 2016,5,So Beautiful...We Never Left!,"This is a little piece of paradise! It was such a peaceful spot, we just relaxed and never left for the days we were there. It was lovely to explore the place, sit by the pool and enjoy the fabulous food and ambience. All of the folks working there were lovely ! If you need a retreat and place for R&R choose Dar Daif. It is wonderful!",Dar_Daif,Ouarzazate
 February 2016,5,"We stayed unfortunately only two nights, if we knew before this hotel and the environment we have stayed much longer","Dar Daif is a fairylike and very clean hotel. The rooms are comfortabel and the view is great: a view on the lake and the mountains. The food is delicious and the breakfast with several kinds of bread, cheese, marmelade, eggs, coffee, tea, fresh orange juice can be used on a terrace with the great view. The hotel offers several excursions. We walked the Flint gorge and oasis. It was a beautiful and interesting walk guided by Ali. We had lunch in a typical Morrocain house. The hotel is near the town Ouarzazatet; the bus stops in front of the hotel and brings you in 15 minutes to Ouarzazate. Although we stayed only two days in Dar Daif, the owner gave us the feeling we were friends for many years. When we left we got nice Morrocain presents. For sure we will go back to hotel…",Dar_Daif,Ouarzazate
 April 2016,5,Friendly green maze behind high red walls,"The hotel itself is very special - a restored kasbah in a village outside Ouarzazate. Solid wooden doors let you pass through the high red clay walls into a hidden paradise. The welcome tea is offered in the courtyard beside a fountain, and you look up into a maze of stairways, balconies, terraces, rooms and dining areas. The friendly helpful personnel make it special. We were amazed when a mail message enquiring whether we could find their shuttle in Ouarzazte resulted in a pickup right where our bus arrived. We enjoyed learning to make pastilla with Fana, one of the cooks, and Dar Daif had the best pastilla we ate in Morocco. We had to save half for a picnic lunch, as the multi-course meals here are delicious but very filling. A walk around the village gives you another look…",Dar_Daif,Ouarzazate
 March 2016,5,"Beautiful Dar, full of quirky artefacts","We enjoyed our one night in Dar Daif. We were given a warm welcome . The room was comfortable. We ate our delicious food on a mezzanine floor which was really beautiful. I had a Hammam at the Dar which as a great experience. I had the best massage ever! And we were given a free pot of date conserve upon our departure. We travelled with “Naturally Morocco”. We have used this company several times and always found it to be excellent. Karen and Sue have in-depth knowledge and an obvious love of Morocco. The riads are all delightful, and itineraries are adapted to the customer’s requirements. All travel arrangements went to plan.",Dar_Daif,Ouarzazate
 May 2015,5,"Hotel, designed and run with love.","Very fond memories of this hotel. Beautiful spacious room, a very nice welcoming on our first night, a friendly staff and a proprietor who takes a lot of time to make you feel at home... And he also had a lot of helpful tips for the rest of our trip.",Dar_Daif,Ouarzazate
 March 2016,5,"Fantastic place, concept and people","My family (2 adults and 2 kids of 8 and 11) stayed at this Dar for (unfortunately only) one night in March 2016. The property is really great, with access to rooms from the outside, with a lot of little (and larger) terraces... very very pretty and characteristic. Everything is very well taken care of, and I valued a lot the Dar's dedication to ecosustainability (recycling, use of local produce and fair trade, use of solar panels etc.). Our room was lovely, though of a particular shape: we had an entrance area with access to the bathroom, and two beds/sleeping area. To access the main bedroom (very nice and large), we had to go through a little balcony (also very nice with a small table and chairs). Now, for us this worked out perfectly, as the parents could have some privacy…",Dar_Daif,Ouarzazate
 March 2016,5,Excellent accommodation with fabulous views,"Excellent accommodation in stylish historical mansion with fabulous views of the surrounding Atlas mountains and lake. Very good service and devoted, helpful owner. We would definitely stay there again.",Dar_Daif,Ouarzazate
 February 2016,5,Amazing People and property,"What a nice property. I have been there 10 years ago and I still love it so much. The kindness of the people, the authenticity of the place, the friendliness of Zineb the owner...I could write tons, including the delicate food, etc... When we arrived at 2:00 am on Sunday night, someone was waiting for us, he helped us to carry our luggage to the room and when my wife wanted to tip him, he refused and ask to drop the tip in the pot at the entrance so that they could share. Remarkable.",Dar_Daif,Ouarzazate
 February 2016,5,da best ever,"so pretty ,full of good spirit,real piece of art,like a magic marriage of past and future atmosphere so true ,so real,sure will stay lot longer next time and enjoy all the services,have to get longer vacation",Dar_Daif,Ouarzazate
 January 2016,4,Caring hosts,"We stayed for 2 nights , arriving after a long day of travel from Erfoud . All rooms vary, as it is an old home. Some are bigger, with bigger bathrooms... Luck of the draw . I had been ill, and the freshly prepared food was wonderful . I couldn't eat much... So we were able to order one set dinner to share . Breakfast on the terrace was relaxing , and so good . So fresh . I left feeling cared for , and reenergised",Dar_Daif,Ouarzazate
