 January 2023,5,Lovely winter sun holiday at a great hotel,"We have just returned from Founty beach. We had a lovely 9 days. The hotel is by an amazing beach. The food was great. There is plenty of choice. When reviews have talked about repetition I would say there is so much choice repetition doesn't matter. Soups, meat, salads, fish, cheese, pasta, fresh vegetables and lots of fruit and desserts. Kids get their own food station. Room was large. Rooms face north and south so request a south facing sunny room. We had a basic room which was on the sunny side and had a side seaview but did overlook a derelict hotel. But we had a sunset every evening. The best rooms are pool / garden/ sea view with sun. The pool area and pool bar is lovely. Late breakfast and lunch at the pool bar is a nice touch. The entertainment team work hard. We…",hotelName,city,Unnamed: 6
 September 2022,5,Lovely and Outstanding Hotel,"My wife and I stayed for a week from 17.09.22. It is a huge hotel. The room, balcony and bathroom were very specious, clean and looking new. The side sea view gave a good view of the sea. All overlook the beautiful garden and swimming pool. The website is absolutely accurate. The lobby, seating areas and those near the pool were also very well laid out / designed and very comfortable. The food in the all inclusive hotel was excellent for us vegetarians. Food was available all the time together with alcohol. There was an evening dance how every day. There was a concrete path between the beach and the end of the hotel, which was good for walks. This path is to the back of the other hotels and is very long. The hotel is situated in the new Agadir section. Very nice location. Agadir…",Iberostar_Founty_Beach,Agadir,
 September 2022,5,Amazing experience,What amazing time we had at this amazing place with amazing people and a big thank you to yousra and nahila they couldn't do enough for us... The food and pool was amazing. The night time dancers was great aswell.,Iberostar_Founty_Beach,Agadir,
 September 2022,5,Good experience,"The hotel is great,definitely come again,staff so friendly,food great,rooms clean and also comfortable with ocean view I really enjoyed in my holiday it was amazing I recommend this place for everyone",Iberostar_Founty_Beach,Agadir,
 September 2022,5,Nothing,"The hotel is fine,i ve been wondering is this place in morocco ,i loved the atmosphere here , the employees are very helpful, iloved the view of the ocean ,varied food , clean room and great shows and special thanks to nahila and youssra for being helpful and cool with us during our holidays",Iberostar_Founty_Beach,Agadir,
 September 2022,4,Great relaxing holiday,"Arrived at the hotel at 11.30, reception staff were very polite and helpful, although the official check in time was 3pm we were asked to come back after lunch and the he hoped the room would be ready, sure enough true to he’s words were were in our room by 1.45. Please be advised if you need to use the hotel pool towels they require a deposit of 100MAD, no other currency is accepted not even Euros. There is a cash point 10 minutes away. We had room 1112, it was interconnecting room with my daughter next door. The room was very spacious with a great aspect over looking the pool and fabulous sunset view. The entertainment staff were excellent and seem to establish quickly those who wanted to participate in the events. The evening show for me lacked a variety, 6 nights out of…",Iberostar_Founty_Beach,Agadir,
 September 2022,3,"Couple holiday, nice hotel","Hotel was nice and bigger than expected, food was nice too as were rooms. Entertainment was nice however too pushy. I understand you want to get people involved but I was told I was on my phone too much and I was lazy, I understand it was a joke but after been told it 3 times in a week it starts to get on your nerves. I wanted a relaxing holiday, which it was but felt like I was constantly fighting off entertainers to get me involved. Probably should offer activities ok the loud speaker but if people don’t choose to go then leave them. Young couple here - maybe that’s why",Iberostar_Founty_Beach,Agadir,
 September 2022,5,"pristine hotel, great location and amazing staff","We stayed here the second week of September and I would say it’s the best holiday I’ve been on. We don’t have anything negative to say about our experience at this hotel. The hotel is in a great location, right on the beach and walking distance to the town. The pool area is massive and lots of activities for adults and kids to get involved in (water sports, aqua aerobics, archery.. etc). Always sun loungers free and a pool bar with seating. There is also a fenced off private beach area with sun loungers for the guests to use free of charge. The food was great and there was plenty of variety of cuisine (Spanish, French, Moroccan, Italian and more), we loved the Moroccan food and the fresh pizza. There are loads of great desserts and massive variety of breakfast options, both…",Iberostar_Founty_Beach,Agadir,
 September 2022,1,Absolutely horrible,"First I just wanted to say the only reason I booked this hotel is all the great reviews I saw on here. We were let down badly! The worst part was my partner and 3 year old daughter became violently Ill with vomiting and diarrhoea having been at this hotel at the start of our holiday. The customer service is just none existent no one at reception that I came in contact with was helpful, they don’t even say good morning let alone any sort of great customer service that I read on here. With coming in contact with the hotel manager I see why. Maybe because I was women he literally talked down to me making me feel like my family being sick in the hotel was invalid. Besides this awful experience the fact is advertised as a family hotel is just not true there is nothing on for…",Iberostar_Founty_Beach,Agadir,
 September 2022,4,Clean and tidy but changes are needed to make this hotel a decent 4 star resort.,"The hotel itself is perfectly located on the front looking over the beautiful beach and occasional wild sea . The afternoon staff at the main bar are very attentive , they really looked after us especially Nourdine he was a legend, unfortunately the evening staff just did not show his enthusiasm. The food was plain, luke warm and not very tasty but fed us for our 10 night stay . Drinks were cheap but if you drink enough you will get a bad head in the morning. The upstairs area is way to small to accommodate the guests and the entertainment downstairs is of poor quality but nowhere as bad as the bloke in the hat who pretends to play guitar while murdering every song , the animation team try to get guests involved but this artist is the worst I've seen . Day time entertainment…",Iberostar_Founty_Beach,Agadir,
 September 2022,5,HIGHLY RECOMMEND,"We had an amazing two weeks at this resort and DO NOT have one negative thing to say. Everything was great, location, hotel, service, food, drinks and especially staff. We can't mention everyone as far too many, and many behind the scenes that we didn't even see, that keep this hotel to the standard it is. It's a testament to the hotel and the staff that this resort has a family run vibe. We don't do resorts and were pleasantly surprised and would definitely go back and check out other Iberostar resorts. It was relaxed and chilled vibe, but also activities if you want to join in (which we would recommend) as the animation team are great, day and night. The rooms were cleaned daily and the staff were so attentive to our routine and never disturbed us. I love that this resort has…",Iberostar_Founty_Beach,Agadir,
 September 2022,5,Rien a dire,"Welcoming stuff, i like the air theere so lovely, only iberostar in agadir , the rooms are clean and confortable the food was exellent with good qualite i enjoy in with party with dj black i like this place especialy to Nahila",Iberostar_Founty_Beach,Agadir,
 September 2022,4,"First Visit to Agadir/Morocco, UK Young Couple, September 2022","Wonderful hotel worthy of a solid 4-4.5 out of 5* review! First time in Agadir and wasn't sure what to expect so for peace of mind we opted for the #1 hotel on Tripadvisor, Iberostar Founty Beach. From the moment we arrived, we were well taken care of by the reception staff and offered a mint tea upon arrival. First impressions are everything and you can tell they take cleanliness and organisation seriously - everything was spotless and 'in place'. It took us around 10-15 mins to locate our room - the room number signage in the lobby is not the most intuitive but we got there in the end. Room was lovely - spacious and clean with a gorgeous balcony overlooking the pool in the foreground and beach/sea in the distance. The sun sets right over the ocean so we had a lovely balcony…",Iberostar_Founty_Beach,Agadir,
 September 2022,5,Great place,"I really enjoyed my stay ! In Iberostar founty agadir the rooms are clean and confortable with ocean view the food are great and varied , the entertainment was excellent with the good vibes and great atmosphere i highly recommend this hotel !",Iberostar_Founty_Beach,Agadir,
 September 2022,5,Good place,"It was amazing holiday , the rooms are so clean and confortable the food was great and varied every day we have funny with entertainment and good vibes especially Nahila I recommend this place for all , the best place in Morocco 🇲🇦",Iberostar_Founty_Beach,Agadir,
 September 2022,5,Lovely,"It was fantastic holiday in iberostart fonty agadir the rooms are clean and comfortable, with good view of the ocean, I recommend this place for everyone especially thanks to Nahila for everything lovely place",Iberostar_Founty_Beach,Agadir,
 September 2022,3,Lovely location by the beach.,"Unfortunately, ‘unattached’ female was harassed by 2 Activities male staff constantly, resulting in us avoiding them and the entertainment. Take euros with you- widely accepted everywhere. To buy dirhams in the hotel, you need actual cash. There is an ATM 2 hotels along at a Rui. French is widely spoken. Taxi to the huge Souk is 40 dirhams, 10 mins away, and worth a visit. Walk along the esplanade to gift shops and restaurants on way to the marina. Camel rides on the beach are good fun. Negotiate a price for 10 minutes. Look for Christophe (who likes to eat apples) the camel, and his lovely handler called Anas. Waiter service Moroccon Antares restaurant downstairs (free, but need to book) was not great food, with no menu/choice. Main buffet restaurant allows you to…",Iberostar_Founty_Beach,Agadir,
 September 2022,5,Great,It was a great holiday at iberostar founty beach illstart with the entertainment team they were very friendly I enjoyed everything the activities the show about the rooms very clean the food was good I recommend specially thanks to nahila,Iberostar_Founty_Beach,Agadir,
 September 2022,5,Lovely,It was amazing holiday at iberostar founty beach hotel the rooms were very clean the entertainment team were perfect specially thanks to nahila also the pools satisfy the staff was very friendly and helpful i recommend it,Iberostar_Founty_Beach,Agadir,
 September 2022,5,Lovely,It was a wonderful holiday with the best team of entertainment it was great about the food were good with choices the rooms were perfect and clean with the ocean view the pool were clean and great specially thanks to Nahila and nijou,Iberostar_Founty_Beach,Agadir,
 July 2022,5,Family holiday,"There are many things that combine to make a fantastic holiday experience, but the most important ingredient is the human element. The staff at this hotel allow it to boast a five star experience. So for individual excellence I would highlight Khalid on the animation team his is the most genuinely humanistic caring individuals who makes the guests to feel their passion for feeling the most positive of life’s emotions, thankyou for the fantastic experiences over our ten days stay. the food in the main restaurant delivers a mesmerising choice which is exemplary in its overall quality, The rooms are vast and spacious with comfortable beds and furnishings together with a lovely shower. massive thankyou to all of the staff",Iberostar_Founty_Beach,Agadir,
 August 2022,5,"Iberoatar Founty Beach Agadir, Morocco",Very nice hotel/resort. Very clean and well staffed. Loved the all inclusive basis for food and drinks. Plenty of sun loungers and never had an issue finding a good spot. Excellent for families with children with good activities and events everyday. Only average comment is the food was a bit samey and didn't change too much but plenty of it. We did venture out of the resort once but a lack of shops and restaurants close by was disappointing but nothing to do with the hotel. Overall very good and would recommend going there.,Iberostar_Founty_Beach,Agadir,
 August 2022,4,Well kept resort hotel on the beach,"Stayed for a week in August and thoroughly enjoyed our stay. Mostly positive aspects which are: Cleanliness - Everywhere is spotless and the grounds are immaculate. The staff work really hard to keep standards very high General design of hotel - Really lovely foyer, terrace and general layout. Food - As a lot of other people have said the variety and quality of the food is excellent. Every meal time there is plenty of choice. Sure after a week it does get a little repetitive but there will always be something you haven't tried before. Staff - Every member of staff were polite, professional and helpful. Room - Comfortable beds, spacious, good size, decent bathrooms and balcony large and with a great view of the beach and pool. Location - Right on the lovely sandy beach (though…",Iberostar_Founty_Beach,Agadir,
 April 2022,5,Fantastic Hotel in a great location!,"This is a fantastic hotel, we had a family room which was a large room with a double bed and 2 single beds pushed together and a sliding door separating the room. It was cleaned every day. The hotel was very clean and when we walked out to our room it was wow what a view! The beach is just a 1 minute walk. The food was very good, fresh food cooked every day with plenty of choice. Fresh dishes cooked in front of you. Plenty of delicious sweets. The hotel is all inclusive, the drinks were OK, not the best wine or selection of cocktails. Plenty of activities going on throughout the day, archery, darts, aqua aerobics, water polo. The entertainment staff were very good, not too pushy. Entertainment on the night was not the best but watchable. We went mid April we could not…",Iberostar_Founty_Beach,Agadir,
 August 2022,4,Brilliant resort,"11 of us as family members with 4 children had a wonderful time at Founty Beach. The food and service were fantastic along with really friendly staff. Only minus point was the pool towels. £10each but payable only in Durham, so we had to change £110 into Durham before we got the tokens! When we checked out we got back £110 in Durham with nowhere to spend them as only small site shop. So we had to change them back at airport (hotel wouldn't change them and can't take them out of country! Instead of 12.7 to the £ we only got back around 7.5 !! Come on Iberostar allow us to pay in £s and get £s back. Rip off! Food was unbelievable but please add a curry to the options.",Iberostar_Founty_Beach,Agadir,
 August 2022,4,"Great hotel, lots of crying kids!","I will start with the pros: amazing food and service. I don’t think you can have a four star resort that can deliver delicious and fresh food at this level. Besides local flavours and dishes, the selection was always so diverse and never repetitive. Staff are extremely helpful and there is always mint tea at the reception. While the rooms could do with a bit of a face lift, nothing really stands out badly, it’s just a classic resort. Now, we visited this resort as a couple without kids and while we were aware that this was a family oriented resort, at times it really gets to you when you are on the beach and 2 young kids cry endlessly behind you. My advice to the management is to create some “quiet” zones, perhaps a section of the beach, especially for those who may be…",Iberostar_Founty_Beach,Agadir,
 August 2022,5,great,this hotel is fantastic. room service is great and fast. great range of food for all cultures. activities and entertainment really good. lots of space and great sized pool. easy access to everything. id 100% recommend to stay at this hotel. staff are very nice as-well. you can feel at home here.especially thank to nahila,Iberostar_Founty_Beach,Agadir,
 August 2022,5,Holiday,"This was my first proper holiday since covid 19 with my mum, I must say I was very impressed with the hotel and the facilities that they have there. Perfect for every age group the food and entertainment was amazing.i was particularly impressed with Hakim and Farid as they made me and my mum feel very welcome right from the start and sorted out anything we needed, they were both very enthusiastic and passionate about their role, would highly recommend this hotel☺️",Iberostar_Founty_Beach,Agadir,
 August 2022,5,Lovely holiday,It was amazIng holiday in iberostar founty agadir I enjoyed the view of the ocean and of the pool from my room well the rooms are very clean and comfortable the entertainment team were very friendly and helpful especially thanks for Nahila with the amazing parties the food was great I recommend,Iberostar_Founty_Beach,Agadir,
 August 2022,5,Iberostar,"Iberostar was such a great place to spend your holidays on. All worth it. I mean everything right here is perfect. The rooms are well organized, clean. The food, delicious and various.The entertaining team, Nahila, Mouss, Hakim, Jo and Farid were all lovely and cheerful. I highly recommend this hotel.",Iberostar_Founty_Beach,Agadir,
 July 2022,3,Good hotel but cold pools and lack of entertainment,"Firstly I booked this directly and got a great price for two interconnecting room so thank you to the r Central Reservation Team. The hotel is a bit far out, 20 mins walk to the centre. Lots of taxis available outside and always reasonably priced. The indoor pool was freezing and therefore the outdoor pool was a bit warmer (only just). It was a bit cold until the late afternoon when the sun came out. The food is really good. We preferred the lunch service when compared to the dinner. They had more option during lunch especially for dessert. The biggest downfall for me was the lack of entertainment for adults. They had a musician every night but it wasn’t very interactive. We had an issue with a cleaner just barging in my daughters room. Firstly they knocked really loudly for…",Iberostar_Founty_Beach,Agadir,
 August 2022,5,Lovely hotel,"Myself and my two adult children just got back last night from a week’s stay at this great hotel. Two things really stood out for me: the impeccable cleanliness of everywhere and how every single member of staff I encountered was so friendly. I would like to specifically mention ( but this is embarrassing as I can’t totally remember his name!) Nourhono (?) the barman who makes the best hot chocolate in the world and I had one each morning! The hotel has lovely pools, and easy access to the sandy beach. Food was excellent and the rooms, spacious, modern and with all one needs. The only tiny thing ( and this probably only applies to me) is next time you renew the mattresses could they be just a little softer please or even better, memory foam!! 😃 Thank you to you all for a…",Iberostar_Founty_Beach,Agadir,
 August 2022,5,good,it was amazing holiday in iberostar hotel the view of the ocean it's fantastic the food was good with different types athe entertainment team made our vacation theyyso friendly and helpful specially Nahila Nijo the girls the white party were perfect i recommend that,Iberostar_Founty_Beach,Agadir,
 August 2022,5,Magical holiday,It was an amazing holiday in iberostar founty beach the roims were perfect and clean also big thanks to the entertainement team specially the entertainers girls nahila and nijou the food was great with choices the view of the ocean was amazing,Iberostar_Founty_Beach,Agadir,
 August 2022,5,So good,"I really enjoyed my vacations there, i loved the room, the restaurant, the stuff working at Iberostar Founty Beach, especially the entertainement crew, Mr.Farid was the best in his team, i had so much fun tbh, everyone was kind and lovely, keep going guys!",Iberostar_Founty_Beach,Agadir,
 August 2022,5,Delightful,Last half day here have had a very enjoyable holiday here with my sister this is our review of the hotel and surrounding area pool area very clean we prefer the beach so cannot comment on the pool beach area private always able to get sunbed and parasol looked after by hotel staff . rooms clean nice bedding clean towels everyday comfortable.all social areas reception bars etc were exceptionally well maintained.all staff courteous and friendly special mention of the mint tea man in reception takes his job to the extreme.food and dining area would we call it a restaurant no a buffet cafeteria clean too many children running around helping themselves to food under no supervision we felt would it be a good idea to have a children's area or a specific time for children to eat.food…,Iberostar_Founty_Beach,Agadir,
 August 2022,5,Good,I really like the pool the stuff we’re very nice and friendly specially the entertainment team the food was good also the rooms were very clean and nice I enjoyed the view of the pool and the ocean I really recommend specially thanks to nahila,Iberostar_Founty_Beach,Agadir,
 August 2022,5,Best holiday,Ive sent the best holiday in iberostar hôtel i enjoyed thé view of thé océan thé restaurant was good theres many choices in thé buffet also thé entertainement team i have participantes in thé activités was perfect specially thé girls were vert kind ans helpful nahila et nijou,Iberostar_Founty_Beach,Agadir,
 August 2022,4,"Some good, some bad but mostly GOOD",I have recently restarted from the hotel After a great 10 days holiday. Reading the reviews before I left I was expecting some negatives but found them to be very small. So I’ll start with the negatives. The weather - misty most morning but burnt off by 3pm. It is warm but not hot and can get chilly By the pool especially after getting out. The pool - absolutely freezing! They must pump it in from the arctic! When the sun isn’t out it’s not really a pleasant experience. The Wi-Fi - now I’m just being picky but it can be difficult to get any internet and it does drop frequently Drinks - the evening pool side bar could do with a bigger range. The hotel design - all rooms are based around a small indoor square shared with about 10 rooms per floor and 3 floors. The problem is…,Iberostar_Founty_Beach,Agadir,
 August 2022,3,Family holiday in a quite basic hotel,"Family holiday with 2 young boys. The hotel was full but didn't feel overcrowded. There wasn't much in the way of entertainment for the kids, the kids club was mainly for French speaking locals and tourists. The pool was too deep. The room was incredibly sparsely fitted out consisting of two beds a couple of chairs and not much else. The buffet restaurant was good although my vegetarian wife struggled. The best point of the hotel was the beach and ocean and we basically spent all our time there",Iberostar_Founty_Beach,Agadir,
 August 2022,5,Good,"Excellent hotel the rooms are nice and clean, food was excellent and varied with great quality and service , the entertainment was excellent and fantastic i recommend this hotel for all family and friends especially thanks to Nahila",Iberostar_Founty_Beach,Agadir,
 August 2022,5,good experience,"The food is good and i entertainments was excellent with good energy, i enjoyed my vacation time with the friendly stuff ever about the rooms were very clean and comfortable with the view of the ocean it was really perfect specially thanks to nahila and. nijou",Iberostar_Founty_Beach,Agadir,
 August 2022,4,Not bad at all :),"We like the Iberostar Founty beach, would we return? probably not, would we recommend it? Yes I think so. It’s a beautiful hotel, pretty big too. We prefer smaller hotels which is why we probably wouldn’t return to this hotel, but would return to Agadir. The hotel is very clean, the maids so a great job in the room and the hotel staff so a great job in the grounds, problems are sorted promptly by the care takers, we had an issue with our safe which was fixed immediately. The safe in the room IS NOT FREE a day rate must be paid 30 dirhams a day, it isn’t a lot, but I don’t agree or know why some hotels charge for use of the safe, this is second time we’ve had to pay for a safe. Most hotels allow use freely. Pool/beach towels are available deposit of 100 Dirhams per towel,…",Iberostar_Founty_Beach,Agadir,
 August 2022,4,A fantastic all inclusive family holiday,"An excellent 4 star hotel sited right on the beachfront of Agadir. Having walked along the beachfront and seeing most of the hotels, it looks like the best hotel in the area. What makes this hotel so good is the staff. They really are excellent and would do anything for its guests. You literally put your plate or drink down and they clear it away. In terms of the food, there was plenty of choice for everybody. There was the main restaurant, a poolside snack bar and a sit down restaurant with table service. The bars scattered around the place all had brilliant, happy bar staff who happily served you any drink you wanted. The rooms were nice and comfortable, without being particularly luxurious. The children's entertainment was a little disappointing at times, especially the…",Iberostar_Founty_Beach,Agadir,
 August 2022,5,Lovely,I enjoyed my vacation in iberostar founty beach hotel everything was great specially entertainment team the rooms were clean and good the view of the ocean was fantastic the food was good especially thank to Nahila and nojou,Iberostar_Founty_Beach,Agadir,
 August 2022,3,"Very crowded mealtimes and repetitive food options, but nice location and friendly staff","Definitely avoid this place if you don’t prefer crowds. We went in August 2022, for a week. On the positive side, this hotel is really nicely set up with a really lovely pool area and easy access to the beach, which is amazing. The staff is very welcoming and warm, and it’s very family friendly with lots of entertainment for kids. The main issue we struggled with was the hotel being incredibly overcrowded. I waited 20 minutes to pay the additional hotel taxes during check-in. It took another 20 mins to get pool towels when we first arrived. Maybe I just got unlucky because the lines seemed better on other days. However, mealtimes were consistently stressful and overcrowded. You’re literally bumping into people with every step you take. Be prepared to wait in long lines for…",Iberostar_Founty_Beach,Agadir,
 July 2022,2,Good hotel but...,"A few days ago we returned from holidaying in Iberostar. Overall ok hotel. Separated from the wide sandy beach by a boardwalk. Large pools. No problems with sunbeds on the beach or by the pool. Nice, large rooms, cleaned every day. The food and drinks are tasty and varied. Unfortunately, one incident changed my good opinion. Two days before my departure, I realized that I did not have a wedding ring that I had left in a drawer in my room. I informed the reception about this - 2 ladies were sent to the room who searched the room and did not find a wedding ring. And then the reaction of the hotel ended. After a few hours, I went back to the reception. Initially, I talked to a PR specialist who did not know what to do, I asked to call the police, but he could not get through. Then…",Iberostar_Founty_Beach,Agadir,
 August 2022,5,Great,"It was fantastic holidays, the rooms are clean and comfortable with the ocean views the food was excellent and varied (payla/tagine / seffa) entertainment is great and excellent especially thank to nahila for her smile and information",Iberostar_Founty_Beach,Agadir,
 August 2022,5,Au top,It was a great holiday in iberostar hotel I enjoyed doing the activities the entertainment was perfect they made our days there specially nahila et najat the food was great the rooms were very clean and great,Iberostar_Founty_Beach,Agadir,
 August 2022,5,Best holiday,It was a good experience in hotel Iberostar founty beach I liked everything the rooms were very clean and nice I enjoyed the view of the oven from the room the pool was very good special thanks to entairtemnt team specially zack,Iberostar_Founty_Beach,Agadir,
 August 2022,5,lovely holiday,it was amazing holday in iberostar agadir it’s a good hotel. the staff is adorable also the animation. i can’t describe how kind they are. special thanks to zack and nahila <3 . i recommend this place!!!,Iberostar_Founty_Beach,Agadir,
 July 2022,5,An amazing family holiday made even better by this fantastic resort and the excellent staff that work here.,"Me, my wife, 13 year old daughter & 7 year old son stayed at this hotel from 09/07/2022 to 16/07/2022 & it was all inclusive. The resort itself is huge, extremely clean, vibrant & full of life. There is a visible security presence throughout the day so we always felt safe. There is plenty of food & drink available throughout the day with plenty of different options & the food is always fresh. There are various activities & kids club activities throughout the day. The swimming pools are large & very clean. There is entertainment, singing, dancing every evening for kids & adults. The highlight for me & my family HAS to be the staff. The reception staff, the cleaners, the entertainers are all very approachable, friendly & caring. Hakim - Your energy & enthusiasm is amazing.…",Iberostar_Founty_Beach,Agadir,
 July 2022,5,Great much needed Williams family holiday,"Went to Founty Beach for a nice relaxing holiday and that is what we got. Food was in 2 locations the main restaurant and pool side bar, both were equally as good as each other. was nice to have a lazy morning then go to the poolside bar for breakfast after 10am. Restaurant food had something for everyone, a little busy at times but nothing more than what you would expect and everything was constantly topped up. Room was nice and clean as well as the hotel. Staff were lovely and helpful at all times. Beach was just outside the boundary wall which was nice and clean. There was plenty of sun beds by the pool each day but was getting a bit busier as we left. Great 10 day holiday would recommend",Iberostar_Founty_Beach,Agadir,
 July 2022,5,Very good staff and very friendly,"We really enjoyed in this hotel everything was perfect 💯 Very good staf Very friendly 👌 Halid is amazing one of the best tnx a lot for everything looking forward to come again whit my family thanks iberostar,thanks HALID Y R THE 🌟",Iberostar_Founty_Beach,Agadir,
 June 2022,5,Our favorite place in Morocco,"This was our 4th trip to Agadir and we always stay at the Iberostar. We usually come in winter to get away from the cold in Iceland but now we came in june. The staff is wonderful! Attentive, warm and professional at all times. We love the food, both the variety and freshness. The hotel is so clean and we have stayed at different locations in the hotel and been very happy with our rooms. We love this hotel, it´s perfect for our needs, we travel with family and friends. No partying and not too noisy. Just relaxing and lovely. Can´t recommend it enough. The beach is great and there are so many day trips you can take from Agadir to visit the surrounding area.",Iberostar_Founty_Beach,Agadir,
 July 2022,3,Not A 4* Stay For Us,"My family and I are still here on holiday and I thought I’d post my views so far. Prior to booking I emailed the hotel twice to see if they had any adjoining rooms, my kids are 20 and 13 and like their own space. I never received a response to either of my emails but I went ahead anyway and booked a ‘family room’ as I was desperate to book somewhere and the reviews for this hotel looked good. Check-in was good, the staff were very friendly and welcoming. What would have been a nice touch though was a welcome drink as it was 38 degrees when we arrived at 8pm. We paid the extra for a safe but when we got to the room there was no safe. My husband went back to reception to let them know and within half an hour a safe was brought up and fitted, great service. On our second…",Iberostar_Founty_Beach,Agadir,
 July 2022,5,Iberostar founty beach,"The staff is friendly especially Nahila she’s very welcoming the hotel , a barista was really rude with us he goes by the of name simo , he didn’t serve us right , he also was very mean and has a weak customer service .",Iberostar_Founty_Beach,Agadir,
 July 2022,5,Lovely and sweet,"It was amazing experience great hospitality and good service, the rooms are super neat, great entertainment for family, the food was amazing and very tasty and the panoramic view with the ocean access thank you iberostar",Iberostar_Founty_Beach,Agadir,
 July 2022,5,Good place,It was a very great holiday in iberostar i enjoyed of entertainment the team was very friendly and helpful specially nahila about the rooms were very clean and the food was good about the bar group were very rude with me i kept waiting this what i didn’t like,Iberostar_Founty_Beach,Agadir,
 July 2022,5,Our stay at Iberostar Agadir.,"I would like to highly recommend this hotel to all. The service from start to finish was amazing. From the hotel manager, assistant manager, entertainment staff to the staff working at the hotel. All staff were very welcoming and friendly. I",Iberostar_Founty_Beach,Agadir,
 July 2022,5,Good hotel,It's was amazing holiday in iberostar founty beach the service was excellent food entertainment reception rooms are so comfortable with the panoramic views i recommend this place for everyone lovely holidays,Iberostar_Founty_Beach,Agadir,
 April 2022,5,Excellent hotel at brilliant price,"We absolutely loved Iberostar Founty Beach. The staff were excellent, all very friendly and brilliant with the kids. Our room was basic enough but perfect for what we needed and plenty of space for us and three kids (4, 6 and 9) and the common areas and grounds were very well kept. The food was well beyond what we would have expected for the price (and what we have experienced elsewhere for more) and we didn’t tire of it in the 10d. Drinks were very good too. The only slight fault I’d have was the lack of availability of ice cream for kids outside of meal times. There’s nothing much around the hotel but this time we were just looking for pool/beach relaxation so it was fine for us but wouldn’t have worked for us on other holidays. Would also have been a struggle if the food…",Iberostar_Founty_Beach,Agadir,
 July 2022,5,Lovely,"It was amazing holiday, I loved the animation staff very lovely and the animations are always clean and we feel very safe and the staff is all ears to the client I recommend I recommande this place for everyone",Iberostar_Founty_Beach,Agadir,
 July 2022,5,Au top,"It was amazing holiday in iberostar agadir the rooms are great and confortable the food was excellent and the staff was friendly and helpful tge reception is great always smiling especially thanks for Mehdi , entertainment was great and the toop especially thanks to nahila for the great and helpful and always fun and happy with us i recommend this place",Iberostar_Founty_Beach,Agadir,
 July 2022,4,Fun family hotel,"We just spent a week at this resort and loved it from the greeting at reception to check out. Great friendly staff, brilliant selection of food particularly when my wife asked for gluten free (the head chef went out of his way to assist). Particular thanks to all the animation team particularly Momba, Khalid and Mustapha who got us all involved in the various activities throughout the day. Our room was very spacious and clean and the pool and pool area was lovely. We enjoyed the nighttime entertainment - thanks Gabriella for the step aerobic and aquarobic classes as well. Although this might not be to everyone’s taste we enjoyed it and then had good fun upstairs afterwards with the singing and dancing. Overall would recommend the hotel but perhaps not as a romantic couples…",Iberostar_Founty_Beach,Agadir,
 July 2022,4,Good all round experience,"Good points; large bedrooms and bathrooms with nice smelling toiletries clean pretty much everywhere nice friendly, helpful staff good food Could improve; the beach area was a bit lacking - hardly any tables, often a bit of litter, not enough loungers drink selection could be better - 'normal' tea (I appreciate mint is 'normal' in Morocco!), coke zero, coffee machines on after lunch, More loungers generally - because people saved their loungers with towels it meant that if you didn't get one by mid morning you pretty much didn't get one! Realise this is as much an issue with (annoying) guests as much as the hotel. We saw some people save loungers on both the beach and the pool area. More umbrellas would be good too (especially on the beach) a decent hairdryer. The ones with…",Iberostar_Founty_Beach,Agadir,
 July 2022,5,Lovely,It was amazing holiday and we are so happy for everyone here entertainment was so great especially thanks for Nahila the rooms qre clean i recommend this place lovely 🥰 for all iberostarvagadir the best hotel in the world,Iberostar_Founty_Beach,Agadir,
 July 2022,5,Lovely,It was a good hotel good expérience the food was excellente i love the hôtel and the pool was so nice and i love nohila she's soo cute i recommended this place for all people especially thanks for nahila,Iberostar_Founty_Beach,Agadir,
 July 2022,5,Rien a dire,"It was amazing holiday, the rooms are clean and confortable the food was great and variety, entertainment and service was great and helpful I recommend this place for all especially thanks nahila for all",Iberostar_Founty_Beach,Agadir,
 July 2022,5,Thé best holiday,This hotel has the best features with the amazing staff. This holiday had really fun activities which made me bond with them. The staff were helpful and super kind if we had complaints they would resolve them easily.especially thanks for Nahila,Iberostar_Founty_Beach,Agadir,
 July 2022,5,100% visit this hotel!,"Great hotel, lovely good! And really friendly staff! Great entertainment for children and adults! Water polo, archery and volley ball on the private section of the beach! Couples and friends great holiday!",Iberostar_Founty_Beach,Agadir,
 July 2022,5,Outstanding,Staff are amazing and super friendly - I was nervous coming someone different but staff were so welcoming and friendly - loads of activists for the kids and adults haha although the sun burn is definitely worth it - will definitely come back again,Iberostar_Founty_Beach,Agadir,
 July 2022,5,Great Hotel with plenty of activities and entertainment,"Went as a group of 3, good hotel, clean, staff are friendly, Momba and a Nahila helped with getting involved with plenty of activities such as artery, darts, yoga, volleyball, would recommend and will be back",Iberostar_Founty_Beach,Agadir,
 July 2022,5,Amazing family resort,"We stayed for a week in July and the hotel was spectacular! The staff were extremely friendly, energetic and kind. The food was always good with a variety of options. The rooms were clean and the activities were fun and always engaging! I will definitely come back!",Iberostar_Founty_Beach,Agadir,
 July 2022,5,very nice hotel,I really liked this hotel because the staff was really helpful and polite. The food was good to eat and the activities were really fun. Shoutout to Nahila for the best service and was really nice. I would go again next time because this holiday was really fun with my family.,Iberostar_Founty_Beach,Agadir,
