 November 2022,5,2 night stay in Fez,"Excellent service. Staff was flexible to welcome me at 1am! (Since my plane arrived quite late). They were always flexible enough to help us when needed, e.g. they even made a specially early breakfast just for us on the last day since we had to leave specially early! The hostel itself was also beautiful and people were nice. Totally recommend it!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,hotelName,city
 October 2017,4,Good for younger people.,"Excellent location, easy to find with plenty of hotel direction signs. The room is clean and comfortable, breakfast is okay. Dinner tastes good but a bit pricy. We booked a room months in advance for 4 people just to make sure we got the room with all beds on the floor not the bunk one. We noticed that the hotel had put this room back on the market for the same period,so we did contact hotel to address our concern.We got the answer that they have 2 rooms identicle. However,by the time we got there,they put us to the room on the 3rd floor with all bunkbeds.It was not very comfortable for us as most of us are over50. An honesty would be appreciated, beside this matter,there is no other complaints.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 October 2017,5,Great!,"Food at the restaurant was excellent. All the staff were super kind, taking lots of their time to check us in, advise us on getting around Fez, and ensuring we had everything we could want or need. They served us meals up on the beautiful, clean and spacious patio like a 5 star restaurant. I had made a booking error and they accomidated me anyway with great kindness. The location was also great! If I go back to Fes I'll be staying here!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 October 2017,5,Very nice food,We went for dinner to the hostel and the food was fantastic but priced accordingly also. We really enjoyed the stunning view and the care for detail. Service from Hamza (hope I spelled that well) was excellent.,Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 October 2017,5,awesome,"i haven't words to explain what you can find when you go insite this riad.it seems excapes to 1000 e una notte tales.helpfull kind and nice staff, good breakfast,clean room that smells of wood.an amazing rooftop and a special court where you can stay to relax with the fountain sound and drink a beer. if you visit fes stay in this beautiful riad",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 August 2017,5,When owners become family 😍,"My friend and I stayed here for our time in fez during Eid festival. We were greeted by our lovely transfer driver who had waited 2 hours at the airport for our delayed flight. He welcomed us so nicely and chatted away all the way . We were charged only 15 euros by our riad for our transfer which to begin with set the standard of what beautiful people they are. We arrived to our ( hostel) far far more than any hostel I have ever stayed in. This place stole my heart. It was so clean it was polished , it was so well looked after. We quickly became very close to the owners and talked to them for hours on end, every member of staff could not do enough for us, and it was out of love and kindness not forced through it being a job. The terrace was beautiful , the food was out…",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 September 2017,5,We will be back,"Very beatiful riad in which you can totally relax. Nice rooftop terrace on which you can enjoy a bottle of wine (200 dh for riad guests), where ocasionally there's live music. It's very easy to find. The staff is the best, especially Hamza, who will take care of you during you stay. He even woke up before 6am just to prepare us a basic breakfast when we needed to leave at 6. He's a Real professional who will even advice you for the rest of you trip. If we were again in Fes, we would book it for the second time",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 August 2017,5,Awesome place to sleep eat and enjoy In Fés,"We stayed in this Hostel for 2 nights and we were astonished for the beauty of the place. A very recent and well decorated hostel, very friendly and quiet. The entrance and the patio are soooo beautifull. It has a little fountain in the middle and tables and chairs to rest on arrival, and to have a very tasty breakfast in the morning to have strength to face the day walking in the medina. The location is very nice, inside the old medina and not difficult to find. The rooms (I was able to see more than one cause we were many) were very clean and soon fresh (with air conditioning, you will understand how good it was went you experienced it). The sheets and the bathroom were clean also and they provide tree towels to bath, to dry hands and another don't know what for 😂).…",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 August 2017,5,Amazing hostel,"The hostel was super nice, clean and cheap. We had a huge, beautiful room with direct access to the rooftop from where you can admire the entire city's old Medina. Moreover the staff was helpful and hooked us up with an awesome tour. I would highly suggest staying at this hostel.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 August 2017,5,The place to be in Fes,"Recently restored Riad in the middle of the Beautiful Medina of Fes Easy access to all touristic and non spots! Great rooms, staff and food ! All extremely clean To mention the terrace with a lovely view of the Medina (dinner and Breakfast served there as well) Strongly suggested We will be back",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 July 2017,5,Wonderful place,"Great place, Great service, I hope you visite the place once you are in the old medina of Fez, I especially rate 100% everyday. Thanks guys it was a great time. Great rooftop terrace and breakfast! Lots of stairs but comfortable beds and clean rooms.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
