 December 2022,5,A Top Class Resort,"Family holiday with two adult children and stayed for 7 nights through TUI. The food options in the resort were wide ranging and very high quality. The hotel was very clean and was well run. The staff are tremendous, particularly the entertainment staff. Shout out to Nagib, Ismail, Jenna and Risla, who were a delight. There is plenty to do at this resort (eg darts, volleyball, table tennis, aqua fit, pilates), without feeling as if you have to do everything. My son lost his headphones whilst in the pool complex, which he tracked to somewhere in the city, so unfortunately it would appear that these were stolen by someone. An unfortunate end to the holiday, but it wouldn't put us off going back, which we intend to do. The Moroccan people are very friendly and welcoming. …",hotelName,city
 May 2022,5,GREAT HOTEL FOR FAMILY HOLIDAY,"We have just returned from the hotel and overall it was a great 10 days we had staying here. Just to start there are 2 issues that I feel would need sorting if I was management. First the kids area needs updating and more to do for the kids.Secondly the cocktails were all too sharp and bitter. I made some cocktails up and I noticed a few people asked what they were and asked for the same. The plus side was the staff were more than happy to make them for us. The most positive for us was the staff, everyone was amazing, nothing was trouble at all. Our table was setup every meal for the kids, our server Hussain (apologies if i have spelt that wrong) was outstanding, every single day 100% put in. The hotel overall was top notch....everywhere was clean...the pools were great for the…",Riu_Palace_Tikida,Agadir
 May 2022,4,Great hotel. Great Staff. Shame about the food and pool.,"Clean, friendly staff, close to shops and the beach is just across the promenade. Drinks are great (especially the mojitos) however we often struggled with the food. Very repetitive even in other restaurants. There’s a vegetarian corner in the buffet restaurants which I’d be disappointed with if I was a vegetarian, thankfully I didn’t have that problem however I may of been more disappointed with the food. Some days are definitely better than others but I expected more from a 5 star hotel and especially a RIU hotel. During the day there’s plenty to do for everyone, from the beach, the shops, the pool, bulls, water aerobics etc. It’s unfortunate the pool is so cold that you can barely stand staying in it for more than about 5 minutes even on the hot days. Even the “hot tub” is…",Riu_Palace_Tikida,Agadir
 May 2022,5,Fantastic experience,"FANTASIC experience from start to finish. The staff are what really made our stay memorable, they've been so accommodating, welcoming and friendly. I cannot stress this enough! The hotel itself was beautiful, our room everyday has been cleaned to the best standards. Food and drinks did not disappoint. I would definitely recommend 100% and would certainly go back to this hotel! One downside was the walls of the hotel was too thin but can overlook this as everything else was top knotch. Really can't fault our stay!",Riu_Palace_Tikida,Agadir
 April 2022,5,Holiday,We have been to this hotel about 20 times in the last few years despite Covid-19 and we are glad to say very little has changed and this includes most of the staff who always look after us .We always look forward to seeing our friends again as we now call you friends.Our number of visits to this hotel says it all.,Riu_Palace_Tikida,Agadir
 May 2022,5,"Super hotel, centrally located","We had a wonderful week stay at this hotel. Everything was to the highest standard especially the staff. It was our first time going all inclusive as we usually like to sample what a city has to offer but we made the right choice here. The food was excellent and as the city was just coming out of covid, some places were not yet open. The location is excellent- right on the beach and central with a great promenade for walking. You will have no safety fears here, the people are wonderful and very friendly. I can not reccomend this hotel enough.",Riu_Palace_Tikida,Agadir
 May 2022,4,Wonderful friendly staff,"We have been to Morocco on many holidays and always love the holidays, this was no exception! This hotel has the most wonderful, friendly staff who can’t do enough for you! Special thanks to our wonderful waiter Hassain who greeted us each lunchtime with a table outside and a bottle of red wine waiting for us! The room we were given was beautiful and had a great view of the pool and the sea/beach area. There are tea and coffee facilities and soft drinks added to your fridge daily (coke, Fanta orange and sprite). A safe is available free of charge. There is lots of storage snd hanging space available. European plug socket adapter is needed (two pin round) Our room had a large shower (no bath), two sinks and basic toiletries provided and a basic hairdryer in bathroom! My only…",Riu_Palace_Tikida,Agadir
 May 2022,5,Beautiful hotel with first class service. Staff are amazing!,"Spent 4 nights here April/May 22. This is our 5th stay at a Riu hotel. We always find that their hotels are clean, with friendly and attentive staff and good quality food. Riu Tikida Palace is the best Riu experience to date. The reception/lobby area is impressive. Vast with beautiful decor. Live music every evening we stayed from around 2030 till 2300 with a break for live entertainment by the Riu Fun team on the stage in a separate but close by area of the hotel. Drinks include good selection of brands with generous measures of alcohol. Drinks menu is extensive. Food also contains a wide selection of choices, with a local Moroccan section. Amble fresh fruit on offer. Food is superb quality for all-inclusive hotel, we enjoyed every mealtime we had here. The stand out…",Riu_Palace_Tikida,Agadir
 May 2022,5,Lovely hotel and great staff,We are seasoned travellers and whilst I would agree this is not the standard of a 5 star in London or the US we were pleasantly surprised by the quality and size of the hotel and standard of the rooms. The pool area is expansive and whilst pools themselves are cold (even the heated one) they were refreshing and the sunbathing areas were some of the nicest we have experienced with cushioned sun beds and multiple double/couple king size sunbathing beds. The food was sometimes less than hot but great variety in main restaurant and lovely experience of higher end catering in the Krystal International dining restaurant that had to be pre-booked. Less than impressed with the Moroccan specialist restaurant though. Drinks were reasonable quality/choice but were let down by very…,Riu_Palace_Tikida,Agadir
 April 2022,2,Disaster of a holiday,"where do I start !! Firstly, booked holiday with love holidays and a week before due to fly was announced there was no longer any availability at our original hotel and was offered tikida palace instead, which we obviously accepted! Arrived at hotel to be told we had no booking and it had been cancelled, took 2 hours to sort and actually get our room, very stressed by then ! room was nice enough, wouldn't say 5 star at all, no robes, slippers or iron, normal 5 satr have these facilities ! 3 days into holiday the most awful sicknessI have had for years and 2 days later then diarrhoea, and partner had developed same symptoms by day 2 so spent 3 days in bed and 2 weeks back home still not feeling 100%! On day of leaving was then told we had £1200 bill to pay and basically not…",Riu_Palace_Tikida,Agadir
 April 2022,4,"Nice hotel, but restaurants need improving","This is a very pleasant hotel, the rooms and public spaces are well maintained and the gardens are lovely. The major thing that lets the hotel down is their inability to serve hot food at the buffet restaurants either at breakfast time or in the evening. The cook to order food was quite nice, but the pre cooked food served from Bain Marie’s was as a general rule tepid at best. Whilst we were in resort (April 2022) the whole resort seemed to be virtually closed down, many hotels were boarded up and the roads were undergoing major road works to such an extent that there were no available pavements. The beachfront promenade whilst pleasant was barely illuminated at night with about 75% of the street lights being off. I don’t know whether this was as a result of covid, but it did…",Riu_Palace_Tikida,Agadir
 April 2022,5,The staff are amazing,"We got back yesterday and I had to write a review as we had such a great time there. From beginning to end this was a lovely holiday. The hotel is very nice but what makes it is the people. Every single member of staff couldn’t have done more to make this enjoyable, I must name Soumaya, Hanane, Marouane, Mohammed and Sara from the restaurant - they were amazing and felt like family by the time we left. I have never been to Morocco before but now can’t wait to come back. If you want to relax, be cared for and looked after this is the place for you",Riu_Palace_Tikida,Agadir
 April 2022,5,Fabulous,"Just returned from here . What a fantastic place . Staff so friendly professional and helpful nothing was too much trouble. The main bars and reception are beautiful and well kept. Greeted on arrival with a cocktail and our baggage taken to our room. The. Room was immaculate worth the upgrade for the pool and sea view. The food is delicious, plentiful and extremely varied , We had a party of both vegan, vegetarian and meat eaters there was so much choice you didn’t know where to start we all could have gone back numerous times , the desserts were delicious too and there was always soup fruit and cheese and biscuits. Bottles of wine and bottles of chilled water served at the table, drinks served in the hotel and around the pool were all branded and the cocktails were delicious. …",Riu_Palace_Tikida,Agadir
 April 2022,5,Amazing Hotel & Staff,"What a find. Stunning hotel by a wonderful beach. Although the hotel looks amazing, the staff really made it. So friendly and alway helpful. Felt really welcome and it was kept immaculately clean. I’m not one for their entertainment but others seemed to really like it. Good live music in the bar area of an evening and the extra little bit around easter for the kids was a great touch. Even found a punch bag for workouts! Would recommend Flag beer too!",Riu_Palace_Tikida,Agadir
 April 2022,3,Needs help,Pros: Good Location (on the beach) Friendly Staff (eager to please) Cons: 20 year old gym equipment /rusty (awful offering for such a large hotel) Lack of plant-based options (rarely any alternative milks - only at breakfast and sometimes the staff put dairy milk in the soya milk container which could result in dire consequences from an allergen perspective) Lack of training for staff (staff knocked on our room and then proceeded to open the door at 11.30pm to bring some tea bags- which we had asked for at 6pm. This woke me and my daughter up),Riu_Palace_Tikida,Agadir
 March 2022,5,It doesn’t disappoint,"Stayed here 6 times prior and still my favourite! Recently went to Marrakesh and have been to other Moroccan hotels but this is my favourite. This hotel has such a lovely feeling to it. You can get everything you need for a lovely relaxing time. I highly recommend asking for a pool side room if available. I have just booked to go back in May and can’t wait. I’d like to add that I’m a total diva but no need in this hotel! Nice bars,casino and marina that are worth visiting too.",Riu_Palace_Tikida,Agadir
 April 2022,4,Poor entertainment,Lovely clean hotel one of the best we have stayed at but the lack of entertainment was so boring it consisted of a group of morrocan reps jumping up and down cartwheeling on stage every night then hunting every pretty girl down and pestering her all night food was very repatative and drinks were to lovely sandy beach and pools gardens are wonderful could not fault the hotel but it was so boring they lumped the children's entertainment in with the adults so the kids run riot every night no discipline would not return,Riu_Palace_Tikida,Agadir
 April 2022,4,Good value,"Been coming here since it opened in 2012. Had not been for over 30 months due to Covid. It was great to be back and meet up with staff who have been there for many years. What a welcome we got! I would mention that there are extensive roadworks going on in Agadir tourist area with pavements and roads being dug up. It will be great when finished but just now you have to walk on roads so take care. As for the hotel, since last there they had repaved the whole area round the pool and gardens. There were also new mattresses for the sun beds. However, the pool boys were too busy hiding to assist you to carry mattresses to your sunbeds. We had cracked toilet seat when we went to our room after checking in, reported it to reception and a member fo staff was there within an hour to…",Riu_Palace_Tikida,Agadir
 April 2022,5,Morroco break,"The Rui hotel was absolutely brilliant, the staff and service was impeccable, we wanted a break to recharge and it was perfect, our 3rd Rui hotel stay, and we can’t recommend you high enough, thank you again, we will be coming to another one.",Riu_Palace_Tikida,Agadir
 April 2022,5,First visit but it won’t be the last...,"We have just returned from a wonderful week here. Having never been to Morocco and wanting some early spring sun we have not been disappointed. The hotel and grounds are lovely, our room very spacious - a little tired in places but very much a non issue. Food is good although I would’ve liked more Moroccan choice at the buffet as sadly we didn’t get to eat at the a la carte (our fault for not booking soon enough). All premium drinks I could want are included, I do love a glass of fizz! The staff absolutely make this place, absolutely nothing is too much trouble. I needed something from the pharmacy but was advised it was closed due to Ramadan but quick as a flash, one of the reception guys got someone to bike it over to another pharmacy further away for me and collect what I…",Riu_Palace_Tikida,Agadir
 April 2022,5,Excellent hotel,"Lovely hotel, brilliant view of the beach. Service from reception staff, restaurant, pool, room cleaners and the kids club were excellent. The food was varied and worked for everyone’s taste in our family. I would recommend and come back to this hotel",Riu_Palace_Tikida,Agadir
 April 2022,5,One of our best holidays.,"As soon as we arrived we were met with amazing welcome and service. The resort is gorgeous and beautifully kept, the food was brilliant, the general atmosphere is perfect which I think is a lot down to the incredible staff. They made our time here. They create a great vibe of fun, inclusiveness and the highest level of service and hospitality, thanks so much!",Riu_Palace_Tikida,Agadir
 April 2022,5,Chill holiday,Pleasant stay in this hotel food very good service and staff excellent also hotel nothing too much trouble good location no complaints about anything would definitely go again in not too distant future,Riu_Palace_Tikida,Agadir
 February 2022,5,Enjoyable evenings listening to the singer/guitarist can't wait to go back and hear more,Hotel was nice all be it a bit dark staff were friendly and the entertainments were really good.There was a singer/guitarist who sung most nights and made our evenings so much fun I didn't know all the songs he sung but I researched some and his were better than the originals.The guitarist was very talented! many times he was singing and smiling and never missed a beat I can't wait to be back to hear more of his music maybe some we've not yet heard yet .,Riu_Palace_Tikida,Agadir
 February 2022,5,Outstanding musician would highly recommend great voice and choice of songs.,Lovely hotel staff were good. Evening entertainment was out of this world. Great interaction from singer/guitarist. Really good choice of songs each night excellent singing voice. This definitely made our stay at the hotel sooo worthwhile. Will definitely come back again for more entertainment 😍,Riu_Palace_Tikida,Agadir
 April 2022,5,Beautiful family 5* hotel,"This was our first visit to Morocco and Riu Palace has really made an impression! The staff are polite, attentive and will do anything to please their guests!! Sara, Ednan, Brahim always welcomed us with a smile and were never tired despite the Ramadan week for them! The restaurant has plenty of choice for everyone and you can go and eat any time of the day!! So convenient for family with teenagers like us who liked to sleep in! The Hotel has a large clean rooms with comfy beds, reception will try to supply you with anything extra you might need. The grounds are huge with a heated pool outdoor and indoors too! The gardens are just steps away from a lovely sandy beach! The hotel is full of fun and entertaining children & adults with water polo, football, table tennis, pétanque…",Riu_Palace_Tikida,Agadir
 March 2022,5,Another Fantastic holiday Morocco,Its been 3 years since we have been abroad and went to the Rui Palace Tikida We was treated like we have never been away. Staff where all lovely and worked hard to do look after us and we had a wonderful holiday and will be back,Riu_Palace_Tikida,Agadir
 April 2022,5,Family friendly with everything you need all under one roof!,"This is a beautiful hotel with stunning grounds, friendly, staff who are helpful and courteous. Covid hasn’t gone away but it’s always great to be travelling again and we had a smooth transition from arrival to the hotel. It’s a privilege to be back travelling largely thanks to the NHS and our vaccination programme allowing us entry to countries. I saw some reviews about the Heavy French clientele but they are allowed on holiday too! There were plenty of Brits as the week went on and the staff have really good English, which is way better than my Arabic or French for that matter! Weather was breezy but better than we expected. Despite the air temperature you’ll need sun cream, but pack a jumper or fleece for the evenings or days when there is a shower. Look out for the…",Riu_Palace_Tikida,Agadir
 March 2022,5,A wonderful hotel,"This is our second visit and we can’t praise this hotel enough. Special mention for Yaseen and Samira in the main restaurant Ali g with the lovely young lady who greeted us at the entrance of the restaurant. The food is varied and the desserts are so good be prepared to put on weight. The lunch restaurant is nearby the pool area. The food again is varied and and a high standard, special mention to Hanna and Fatima who helped us improve our basic Arabic , a new word every day. The whole hotel was cleaned constantly, if there is to be a criticism it would only relate to the hand dryer’s. Whilst I mention certain staff all staff are friendly and help to make this a special holiday",Riu_Palace_Tikida,Agadir
 March 2022,4,Great Hotel,"We arrived back home on 31st March after spending 10 relaxing days here. First time here to this hotel and to Agadir. Hotel was fabulous, decor was beautiful and so big. Our room was spacious and overlooked pool and had side view to the beach and sea. Most of the staff were so helpful and eager to please you and would do anything for you. We did notice that if you tipped them the service you get is exceptional!!. We tipped the bar waiters in the lounge save waiting at bar. Also at end of holiday tipped waiting on staff in dinning room, and cleaners who kept our room spotless. Food was plentiful and good choices the only thing was it wasnt hot enough and sometimes undercooked. I asked the chefs to cook my food more and they did without any hassle. We found breakfasts to be cold…",Riu_Palace_Tikida,Agadir
 March 2022,5,Did not disappoint,"We have waited for 2 years to return, and yet again we were not disappointed. I cant thank all the staff enough as they are all fantastic, cleaners do a fantastic job keeping the Hotel spic and span. slight downfall was it had a lot of French people and i cant believe how rude most of them are, please and thankyou to the staff costs nothing. We took our son and his girlfriend and they really enjoyed themselves, my son and i had a game of golf whilst we were over there, with the free courtesy bus from the hotel. I have only just returned 29th of March, and i am just about to book again for October, and my son and his girlfriend have started saving so they can join us. Some people say the food is repetitive, however if you eat chips every night what can you expect.",Riu_Palace_Tikida,Agadir
 March 2022,5,"Absolutely amazing hotel with lovely hardworking staff.
Most definitely worthy of being a 5 star hotel.","Quite simply a beautiful hotel! All staff work extremely hard and are so friendly. The management team certainly know how to ensure that they and their staff ensure that the hotel lives up to the 5 star rating. From the cleaning staff, the gardeners, the pool staff, restaurant and bar staff, reception staff, there isn’t a single thing I can fault. The food is absolutely amazing and the quality of the ingredients used very clear to see. By day 4 I had already booked to go again and cannot wait until May when we return. Thank you for a wonderful holiday and we look forward to seeing you all again soon.",Riu_Palace_Tikida,Agadir
 March 2022,3,Meh 😕 okay-ish,"Staff were very nice and tentative - special shout-out to Loubna and Ibrahim Agadir itself at the moment is very quiet- this is obviously due to the pandemic. We walked to the marina one night and there was a few street beggars that wouldn’t leave us alone. Street merchants can be annoying and in your face. As pointed out by other travellers, entertainment is not very good and we were in bed by 10. The resort is so beautiful but definitely need to up their evening entertainment. Lots of people from France who were very rude and lacking basic manners and walking around like they didn’t want to be there lol Food was nice and good for the 4 nights we were there- any more days and we would’ve been fed up. Can get abit relative but breakfast was my fav. Indoor pool was not…",Riu_Palace_Tikida,Agadir
 March 2022,4,Good but …….,"Staff 10/10 food 9/10 Rooms 10/10 but….don’t book this as a family holiday I have to be honest it was fab and luxurious for us as a couple but there is nothing really outside the hotel and nothing for evening entertainment, so I would definitely not book this hotel with kids as there is nothing here for them, we saw a small hut for the kids but never saw any entertainment for them? Lovely for a chill but we spent every night back in the room at 9pm watching Netflix as there was no entertainment. We watched a very amateur grease one night but other than that we were disappointed as the only other entertainment was a 2 man band in reception or dreadful karaoke which was pretty shocking considering this is a palace? Everything else was really good rooms pools and food just…",Riu_Palace_Tikida,Agadir
 March 2022,4,Grand Hotel. French Heavy,"This is a huge hotel with some 500+ rooms. The scale of the grounds and the hotel lobby and restaurants is impressive and luxurious. Firstly, the hotel is spotless which is a fete in itself with such a big place. Staff work night and day keeping the place clean Staff on the whole are fantastic. Service is brilliant. They respond to your beck and call. Food can be a little monotonous as withany all inclusive but that's down to the individual to not keeping heading for the same firm favourites and try other stuff. The clientele during our stay were heavy on the French side. General manners don't seem to be something that matters too much and that's saying something being English! Agadir itself doesn't seem to offer a great deal but this hotel at the price point it is offers…",Riu_Palace_Tikida,Agadir
 March 2022,1,Poor beyond belief,"A week into our stay and I want to leave. How disingenuous of Tui to fail to mention that their target market for this hotel is French and that everything is geared accordingly. The food is generally abysmal and although fans of patisserie might enjoy the efforts made most offerings are poorly cooked, unattractively presented, and most disturbingly served cold. Some of the worst all round food I have encountered in 50 years of travel and the the hotel and catering industry. The hotel benefits from from some lovely facilities and lovely helpful staff, but is looking faded in places........we will not return",Riu_Palace_Tikida,Agadir
 March 2022,5,Week Stay,"We stayed for one week at the beginning of March. Great hotel. Rooms incredibly clean, the only annoying thing was lack of sockets and no mirror near them unless you unplug the TV. Food was actually really good, variety was great, but the temperature of the food was a little disappointing, it was just never hot enough unless you got the fresh cooked items when they were topping up. I just couldn’t fault this hotel, the animation team were a great laugh and just lovely to talk to daily, especially Mo, Outman, Hamza, and Yousef. Always made an effort to come and speak to us, check in and generally just a great bunch of lads! I would definitely return and highly recommend this hotel!",Riu_Palace_Tikida,Agadir
 March 2022,5,Me n her,"Just got back.. Can't fault it. Fantastic place, nice staff, great food. Plenty of space and beds around the pool areas. Nothing much when you leave the hotel apart from a small village and a walk on the seafront. Will defo return..",Riu_Palace_Tikida,Agadir
 March 2022,5,Best holiday in Agadir,"Had such a lovely time in Agadir, hotel was beautiful with delicious cocktails and entertainment but the best part was meeting our favourite breakdancer and magician, Zizo and Tico - from the animation team. They took good care of us all week and made sure we had the best time. Gonna miss you guys, we'll be back soon to visit we promise! ❤️",Riu_Palace_Tikida,Agadir
 March 2022,5,Palace fit for a princess!,This was one of the Best holiday I have had. And it’s thanks to the Riu hotel. It was splendid. A beautiful 5 stars. Staff were amazing. So polite and professional. Nothing was too much trouble and they always had a kind approach to Customer service. The ground and reception were immaculate and stunning. You feel like you are in paradise. Three pools. Inside one was heated and beautiful. 2 outdoors pool. One heated with a mini Jacuzzi and a “cold” pool. There were very clean and great design with loungers everywhere with very confortable mattresses. The room was so spacious. It was spotless with gorgeous Furniture. The bathroom was amazing. Powerful shower and a giant bathtub! The restaurants were truly wonderful. Never ate such tasty and varied food. The chef should be…,Riu_Palace_Tikida,Agadir
 February 2022,5,Lovely staff,We went here for a few weeks ago in the February Half term. The staff at the hotel was all really friendly and always happy to help. A want to give a Big shout out to Nordin who was part of the entertainment team and who worked at the kids club on the day we got there. He was brilliant with our little girl Zana and he always helped us to make her happy! 5 star rating to Nordin!,Riu_Palace_Tikida,Agadir
 March 2022,5,Little March break with friends.,"We arrived @ Riu Palace Agadir on the 3rd March and stayed for a week. During that time, we were treated like royalty by staff. In the main dining room Soumaya and Hannana looked after us, having our table ready and getting us anything we needed for both breakfast and lunch .We couldn't have asked for more. All staff throughout the hotel were amazing and nothing was too much trouble for any of them. Thankyou to you all so much. Our room was on the 2nd floor which was perfect as the restaurants were one floor above and pool and beach one floor below. We ate in Marrakesh on 2 nights.This was our favourite.On one of the nights it was our friends birthday and the staff brought bubbly to the table and a birthycake.She also had flowers delivered to her room which was a lovely touch.…",Riu_Palace_Tikida,Agadir
 February 2022,4,TOO MANY FRENCH KIDS,Arrived 24th February and all smooth going at the airport. We were in time for dinner on the outside terrace where we were looked after by Redouan Hamas Mohammed and Fatma. Brilliant staff and we had a very warm welcome from them as we've visited the hotel a number of times so recognition all round. Also a mention for Hassan who worked the lunch time outside and also Kristal He was so attentive and made us feel very special. Food good and plentiful as always. Couple of negative points . No Air conditioning only heat so had to keep patio windows open all night to keep cool. So had to put up with kids (assume older kids) shouting and screaming around the pool area at 2.30am. All French and they all did what they liked with no parental guidance. Scooters and skate boards…,Riu_Palace_Tikida,Agadir
 February 2022,5,"Fantastic hotel, I have already booked to return!","I travelled on the first flight from the UK so the hotel was just reopening again for tourism. I travelled as a solo 32 year old female traveller. Hotel facilities: the hotel itself is beautiful. The photos on the website and the TUI site do not do it justice and make it look a little older. In real life, it is really stunning, with open spaces and palm trees, seating areas to relax, and beautifully kept gardens. Pool was stunning with poolside bar, I read reviews of people having trouble to get sunloungers, I personally didn't experience this but the hotel was quiet during my visit so may be different during peak times. Rooms: Very spacious and nice design, they have a sleeping area and a small step down to where there is a sofa and table and chairs. There is a sort of walk…",Riu_Palace_Tikida,Agadir
 February 2022,1,Disappointed,"Great hotel if you have kids and can get on the super deals the French got, if you want a quiet holiday AVOID. Very noisy at night from other guests. Ive stayed in quieter 3 start hotels in mayorca Hotel is clean and the staff are amazing, some guests checking out and re locating to the Tui blue adults only a few doors down the road,",Riu_Palace_Tikida,Agadir
 February 2022,1,Was the best but not now,"Stayed in this hotel 4 times in the last 6 years for a few weeks every February. Previously tried a few of the other hotels in Agadir but found the Palace Hotel the best. The hotel like you to wear masks when you self serve food in the restaurant but it’s pretty relaxed elsewhere. Morocco covid test everyone on arrival but it took only 45mins from leaving the plane to sitting on the coach to the hotel. Unfortunately the hotel has turned into a “Kids club” and won't be returning. Always liked a good mix of guests in hotels, young , elders, different nationalities as it adds to the holiday experience but it’s not been a relaxing break this time. The hotel staff are patient, forgiving and good humoured but are totally outnumbered and can’t cope with the sheer numbers of kids.…",Riu_Palace_Tikida,Agadir
 February 2022,5,Agadir after re-opening,"Thought it worthwhile sharing what it's like coming into Agadir as it opens up again after a total air flight ban. Arrived on Thursday on the 1st TUI flight in since October. Tui check all your documents as you drop your bags for the flight. At Agadir airport, the flow through passport control, baggage reclaim is very smooth and efficient. The only thing they checked was whether you had the Moroccan entry document. The big additional step is a big white tent you walk through outside the terminal where everyone is lateral flow tested. This was for us almost instantaneous. It's then straight onto the coach to the hotel.. Heard nothing since, so I assume the tests were fine. So I'd say, once you get through the pre departure 48 hours PCR test yuck, it's smooth and easy and…",Riu_Palace_Tikida,Agadir
 November 2021,3,Not what I expected,It’s just disappointed how people think that everyone who comes to another country is looking for just sex . I came with my girlfriend to this hotel just to relax and enjoy the sun but the manager of the hotel sadly was trying to get me to bed even after I explicitly told him that I only like women and I’m with my girlfriend already he insisted at first and he left with an un disgraceful face . I was so angry with that because he of all people should make sure that we are good and we are having a good time,Riu_Palace_Tikida,Agadir
 November 2021,3,Nice hotel bad management,Me and my girlfriend came to this hotel to relax since it’s our first holiday since the pandemic but the manager of the hotel is a real pervert. He tried to Hit on me and take me to his room even though he knew that I’m here with my girlfriend. I thought the hotel tolerates homosexuality and I explained to him that I only like women plus I’m already with my girlfriend but he keeps insisting and that what made me so frustrated. I didn’t even want to get out of my room anymore. I just kept ignoring everyone at the hotel and tried to go to the beach more often and only come for food and drinks,Riu_Palace_Tikida,Agadir
 October 2021,4,Hotel 4* staff 4* food 3*,A very clean hotel where most of the staff are very helpful. The food was average and we found the buffet was better than the 2 fine dinning restaurants. It was good Value for money .tui rep was good and a day trip to the atlas mountains is recommended. Its worth eating out a few nights to break things up.,Riu_Palace_Tikida,Agadir
 October 2021,5,Another wonderful visit,"After a 2 year wait we at last managed to get back to our “second home”. Upon arrival we were offered an upgrade to a Junior Suite, which we gratefully accepted. We were greeted like old friends by so many of the staff some even remembering our preferences for food and drinks. Some people have complained about a lack of sun beds, I don’t know where they were staying but we went down between 9.00 and 9.30 and were usually some of the first out, empty sun beds all over the place. The animation team came and sat with us for a while everyday there was Mo, Yousef, Ayoub, Outman and his friend who’s name escapes me and Tima. The food although sometimes a bit samey was always nice and there was always plenty to eat. Breakfast was always the same but it had to be as all fronts were…",Riu_Palace_Tikida,Agadir
 November 2021,5,Amazing holiday!,"We are staying in this resort 7 nights and would like to express my gratitude to all the staff for making our holiday a memorable one especially a big thanks to receptionist Loubna for being so a such professional and prompt in everything it seems she is very familiar with customer care attitude and thanks again for helping us to enjoy our stay,well done. The rooms are so large,clean,fresh and safe ( 2021 and 4054).Restaurant services amazing and the food is plentiful. Entertainment team just brilliant! Bar cocktails are good enough and plenty of choice.Gardens are lovely with lots of beautiful corners to relax in the sun. We would absolutely highly recommend it!",Riu_Palace_Tikida,Agadir
 October 2021,4,Nice hotel mines one of the kitchen staff,"Very nice hotel . Me and my family really liked it , it’s so nice and clean the stuff are very welcoming. The animation is great and fun . The service is nice but one of kitchen 2nd chef really took all the fun I once asked him to get me a soup for my grandchild and he literally blocked me out and ignored me . And when I came back again he started shouting some bad words in Arabic to one of his colleagues he was not nice to me at all . He was very grumpy, and every time he walked by he would look at me like the devil with protruding eyes . He ruined our holiday for real , everything else was good. His name is a abdelilah saw it on his badge",Riu_Palace_Tikida,Agadir
 October 2021,5,Must still be the best hotel in North Africa,"Arrived on 14th October for 14 nights all inclusive. We have visited this hotel on several occasions and always found it to be a great experience. While the Hotel is operating under strict Covid 19 restrictions, the staff are wonderful and always go out of their way to ensure that your needs are met whenever it is possible. Covid 19 restrictions affected bar opening times (11 pm curfew) and there were no theatre type shows from the animation team. However, the animation team participated in a lot of ad hoc activities, both during the day and in the evenings. When I have had a problem at this hotel, a quick call to reception and the problem was always sorted in double quick time. While we were on holiday, the Moroccan authorities banned all inward flights from the UK,…",Riu_Palace_Tikida,Agadir
 October 2021,4,Riu - Cash cows,"Finally we have got away from the UK after nearly 2 years of rubbish and what a amazing trip we had. First thing shout out to the Tui Rep who was brilliant after the borders were closed 2 days after we had arrived lol - just a shame we actually made it home. The hotel is amazing - room was amazing, staff are just awesome and the pool was lovely and refreshing lol - my husband would say freezing. The food was just lovely lots of fresh cooking every day, for us it was perfect but I can see how others have issues with it, especially with kids as if you have a fussy eater then they may struggle to eat anything other than pizza and chips every day. We have been to many other hotels that have many more options. Negatives - as the Brits were leaving there were lots of French arriving…",Riu_Palace_Tikida,Agadir
 October 2021,5,it is a 5 stars hotel for sure,"the hotel is very big and clean the pool area is absolutely stunning the food and drinks are amazizng , the staff are very polite and helpful i have no complaints about this hotel , the service was beyond my expectations . i do recommend this hotel to everyone who wants to get a way and chill and have some sun and fun",Riu_Palace_Tikida,Agadir
 October 2021,2,Not a 5 Star!,"I bought myself and my children here for a break and was surprised when I arrived that they still claim to be a 5 star resort. This hotel is 3 Star at best Old decoration, employees are embarrassingly clingy and over the top. Get to the meal times early as their is nothing left after the vultures decend The pool is like a ice bath",Riu_Palace_Tikida,Agadir
 October 2021,1,Avoid Avoid Avoid,"I would not return to this hotel ever When we checked into the hotel we found the reception team extremely abrupt, as we arrived at 11pm there was no food at all so we had to go hungry u til breakfast. In the morning we went to the pool only to be greeted by a sea of towels on the beds and no people, it was bought to our attention that the staff around the pool were reserving them first thing in the morning so if you want to get a good bed you have to get up at 5am The activity staff were super annoying, coming round and disturbing your day one after the other all day non stop. When you have to pretend to be asleep so they go away you know it’s too much. As for the rooms they are very dated with old and dirty bathrooms that need improving desperately hopefully the hotel…",Riu_Palace_Tikida,Agadir
 October 2021,5,Amazing!!,"It was my first time in Morocco but my cousin had visited 2019 at the same hotel. It was absolutely amazing! The hotel is beautiful, the food is nice, the staff are really nice too. A special shout out to Mehdi he made us feel welcome, he is very polite, funny and friendly! The entertainment is very good too special greetings to : mo , hamza , tico , hotman , jennie and dija Although there is no show yet . But we have fun with them at night with karaoke xx and my cousin plan on booking again at the end of 2021 so we can come back and see everyone again soon!",Riu_Palace_Tikida,Agadir
