 December 2022,5,Wonderful hotel close to many things,"We stayed as a family for 3 nights on the Tangier part of our Moroccan vacation. This hotel was across from the train station and Tangier city mall and a block or so south of the main Tangier beach and boardwalk, so easy walking distance (1/2 hr or so in either direction) of the marina and Malabata area. Room was very comfy and modern, nice size pull out bed for our daughter. Nespresso and water in room free of charge. Breakfast was good, lots of variety. Front desk arranged a tour for us with a guide, which was fantastic and hit all the sights we wanted to see. The bar could’ve been a bit better, but we were able to get a cold beer and a glass of wine. Overall a great hotel!",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 October 2018,5,Brother Sister time together,"May be you find it a little strange that someone is reviewing a hotel that they have not visited yet. Well, I can tell you that my family went to this hotel when it was inaugurated back in the day. When my sister told me she has a conference there, I did not hesitate to decide to come and spend few days at the hotel and also visit with my sister. So, from Toronto Canada, I will God willing come to a hotel who impressed my family who are all travellers and know about hotels; and always stay in this hotel for the quality of the staff who are hired, the quality of the service which is being offered. I am looking forward to it.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2018,5,words can hardly express how much I love this hotel,"Difficult to express in words how much I enjoyed this wonderful hotel! Had a lovely 4 nights stay, all was more than perfect from the moment of check-in (big thanks to Mohamed) till I left. The luxe suite with sea view was very spacious en spotless clean, so was the entire hotel. Great sleeping comfort. Breakfast was very varied, all fresh and tasty, a beautiful start of the day. The entire staff is very friendly and professional. Well worth the 5 stars. Very good location close to the train station and shopping mall, quiet and safe area. Am solo female traveler, felt very safe. Even though I love the charmes of the medina I was every evening happy to return to the comfort of this luxurious hotel. Thank you!",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2018,4,for us best experience of Marokkean Hotels...,"jumping over by ferry from Algeciras this was our first stay in Marokko - on our selfdrive discovery experience ! And actually after all, it was the best in super quality and ok-pricing. We consider this hotel on a good spanish level, super quality room, very nice Bell-captain Ahmed ( he was excellent and charming - super guy - ready for more in this business, I would believe)... we got nice ""walk-in-rate"" from flexible front-desk lady and had a balcony nice room - view to swimming pool and beach - breakfast for marokkean hotel standard extra-ordinary ! Tapas in 1st floor restaurant really excellent..... very nice all over and to recommend - try to get best rate, as in this country everything is negotiable ;)!!",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2018,5,Looong Stay Duration,"Let me say briefly; Stayed here more than 1 month. Therefore my feedback would not based on my feeling only but also my observations. First of all I want to thank Mr Saad Boumraya to have such a high motivated and friendly team. Especially to Kaoutar and Lina at reception. Many days I saw that hotel was full , where I didn't expect so much. Breakfasts provide large variety. Cleanliness of rooms and common areas are also in high standards. It is located near to coast in the city center.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2018,2,"*DO NOT USE THEIR LAUNDRY SERVICE, IT WAS A SCAM*","I asked the hotel if laundry service was available, they sent staff right away to pick my up clothes, they listed each item and then had me sign. The next day my clothes were delivered with a receipt that didn't mention price just the list of clothes with my signature from the day before. When I checked out of the hotel, I noticed a laundry bill of 1625 MMD, which is about $170 USD!!! Very surprising that they would overcharge like that, it felt like a scam. Other than the laundry, this is a nice hotel with a good location, restaurant, and pool.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2018,5,Stayed in several rooms.,"My friends came for my wedding so I was staying with them from time to time in their hotel while I was getting ready. They complained since they were there longer than i was, that the service wasnt good that they asked for things hours before and didnt get them fast(this is what they said) I on the other hand had a great experience I booked this hotel the night of my wedding as my room was cancelled in another hotel. Once I was checking in I saw the Barcelona team which was playing in town that week come in(maybe that's why the service was a bit slow, mind you it was August peak season) anyway back to the story. Checked in told them it was my wedding night and the manager upgraded me to a suite. Which was just gorgeous and the service the next morning was quick and fast for…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2018,5,Very good spa,I book massage and hammam The receptionist Lamia was very helpful and smaily The hammam man Abdullah was excellent I definitely recommend this spa and I will visit it again It worth every penny Thanks,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2018,4,beautiful week end at tangier,"the service was very beautiful in the hotel, stuff very active and ambitious, specially guest relations they were very supportive and even drew an itinerary for us to visit the city, assured transportation and reserved restaurants for us the stay was amazing i totally recommend it",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2018,5,Best hotel in town,"I’m at the hotel ATM, while I’m writing my review. This place is one of the best in Tangier, well located 2 Min from Tangier central train station, close to the beach. Beautiful sophisticated design. Lovely professional staff. The food we had the was a bit boring and less than what I’m used to it in this hotel. Could have been better !",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2017,5,Incredible,"This hotel is simply incredible, they welcome you with Moroccan tea and cookies, the bed was one of the most comfy beds i've experienced, the breakfast is just TOP. Their services are amazing. Loved it and can't wait to be back.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2018,4,Closest you can get to 5 star,"Very much enjoyed staying at this hotel. Stay was not perfect, but every issue was dealt with quickly and in an efficient manner. As usual staff lacks training and facilities lack inspection so it is up to the client to report things, but that is usually the case in Morocco (unfortunately). Very good location. Excellent breakfast. Very nice staff (except for SOME of the ladies who need to realize smiling is absolutely necessary when working in a hotel of this level). Would stay here again.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2018,1,Horrible,Hotel is overcrowded. Staff is inefficient. Breakfast and diner is a nightmarre. Room service is absolutely unprofessional. And the sport area is more a discotheque than a place where you practise peacfully ! The best is that they do not even propose a towel for the sport. You have to bring your own... To be avoided. Ah yes .. the best is that there are some ongoing work next to the hotels and workers finished at 23:00 and start at 6:00... great!,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2018,5,Wonderful staff,"We went there with my parents for a night. Travelling around Morocco. From the beginning I wasn't satisfied at all but at the end I have to recognize the staff (all services housekeepers waiters and receptionists) and managers professionalism. A special thanks from my parents and I to two ladies not sure about their name oumaima and khaoutar you're tip top. Great location, rooms ok. Hope to see ya guys next year insha ALLAH Sophie Sophie",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2018,5,Great Hotel,"i Booked online, no payment until i got there. Reception service was excellent, especially from a young lady named Koupter. She made our stay extra special and extra comfortable. The hotel itself is in a good location, close to everything. Do not miss breakfast, it is fantastic!",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2018,5,Best stay in a hotel in Morocco,"Stayed here three times in total, and each time, they do better than last time we stay there. We are always pampered in a very luxurious way. Breakfast buffet was the highlight of our stays because it had so many choices... Rooms are spacious and very clean. So calm... definitely staying there soon.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2018,5,Business in Tangier - Hotel not too far from the Tangier sea and harbour promenade.,"Spacious rooms with good beds, big bathrooms and balcony. Very good cleanliness. Excellent breakfast with wide range of food. Excellent services including pools, massage. 2 restaurants, bars, large fitness.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2018,5,Great Hotel in Tanger,"This Hotel is great. Large rooms, king size beds, cleaning is excellent, large bathroom with all you need. Breakfast is Top. You have a huge variety of food, and quality is excellent. Hotel personnel are very professional and are always looking to see what you may need. This is really worthing the price, well placed, near a shopping mall if you want to check local shops. I strongly recommend this Hotel as one of the best choices for a short stay in Tanger.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2017,5,Great Hotel,Stayed just one night while visiting the city for some working assignment and I found this property to be a great choice. Rooms are spacious and well appointed. Wifi speed was fair enough and the breakfast was really great with so many choices. Overall it was a very good stay an if I have to come back to Tanger this will be clearly my best choice.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2017,4,Great choice for Tangier,"This hotel is really a great choice! Everything is modern and perfectly clean. My king size bed was very comfortable and gave me a good sleep. Most amenities were perfectly working, but only the WiFi, which is free, was a bit slow at times. Cleaning staff use a fresh room fragrance which I liked very much. The wall of the room as well as the floors are decorated with old photos of Tangier or some nice pieces of art that show parts of the city. The concierge desk is a very good place to get some ideas about what to do and how that can be organised. Thank you. The breakfast buffet was just good. Everything one would expect from a buffet in an international hotel was available, but nothing more. The staff is very mixed: some members are really nice, helpful and up for a little…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2017,5,Perfect for business,"My room was clean, spacious, and modern. The wifi is great, the shower water pressure is great, the towels are decent (but not great). Sara at Guest relations was super helpful when I had a tech issue and with advice on where to eat. I can't comment on breakfast because I ate a traditional Tanger café down the road. I recommend.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2017,5,Wonderfull stay !,"This hotel is very nice , clean and the staff is very helpful . Saad is a great person in the right place to welcome and put guests at ease. Restaurant has very nice food and friendly service Breakfast is complete and various. Hotel is in a good location , walking distance to sea and shopping area",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2017,5,The best hotel in tangier,"That was my second stay in this hotel the atmosphere changed and I feel more welcomed. The staff are making more attention to details, I was impressed. Professional team and very good hotel. I will comeback",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2017,5,Back with joy,"Tangier is now so generous in terms of hotel accommodation. Still, it is so nice to get back to a place and get even more delighted. We stayed at Royal Tulip during a long week end. We had a business day but decided to stay beyond. The venue had all the amenities from the cozy rooms to the nice spa. The breakfast combines local specials and global touch. The staff is cheerful across the board. If you need help ask for Sara. She can make it happen from speeding up your check-in to recommending the right menu within the hotel. I will certainly recommend Royal Tulip be it for business or for a relaxing weekend with the family.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2017,5,Delightful oasis,"We were here on a group trip to Morocco. Every aspect of the hotel was excellent. The room was large and very clean. Everything worked very well. Strong WiFi in the room. Meals were very tasty. We ate in both the standard dining room and the vasco restaurant. Staff were competent and friendly. Only two small quibbles. 1. Shower is hard to operate. Once you figure it out, there is plenty of hot water. 2. Lobby has three elevators. They have separate controls so you need to press the buttons for all of them to avoid waiting for a slow elevator.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,5,Royal hotel,Yes a Royal hotel. Nice and clean room with balcon and city views. Staff very friendly. Restaurant 1 first floor it’s elegant and service was excellent. The 2 waitresses were very professional and helpful. Breakfast was perfect. Definitely I will be back next year.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,5,Excellent hospitality,"Amazed by the staff, they were at the service and very professional, the room was very clean and the breakfast buffet was so good! I had a very good stay with my relatives and we really enjoyed it. I highly recommend this hotel for everyone whose next destination is tangier.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,5,Lovely hotel,"I booked a night in this hotel while traveling from Tarifa to Marrakech and was not disappointed. The hotel staff was very professional and friendly. I injured my foot while out sight seeing and they were very quick to offer to help me to get inside the hotel and to my room. They even brought me an ice pack. The room was very clean (and I am a certified germaphobe), and the breakfast buffet was wonderful. A perfect way to start the day. I hope to make a trip back to Tangier and will surely stay at Royal Tulip City Center.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,5,Royal Tulip is Certainly Royal,"I work for a truck manufacture and for the last twenty years have organized an incentive trip for our top sales consultants, sales managers, service and parts managers at our independent distributors. It is a consistent and ongoing program and is the best in the industry. Well, the Royal Tulip is right up there with the best. A magnificent hotel that is clean, friendly and state of the art. I am ashamed to say I only speak English and a little German. The staff was very patient and was very helpful going and getting an individual to help us out ordering and making some arrangements. Excellent service and very thoughful of the guests. I would recommend this hotel to all going to Tangier. Also, amazing and wonderful city.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,3,"good hotel , not more","Room is very nice , breakfast is good but service is not ready on time 1 day on 2 (i have done 3 stays of 3 nights in this hotel) , the hotel is not far from the front sea and the center (15 min by walk) , sport room is very good So in average according the price paid",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,5,Nice hotel,"It doesn't have sea view but have very nice locations beside the mall , restaurant, coffees and 5 mints walking to the beach. The gym is well prepared,the breakfast have enough variety and the stuff very very helpful for sure I will come again.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,2,Not worth 5 stars. AT ALL.,"After an exhausting 6hrs drive, I've arrived to the hotel knowing that the Executive room that I have booked was downgraded to business. Why? No idea. I have yet to see with the hotel in the morning. We booked as a couple and received towels for 1 person, 1 bathrobe and all the amenities suitable for a single person (including the room type itself.) Stains are all over the carpet, towels are used up and look quite cheap... Not at all the service I have paid for... The 2 star ratings were for the friendly personnel. Other than that, the hotel is mediocre and not worth the 5 stars. AT ALL.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2016,5,Excellent and Sophisticated Stay,"Wife and I spent a week at the Royal Tulip. There were a few glitches on check-in and we were offered tea and cookies as they were worked out. We opted for the stocked bar, and enjoyed chatting with the bartenders. The room was nice, and had a great view. An easy walk to the train station, the mall, and the modern nightlife area the location was perfect. Waterfront is a few blocks, and restaurants, ice cream and family fare abound. Its a 15 minute taxi to the old city and there are plenty of options for westerners. Highly recommend.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2017,5,Wonderful,Wonderful hotel and staff. The staff was very friendly and helpful. Quite a luxurious hotel with every amenity you could need. Rooms were very spacious and clean. Nice breakfast in the morning. I would highly recommend.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2017,4,Good Hotel with Poor Restaurants,I have stayed at this hotel for four nights. Location is good especially if one wants to enjoy walking by the newly renovated city center cornish. Staff are reasonably nice although they seem to need more training on hospitality etiquettes. Cleanliness is reasonable except for the corridors which are clearly dirty and filled with food and beverage spills. Restaurants are very poor for such a big hotel although the breakfast is not bad overall.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2017,5,Modern first-class hotel near Tangier downtown and ferry terminal,"On a recent visit to Tangier, my son, daughter, her friend and I stayed at the Royal Tulip City Center. First class experience all-round. Rooms were spacious, modern and comfortable. On-site pool lovely. We dined at on-site restaurant which had an excellent menu catering to all tastes including vegetarian with an modest but OK wine list.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2017,5,Ma,"Very nice place neer to down town, fome some of room is posseble to see the sea and hotel pool. Breakfast is good, more swet as salt. The room is big with balcony, big bath room. The service was perfect.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2017,5,Excellent all around,"This was a wonderful place from which to navigate our recent holiday in Tangier. Everything functioned as expected. Nice bars and snack stations. Service staff very friendly. Breakfast buffet was outstanding. The most prominent assist was from the head concierge, Mr. Bouayad: he helped in several ways but especially in arranging our two all day outings with a car and driver to Chefchaouan and Asilah. The only downtick is that upon checkout the hotel did not offer us a choice to settle our account in dirham or in USD causing a surcharge of 3% due to their default USD option. By the time we discovered this practice it was a production to reverse and re-enter the transaction in dirham. Aside from this minor annoyance it was an outstanding experience all around. Highly…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2017,5,Wonderful retreat from busy city!,I can't say enough good things about Royal Tulip. The staff is wonderful! I am vegetarian and the staff went out of their way to make me a cooked vegetable meal (that was delicious)! The following day they remembered my dietary needs and accommodated me without hesitation. If you speak english (or if you don't) ask for Badr. Badr speaks impeccable english and gave us amazing recommendations of where to visit and eat. I wish we could have taken Badr with us to the rest of the cities we visited in Morocco. Badr made us feel at home and became a smiling face we looked forward to seeing every morning. Thank you to the wonderful staff at the Royal Tulip! We will be back!,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2017,5,Great staff & Badr was amazing!,"This was a highlight of our trip through Morocco. Tangier was our first stop & their staff was amazing, especially Badr (guest relations). He helped us with anything from international SIM cards to local insight. We stayed at El Fenn in Marrakech & Four Seasons in Casablanca, the Royal Tulip staff was on par if not better. We missed our flight with Royal Air Maroc because they had no check in attendant (AVOID ROYAL AIR MAROC) for a 5am flight. The Royal Tulip staff helped us organize a private car to Marrakech, let us go back in our room after check out & sent us food. Stellar!",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2017,4,Nice place,"Royal Tulip was a nice oasis in Tangier. Great fairly spacious modern new rooms with great views. Quiet beautiful large pool. Spa facility was nice surprise. Nice lobby cafe...and hotel restaurant was good too. Breakfast was lavish. ATM in lobby as well. For a Moroccan hotel, this along w the new Hilton, is a top choice for a quick jaunt in Tangier. Clean, friendly, and nicely designed. Bear in mind that once you leave the hotel, hawkers and would-be ""I'm not a guide!"" guides are all around the main beachfront promenade waiting for tourists to ""help"" but are then very difficult to shake. We had one who 'happened by' and then wouldn't leave us for 45 minutes - talking endlessly - and escorting us to the market...we had to get rather firm with him 5-6 times saying 'ok goodbye'…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2017,4,The Tulip smells good.,"Nice hotel with good breakfast offerings. Lots of good restaurants and a major shopping center outside the hotel doors. Nice to see some English language channels, evening turn down service and small chocolate along with friendly staff.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2017,4,Great Location and Nice Facility,"I liked this hotel for its new facility and modern decoration. The location is excellent for city center and walking distance to the sea and new shopping mall. Hotel price is reasonable and staff very very friendly, especially the reception lady (sorry as I can't recall her name). The point for improvement is the breakfast which was not the expected standard, and staff not really taking care for serving customers during the dining, and instead concentrating on the set up of the empty tables. I think they need more training.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2017,5,Great,Very nice renovated luxury hotel in the center of tanger. Alternative and pro active staff with spacious clean and beautifull rooms. Great spanish tapes and pool. The place to be when in tanger and not only for business,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2017,5,Excellent,"Beautiful hotel. Clean, comfortable and well located. Friendly and professional staff. Badr at the reception was outgoing and an excellent ambassador. Outstanding food in dining room for dinner and breakfast. Perfect croissants were a delightful surprise. Many services for personal or business stay. Would be happy to stay at this hotel again.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2017,5,Amazing hotel with full satisfaction,"Breakfast is full of choices, room is very clean and even write welcome card with my name. Staff is very friendly. Good location near by the sea and train station! very convenient. The Spanish food is very good. hotel have day travel service with a nice car.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2017,5,lovely with great staff,"This hotel is situated in a nice position for sight seeing and is close to the beach. The area has been redeveloped since my last visit a few years ago and is now very nice The hotel is beautifully clean, the restaurants are good with nice food although msybe a bit limited, the bars sre nice, with sttentive and helpfull staff. They screen foitball and often have live music. The rooms are nice and have balconies, big bathrooms and sgain, beautifulky clean. I haveto mention the staff. Ì do t think i have ever stayed in a hotel with nicer or more helpfull staff. Noyhing was to much trouble, even when i arrived back very tired from work they arranged hot food for me in the bar, totally unexpected. I think the hitel price is reasonabke cobsidering how well i was treated.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2017,5,Excellent hotel close to city mall,"Very impressive hotel, good and courteous staff, excellent breakfast. Close to eating places like Kentucky and MacDonald etc. Good views from higher floors (4 plus). Even numbers have sea plus pool view and odd numbers have city or big buildings view. Wifi is good except room 817. Dosent work in the room, why know one knows. So if you want wifi in room don't get room close to lifts. (We used cameltrektours.com. For transport to come to this hotel and around Morocco. Had very knowledgable driver Hamid. Contact Moha 00212661821652.).",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2017,5,3 night stay for a conference,"Beautiful hotel, spacious room and excellent breakfast menu offered. I highly recommend this hotel for its attentive staff and it's great location for both families and business trip. Thoroughly enjoyed my stay.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2017,5,Visited in a conference,"Well, what a beautiful Hotel...Brilliant Staff, Spacious rooms, Food was absolutely amazing with so much choice as well as the convenient location which is closed to all city's major access. I recommend this hotel for Business travelers as well as families as it is a relaxing place for a holiday. Really enjoyed my Stay. Thanks,",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2017,5,A real splerge,"Tangier offers a wide range of hospitality venues, making it hard for visitors to pick. Royal Tulip has managed to set a great precedence. The hotel is located at the newly developed city. The rooms are meticulously arranged offering all the amenities. The staff is another blessing; they are behind every single nice touch, just name it. A generous breakfast and fabulous view we can get from the 7th floor. One genuine witness towards the staff, they are attentive to the queries. To commend highly is Ms. Sara from the guest department and Ms. Chaimaa at the desk. I saw them in action at a peak situation which they handled with grace.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2017,5,Excellent customer service,"In the Tangier for the first time visited the hotel. The rooms are nice, great facilities but what is absolutely excellent is guest relations they went above and beyond to accomodate us, in particular Sara. We tried the gusto restaurant and we found it ok.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2017,5,Best hotel in the world :),"I visited to Tangier second time and l tried to this hotel. I can say that best hotel in Tangier. Location ,clean rooms,rich breakfast,fast wifi and very very kindly staff. Especially the quest relation Ms. Sara with her beautiful smile:)",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
