 February 2021,3,Solid budget lodging,"This riad provides basic, simple accommodation for a very reasonable price. It is not fancy at all, though the decor is pleasant and the rooftop terrace is nice. My room was small but what I needed for a quick 2 nights, and had a private bathroom en suite. The curtains didn't really block out enough of the ambient light from the medina outside, so if you're light-sensitive that could be tough, but I was able to sleep through that just fine. However, even with the current curfew in place, there was a lot of noise from outside in the evening, and someone was banging really loudly at about 2am one night. Not sure if it was on the door of this riad or someplace else, but it went on for close to half an hour and kept most of us in the hotel awake, as I could hear others talking and…",hotelName,city
 August 2011,3,"Ok for budget travelers, would not go back.","This riad was ok. I cannot say much more than that. The best part is the roof terrace where breakfast is served every morning; it is very pretty and you can look down into the street below. The breakfast itself was a little disappointing, fruit juice, bread and jam, sometimes with some boiled eggs. The staff were very quiet but polite. The room and bed clothes were dirty - the decor is very dated which would not have bothered me at all if it had been clean! The bathroom lights were broken so we had to leave the door open when taking a shower. The shower was ok but a bit temperamental temperature wise! The riad is in a good location but it is extremely noisy all night - take ear plugs if you are a light sleeper!",Riad_Le_Grand_Large,Essaouira
 June 2011,5,Great Experience,"Beautiful riad, very friendly, helpful staff (most spoke minimal English, one spoke English very well but this wasn't really a problem). Good location and easy to find. When we arrived we went to the rooftop to see the view. Wonderful smells were coming from kitchen. We were invited in where Jasmina was cooking lunch for the staff. We commented on how good it looked and smelled and were asked if we would like some. We asked for just one order and were given stuffed sardines, fish tagine, tea, salad, bread, a large bottle of water and fresh melon, Plenty for two people and all for 120 dh (12euros)! It was so delicious we asked to have lunch again the next day. Our lunch was made to our order and was again delicious. All in all a wonderful experience.",Riad_Le_Grand_Large,Essaouira
 May 2011,4,"Clean, Good Location and the sweetest ""Yemena"" serving breakfast","I traveled in Morocco for 3 1/2 weeks and visited Essaouira toward the end of my trip. I booked in advance and ended up getting a much better rate that the posted rate. Riad Le Grand Large wasn't exactly large, the room was a little cramped, but the location was great and the room was cleaned daily. The staff is French speaking, but you can get by with English. ""Yemena"" the lady who served breakfast was the sweetest women I encountered while in Morocco. While our communication was basically nonexistent it was great to sit with her at breakfast and she was great at the coffee refills! She repeatedly said what sounded like ""internet"" so hopefully she'll be happy to know I posted her picture below. If you stay here don't miss the opportunity to meet Yemena!",Riad_Le_Grand_Large,Essaouira
 April 2011,5,"friendly, good value, pretty roof terrace, excellent shower","Welcomed with mint tea, clean rooms, comfortable bed, although pillows a bit firm for my liking. Lovely traditional interior design and the best shower I had in Morocco. Usual breakfast on lovely comfortable Roof terrace - also a good place for a quiet read. Not a 'smart' hotel but a comfortable one-apart from the pillows. I'd definitely stay here again.",Riad_Le_Grand_Large,Essaouira
 May 2011,5,Wonderful Riad in the middle of the Medina,This riad in the center of the Medina in Essaouria and offers a home away from home. The rqtes are very reasonable and the staff very friendly. I was pleasantly greeted by Amina and shown up to my room on the second floor (room no. 4) which had a double bed with its own bathroom and shower. The room was clean and nicely furnished in good Moroccan taste with high cielings and an extra loft bed. The rate includes breakfast on the beautiful terrace. Also there is free wifi and free use of computer in the lounge.,Riad_Le_Grand_Large,Essaouira
 April 2011,5,"Great location, staff and price",This little Riad set in the heart of the medina is a perfect place from which to explore the beauty and tranquility Of Essaouira. The Riad is spotless and everything from the wifi Internet to the showers works as you want. Probably best of all are the staff here. From the moment we arrived after a long 12 hour journey we were welcomed with smiles and helpfulness from all of the staff here. Special mention needs to go to Yemina who serves breakfast on the sunny terrace on the roof. She starts your morning with a smile and serves you delicious coffee and local honey and jams for your tasted bread. We wanted to stay longer but had to leave as they were full. Don't hesitate to nook in here for your time in Essaouira.,Riad_Le_Grand_Large,Essaouira
 February 2011,4,Good basic and central,Found this on Expedia for 22 euros breakfast on the terrace included which is very good value for somewhere clean and quiet with its own shower room. You can even use the internet for free.,Riad_Le_Grand_Large,Essaouira
 January 2011,4,Value for money,"The Riad Grand Large was a good riad, with helpfull (although only french speaking) staff. Real value for money with good location, clean rooms, and a nice terrace. The kitchen served great food, but the breakfast was a bit plain. As previously mentioned on tripadvisor, the rooms were a bit damp, but it wasn't a big problem.",Riad_Le_Grand_Large,Essaouira
 December 2010,5,Best Riad we had in Morocco,"We expected a cheap backpackers place, but this was the best riad we stayed of the 8 riad's we visited. Moreover, this place offers the best value for money. By far! The atmousphere was great, very relaxing. The riad is perfectely situated in the medina, but this place is very quiet en peacfull. This riad has severall nice lounge corners where you can read, play games or meet other travellers. We loved the roof terrace! The staff was extremely friendly and helpfull! The ladies were so nice when they found out that may boyfriend suffered from food poisening. They offered him green tea, hot chocolate and medicines. Just lovely!",Riad_Le_Grand_Large,Essaouira
 December 2010,2,Good for one night and not more,"I stayed at the Riad Le Grand Large a couple of days ago. If you're looking for a place for a night, i recommend this hotel. Pros -Nice reception and very helpful. -Good Internet Connection -Staff are all very nice -Middle of Medina Cons -Bathroom flush keeps breaking -Floor is always wet in the shower room -Dangerous to walk at night after 10 pm, and I am a guy. -Long stairs to the terrace to get breakfast -Not easy to find the place -Very noisy outside -Not the most comfortable bed Although the hotel is cheap and the staff are all very nice, i won't come back to the hotel. I rather pay a bit more so that i can have a cleaner room and less noise outside.",Riad_Le_Grand_Large,Essaouira
 December 2010,4,Cheap and good location,"Very hard to find a decent riad at 25 euros but this is it. Took us ages to find it as we used google maps....bad idea. Great location, no frills and fiendly receptionist. Go for it.",Riad_Le_Grand_Large,Essaouira
 November 2010,4,A Hidden Gem,"A small Riad in the heart of the old Medina, very atmospheric giving a real feel of Marocco. They were very good in cancelling one of our night stay with them without charge when we found that we had to leave after one night due to the local holidays and the cancellation of the bus service to Agadir.",Riad_Le_Grand_Large,Essaouira
 November 2010,5,Good value and location,Good location close to everything in the old town. Bright and colorfully painted on the inside. Great value - we paid about $35 a night for an en-suite double room. Excellent showers compared to other riads we stayed in! Staff was mostly French-speaking.,Riad_Le_Grand_Large,Essaouira
 June 2010,4,Great value for location,This riad is in a perfect location.In the centre of the medina and easy walking distance to the beach.The price reflects the standard of accomadation.The rooms are quite small but functional.Breakfast served on the roof terrace is lovely.The staff at the riad are friendly and helpful.the fact we payed £75 for three nights was fantasic value for money.Essaouira is lovely and this riad was perfect for our short stay.Would recomend this riad to anyone travelling on a tight budget but like to be in the heart of things.,Riad_Le_Grand_Large,Essaouira
 July 2010,2,Only ok for the price,"The Riad Le Grand Large is well located at the centre of the Medina in Essaouira. When we arrived, the woman on the reception told us that the riad was full. We informed her that we have booked a double room. At the end and after a discussion, she recognized that she had an empty room for us. It has a cheap price (around 37€), so you cannot expect something extraordinary. The size of the room (double room) is OK but it is not very clean. There was only one towel (dirty) in the toilet even though we were two people. The bed was ok but the pillow was too big and hard and the shroud had a blood stain. The woman on the reception left us a computer to connect to Internet and inform us about the availability for the Supratours buses. Conclusion: it is ok for the price",Riad_Le_Grand_Large,Essaouira
 June 2010,5,perfect stay in Essaouira,"My partner and I stayed for three nights at this riad as part of our week long holiday to morocco.We arrived from the chaos of Marrakech to a haven of relaxation.The Riad is on one of the main streets in Essaouira.Everything is within a five min walk.The staff where very friendly even offering us the chance to join them for lunch,which was the tastiest looking tagine I'd seen . breakfast on the terrace was lovely,a perfect way to start our day.There are many places to eat near by .The whole town has a very relaxed vibe about it.We were very sad leave .Next time I visit Morocco I'll make sure it's Essaouira I spend my time in and this riad to stay in....just lovely",Riad_Le_Grand_Large,Essaouira
 March 2010,3,"Good location, basic B and B, friendly 'laid well back' staff.","In one of the main pedestrian (plus cycles, donkeys) very narrow shopping streets running across the town to the sea, with main entrances to the town at each end. Riad on three floors (plus roof terrace) with rooms around a central large square inner light air well. Roof terrace pleasant and small, nice for breakfast. We had demi-pension which was a mistake given the choice of nearby places to eat out elsewhere. Room fine, bright with view along the street., but only one upright chair. Beds a bit too firm for us. Bathroom fine. Staff friendly but 'learning'. Had to be prompted for a receipt. Visa system was down. Pay the night before you leave! Essaouira is about 3.3 hours by coach from Makkesch. Scenery en route not absorbing. Interesting place for a two night…",Riad_Le_Grand_Large,Essaouira
 May 2009,4,"Very welcoming, in the heart of the medina","This riad is in the medina and right in the heart of the souks (shops), so it is well placed if you like to be in the middle of the action, and handy for a variety of restaurants, cafes etc! Also, it is only a couple of metres off a main street - which was especially beneficial at night - there being no need to walk down alleyways to reach your riad, as can be the case with some. The staff on reception were all very welcoming, friendly and helpful, some speaking English well, but also being tolerant of my limited French! This kindness has extended beyond our stay with their liaising with the restaurant where we left our camera on our last night (we realized once over an hour away, en route to the airport), collecting it, then sending it back to us in England! Our room was quite…",Riad_Le_Grand_Large,Essaouira
 April 2007,4,Really nice Riad in town centre,"It's a really nice hotel, very friendly staff. Beautiful decoration, perfect location. double room with private bathroom and nice views, very clean, for 49€ per night. I know it's a lot for being Marroco, but you would be surprised how much the prizes have raised, and it was absolutely worthwile. you can have breakfast on their nice top roof, sunbathing. I strongly recommend it.",Riad_Le_Grand_Large,Essaouira
