 January 2023,5,Memorable,"Everything was of top standard, delicious dishes, beautiful presentation the decoration was lovely, clean and well maintained, Nadir made our dinner most memorable he was really helpful and has left the best impressions, I had a lovely meal with my husband, thank you ❤️",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,hotelName,city
 October 2019,5,Beautiful Modern Hotel,Fairly new skyscraper 15 minutes taxi from main train station. Rooms were spotless and spacious with great views over Casablanca at sunset. Excellent fast wifi. Breakfast was a highlight with so much choice. Lovely staff. Recommended.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Huge suite and very clean,Loved the elevators..punch floor number and you are directed to specific elevator and never have to enter floor again. Genius! Bed was comfortable and guest powder room was a welcome luxury. Housekeepers were especially attentive.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,1,Hotel kenzi tower,"I really love the hotel.. The service is always perfect, the crew staff is friendly and so kind. It is the higher place in Casablanca where you can see all the city clearly. Every night the liveband and the DJ play good music in the sky 28 Bar to make us enjoy the Afterwork, its a place where we can also watch football matches when its the season. Thank you to lamia anwar karim and hamada for everything I will always advice everybody to visit this freat place.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2019,4,Good but cant say signature,"I stayed their during my business trip to marrakesh reception staff during check in were very nice they gave me a really good room with fantastic view , didn't like concierge were not helpful left me while giving me directions without to finish or apologize to do something else came up .. breakfast was just ok but not super was disappointed 9f very little choices they had.. staff first day were not smiling or helpful second day totally opposite.. very strange no consistancy .. thanks to amazing chef kamal who tried his best to make us able to have breakfast , check out was not smooth or fast kept us waiting long to solve an issue w our agent .. that's why not signature except only room I got and kamal",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Long Weekend Getaway,"We have travelled back to what we consider the Best Hotel in Casablanca. We are greeted as family by Khalil one of the Duty Managers, his care and attention, his friendly and considered approach make him such a valuable asset to the Kenzi. He, along with Afaf and Meryam from Guest Relations are three of the main reasons we come back almost on a monthly basis. Nothing is ever too much trouble for either Khalil or Afaf, they make us feel like part of the Kenzi Family and every stay is special. Every trip starts with smiles and a genuinely warm welcome from Bushra, Younes or Sana on reception with a smooth and painless check-in. In our room we have a personal greeting from Patrick (the Hotel GM) & it's always a pleasure to catch up with him during our stay. Its safe to say…",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Nice hotel in downtown Casablanca,The reception and concierge service was excellent. The 28th floor restaurant had great food and service. The location was good for shopping and the locals were very friendly. I got disoriented while shopping and a local woman stopped and gave me directions in perfect English. The only issue I had was the road noise in the room. The hotel windows were not good against the outside noise.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,1,Dirty stay away,I found blood stains in my bed and had to call housekeeping twice to get their attention. It was really disgusting experience. I was not able to sleep all night. I would not recommend this hotel. The location is good and front lobby is nice.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2019,5,One of the best hotels,"We were on a tour of Morocco and this was the first hotel we stayed in. Staff were friendly and efficient, booking in was a pleasure. Room was large and airy with a great views over the city. Its well worth going to the top floor bar after dark to see the view, very impressive. Food was excellent, loads of choice. Breakfast also good, staff a little slow at relaying tables but nothing to worry about. The only niggle is that the tea and coffee supplied in room only provided one of each, which is ok when theres only you but with two of us only one can have a cup of coffee. Highly recommended",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,"Wonderful views, large rooms","I came here with a Gate 1 tour and received a fantastic 12th floor corner suite with amazing views of the city. The room was clean, modern and had a comfy bed and seating area. Dinner on the 27th floor was great and servers were excellent. The lounge on the 28th floor is a great spot to grab drinks with live entertainment and great night views. Lots of shopping nearby and a Starbucks a few blocks away. I really enjoyed my stay!",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,3,Unexpected charge for tax,"The hotel is very good. However, they use too much air freshener that makes me sick. Also I booked the room through Cancelon for $150.00 US dollar/night. The invoice does not say I will need to tax. By the day I check out, I was charged 99.00 MDH/room for city tax and promotion tax.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Beautiful Modern Hotel,Fairly new skyscraper 15 minutes taxi from main train station. Rooms were spotless and spacious with great views over Casablanca at sunset. Excellent fast wifi. Breakfast was a highlight with so much choice. Lovely staff. Recommended.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Huge suite and very clean,Loved the elevators..punch floor number and you are directed to specific elevator and never have to enter floor again. Genius! Bed was comfortable and guest powder room was a welcome luxury. Housekeepers were especially attentive.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,1,Hotel kenzi tower,"I really love the hotel.. The service is always perfect, the crew staff is friendly and so kind. It is the higher place in Casablanca where you can see all the city clearly. Every night the liveband and the DJ play good music in the sky 28 Bar to make us enjoy the Afterwork, its a place where we can also watch football matches when its the season. Thank you to lamia anwar karim and hamada for everything I will always advice everybody to visit this freat place.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2019,4,Good but cant say signature,"I stayed their during my business trip to marrakesh reception staff during check in were very nice they gave me a really good room with fantastic view , didn't like concierge were not helpful left me while giving me directions without to finish or apologize to do something else came up .. breakfast was just ok but not super was disappointed 9f very little choices they had.. staff first day were not smiling or helpful second day totally opposite.. very strange no consistancy .. thanks to amazing chef kamal who tried his best to make us able to have breakfast , check out was not smooth or fast kept us waiting long to solve an issue w our agent .. that's why not signature except only room I got and kamal",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Long Weekend Getaway,"We have travelled back to what we consider the Best Hotel in Casablanca. We are greeted as family by Khalil one of the Duty Managers, his care and attention, his friendly and considered approach make him such a valuable asset to the Kenzi. He, along with Afaf and Meryam from Guest Relations are three of the main reasons we come back almost on a monthly basis. Nothing is ever too much trouble for either Khalil or Afaf, they make us feel like part of the Kenzi Family and every stay is special. Every trip starts with smiles and a genuinely warm welcome from Bushra, Younes or Sana on reception with a smooth and painless check-in. In our room we have a personal greeting from Patrick (the Hotel GM) & it's always a pleasure to catch up with him during our stay. Its safe to say…",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Nice hotel in downtown Casablanca,The reception and concierge service was excellent. The 28th floor restaurant had great food and service. The location was good for shopping and the locals were very friendly. I got disoriented while shopping and a local woman stopped and gave me directions in perfect English. The only issue I had was the road noise in the room. The hotel windows were not good against the outside noise.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,1,Dirty stay away,I found blood stains in my bed and had to call housekeeping twice to get their attention. It was really disgusting experience. I was not able to sleep all night. I would not recommend this hotel. The location is good and front lobby is nice.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2019,5,One of the best hotels,"We were on a tour of Morocco and this was the first hotel we stayed in. Staff were friendly and efficient, booking in was a pleasure. Room was large and airy with a great views over the city. Its well worth going to the top floor bar after dark to see the view, very impressive. Food was excellent, loads of choice. Breakfast also good, staff a little slow at relaying tables but nothing to worry about. The only niggle is that the tea and coffee supplied in room only provided one of each, which is ok when theres only you but with two of us only one can have a cup of coffee. Highly recommended",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,"Wonderful views, large rooms","I came here with a Gate 1 tour and received a fantastic 12th floor corner suite with amazing views of the city. The room was clean, modern and had a comfy bed and seating area. Dinner on the 27th floor was great and servers were excellent. The lounge on the 28th floor is a great spot to grab drinks with live entertainment and great night views. Lots of shopping nearby and a Starbucks a few blocks away. I really enjoyed my stay!",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,3,Unexpected charge for tax,"The hotel is very good. However, they use too much air freshener that makes me sick. Also I booked the room through Cancelon for $150.00 US dollar/night. The invoice does not say I will need to tax. By the day I check out, I was charged 99.00 MDH/room for city tax and promotion tax.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Beautiful Modern Hotel,Fairly new skyscraper 15 minutes taxi from main train station. Rooms were spotless and spacious with great views over Casablanca at sunset. Excellent fast wifi. Breakfast was a highlight with so much choice. Lovely staff. Recommended.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Huge suite and very clean,Loved the elevators..punch floor number and you are directed to specific elevator and never have to enter floor again. Genius! Bed was comfortable and guest powder room was a welcome luxury. Housekeepers were especially attentive.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,1,Hotel kenzi tower,"I really love the hotel.. The service is always perfect, the crew staff is friendly and so kind. It is the higher place in Casablanca where you can see all the city clearly. Every night the liveband and the DJ play good music in the sky 28 Bar to make us enjoy the Afterwork, its a place where we can also watch football matches when its the season. Thank you to lamia anwar karim and hamada for everything I will always advice everybody to visit this freat place.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2019,4,Good but cant say signature,"I stayed their during my business trip to marrakesh reception staff during check in were very nice they gave me a really good room with fantastic view , didn't like concierge were not helpful left me while giving me directions without to finish or apologize to do something else came up .. breakfast was just ok but not super was disappointed 9f very little choices they had.. staff first day were not smiling or helpful second day totally opposite.. very strange no consistancy .. thanks to amazing chef kamal who tried his best to make us able to have breakfast , check out was not smooth or fast kept us waiting long to solve an issue w our agent .. that's why not signature except only room I got and kamal",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Long Weekend Getaway,"We have travelled back to what we consider the Best Hotel in Casablanca. We are greeted as family by Khalil one of the Duty Managers, his care and attention, his friendly and considered approach make him such a valuable asset to the Kenzi. He, along with Afaf and Meryam from Guest Relations are three of the main reasons we come back almost on a monthly basis. Nothing is ever too much trouble for either Khalil or Afaf, they make us feel like part of the Kenzi Family and every stay is special. Every trip starts with smiles and a genuinely warm welcome from Bushra, Younes or Sana on reception with a smooth and painless check-in. In our room we have a personal greeting from Patrick (the Hotel GM) & it's always a pleasure to catch up with him during our stay. Its safe to say…",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Nice hotel in downtown Casablanca,The reception and concierge service was excellent. The 28th floor restaurant had great food and service. The location was good for shopping and the locals were very friendly. I got disoriented while shopping and a local woman stopped and gave me directions in perfect English. The only issue I had was the road noise in the room. The hotel windows were not good against the outside noise.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,1,Dirty stay away,I found blood stains in my bed and had to call housekeeping twice to get their attention. It was really disgusting experience. I was not able to sleep all night. I would not recommend this hotel. The location is good and front lobby is nice.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2019,5,One of the best hotels,"We were on a tour of Morocco and this was the first hotel we stayed in. Staff were friendly and efficient, booking in was a pleasure. Room was large and airy with a great views over the city. Its well worth going to the top floor bar after dark to see the view, very impressive. Food was excellent, loads of choice. Breakfast also good, staff a little slow at relaying tables but nothing to worry about. The only niggle is that the tea and coffee supplied in room only provided one of each, which is ok when theres only you but with two of us only one can have a cup of coffee. Highly recommended",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,"Wonderful views, large rooms","I came here with a Gate 1 tour and received a fantastic 12th floor corner suite with amazing views of the city. The room was clean, modern and had a comfy bed and seating area. Dinner on the 27th floor was great and servers were excellent. The lounge on the 28th floor is a great spot to grab drinks with live entertainment and great night views. Lots of shopping nearby and a Starbucks a few blocks away. I really enjoyed my stay!",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,3,Unexpected charge for tax,"The hotel is very good. However, they use too much air freshener that makes me sick. Also I booked the room through Cancelon for $150.00 US dollar/night. The invoice does not say I will need to tax. By the day I check out, I was charged 99.00 MDH/room for city tax and promotion tax.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Beautiful Modern Hotel,Fairly new skyscraper 15 minutes taxi from main train station. Rooms were spotless and spacious with great views over Casablanca at sunset. Excellent fast wifi. Breakfast was a highlight with so much choice. Lovely staff. Recommended.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Huge suite and very clean,Loved the elevators..punch floor number and you are directed to specific elevator and never have to enter floor again. Genius! Bed was comfortable and guest powder room was a welcome luxury. Housekeepers were especially attentive.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,1,Hotel kenzi tower,"I really love the hotel.. The service is always perfect, the crew staff is friendly and so kind. It is the higher place in Casablanca where you can see all the city clearly. Every night the liveband and the DJ play good music in the sky 28 Bar to make us enjoy the Afterwork, its a place where we can also watch football matches when its the season. Thank you to lamia anwar karim and hamada for everything I will always advice everybody to visit this freat place.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2019,4,Good but cant say signature,"I stayed their during my business trip to marrakesh reception staff during check in were very nice they gave me a really good room with fantastic view , didn't like concierge were not helpful left me while giving me directions without to finish or apologize to do something else came up .. breakfast was just ok but not super was disappointed 9f very little choices they had.. staff first day were not smiling or helpful second day totally opposite.. very strange no consistancy .. thanks to amazing chef kamal who tried his best to make us able to have breakfast , check out was not smooth or fast kept us waiting long to solve an issue w our agent .. that's why not signature except only room I got and kamal",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Long Weekend Getaway,"We have travelled back to what we consider the Best Hotel in Casablanca. We are greeted as family by Khalil one of the Duty Managers, his care and attention, his friendly and considered approach make him such a valuable asset to the Kenzi. He, along with Afaf and Meryam from Guest Relations are three of the main reasons we come back almost on a monthly basis. Nothing is ever too much trouble for either Khalil or Afaf, they make us feel like part of the Kenzi Family and every stay is special. Every trip starts with smiles and a genuinely warm welcome from Bushra, Younes or Sana on reception with a smooth and painless check-in. In our room we have a personal greeting from Patrick (the Hotel GM) & it's always a pleasure to catch up with him during our stay. Its safe to say…",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Nice hotel in downtown Casablanca,The reception and concierge service was excellent. The 28th floor restaurant had great food and service. The location was good for shopping and the locals were very friendly. I got disoriented while shopping and a local woman stopped and gave me directions in perfect English. The only issue I had was the road noise in the room. The hotel windows were not good against the outside noise.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,1,Dirty stay away,I found blood stains in my bed and had to call housekeeping twice to get their attention. It was really disgusting experience. I was not able to sleep all night. I would not recommend this hotel. The location is good and front lobby is nice.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2019,5,One of the best hotels,"We were on a tour of Morocco and this was the first hotel we stayed in. Staff were friendly and efficient, booking in was a pleasure. Room was large and airy with a great views over the city. Its well worth going to the top floor bar after dark to see the view, very impressive. Food was excellent, loads of choice. Breakfast also good, staff a little slow at relaying tables but nothing to worry about. The only niggle is that the tea and coffee supplied in room only provided one of each, which is ok when theres only you but with two of us only one can have a cup of coffee. Highly recommended",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,"Wonderful views, large rooms","I came here with a Gate 1 tour and received a fantastic 12th floor corner suite with amazing views of the city. The room was clean, modern and had a comfy bed and seating area. Dinner on the 27th floor was great and servers were excellent. The lounge on the 28th floor is a great spot to grab drinks with live entertainment and great night views. Lots of shopping nearby and a Starbucks a few blocks away. I really enjoyed my stay!",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,3,Unexpected charge for tax,"The hotel is very good. However, they use too much air freshener that makes me sick. Also I booked the room through Cancelon for $150.00 US dollar/night. The invoice does not say I will need to tax. By the day I check out, I was charged 99.00 MDH/room for city tax and promotion tax.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Beautiful Modern Hotel,Fairly new skyscraper 15 minutes taxi from main train station. Rooms were spotless and spacious with great views over Casablanca at sunset. Excellent fast wifi. Breakfast was a highlight with so much choice. Lovely staff. Recommended.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Huge suite and very clean,Loved the elevators..punch floor number and you are directed to specific elevator and never have to enter floor again. Genius! Bed was comfortable and guest powder room was a welcome luxury. Housekeepers were especially attentive.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,1,Hotel kenzi tower,"I really love the hotel.. The service is always perfect, the crew staff is friendly and so kind. It is the higher place in Casablanca where you can see all the city clearly. Every night the liveband and the DJ play good music in the sky 28 Bar to make us enjoy the Afterwork, its a place where we can also watch football matches when its the season. Thank you to lamia anwar karim and hamada for everything I will always advice everybody to visit this freat place.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2019,4,Good but cant say signature,"I stayed their during my business trip to marrakesh reception staff during check in were very nice they gave me a really good room with fantastic view , didn't like concierge were not helpful left me while giving me directions without to finish or apologize to do something else came up .. breakfast was just ok but not super was disappointed 9f very little choices they had.. staff first day were not smiling or helpful second day totally opposite.. very strange no consistancy .. thanks to amazing chef kamal who tried his best to make us able to have breakfast , check out was not smooth or fast kept us waiting long to solve an issue w our agent .. that's why not signature except only room I got and kamal",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Long Weekend Getaway,"We have travelled back to what we consider the Best Hotel in Casablanca. We are greeted as family by Khalil one of the Duty Managers, his care and attention, his friendly and considered approach make him such a valuable asset to the Kenzi. He, along with Afaf and Meryam from Guest Relations are three of the main reasons we come back almost on a monthly basis. Nothing is ever too much trouble for either Khalil or Afaf, they make us feel like part of the Kenzi Family and every stay is special. Every trip starts with smiles and a genuinely warm welcome from Bushra, Younes or Sana on reception with a smooth and painless check-in. In our room we have a personal greeting from Patrick (the Hotel GM) & it's always a pleasure to catch up with him during our stay. Its safe to say…",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Nice hotel in downtown Casablanca,The reception and concierge service was excellent. The 28th floor restaurant had great food and service. The location was good for shopping and the locals were very friendly. I got disoriented while shopping and a local woman stopped and gave me directions in perfect English. The only issue I had was the road noise in the room. The hotel windows were not good against the outside noise.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,1,Dirty stay away,I found blood stains in my bed and had to call housekeeping twice to get their attention. It was really disgusting experience. I was not able to sleep all night. I would not recommend this hotel. The location is good and front lobby is nice.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2019,5,One of the best hotels,"We were on a tour of Morocco and this was the first hotel we stayed in. Staff were friendly and efficient, booking in was a pleasure. Room was large and airy with a great views over the city. Its well worth going to the top floor bar after dark to see the view, very impressive. Food was excellent, loads of choice. Breakfast also good, staff a little slow at relaying tables but nothing to worry about. The only niggle is that the tea and coffee supplied in room only provided one of each, which is ok when theres only you but with two of us only one can have a cup of coffee. Highly recommended",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,"Wonderful views, large rooms","I came here with a Gate 1 tour and received a fantastic 12th floor corner suite with amazing views of the city. The room was clean, modern and had a comfy bed and seating area. Dinner on the 27th floor was great and servers were excellent. The lounge on the 28th floor is a great spot to grab drinks with live entertainment and great night views. Lots of shopping nearby and a Starbucks a few blocks away. I really enjoyed my stay!",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,3,Unexpected charge for tax,"The hotel is very good. However, they use too much air freshener that makes me sick. Also I booked the room through Cancelon for $150.00 US dollar/night. The invoice does not say I will need to tax. By the day I check out, I was charged 99.00 MDH/room for city tax and promotion tax.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Beautiful Modern Hotel,Fairly new skyscraper 15 minutes taxi from main train station. Rooms were spotless and spacious with great views over Casablanca at sunset. Excellent fast wifi. Breakfast was a highlight with so much choice. Lovely staff. Recommended.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Huge suite and very clean,Loved the elevators..punch floor number and you are directed to specific elevator and never have to enter floor again. Genius! Bed was comfortable and guest powder room was a welcome luxury. Housekeepers were especially attentive.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,1,Hotel kenzi tower,"I really love the hotel.. The service is always perfect, the crew staff is friendly and so kind. It is the higher place in Casablanca where you can see all the city clearly. Every night the liveband and the DJ play good music in the sky 28 Bar to make us enjoy the Afterwork, its a place where we can also watch football matches when its the season. Thank you to lamia anwar karim and hamada for everything I will always advice everybody to visit this freat place.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2019,4,Good but cant say signature,"I stayed their during my business trip to marrakesh reception staff during check in were very nice they gave me a really good room with fantastic view , didn't like concierge were not helpful left me while giving me directions without to finish or apologize to do something else came up .. breakfast was just ok but not super was disappointed 9f very little choices they had.. staff first day were not smiling or helpful second day totally opposite.. very strange no consistancy .. thanks to amazing chef kamal who tried his best to make us able to have breakfast , check out was not smooth or fast kept us waiting long to solve an issue w our agent .. that's why not signature except only room I got and kamal",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Long Weekend Getaway,"We have travelled back to what we consider the Best Hotel in Casablanca. We are greeted as family by Khalil one of the Duty Managers, his care and attention, his friendly and considered approach make him such a valuable asset to the Kenzi. He, along with Afaf and Meryam from Guest Relations are three of the main reasons we come back almost on a monthly basis. Nothing is ever too much trouble for either Khalil or Afaf, they make us feel like part of the Kenzi Family and every stay is special. Every trip starts with smiles and a genuinely warm welcome from Bushra, Younes or Sana on reception with a smooth and painless check-in. In our room we have a personal greeting from Patrick (the Hotel GM) & it's always a pleasure to catch up with him during our stay. Its safe to say…",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Nice hotel in downtown Casablanca,The reception and concierge service was excellent. The 28th floor restaurant had great food and service. The location was good for shopping and the locals were very friendly. I got disoriented while shopping and a local woman stopped and gave me directions in perfect English. The only issue I had was the road noise in the room. The hotel windows were not good against the outside noise.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,1,Dirty stay away,I found blood stains in my bed and had to call housekeeping twice to get their attention. It was really disgusting experience. I was not able to sleep all night. I would not recommend this hotel. The location is good and front lobby is nice.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2019,5,One of the best hotels,"We were on a tour of Morocco and this was the first hotel we stayed in. Staff were friendly and efficient, booking in was a pleasure. Room was large and airy with a great views over the city. Its well worth going to the top floor bar after dark to see the view, very impressive. Food was excellent, loads of choice. Breakfast also good, staff a little slow at relaying tables but nothing to worry about. The only niggle is that the tea and coffee supplied in room only provided one of each, which is ok when theres only you but with two of us only one can have a cup of coffee. Highly recommended",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,"Wonderful views, large rooms","I came here with a Gate 1 tour and received a fantastic 12th floor corner suite with amazing views of the city. The room was clean, modern and had a comfy bed and seating area. Dinner on the 27th floor was great and servers were excellent. The lounge on the 28th floor is a great spot to grab drinks with live entertainment and great night views. Lots of shopping nearby and a Starbucks a few blocks away. I really enjoyed my stay!",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,3,Unexpected charge for tax,"The hotel is very good. However, they use too much air freshener that makes me sick. Also I booked the room through Cancelon for $150.00 US dollar/night. The invoice does not say I will need to tax. By the day I check out, I was charged 99.00 MDH/room for city tax and promotion tax.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Beautiful Modern Hotel,Fairly new skyscraper 15 minutes taxi from main train station. Rooms were spotless and spacious with great views over Casablanca at sunset. Excellent fast wifi. Breakfast was a highlight with so much choice. Lovely staff. Recommended.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Huge suite and very clean,Loved the elevators..punch floor number and you are directed to specific elevator and never have to enter floor again. Genius! Bed was comfortable and guest powder room was a welcome luxury. Housekeepers were especially attentive.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
