 June 2022,4,Nice Riad,Large and clean rooms. The hotel was not far from Medina. Breakfast was good. There is no 27/7 reception service but you can enter the building using your key. not all rooms have AC. One of our rooms had only a fan.,hotelName,city
 July 2017,5,A haven in Rabat!,"From the very warm welcome upon arrival to relaxation on the upper terrace to the elegantly decorated room to the fantastic service at breakfast, this was an amazing place with great service. Our room, with 2 queen beds, was clean and comfortable, with A/C and a large bathroom. The hotel is located in a very unique building that has the appearance of a small royal residence. The location is walking distance to the ocean and the markets in the medina of the old city. The Andalusian garden is near as well. Great stay!",Riad_Meftaha,Rabat
 June 2017,5,Simply perfect,"This is probably one of the best accommodations I've ever stayed at. The staff is amazing: Khadija (so sweet and polite), Samira (helpful and attentive), Frank, the owner (always smiling and welcoming)...and so much more! The location is perfect to visit the whole city: close to the medina and far enough from its noise and crowd, you can reach all the main landmarks in a few minutes. Breakfast is huge and the quality is excellent; the room we were given was comfortable (my girlfriend and I loved the jacuzzi) and bigger than expected. What else can be said? We'll miss the people there, we'll miss the Riad Meftaha and we hope to return there soon.",Riad_Meftaha,Rabat
 June 2017,5,Very good,"Very nice and comfortable riad, the room was spacious and very clean , with any comfort (air con, kettle, tea bags, big shower, huge bathroom, tv). There's a nice terrace with a also a part in the shade with pillows to cool down. Staff very friendly and helpful, and amazing breakfast. higly suggested riad!",Riad_Meftaha,Rabat
 May 2017,5,Again a surprise at the end of the lane,This Riad is very well located with good restaurants within 10 minutes walking distance. The lady in charge showed us on their map where these restaurants were located. We had a very nice room with modern shower. The TV does have international channels. There is no aircon in our room but a very quiet pedestal fan. The Riad is in a quiet area and there is a roof top area to relax at.,Riad_Meftaha,Rabat
 January 2017,5,Amazing stay!,"We traveled as a family of 2+2 and had a spacious, sooooo beautifully decorated two room suite for us. There was a nice little rooftop patio too. This was the most 'expensive' hotel we had during our 1-week long trip in Morocco but truly worth every penny. The owner with his staff were so welcoming from the moment we knocked on their door. They took care of parking our car and offered local mint tea with yummy biscuits on the side, Breakfast was very delicious too. Location very close to old town Rabat and seaside. You can walk to all major sight of the city from here. We hope to return some day and only regret is we didn't stay longer.",Riad_Meftaha,Rabat
 April 2017,5,Wonderful stay at Riad Mefteha,"A friend and I booked separate rooms at the Riad for two nights at the beginning of April. What a wonderful stay it was. We had both rooms on the ground floor. I loved the R'abat room that I stayed in. Spacious and comfortable. Lovely shower. Appreciated the hair dryer as it worked much faster than the travel one I carried along. Check-in and check-out were easy. Loved the welcome tea and cookies. Breakfast was ample with yoghurt, eggs, bread, cheese fruit, juice, tea/coffee and bottled water provided. The location is great, easy walk to the medina and walking distance to all the major sights. Lovely roof terrace to chill in the evenings or late afternoons. The real gem of this riad is Khadija. What a warm and wonderful hostess. Thank you Khadija. We appreciated all the…",Riad_Meftaha,Rabat
 March 2017,5,Highlight of a 5 week trip to Morocco!,"Located within the medina but tucked away down a few corners, this is a jewel. It only has a few rooms which makes it very much like staying with a family. We arrived early but were heartily welcomed with mint tea and cookies. Our room was gorgeous with fabrics, tiles, cushions. Breakfast was lovely, the hostess was helpful and gracious, even loaned us an umbrella. They had a TV in one corner that had documentaries on how Moroccan craftsmen make the incredibly detailed ceramics, tiles, wood carvings, etc. Such a wonderful explanation of Morocco! This was at the beginning of our trip; we traveled all around Morocco and stayed in amazing places, but this was our favorite.",Riad_Meftaha,Rabat
 March 2017,5,Morocco- amazing,Our first two nights in Morocco were spent here. The room was spacious and tastefully appointed - loved the rugs and wall décor. Breakfast and dinner were delicious. The staff was pleasant and willing to please.,Riad_Meftaha,Rabat
 November 2016,5,Great staff very helpful even though I don’t speak a word of French (or Arabic) we managed to communicate. 😀,Stayed for 1 night. Great staff very helpful even though I don’t speak a word of French (or Arabic) we managed to communicate. 😀 One of the best breakfasts I’ve had BTW – it was massive. The room we stayed in was perfect. Great Wi-Fi signal – we had satellite TV in our room. Beds were comfortable we slept like babies.,Riad_Meftaha,Rabat
 April 2016,5,A great place to stay like a queen,"I liked everything about the riad. The interior was excellent and Shakira, the staff at the riad, was very friendly and cooperative. The room was spick-and-span, the bed was neatly done. The interior of the riad was just too good. And of course, the breakfast was heavy and delicious and mouthwatering. Loved it. The small terrace on the roof top was really cozy and refreshing. If I travel to Rabat again then Meftaha will definitely be in my priority list for my accommodation. All the best for Riad Meftaha.",Riad_Meftaha,Rabat
 March 2017,5,High level hospitality,"We stayed in Riad Meftaha twice for 1 night. It's a marvellous place. The hotel is situated nearby the old city center in a old, renewed upper class house. All is taken care of to make your stay a dream. The rooms are big, tidy and offer any comfort necessary. The mattresses on the beds are really good. You can relax in the hall or on the terrace. And despite the central location, nothing is heard from what's happening outside. But the real jewel on the crown is the hostess. She's so friendly, willing to help, giving advice on any question or request you might have. A plus for us was the man who was watching our car on the street. Makes one feel (even more) comfortable. And all of this is offered for a very reasonable price. Briefly, this is a center of excellence!",Riad_Meftaha,Rabat
 February 2017,5,a gem - hard to recommend it highly enough,"the riad is 10 minute walk fron the medina and numerous good restaurants. the hosts were friendly and personable. our room was spacious and well appointed. the shower deserves a special mention with the choice of overhead, handheld or body jets. breakfast was a great selection of breads, pasteries, fruit, olives, figs, eggs and more. The eating area has a 6 m high ceiling and is open to the atrium/courtyard. a wonderful space to begin the day. riad decor is beautiful. fully agree with all the positive reviews of this place. do yourself a favour and stay here",Riad_Meftaha,Rabat
 December 2016,5,Stunning riad!,"One of the most beautiful riads we have stayed in! The decor in the common area is just stunning! Beautiful, spacious and comfortable rooms with soaps, creams, tea, etc. Lots of little touches to make it special. The staff was very helpful and friendly. Breakfast was a feast with the best coffee! Great location walking distance from the old medina and other attractions. A wonderful stay!",Riad_Meftaha,Rabat
 December 2016,5,An amazing stay,"We only spent one day in Rabat, but found a gem of a place to stay. It's location is perfect as you are around the Old Medina and the main sights are in walking distance. On our arrival we were welcomed and immediately felt at home. It was a wow moment as we entered the room. Beautiful Moroccan decor in a tasteful design. We completed out form, left our bags and with a provided map left to explore Seven hours later on our return we found our bags in our room and saw our stunning accommodation for the first time. We were blown away at the small touches our room had. A shower with good strong pressure and hot too. A massive bathroom with soaps, shampoo and all. The bed was most comfortable and a good nights sleep was enjoyed. I can only compliment the staff and thank them for…",Riad_Meftaha,Rabat
 December 2016,5,Amazing place,"Our favorite place in Morocco after staying in several cities. Room and common areas were meticulous and gorgeous - the staff had amazing attention to every detail. They offered an experience at the hammam nearby which was incredible, far better than one I had in Fes for the same price. The breakfast was awesome - lots of different things to try, all beautifully presented, including great coffee. They also had excellent internet, where I was able to work for a few hours with no problems at all. If you have the opportunity I definitely recommend staying here.",Riad_Meftaha,Rabat
 November 2016,5,Excellent Service,"Been traveling through Morocco and we got to Rabat tired and the staff were wonderful. The riad is beautiful and the service is first class. Loved Abir she is simply the best. Would definitely visit again. I had the best night of sleep in Morocco since arriving, the beds were super comfortable and the rooms very clean with complimentary drinks. All of the staff were good and the owner Frank even came and greeted us and made us feel really welcome. Loved chilling on the terrace. Thanks to all at Riad Meftaha",Riad_Meftaha,Rabat
 November 2016,5,Our best accomodation in Morocco,"Excellent location, just steps from the old Medina, sea side and Kasbah. Beautiful décor, friendly and helpful staff, delicious coffee and ample breakfast. The best shower we had in Morocco! They even supply us with black soap - try it - amazing for your skin. Parking is public, on the street but very safe as the street is very quiet.",Riad_Meftaha,Rabat
 October 2016,5,The best riad I have stayed in Morocco,"I traveled morocco for 3 weeks by driving car. this was the best riad I have stayed in Morocco. It is Located just near the medina and easy to find. Host and staff were very kind and helpful. Inside decoration of the riad was really beautiful. 10-15 minutes walk to Hassan Tower and old medina is just nearby. Roof top terrace was nice and I drank Moroccan wine there. Room is very clean and comfortable, bath room also nice. Nothing to complain!!! Breakfast also delicius and nice. If I revisit Rabat, I will choose Riad Meftaha again. Parking is available just in front of the riad. Very nice place to stay with reasonable price. Really clean and comfortable",Riad_Meftaha,Rabat
 October 2016,5,Best riad,"This riad was the absolute best place we have stayed in during our 3 week trip to morocco. We stayed only one night en route to our flight home, but wished it was longer. The room and common areas are beautifully decorated and spotless. The shower was the best of our trip. Franck and his staff were very attentive and helpful. The rooftop terrace was inviting and relaxing. Location couldn't have been better.",Riad_Meftaha,Rabat
 October 2016,5,Excellent first night stop over,"We stayed here after landing in the evening at Rabat airport. The owners had arranged for a taxi to pick us up, the driver was there waiting for us on arrival and delivered us to the Riad. I do think we would have been looking for the Riad all night without that taxi driver! On arrival we were not disappointed. Greeted with a cup of coffee and shown to our beautifully appointed room - just what we needed after travelling all day. We only stayed for one night and had the same taxi driver pick us up the next morning, after a delicious breakfast, and take us to pick up our hire car. We would have happily stayed longer had we had time.",Riad_Meftaha,Rabat
 January 2016,5,lovely fairy-tailish place,"completely new furnished place with very welcoming owner, franck. due to our cancelled flight we came late, in the mignight, but franck was very nice anyway. the rooms were beautiful, completely clean and the breakfast was absolutely delicious, actually one of the meals we have had in morocco. it's located in a quiet area of rabat with a possibility to park right in front of the riad.",Riad_Meftaha,Rabat
 June 2016,5,Beautiful but modern riad outside medina and near the sea!,"Very cute riad by the medina, on a quiet side street. Super friendly and attentive staff, amazing breakfast!! Loved the decor and the air conditioning was desperately needed that day! The rooftop terrace was amazing too. Definitely hope to return!!",Riad_Meftaha,Rabat
 June 2016,5,Nothing to much trouble and central to attractions,"One of my favourite places that I stayed on my whole trip of 7 weeks in Morocco. The manager and staff where really helpful and accomodating. Washing no problem, goods tips on places to go. Beautifully decorated and good breakfast! The other great thing we discovered is that the riad is walking distance to all the attractions we wanted to see.",Riad_Meftaha,Rabat
 August 2016,5,Lovely,Super cute new Riad right outside the Medina. Our double room was on the ground level and had everything we needed until the last detail. The hosts were very welcoming and helpful. Breakfast was excellent. Highly recommended for both couples and families.,Riad_Meftaha,Rabat
 August 2016,5,One of the best!,The Riad is located just side to the medina in a very quiet and accessible street. By foot you can reach the center of the medina in 10m. This is not an historical Riad but the staff are amazingly helpful and friendly. Breakfast is diverse and very good quality.,Riad_Meftaha,Rabat
 July 2016,5,Wish we stayed longer...,"Unfortunately we only stayed for 1 night, but what an outstanding place Riad Meftaha is. The riad is decorated in splendid Moroccan style with attention to every small detail. Breakfast area is gorgeous; there is also a small lounge area with games and TV. We stayed in a fantastic family room full of character, that even had a jacuzzi. Very friendly staff and delicious breakfast, going from boiled eggs to fresh cherries. Location is very quiet but just near the medina walls. Wish we stayed longer...",Riad_Meftaha,Rabat
 July 2016,5,The best!,"We loved our stay here. The staff were very friendly and welcoming but didn't smother us or try to upswell anything. The breakfast was outstanding!! Fruit, boiled eggs, yoghurt, espresso machine coffee, bread and jams - a real feast. The rooms were large and decorated really beautifully. The terrace upstairs was great and had day beds and shade. The location is great- just outside the medina wall and within walking distance to most things. Only thing was the bed was very hard, but it seems most beds are in Morocco. Thanks for having us!",Riad_Meftaha,Rabat
 July 2016,5,A+,"This place is fantastic! Located just outside of the medina and easy walking distance to the shopping area and the water. This Riad was fairly large and the rooms were also large with high ceilings. The rooms was fantastically decorated and the shower was the best I have experienced since leaving home many weeks ago!! Great rooftop terrace. Breaky was off the charts! Fruit, yoghurt, breads, eggs, juice and decent coffee. Definitely recommend Riad Meftaha!",Riad_Meftaha,Rabat
 June 2016,5,Amazing!,"I highly recommend staying at this beautiful riad in Rabat. An ideal location with the beach, kasbah and medina all within walking distance. A traditional riad with beautiful interior design, great to relax on the rooftop during a hot day. But what makes this riad so special is the warm hospitality of the staff and their exceptional customer service. I will definitely come back here in the future. 11/10",Riad_Meftaha,Rabat
 June 2016,5,"Quiet, lovely corner in the heart of the city","A little alley off a minor side street leads to a marvelous experience. Through the old wooden door into a beautiful courtyard with very attentive hosts. They brought us snacks and drinks while our room was being cleaned. Very nicely decorated in Moroccan style. Our room(s) for 5 were quite large and clean. The bath was large and had a large spa tub. Room is air conditioned. The breakfast had a wide variety of breads, fruits, pastries, yoghurt, eggs, juice, coffee or tea. The riad is a short walk from the Medina, where we spent an afternoon wandering and looking and buying. It is also not far from the Casbah and the beach. The roof terrace available for relaxing with deck chairs, hammock, and a tent of brocade with low couches. We were extremely pleased with the value…",Riad_Meftaha,Rabat
 March 2016,5,Excellent value,We travelled with adult daughter and partner. We had a shared room with solid walls that did not reach the ceiling. So some privacy but still intimate. It was fine for 3 nights. It was very comfortable and well located. The staff were friendly and helpful. The breakfast was very good.,Riad_Meftaha,Rabat
 April 2016,5,Great place to stay,"Stayed here with the family for three nights. Staff are very helpful and friendly. We had a really nice quiet room with an enormous bathroom and private roof terrace. Lovely breakfast with fresh bread, orange juice and fruits. The building is beatiful and really well kept. There's a big courtyard decorated in Moroccan style. Couldn't recommend it more.",Riad_Meftaha,Rabat
 March 2016,4,Good night's sleep in Rabat,"Very pretty riad, with modern furnishings, fixtures and fittings, lovely bedding, we all got a great night's sleep. We also enjoyed the jacuzzi. Hosts had thoughtfully provided a selection of games and books, including children's, in both the room and in the communal area below. The riad is well placed for both the medina and the kasbah. The roof terrace is lovely. We ran out of hot water though!",Riad_Meftaha,Rabat
 January 2016,5,Wonderful location/Great management,"We stayed two days in Rabat in a trip through Morrocco. The Riad is easy to locate, off the Main Street, yet a great location immediately at the main gate to the Kasbah, the Medina and numerous restaurants and local businesses. The owner, Franck, was very helpful with information directions and the staff were friendly. We were late finding a taxi to the airport. Franck got his vehicle and drove us to the terminal in his car. We just made our flight. I cannot recommend this Riad more highly. We felt like very welcome guests. Great experience. Nice furnishings. Good food and wine.",Riad_Meftaha,Rabat
 January 2016,5,Visit,This was a beautiful riad and we loved our stay. We had a very large suite for our family of 4. Very nice and helpful host. Would highly recommend this place The riad was warm and inviting and just went through a 6 month restoration. Wish we could have stayed longer,Riad_Meftaha,Rabat
 January 2016,5,Beautiful riad in a great location,"We stayed one night at this new riad. The service was warm and friendly and helpful. The location was great, just outside the medina and a quick walk to the ocean and easy to walk and find from the train station.",Riad_Meftaha,Rabat
 January 2016,5,Wonderful stay,"A quiet and clean riad close to the medina and the ocean. The staff is extremely friendly and helpful. The rooms are as nicely decorated as the riad itself and most importantly, the beds are super comfortable. Very fair price.",Riad_Meftaha,Rabat
 December 2015,5,A beautiful Riad,"This riad is hiding inside the road, very easy to be ignored. I've stayed just for one night, but it was very clean, quiet and stylish. The staffs are friendly and helpful. The breakfast is also yummy! There are many restaurants, pubs here, and just 5-10 mins walk you can reach La kasbah des oudaias. I'm satisfied with my stay.",Riad_Meftaha,Rabat
 December 2015,3,"Lovely to the eye, but management needs to attend to practical issues","The location of Riad Meftaha is an asset if you have good legs. 200m away is a gateway into the old walled city (medina) though you'll still need to walk another 500m to reach the more bustling part. The hotel is also within walking distance of a Tramway stop (Bab al-Had). Returning by tram from a day out and getting off at this Tramway stop had one advantage: there is a Carrefour Supermarket near it so I could stock up whatever provisions I needed for my room. The hotel is beautifully done up at least in the common areas. The room however is distinctly plainer, though still pleasing to the eye. However, because of the hard surfaces so typical of Moroccan architecture, even the slightest noise reverberates through the central hall. I reckon those with rooms facing the hall…",Riad_Meftaha,Rabat
 December 2015,4,Very nice and quiet riad,"They just finish to revenue this place, everything is very nice and stilish. Big room, clean and very comfortable bed. Very good breakfast, just 5 min walk from Medina and from the Ocean. I suggest it to everyone",Riad_Meftaha,Rabat
 November 2015,5,Beautiful riad with great service and food,"Our flight arrived in Rabat early evening so when the riad offered us a 3-course menu we did not hesitate to accept that. We were not disappointed. We were welcomed by the owner. He also served that food that tasted really good. Authentic Moroccan flavours, we really liked it. He told us that all ingredients were bought at the nearby food market, so everything was really fresh. Breakfast the next morning was just as outstanding. Our room was comfortable with a great shower. Rabat's medina is just around the corner, whereas we could park our rental car in the street.",Riad_Meftaha,Rabat
 November 2015,5,Great location and staffs,"Friendly staff. They welcomed us with lots of smiles. The room was perfect. Beautiful, spacious and clean. The location of the hotel was great. Near to the market. Nothing much in Rabat though. But we still live Morocco.",Riad_Meftaha,Rabat
 September 2015,4,Quite a surprise,It's a well hidden hotel near the medina. Loved the tea when we arrived and the terrace for relaxing. Very leasent space. Plenty of space in the suite and the bed was very good also. Breakfast was good too. Only problem was we were charged VAT twice and the owner couldn't (didn't want?) to understand...,Riad_Meftaha,Rabat
 November 2015,5,Not what you expect from the street outside!,"Really surprised and delighted by this Hotel (Riad). Franck (French) and his wife (Moroccan, sorry can't recall her name) were so friendly and nothing was to much trouble. We went to Rabat on our way to Casablanca for a family wedding. Flew into Rabat because it was the cheaper option and was looking for one night's accommodation. I was really pleased to have picked a little gem in Riad Meftaha. Communication with Franck ahead of our visit had been excellent and we had arranged to have a meal when we arrived. His wife had made a traditional Moroccan meal which whilst unusual (mixture of sweet and savoury in the main dish) was very tasty. Franck has been decorating the Riad since he took it over in January 2015 and he has done a great job. All the rooms were different and very…",Riad_Meftaha,Rabat
 August 2015,5,Perfect first night in Morocco,"Franck (the owner) is a very friendly guy and did all he could to make our stay perfect (including picking us up from a place close by since our taxi driver could not find the place). The hotel is brand new, stylist and the breakfast is nice. Room was large and the bed was very comfortable. Bathroom very clean and shower was good and warm. It is walking distance from the Medina and you can get the subway in a station close by to go to the mausoleum and train station.",Riad_Meftaha,Rabat
