 January 2023,5,Lovely hotel!,"We were very happy with the hotel, the staff and the food! The beautiful riad is located in the center of the medina but in a quite street. The service and the food were fantastic and we even received a lot of tips for our time in Fès! We definitely recommend:)",Dar_7_Louyat-Fes_Fes_Meknes,hotelName,city
 July 2016,5,Stunning restored riad with impeccable hospitality,"I couldn't recommend this riad more. It's located very conveniently; about 8 minutes walking from Place R'cif where you can easily direct your petit taxi or find a ride to the new city, airport, or train station. The riad is close to the Dar Seffarine, the traditional copper crafting area, as well as University al-Qarawiyyin, the oldest university in the world. Like many in Morocco the medina in Fes is dusy, overcrowded, and especially bustling at night. Unlike in Marrakech, there is no motorized traffic in the medina which makes for a bit less stress when walking about. The real beauty of Morocco lies behind garden doors and this riad takes the cake. When you walk in, you're greeted with an incredibly well and sensitively restored home covered in beautiful tile work and…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 May 2016,5,"Beautiful Riad; gorgeous food, lovely people!","A really beautiful riad in the centre of the old medina; lovely roof terrace; the staff are really helpful & friendly, & the food is some of THE best I've ever tasted in 15 trips to Morocco! The house has been beautifully restored in traditional style & the rooms are all spacious with lovely bathrooms.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 June 2016,5,Splendiferous Riad in the Heart of Fez,"with it's impressive traditional moroccan architecture, carefully restored and supplemented with modern details Dar7Loyuat truly stands out amongst the numerous guesthouses in the medina of Fez, though thremedous beauty and comfort is by far not everything the house has to offer... a lovely and highly professional team attentively takes care of it's guests 24 hours during their stay. Excellent meals cooked by the kitchen staff are available at demand at reasonable prices.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 April 2016,5,A Palace!,"As other reviewers have indicated, the route to the riad is a little disorienting ...BUT once you step foot inside the riad you find yourself in a beautiful palace! We were lucky enough to have the whole riad to ourselves (with friends) and it was a real privilege! The food was sublime and Hisham was a superb host. Super friendly and hospitable. We had young children in the party and the riad was like a fairytale castle to them. Stay here - It is wonderful. (...and order dinner if possible!)",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 March 2016,5,Excellent service and Riad,My wife and two children loved this Riad. The service was excellent and the manger Mohammed was accommodating. The local supervisor who Hameed was extremely helpful and nice and was willing to go out of his way to help. The room was cozy and nice and would recommend anyone to stay here. The view from the terrace was great.,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 February 2016,5,Very nice,"Very nice, very charming Moroccan atmosphere, clean, a big roof terrace with a panoramic view all around the Medina. Good breakfast. You are in the middle of Fes Medina. The main point of interest in Fes. Staff came to take us from one of the gate of the Medina to the riad. The Medina maze is disconcerting the first hours, even more at night, then you get used to it and recognize the streets. Streets of the Medina are dusty, perhaps not the best romantic plan but you get something authentic of the Muslim culture.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 January 2016,5,Beautiful oasis,"The Dar is beautifully decorated, the food is delicious and well priced, the management is great. Our room was a double room off of the main quart yard, and was comfortable and warm in January. I would recommend booking Batoul or Rafia suites. They offer more privacy. The roof top terrace is beautiful at night and day. The street leading to the Dar looks a bit sketchy but we found it totally safe day and night. Special thanks to Hisham for making our stay amazing.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 January 2016,5,The Most Amazing Oasis in Amazing Fez,"Dar 7 Louyat is located close the gate of Fez marina, convenient to reach almost everything but more important is it offers a cozy retreat from all the people, color, smell, and sounds of the marina. The architecture itself is amazing, manager Mohammed said they spent about 10 years in refurbishment; the details and the mixture between new and old are impressive. Also love their super fluffy & warm comforter! Manager and other staff are all super friendly, besides useful travel tips of Fez, they also provided a lot of information for traveling around Morocco (since Mr. Mohammed himself is a travel expert too haha). Will definitely visit again and try the home-cooking Moroccan cuisine of the hotel!",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 January 2016,5,"Chez moi, chez toi, chez nous...","Fantastic staying in this rihad. Mr Mohammed, was a perfect host and also very respectful of our privacy and intimacy. We were travelling 2 couples, often out the all day for our siteseeing trips, Mohammed arranged twice a very intimate and lovable home-made dinner for us 4. It was amazing to have all the riad for us, as it was our own home down in Fes. The riad is also a piece of art itself, the bathroom in the room is the best part!",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 January 2016,5,Cozy place to stay in Fez,The manager Mohammad is excellent helpful and friendly. Provided us the wonderful home while we would traveling. Especially the service! This is the place you would never regret to spend a day here. The room is big and cozy. The breakfast is nice.,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 July 2015,5,Beautiful base from which to explore Fez,"Lovely house. Gorgeous rooms , especially the bathrooms! Abdul took care of us really really well. Feeding us great food. And guiding us how to explore Fez, given we had one and a half days only! So it wasn't just a place to stay but a big part of the whole experience of Fez. Thanks for a memorable stay.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 May 2015,5,Feels like home,"In the heart of the medina. Gorgeous décor, great food, and friendly staff. Abdul the chef/waiter took good care of us from giving tips on walking around the medina to arranging our next day's transportation (he went with us to the bus station late at night!). We stayed for 2 nights and felt very comfortable and secure. Will definitely recommend.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 December 2014,4,Short Stay in Fes,"Unfortunately, I planned only one night in Fes. This was my first trip to Morocco and was doing a quick tour of the country before planning my next visit. Simi, Abdu,Myriam, and Naïma are the wonderful staff at this newly owned Riad. The new owner, Bertrand, had just opened it at the beginning of December. You would never know it though. Not a thing was out of place, not a misstep by anyone. Professional, knowledgeable, and friendly. I regret not being able to stay longer. Dinner and breakfast were delicious. Sipping a Moroccan rose was a nice surprise. I chose to travel in December and realize that buildings in Morocco were designed for the 7 months of relentless heat and not for keeping me warm in the cooler months. It is very difficult to find so be sure to contact Simi or…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 December 2014,5,A hidden jewell,"We stayed at the Dar 7 Louyat for 4 nights over New Year's Eve with our 3 year old daughter. Having visited Marocco a few times over the past 15 years, we have never encountered such magnificent accomodation. The building, its architecture and the loving and respectful restoration and decoration it has undergone make the experience equivalent to staying in one of the city's medersas or palaces. The experience of islamic architecture in all its spendor is unmatchable. The riad is nestled in one of the key áreas in Fes, very close to the Qairayuine Mosque, so you can enjoy all the city's vibration and the extreme peace and quiet of the riad. We used the transfer to and from the airport that was offered through the riad and iot proved useful and hassle-free. Breakfast was served…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 September 2014,4,"Beautiful hotel, just a bit lack of atmosphere",Loved the decoration and wonderfull bathroom. the woman that cooked and cleaned were lovely! Cancelling our room late minute was not a problem. We found that very understanding. Difficult to find though.,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 October 2014,5,A little palace in the Medina,The locaction and interior of the Riad is absolutely beautiful. It is decorated very tastefully and is not over decorated like other Riads. It is a perfect hideaway in the busy Medina of Fez. The food served by Miryam is very good and way better than in any restaurant we have tried during our stay. The medina of Fez beats any medina we have ever seen in other cities. It woud be good if there would always be somebody around who speaks at least some English. WiFi didn't work in our room on the top floor at all.,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 August 2014,5,Fantastic architecture,"It is a lovely hotel, located in the Medina, near the Great Mosque Quaraouiyine. It is very beautiful, each detail and decoration are incredible. The rooms are special, comfortable and large. The hotel is like a historical place, whole architecture is fantastic and so beautiful. We were delighted in staying here. We were very well received by staff with a delicious moroccan tea and good talk.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 July 2014,5,Dar 7 Louyat,"We could not have been more thrilled with our stay at Dar 7 Louyat. The building itself is a testament to the hosts' passion for art history and commitment to traditional crafts, materials and techniques, as well as to their passion for true hospitality. The courtyard is a museum quality restoration and each of the rooms is a unique blend of Moroccan decor, with touches of Mid-Century Modern. We were greeted by the manager, Simohammed, who throughout our stay, was friendly, informative and imminently available when we had questions or needed any guidance regarding the medina. He is a great asset to the Dar 7 Louyat. The shining jewel of Dar 7 Louyat is Myriam, whose traditional cooking was so delicate and expertly prepared that we decided to eat ""at home,"" every night of our…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 May 2014,5,Brand New Riad-Dar Restoration,"There are six intimate but large bedrooms spread through the three story atrium overlooking an interior fountain and with an access to a large terrace. The restoration is done with sensitive attention to architectural details and a flare for classical Moroccan interiors. Located near the great Mosque Qaraouiyine, thus easily identifiable to a lost traveler. The welcoming atmosphere could not be the same without the manager Saïda and Miriam that is always available and cooks fabulous meals at a day notice that competes with any Fès restaurant.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
