 January 2023,5,10 out of 10 Stay at Riad Verus! - My favourite place to be in Fes,"My Incredible week and a half spent in this magical place! what can i say, the whole place is decorated, furnished at the most high quality it can be - and love the style about this whole place. The Breakfast at Riad Verus was the best BREAKFAST i had in ALL MOROCCO! you will definitely be skipping lunch. 10 out of 10 experience especially on my first & 3rd night staying here they had wine night which was so cool , and also in the week they did an impressive dinner for all the guest -free of charge! Thank you Riad Verus for your Impeccable Hospitality & to all the Staff. P.S - Unlimited Moroccan Tea! :)",Riad_Verus-Fes_Fes_Meknes,hotelName,city
 September 2022,5,A true Moroccan experience.,"Initially I was amazed by the photos of this hotel, however following my arrival and seeing it first hand, I was blown away, the place is by far the best hostel I have experienced. The hotel is decorated in true traditional Moroccan style. The staff are extremely helpful and will go out of their way to provide the help you needed. The hostel manager Dan was extremely friendly and helpful and last night hosted a free wine tasting evening where all the residents attended and was great. Great hostel to stay, if you are in Fes and need a place to stay do not hesitate to stay at Verus.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,fez backpacking stop,"amazing breakfast to start the day’s adventures, interior design, and overall time! close to the medina while still being far enough to enjoy some quiet and peace. dorm room was spacious and bed comfortable !",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,Wonderful trip in FEZ,"Not only was Hostle Riad Verus, accommodating, informative, and warm hearted. They helped me as a solo traveler book an incredible trip to merzouga desert, and a well informative guide that led me through the Medina. Mohammed was 5-star tour guide. Friendly, took me away from touristic crowded places, to the unique streets that Moroccans walk everyday through. Mohammed talked from the heart about culture- he was waved in hello’s with many we encountered. If you want an amazing guide ask for Mohammed. To whom may want an amazing experience in Fez look no further than Riad Verus. Warm family dinners, daily breakfast on the top patio! All I have to say is this place is special. -Lo",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,Amazinnnnnng,"This place was amazing! The owner was super nice and welcoming ! The activies was incredible ! You should book the desert activities with them its more worth it ! Every activities its not far a way, can be done by walking :) I will back to this place for sur if im comming back in morroco!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,Lovely Stay,Sweet hostel we’ll decorated with good staff. Stayed here for two nights and would return. Fez has some seedy areas but felt safe here and got what we needed and more. Also they treated us to a good dinner which was generous and great.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,Sweet riad hostel in Fez!,"Great hostel experience, the manager Dan was super cool/helpful, and they provided an awesome free family dinner for everyone the first night we got there. Spent a lot of time hanging on the rooftop, and exploring the nearby Medina. Would highly recommend!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,It’s the best place to stay in Fez!,It’s a beautiful Riad in a very convenient location. The staff are incredibly kind and they asked me to join their family dinner. I had a remarkable time learning about Moroccan culture and meeting other backpackers. Definitely is a place to come back.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,"Felt at home, Awesome stay",A beautiful facility and the staff makes you feel at home the moment you walk through the door. The room was amazing and had great AC. The rooftop is truly one of the more spectacular rooftop lounge areas I’ve seen. Highly recommend this place.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,Such a nice hostel!,"Very nice hostel! The staff was really friendly, helpful and welcoming, giving good advice on exploring the city. The hostel has a very comfy atmosphere with a pretty lounge and terrace where you can meet kind peers. The dorms were clean with comfortable beds and a the bathroom was as well. I can only recommend this hostel which has every characteristic you’re looking for in a hostel.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,Chillest place in Fez Medina,Very nice Riad in the middle of Fez. Super nice staff and amazing rooftop with an amazing view of the Medina from above. I will come back here for sure my next time in Fez. Amazing breakfast included in the accomadation price.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,beautiful riad with amazing terrace,"beautiful riad super close to the blue gate. air conditioning in the rooms, comfy beds, VERY solid free breakfast (honestly probably the best i’ve had in 1.5 weeks in morocco so far). kind / helpful staff. awesome roof terrace with views. can’t complain!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 August 2022,5,Amazing Riad,"I really recommend to stay in Riad Verus cause everyone Is really kind, especially Abdu and the woman Who prepareres breakfast. The Amazing thing about Riad Verus Is that you feel home. They also have a good choise of tours around Marocco and the possibility to book a transfert from the airport. Breakfast Is really really good and everything Is clean. Go to Riad Verus!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,The most beautiful hostel you will ever see,"The aesthetics of this place is Just amazing. It is incredibly beautiful, from the rooms, to the rooftop. Everything is very comfortable, be ready to take a lot of naps. The breakfast is so Rich and so filling. We had an absolutely amazing time. It is very well located and it would be a terrible shame if you missed this beauty. See photos below.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 August 2022,5,"Good hostel, good desert trip","I stayed 2 nights in that hostel ,and it was a wild experience for me, the staff was so friendly and kind, the breakfast was amazing and the room I stayed in was with AC, the top floor had an amazing view, and I did book the desert trip organised by the hostel wich was amazing, we spent 2 nights there and it was well organised and we received more than ryad verus promised.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 August 2022,5,BEST IN FES!,"this hostel has it all, amazing rooftop with views, friendly and welcoming staff, comfortable rooms, clean bathrooms, incredible breakfast, walking distance to everything and the price is unbelievable.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 August 2022,5,Best hostel in the whole of fes!,Had such a good time at versus as it was super clean and very welcoming. The breakfast is unreal and overlooks the Medina. They also offer great tours in and out of fes. 10/10 would stay here again :),Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 August 2022,4,Beautiful Riad,"We had such a great time at this Riad! It was clean, the staff were incredibly helpful, and the location is amazing, all at a great price. It’s a stunning Riad with great communal areas and really easy to meet lovely people.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 July 2022,5,Gorgeous riad,"Stayed here in July whilst holidaying with friends. The warmest reception at check in, and really helpful with my questions on local information. Solo rooms are perfect - clean, comfortable and nicely furnished. The communal spaces in the riad are beautiful with stunning views. Booking was extremely easy too. Highly recommend and hope to be back again some time!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 July 2022,5,I’m in love with this plac,I stayed here because Some of the people staying here is we have meet in another city and they recommended this place for me it was gorgeous the staff member they were really nice and very friendly and very helpful the breakfasts unbelievably delicious and a book disaster with them which was more than I expected for the price I paid I will definitely stay here again and I definitely recommend this hassle to anyone planning to come to Fez and of course to book the Desert tour,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 July 2022,3,Great facilities but not really recommended,"had a very short stay in Fes and so my review is based on just two nights of being there. First off, this riad is SOOO beautiful! The terrace views are unmatched too, watching the sunset from the terrace was the highlight of my stay in Fes. I arrived mid afternoon during Eid. Dan checked me in and offered me tea on arrival. During check in, he mentioned to me that an issue had recently arisen with my room where it could not be locked from the inside and only the outside…what? The riad was pretty empty because of Eid and I was tired so I didn’t bother to look for another place to stay. I will say, I saw cameras everywhere in the riad so I felt somewhat safe, but as a solo female traveler this is not okay. Dan promised to fix this the next day, but it was not fixed. I also did…",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 July 2022,5,Had a great time!,I was especially pleased with the warm and personal welcoming from the owner and the level of service. Going back soon and really recommend! The bedroom was comfortable and i loved breakfast. Thanks 🙏 /Markus,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 July 2022,5,Mr,"I stayed at riad verus for one night, whilst on the way to Chefchaouen. We were greeted with tea, and a bundle of information about things we could do in fes. The hostel is beautiful, really beautiful.. the bed was comfy and the breakfast was huggeee, welll worth the money it cost to stay here. Thanks for having us, we’lol be back again on the way back. Love",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 July 2022,5,3 night stay,My friends and I have stayed at Riad Verus for 3 nights and have really enjoyed it! The staff is welcoming and the rooms are comfortable and air conditioned. The roof has amazing views and the breakfast is delicious.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 June 2022,3,Good - but room needs some improvements,"I stayed here as a solo traveller in the private room in June 2022 for 3 night Positives - private room was very nicely decorated and comfortable bed - Location of hostel is great - The lady who checks you in is lovely (I think her name is Aetofye) and makes you tea on arrival Negatives - The staff are sometimes hard to find/ it’s a bit disorganised. - The main issue is the lock on my Private room was broken, meaning If you locked the door from the inside you become locked in the room! I had to call the hostel to tell them I was locked in my room , the owner had to come and open the door for me to let me out - This is not ideal because it means you can’t lock the door when you are inside the room. The whole point of booking a private room is so you are able to have extra…",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 June 2022,5,Very nice stay!,Very nice hostel and very helpful staff :) would definately repeat! They help organize a lot of tours and it is nicely located near the blue gate to explore all the medina. The chill rooftop is the best place to meet other travellers.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 June 2022,5,Best Hostel in Morocco 🇲🇦,This hostel is so beautiful! Very easy to get to from the bus station with a metered taxi for one euro. Location is right in the old medina. It is a huge mansion style house with two rooftop terraces. The breakfast was huge and the best I have had in Morocco! Very clean rooms and bathrooms. Free towels! The owner and his family were very attentive to all of needs. This hostel is one of the best I have ever been to! Great hospitality!,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 June 2022,4,Nice place to stay,"It’s a nice place to stay. The beds are comfortable, there is an outlet to charge your phone next to the beds and it’s pretty clean. The guy that works at the hostel sold me a tour and later I found out I overpaid for it. In Morocco a lot of people will try to make you pay too much and this is also the case in this Riad. If you don’t have a lot of money ask around to other people in the hostel what they paid and look up online what normal prices are. What you can improve (why I didn’t give 5 stars): - I stayed in room 1 (a room with 7 beds). The bathroom in our room didn’t have a lock on it. So if you’re taking a shower someone can walk in on you. Just add a lock so people can shower without having the chance someone will see them naked. - You can add curtains to the bunk…",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 June 2022,5,Very cozy and friendly hostel!,We had a blast in Riad Verus! Its very central in the old part of fes. One of the nicest staff i had in any hostel in Morocco. The owner can tell you about literally anything like where to go what to visit next and you can also book your next journey through the hostels reception and the rooftop chillout zone is just amazing. In all honesty 10/10 for me.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 June 2022,5,4 days 3 nights,We arrived only wanting to stay 1 night and end up staying much longer. A great hostel with unreal staff and hospitality with air-conditioned rooms and great roof terrace upstairs. Couldn't ask for a better place to stay when visiting Fes. Thanks again,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,Our stay at the Riad Verus,"Always love a place that is easy to get to, has great friendly service and is beautifully charming to boot! The Riad Verus is one such place that ticks all the boxes. The views were spectacular, and breakfast (my favourite meal of the day) was generous and delicious. The staff were extremely polite and spoke English perfectly. The best part was the social interaction and making new friends. Most important we had a great family getaway.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 June 2022,5,"Amazing atmosphere, helpful host, and beautiful building!","Stayed in Fes for a few days and was fortunate enough to stay in Riad Verus. The location was great, right in the Medina and close to everything. The building is beautiful and feels very homely. The food was amazing and we really enjoyed the family meal when we arrived. We made some great friends and had a brilliant time. Would definitely recommend for anyone staying in Fes!!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 June 2022,5,Best first hostel stay,First time I’ve stayed in a hostel and it’s been a brilliant experience. The host is very welcoming and helpful always going out of his way to make sure everyone has the best time! Met some great people and would definitely recommend.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 June 2022,5,I love it here,"I stayed here twice once when I arrived and once when I left Morocco. Both times were excellent. Added blessing was the breakfast - it was free! Ate so well and so nice to not be the usual hostel fare I was having to stomach at other places; but here it was real Orange juice, really good coffee, avocado mash, tomatoes, cake, eggs, fruit salad and yoghurt, they outdid my expectations. The friendly workers were always on hand to help organize taxis or sign me up with a tour or bring me a nagila water pipe. Me and my mate loved hanging out with them on the terrace hearing their stories about Fes. The hostel was easily one of my favorite ever.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 June 2022,5,Very very Welcome in,Awesome Hostel loved this place! The staff were nice and friendly and got served a lot of mint tea and even though I was by myself I felt safe all the time and found people to hang out with if I ever needed company. And the Terrace it's one of The best thing is I have been in Moroccan because I've got the most amazing view panoramic,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 June 2022,5,Fun stay had by all my pals,"Incredible stay at this affordable hostel in a very original city. Do yourself a favour and stay here and thank me later. The Riad was splendidly dressed up and the bedrooms were nicely laid out with decent beds and hot functioning showers And very quick WiFi speeds. It’s very kindly priced And the staff are informative and happy to help. Top tip would be to do a tour on arrival, it will save you in the long run from a whole day being lost and harassed. Well deserved top rating from me.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,"A fancy budget-friendly mauresque Riad, Fes-Morocco. (Less than 10€/night per dorm bed with breakfast incl).","Riad Verus is by far the best hostel I've stayed at while in Morocco and one of the best hostels that i've had the priveledge to stay at anywhere i've been. The people, the atmosphere, the design of the riad, the roof top chill; are all stunning.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 June 2022,5,One of the Best Hostels I’ve Stayed At,"After traveling all around Morocco, I can say with confidence that Riad Verus is the best hostel I have stayed at not only in Morocco, but one of the best overall. The hospitality, the comfort, the BREAKFAST (definitely best I’ve had & for free!). The rooftop sunset/sunrise are a must. This hostel is close to everything in Fes. I felt safe as a solo traveler in the area. The rooms were clean and comfortable. The central meeting place is a comfortable hang out area and so cool to look at especially at night. Thank you to the staff for their hospitality and their cooking skills. I can’t wait to come back and visit again. Definitely stay here you won’t regret it!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 March 2022,1,NOT GOOD 👎🏼 experience,"By far the worst hostel experience I’ve had in Morocco. I honestly can’t express enough the dissatisfaction with my stay. The cleanliness of the the bathroom, the owner charging 10€ for 1/2 kilo laundry, being served cold breakfast, booked a 10 bed dorm but an extra bed was add so it was 11 bed, the staff yelling for one another constantly, never any toilet paper in the bathroom, the owner tried over charging me for a taxi. I definitely got the feeling from the owner that he was only there to make money with doing as very little effort as possible. Being charged 10€ to wash clothes was outrageous! Other hostel in Morocco only charge at most 4€ for laundry or less. Even the other hostel in Fes don’t even charge that much. When I booked my stay it said that the tea was free.…",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,Great for couples,"Super Riad in a perfectly positioned location which met our needs and budget, the breakfast was a large spread of vegetarian and healthy options and they even had a roof top restaurant for lunch and dinner which we had a lovely tagine and kuscus. Felt very surreal to be in such a magic place and three days suited us well. Weather too was very hot so to be in a room with air conditioning was essential.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,Family and cosy and traditional hostel,"Awesome place, family vibe, very trust worthy and the owner is very welcoming and inviting and the staff are all good people. I stayed here for 4 nights and everyone made sure that my stay was perfect and the breakfast was just on point. Definitely recommended and will be back here for sure.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,Great stay,This was an amazing find for me. Was alone but made friends pretty quickly and the staff all went out of their way to include me in the tours and things like that. Loved the terrace restaurant which I ate at every night.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,Trip in Fès,We went on a 3h trip with Mohammed in Fès! He was really informative and really nice! We really enjoyed our time with him. Thanks again. The riad is also really beautiful and the staff is really friendly. We will be back for sure.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,Beautiful Riad in the middle of Medina,"Beautiful hostel in fez!! You feel so welcome and the entrance / chill area in the middle of the Riad is impressive! Beautiful rooftops with an awesome view. Good aircondition. Comfy beds, clean. Nice staff :D nice and huge and traditional / fusion breakfast. Good to meet people.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,Great place to stay in Fés,"I spend two night in this place and had great time in it. Great interiors and an amazing rooftop. Very social hostel and easy to meet other travelers, specially as a solo traveler. The staff as always helpfull and the location is good, not to deep in the Medina but close to all places of interest. Definitely a place to come back!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,Beautiful hostel with great terrace and excellent staff!,"Stayed here for two nights with a couple of friends. This place has an amazing location and a very nice terrace to hang out on. The host, Dan, was very helpful and personable. If you’re planning a trip to Fes, stay here!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,Great spot for travelers!,"Great spot - we stayed two nights. It’s close to the old city, really great breakfast, clean sheets/blankets/towel, hot water showers, and great rooftop for hanging out and getting views of the city. Our host, Dan, answered any questions we had about the city/logistics/travel.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,"Beautiful place, great vibes, super helpful and kind staff!","My boyfriend and I stayed here for 3 nights and we had such a great time! Our airline changed our flight times very last minute and we ended up not arriving until after 1 in the morning but Dan (the owner) was so understanding about the last minute change and stayed awake to let us in. Dan was very also very knowledgeable about things to do in Fes, and was able to arrange everything we requested including transportation, guides, and a Moroccan cooking class where we made a delicious chicken tagine! The Riad itself was absolutely beautifully decorated, and it was obvious Dan had put a lot of thought into the experience of being a guest there. We loved starting our mornings with the breakfast provided on the rooftop terrace, it was such a great place to hang out and the…",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,Highly recommended!,"Friendly staff, stunning rooftop lounge, very easy to meet other travellers, awesome breakfast! Booked a bed at the 10 bed dorm, room is big enough to move around, comfy bed, make sure you choose the bed with the window when it's over 40°C warm so you get a nice breeze and sleep well :) The owner is a very welcoming guy, helped me to get my money back after I paid too much for a tour in Marrakech! Would have loved to stay longer, will definitely come back to see the new rooftop bar :)",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,Great Place!,"Riad Verus is cool, quirky little place in a really useful location in Fes. It’s just a short walk away from both the Medina, as well as the main road for transportation links to the airport. The atmosphere is brilliant — it’s really laidback and the decor is so cool. The rooftop terrace is very chill and welcoming, and the staff arrange lots of opportunities to hang out with them as well as other guests at the hostel in the evenings. There are also great views of Fes from the roof! The rooms are clean and bathrooms are as expected, so no complaints there! Definitely a unique place to stay, with lots of character while still being very chill! Would absolutely recommend.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,"Very chill vibe, love the rooftop. Great staff, very clean, perfect location. Highly recommend.","Very chill vibe, love the rooftop. Great staff, great energy, very clean, perfect location. Dan is an excellent host. Highly recommend it to all travellers. I will definitely come back next time i’m in Fez.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,Great vibe in Fes,Awesome hostel with a great vibe. Comfortable rooms and a great rooftop terrace for chilling out with good people and music. Dan is a terrific operator and a great person to talk to about stuff to do in Fes. Definitely a good choice for backpackers.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 March 2022,5,Amazing Stay! Great Atmosphere!,"Really enjoyed my stay at the hostel. Lovely atmosphere - all staff members were very friendly and welcoming. It is great value for money. Breakfast was included in the price and really tasty and fresh. The rooms are very nice, decorated in traditional moroccan style which puts you straight into a great mood for the holiday. The rooms are clean and didn’t miss anything. The hostel is located in a great area with several restaurants and attractions nearby. All in all I couldn’t have wished for a nicer hostel and definitely recommend booking a room there.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,Great stay!,Amazing accommodation in a great location. Really authentic experience. Decor is fantastic. Staff and hosts are fab and very knowledgable about the local area - would recommend to all types of traveller :),Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,Amazing,"Probably the Best riad in Fez. In the heart of Medina, Well placed, best breakfast ever. Dan is super friendly, and usefull all the time, Riad clean and a rooftoop is underfull. I stay for 7 days a nd o Will be back for Shure... i really love my experience in Riad verus",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,Amazing Hostel to socialize,"The staff was really accommodating and there were a lot of other travelers to hang out with. You could also book tours via the hostel and the staff in general was really helpful when you had questions. Furthermore, there was a roof terrace which was helpful for relaxing after a hectic day in Fes.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,10/10 Highly recommended!,"My girlfriend and I stayed at Riad Verus in Fes for 5 nights and I have nothing but incredible things to say about it! The rooms are great and the common spaces are incredible! There is a fantastic terrace for reading, relaxing and hanging out with other guests. Included in each stay is a massive breakfast from 9:30 - 11 AM which will leave you full until 7 PM in the evening! Dan and the rest of the staff were very lovely and happy to help with any and all requests we had including a hamman visit and support with transportation before, during and after our visit. Free tea and coffee are available throughout the day upstairs and towels are included with your stay. I highly recommend you include a stay with Riad Verus during your time in Fez! Really affordable and a great hang!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 May 2022,5,Visited,"Great experience, centrally located, big place. Dan helped our friends who weren’t guests when they came to town. 200 character minimum is a lot for a review so I’m just writing words but the stay was positive is my overall message. Free tea and coffe",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,Beautiful design and nice host,Such a nice place to stay! So beautiful and atmospheric and the host was super friendly and nice. I really enjoyed breakfast and coffee there. Very close to all places I wanted to visit. Planning to come there soon again.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,Great stay in Fez,"The Riad Verus is very well located and the staff is very helpful and welcoming. The breakfast is included in the price and was very filling. Also, the terrace and rooftop are superb! Thanks a lot for the stay 🌿",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,Amazing Hostel!,"The Hostel itself is really beautiful with a large and social seating area on the top floor, as well as a roof top terrace with a spectacular 360 view of Fez. There is also another seating area in the centre of the bottom floor bellow amazing lanterns hung from above. The staff are super friendly and accommodating and always happy to help with anything you need. The breakfast in the morning is a variety local foods and orange juice and tea or coffee and is delicious and filling. The green tea here is amazing and free whenever you want it. I couldn't recommend this Hostel more!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,Superb Hostel,"The hostel was breathtaking on the inside and all the staff were incredibly helpful. They’re always running activities like cooking classes for small groups in the hostel - free of charge - and everyone is entitled to free teas and coffees throughout the day. Additionally, they were happy to print off documents we needed for flights. The rooms were very clean and very high quality. I have been travelling for a month in Morocco and Verus had the best showers and bathrooms of any hostel i stayed in. The hostel is also very close to many useful things, such as the Blue Gate entrance to the Medina or several ATMs. 10/10 would recommend to anyone looking to stay in Fes.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,Very good vibes,"The place is very good located, the host is super friendly and helpful. Couldn’t recommend other place. Also the price is awesome. You should try the family dinner on Fridays, is free and the food is delicious!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,The best,"They have an amazing hospitality, even if you're are not sleeping there. I really recommend this place, good atmosphere, and the owner have the best tours to recommend. It's better than a lot of others hotels in Fes, and really secure. Although, they have the best marrocan tea in the city. You would never regret to stay here!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,Very nice hostel,"Hostel is centrally located, with a nice view on the city from the rooftop. There's a very chill atmosphere and helpful staff. Also the family diner which they arrange every week is really good. You can get tea and coffee for free throughout the day as well.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,"9/10 hostel in the Medina, Fes",Great hostel to stay in the medina. Close to the buzzin city centre. The owner will arrange anything for you. Tours or any other activities. The hostel overall is very beautiful and the included breakfast is very tasty. I can recommend to stay at this valuable hostel!,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,Highly recommended,"Riad Verus hostel is beautiful and the staff is exceptional. All of them went above and beyond expectations to ensure our stay was wonderful. From proactive recommendations on things to do, to the smallest things like offering Moroccan tea and coffee. The breakfast is the absolute best that we had on our entire Moroccan trip. On our last night, we had an amazing family dinner. The hostel is located in a great spot in the medina, the beds in the dorms are comfortable and the room is clean. We highly recommend this hostel! (Melhor hostel em Marrocos!)",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,Camino,"Hostel Verus should be your only choice of hostels in fez. It did not let me down,from the best breakfast of this trip (2 months), to the view from the top floor to the kicked back atmosphere of the common area.This is a mostly family run business and you can feel the love. Dan the owner provided a mass of dishes (free) for dinner once a week(twice while I was there).Dan took care of me when I got sick (bacterial I believe) with a 3 day supply of a very strong antibiotic. Your only choice...",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,Best Hostel! Melhor hostel em Marrocos!,"Riad Verus hostel is beautiful and the staff are exceptional. All of them went above and beyond expectations to ensure our stay was wonderful. From proactive recommendations on things to do, to the smallest things like offering Moroccan tea and coffee. The breakfast is the absolute best that we had in our entire Moroccan trip. On our last night we had an amazing family dinner. We highly recommend this hostel! (Melhor hostel em Marrocos!)",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,Amazing stay at Riad Verus,"My stay at Riad Verus was amazing. Located 5 mins from Madina markets and very close to all the sites worth seeing in Fez. Lovely space to chill and read on rooftop or for good hangs with other people. Breakfast was the best and family dinner was amazing. Manager and staff were amazing and super helpful in finding places to eat shop and organise tours to desert and to other locations in Morocco. Would 100% recommend to stay in coming to Fez, especially as a solo traveler, met so many amazing people in the short time a spent here.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 March 2022,5,Would come again,"I really liked this hostel and would love to come again. When the day starts with their good breakfast they offer, your day is supposed to be great! The people working are all very nice and open people. You should absolutely check out the rooftop.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 April 2022,5,Amazing Riad Verus,"Amazing staying! Best place! Dan and staff were so kind and so helpful! Always there to help! Breakfast so so nice ! The terrace spectacular! I purchased the Desert tour and amazing, all in time, amazing staying at the tents in the middle of the desert! It totally worth it! Thank you Riad Verus.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 March 2022,5,"Recommend highly amazing staff, breakfast, rooftop",Great place! Amazing staff was really helpful and cared about our wellbeing. Best breakfast Good internet Great rooftop bar with family dinners once a weak. If we needed anything we always found help. Loved the whole atmosphere of the place so I definitely recommend staying at riad Verus,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
