 January 2023,4,Good Location + Facilities,"There is a lot that's right about this place, Clean apartments and suites set in nicely maintained gardens with peacocks wandering around . Good facilities including a heated outdoor pool. We are swimming in January! Quiet and relaxing. Easy 15 minute drive into Essaouira",hotelName,city
 January 2018,5,Wonderful peaceful hotel,"I am so happy to have discovered Essaouira Lodge and met the many wonderful Moroccan people that work there. Thanks to Jamal, Mekhles, Amine, Abderrahim and the 2 Leila’s who really looked after me, service is always with a smile. The Lodge is very spacious, the grounds are beautiful and so well looked after. Set in a great location with tortoises wandering around the garden. The free shuttle to Essaouira is an excellent idea although I was always glad to return to the peaceful Lodge, especially for the traditional Moroccan dinner of the day. I stayed in a superior suite and would recommend either SA3 or SA5 as quiet and fab views. The hammam is a must as I had one of the best massages in years from Bushra. There is a massive yoga studio which would be ideal for a yoga…",Lodge,Essaouira
 January 2018,5,fabulous relaxing time,Staff are great - setting is superb and is a perfect hideaway- AND it is one of the very very few places that says it has a heated pool and it ACTUALLY DOES have a heated pool !! We checked out at least 5/6 'heated pools ' in top end places and found they were being extremely generous with the word 'heated' ! But this pool is great - even in Dec/Jan.,Lodge,Essaouira
 October 2017,5,"Wonderful location, across from the beach and steps away from the Medina","I rated this 5 stars, not for the ambiance but for price and location. This is a ""conventional"" type property, but with a lovely pool. The staff is helpful. Most of the guests were French or Moroccan.",Lodge,Essaouira
 December 2017,4,Definitely off the beaten track!,"We spent a pleasant, restful week in this calm, quiet resort over the Christmas period. It met the needs of three generations which is quite a feat. Our villa was very spacious and clean. Unfortunately the heating was not adequate as these villas are constructed for much higher temperatures than those of December. We did have a fire lit every night in the lounge and extra heaters were brought in so we warm enough after the first night. Some refurbishment is needed particularly in the showers. Not one of our three showers had fixtures to hold the shower heads. The restaurant was good and catered for all tastes with plenty of gluten free foods. The staff were very friendly and extremely helpful. We had a free shuttle into nearby Essaouira whenever we needed it. There was a large…",Lodge,Essaouira
 December 2017,5,Amazing Experience at the Lodge,"Very warm welcome by receptionist, Leila, who was very helpful throughout our stay. The rest of the staff were very polite and always ready to help out with our needs. Very nice resort, peaceful, with facilities and pool for the kids. We really enjoyed our stay here and would definitely return back. We made several trips to Medina from the Lodge and driver took us there and back whenever required free of charge. Beautiful resort, would highly recommend. They even allowed us late check out due to delay with return flight.",Lodge,Essaouira
 October 2017,5,Fabulous setting,"We stayed in a beautiful private villa ideal for a party of 8 people, with large rooms, kitchen, a lovely shaded courtyard, our own swimming pool and we all had spacious bedrooms each with ensuites showers and toilets. It was lovely and peaceful here a few miles outside the main town of Essaouira. The staff were very friendly and helpful. We had breakfast in the main restaurant every day. They do evening meals too. Beautifully cooked. There is a shuttle bus (free) that takes you to the main town every hour.",Lodge,Essaouira
 October 2017,5,Laid back retreat,"Spent a lovely week here with the wife in early October 2017. The vibe is laid back with lazy days spent around the pool and bar area. There were plenty of sunbeds and shade for those who needed it. Bar prices were reasonable (a bottle of local wine was 170dhs) and the service at the outdoor dining area was attentive but not overly so. Breakfast was a relaxed affair, taken every morning in the warm sunshine (buffet style), dinner was available at 100 dhms (buffet) and the evening meal was either 100 dhms for 2 courses or 200 dhms for 3. The 100 dhm option was good value. The rooms were a short walk from the main pool/bar area (maybe up to 200m for some at most). Overall very happy - especially as they offered a free shuttle service in to town (approx 20 min drive). We were…",Lodge,Essaouira
 October 2017,5,Amazing Hotel. Gorgeous location.,"We had a fantastic week in Essaouira Lodge. The pool is area is beautiful, the pool is a great temperature. The only downside is the pool was so crowded that sometimes you couldn't get a bed round the pool.. big shame. The restaurant is very nice and serves a lovely cheap breakfast. The salad bar is great with plenty of veggie options, however its such a shame they do not provide a veggie option in the set menu as you feel you are always missing out and we had to eat out all but one night. However they did do us a veggie tagjne on request. Drinks are expensive at the hotel, but nothing more than you'd pay in a hotel in england. The ground of the hotel are so lovely, utterly beautiful. Our apartment was amazing, massive with a fantastic balcony. Cleaned very well are…",Lodge,Essaouira
 September 2017,5,A Fantastic Find,"We booked for 4 nights, and wished we had stayed for longer, testament to a great holiday. From the minute we arrived we instantly relaxed, it's such a quiet and peaceful location. I truly switched off from the outside world. No TV in the room - perfect, only wifi around the pool - perfect. We had a basic double bedroom, with a terrace, with garden furniture. It was more than adequate for what we paid for it and for what we needed it for. A lovely large bed, lots of storage space, and a huge wardrobe with plenty of hangers! Great walk in shower and his and hers wash basin - a godsend. We had the buffet lunch -€10, there was an extensive range of salads, home made quiche, hot vegetable, home made burgers and lamb chops. Plenty to sustain you through to supper. We used the…",Lodge,Essaouira
 November 2016,4,Beautiful lodge but no safety of valuables!,"1. Room - I travelled with my husband and two-year-old daughter, and tried to book the 1-bedroom apartment (which had a cot bed and was less than half the price of the two bedroom apartment which had 5 beds (including a cot bed)) on booking.com, but were unable to do so as my daughter did not meet the age criteria for this. I contacted Essaouira Lodge directly, who reiterated that the two-bedroom apartment was most suitable, and the manager kindly gave us a discount as we would only be using the double bed and cot bed. If you are in a similar situation as us, please do contact them directly as they are willing to negotiate the prices! Great service in that respect. The room itself was very spacious, clean, and had a lovely little garden where we could relax. My daughter was…",Lodge,Essaouira
 September 2017,5,Beautiful Place!,"We had a really wonderful fortnight's stay here. The staff are all so friendly and polite, thank you to Asami for his lovely smiling face in the mornings! Our room was cleaned daily by the maids who always took time to say hello, as did all Staff. Also Hussain the courtesy bus driver who had so much patience with us, I miss the door being opened for me now I am back in England! This is a beautiful place to stay and so want to go back!",Lodge,Essaouira
 June 2017,5,AMAZING,we traveled with friends in essaouira and found that the idea of lodging in lodges was the good idea .. the staff is very nice and professional .. their breakfast is very nice .. we go back again and again .,Lodge,Essaouira
 September 2017,4,Lovely staff and relaxed atmosphere,"Stayed here for two weeks in September 2017. The hotel is a few miles outside of Essaouira but they do have a courtesy vehicle which you can book for anytime and will drop you off and pick you up at three different locations which is very handy. I found the location not to be a problem as its nice to get away from the hustle and bustle and relax around the lovely pool area. The rooms were cleaned everyday by the very polite maids and the bar staff were also lovely, chatty and very helpful. All in all this is a great place to stay, my only gripe is that there is no tea and coffee facilities in the rooms and the food and drinks are quite expensive compared to down in Essaouira.",Lodge,Essaouira
 August 2017,5,Visit to Essouira August 2017,I visited the Lodge for a week with my 2 adult sons and one of their friends. We were learning to kitesurf and needed a comfortable base.We chose the Lodge because it had a decent pool and more outside space than the hotels in town. It is a short drive inland from the town which means that you are reliant on the shuttle/minibus which is very reliable. We would take the shuttle in twice a day. The fact that the Lodge is several miles in land means that when it was windy by the coast the weather was hotter and calmer at the Lodge for sitting by the pool. I would recommend this place for a longer stay. We had our evening meals in town.,Lodge,Essaouira
 July 2017,4,Extra sun but I worry about peak season,"The staff were really nice and there is a shuttle that runs about every hour into town, but not on the hour or anything like that, it's actually quite random. I feel if it ran on the hour you wouldn't be limited in having to guess the time you will come back. it's definitely worth staying further out because by the coast it is actually very cold, so chilling by the pool you get some of that beautiful Moroccan sun, it is only half an hour out, tops but makes such a difference. If you book any excursions they will come get you and definitely do book some. Surfing was fantastic and quad biking was so much fun. If you don't have kids go with Diana quad, you just hop on and go and get an instagram bestie. We went just before the summer holidays so it wasn't peak season. I worry…",Lodge,Essaouira
 July 2017,5,Great adventure,Beautiful rooms . Will take the villas next time since we are planning on going as a big group . I missed using the hammam that looked very appealing . We loved the shuttle service it was really helpful especially since we were there during the Gnawa festival .,Lodge,Essaouira
 February 2017,5,Excellent,"We had a wonderful trip to Essaouira Lodge. The hotel was excellent all round. The room was lovely - large and clean. We enjoyed the pool and the gardens which were all well maintained. The staff were polite, welcoming and helpful and we had some very good meals.",Lodge,Essaouira
 August 2017,2,reasonable value for money overshadowed by terrible food,"nice, staff, great pool, value for money if you self catering but some of the worst food i have been offered whilst travelling. Attempts at both ""international"" and local cuisine were very bad. I eat anything and everything and am not a fussy eater, but i refused to eat one of the dinners. my wife has never seen this before!",Lodge,Essaouira
 July 2017,5,Amazing!,An incredible place to stay Lovely villa Free taxi to and from the town Helpful and friendly staff Pictures give Essaouira Lodge no justice Rooms are cleaned everyday Pool is cleaned everyday Breakfast was okay,Lodge,Essaouira
 April 2017,5,A good find,Well worth staying here. Away from the very windy coast with a great free shuttle bus service. Good for solo travellers as well as groups. Highly recommend the onsite hamman. Would love to return one day.,Lodge,Essaouira
 August 2017,4,Fantastic Stay at lovely hotel,"We are a family of four and stayed here for 4 nights in August. The hotel itself is situated about 15kms from Essaouira down an offroad track. There is an excellent shuttle service provided free of charge by the hotel to and from the town. This really is a very good service as without this you would be a bit stuck if you didn't have your own transport. It's also worth knowing that although only 15kms inland from Essaouira it is much hotter at the hotel. Essaouira was high 20's with a cooling see breeze whereas it was high 30's at the hotel with a hot wind. The hotel comprises a number of different types of accommodation, spaciously set out and with lovely gardens. We had a 2 room apartment which was plenty big enough for the 4 of us and had its own terrace and garden. The pool…",Lodge,Essaouira
 August 2017,5,Top top top,"Wonderful ... Amazing place, amazing team! I really spent a beautiful week in this site, my friend and I truly enjoyed this beautiful quiet place. Thanks a lot to Antoine, who received us with his mates.",Lodge,Essaouira
 August 2017,5,Great Family Stay,"We are a family of 2 adults and 3 children aged 4, 13 and 15 and we stayed for a week in a 2 bedroom apartment. It was a very relaxing stay and the spacious apartment was great. The two bedrooms were very comfortable with the lounge area being relaxing too. The kitchen area could be better equipped and we had to borrow a couple of things from the lodge kitchen when we cooked in the apartment. The air conditioning was brilliant and kept us nice and cool. The pool was also very relaxing and the hammam was lovely. It was great having the mini bus which took us to the shopping centre and the medina as and when we needed to go. There were set times when the bus would go to the different locations but this was very frequent and was like having your own private transfer. A great…",Lodge,Essaouira
 August 2017,5,Peaceful Nest,"We shared a villa with my family and it felt like a family house with the service of an hotel with a great typical breakfast. The staff was very friendly and the free shuttle to Essaouira very practical. We had dinner twice at the restaurant next to the swimming pool and the food, as well as the cocktails, were delicious. I would definitely recommend that place to any family or group of friends.Take me back!!!",Lodge,Essaouira
 July 2017,5,Little piece of heaven,Without a doubt one of the nicest places we've stayed. Lovely peaceful oasis perfect get away from it all. Felt at home from the moment we arrived very friendly staff everyone taking the time say say bonjour from reception right down to cleaning staff and gardeners. Special mention to the excellent bar staff nothing was too much trouble. Visited essaouira via free shuttle bus interesting port with lots of quirky restaurants serving fantastic food.,Lodge,Essaouira
 August 2017,5,Great place for relaxing,"As we travelled with children(5,7 years) we looked for a place where we can rest and relax and start exploring the surrounding. And this is the perfect place. It is some 14 km away from Essaouira and located in the ""wilderness"". So use the free taxi to the city or get an rental car. The more than friendly stuff (really, everyone was so gentle that it just felt good being there) arranged a new Dacia for 35 Euros per day. Perfect fit. If you want to do horse riding or whatever they help you to arrange. The pool is great for relaxing and playing with the kids. Another kid had a small accident and again the friendly staff helped out with everything needed. We had a two bedroom appartment with a nice living room and a teracce. Maybe it could need some new painting, but this is not…",Lodge,Essaouira
 July 2017,4,Private Pool Villa & Some Practical Info,"This review is in two parts. One is about the 3 Bed Private Pool Villa and the second shares some practical points for an enhanced/informed stay. Overall we had a wonderful stay and an experience clearly shared by many other visitors having stayed here. The staff are very helpful and do answer queries online in advance of your stay. A. Practical Points: 1. If you have mobility issues, this might not be the best place for you. The loose pebble paving made it very hard for my Mum to get up to the villa. The minibus had no step so we had to lift her in and out. The Pool House & Restaurant was also hard to get around. We have suggested that they look into this, so perhaps worth checking with the hotel if they have made any changes before looking to book. 2. It is quite literally…",Lodge,Essaouira
 July 2017,4,Nice lodge,"We stayed three nights at the lodge in a suite, which is basically a two bedroom apartment. The hotel and pool area are nicely designed and decorated. The staff is friendly and beyond. A few remarks which keep me from giving 5*: - the free towels around the pool are a bit worn down. New towels would be nice and give it some more cachet. - a watercooker would be nice in the apartments - decent and newer cooking wear would also be nice. Pans were deformed so cooking on electric stove takes a long time - two unit Airco's would be more esthetic but the single unit also got the job fairly done. All in all I would certainly recommend this place.",Lodge,Essaouira
 June 2017,4,Lovely Staff,We stayed here for about two weeks and had a good time. I am giving four stars because the staff are so nice but if it was based on the accommodation alone it would be three stars We did have problems with our accommodation when we arrived with a leaking toilet and a shower that did not work properly but when we asked to be moved we were moved to much better accommodation Overall we enjoyed our stay here and would definitely recommend it to others and is very good value. Not sure though why they do not offer small food items from a menu for people who like to stay pool-side instead you have to pay for large meals (which are good) but are not good value when compared to eating out. While there I did not see a lot of people eating in the restaurant which may have meant a lot of…,Lodge,Essaouira
 May 2017,5,Great family getaway,Beautiful natural setting. The staff were very helpful and welcoming. Great place for rest and relaxation. We ate dinner there the first nice and the selection was good. Nice pool surrounded by shady areas to sit and relax. Hope to return again.,Lodge,Essaouira
 June 2017,5,A beautiful retreat outside Essaouira,"We chose the Essaouira Lodge quite by chance for our four night stay. We weren't certain whether to stay in the town or outside, and are very glad we chose such a beautiful location situated in the middle of argan trees a few miles from the town in the middle of the countryside. We were upgraded when we arrived, and had a lovely apartment with its own private, large roof terrace and sitting room as well as a kitchenette (had we wanted to use it) and bedroom and bathroom. The staff were delightful (it seems unkind to mention only several by name, as they were ALL so helpful and kind!), and could not do enough for us. The houses are arranged in the extensive grounds, and the gardens in the complex beautiful and incredibly well kept, giving it an uncrowded and leisurely feel.…",Lodge,Essaouira
 June 2017,5,Another bubble of bliss & relaxation! 💕,"We found Essaouria Lodge by accident! Oh my goodness! It was the most relaxing and wonderful holiday. We were lucky to have 11 nights here and it was perfection from arrival to departure. The setting is beautiful, all natural stone and a real taste of Morocco rather than a facade where you could be any where in the world. Our suite was spacious and had amazing views. It was kept immaculately whilst we were there. The pool area was luxury, beds, towels provided and was never over crowded. Pool is heated to the necessary temperature not to suffer the initial jump in! The staff there are just so lovely. We weren't demanding but nothing was to much trouble - bear in mind as well that it was Ramadan and 44 degrees! You would never have known!!! Imagine going to a hotel and…",Lodge,Essaouira
 April 2017,5,Relaxing stay,"What a lovely place to stay, peaceful and quiet up in the hills above essaouira. Courtesy bus to take you into the town where there is a small medina. The fish market was fantastic giving a glimpse into the real lives of the local people. We had a camel ride along the beach & quad bike ride in the sand dunes both were great fun and if you barter great value for money. Would love to go back to essaouira one day",Lodge,Essaouira
 April 2017,5,Very nice and green retreat!,"Lovely garden, really nice food, a great option to stay outside of the city in the green. It is literally 15' away in a easy ride, so we did not suffer from not being in the city at all. The place is very well maintained with beautiful gardens, we ended up having dinner at the restaurant every 3 evenings of our stay as the food was really good (though a bit pricey compared to other options in Essaouira). Service was also very friendly and responsive. We stayed in a 3-bedroom villa with our 2 kids, and although you have everything you need, this is closer to a self catering place than a real hotel feeling (only shower gel and shampoo, no other amenities, no extra towels for the private swimming pool). The villas are also not greatly maintained (showers were pretty old and rusty…",Lodge,Essaouira
 April 2017,4,Good location,Set inland it is much less windy here than in Essaouira itself. The staff are very helpful and the free shuttle in and out of Essaouira is great. Accommodation of a good standard and the hammam was excellent.,Lodge,Essaouira
 April 2017,5,Holiday to Remember,"It took me ages to book a place that ticked most of the boxes....and guess what I did! Essaouira lodge is beautiful array of buildings set in the National Park..so away from the medina and beach. A free bus shuttle lets you visit the beach and medina (only 15mins drive) whenever you wish. This great as you can return for a quiet and restful sleep ready for the next days activities! ALL the staff are extremely welcoming and friendly. The is a huge variety of dishes to select from the buffet petite dejeuner, le dejeuner and le diner. We enjoyed every meal😀 The pool is the 'piece de resistance', my nine and 14 year olds were in there daily as we hit 29°C every day we were there! We stayed in a beautiful two bedroom apartment with a lounge, kitchenette and private garden. Rooms…",Lodge,Essaouira
 March 2017,5,Wonderfull place with very friendly and helpful staff,We were a big group of friends with many children staying together at Essaouira Lodge and we had a great experience. This was our second stay and it's consistently good. The villas are great with lots of garden space to play in. The rooms and salon/kitchen are very spacious and clean. All the staff did everything they could to make our stay comfortable. Always smiling and happy to help. The food in the restaurant is great. Lots of different salads and hot dishes. Something for everyone's taste. There is a shuttle that'll take you to Essaouira and back when ever it's requested. We'll be looking forward to staying at Essaouira Lodge again.,Lodge,Essaouira
 March 2017,5,Lovely place to stay,We had 2 apartments for 4 nights. This is a beautiful place with lovely accommodation. All staff were extremely helpful and friendly. They arranged for our transfer from and back to the airport for us which was brilliant and they were happy to 'ferry' us down into the town and back whenever we needed to. Really happy to recommend.,Lodge,Essaouira
 March 2017,4,Wonderful place:),"We were very happy with our stay at Essouira Lodge. First of all, the free shuttle to the city is amazing! I was very happy that we didnt stay indside the city. It was much colder and windyer there and we would have missed out on alle the peaceful country beauty. If you dont stay here, make sure that they have e free shuttle where you stay! It would have been a bummer to pay a taxi every day back and forward. Essouira is a very charming, nice town with a beautiful beach, great shopping and many good restaurants and cafes.... we were there every day for a visit, but we also really enjoyed having half days by the pool or on the terrase of our room, just relaxing, listening to the birds and the donkey :) For us the combination of staying a bit outside the city, but with a free…",Lodge,Essaouira
 February 2017,3,Accommodation and food doesn't live up to the setting,"Although the pool and setting of this hotel is beautiful, we were disappointed with the room - 2 bed appt with kitchenette - which was dark and badly lit and badly finished so the shower flooded the bathroom and kitchenette was pretty basic. We expected more for the price and the impression on arrival/online. The food in the restaurant was also very average/bit rubbish and we chose only to eat there once as a result...same menu every day. On the up side, the shuttle into town is brilliant and the staff were pleasant.the kids loved the pool and we found it very relaxing few days. Next time we would probably stay in town and use pool facilities at a hotel for the day only, or pay a little more for a hotel with better facilities.",Lodge,Essaouira
 February 2017,5,A wonderful team in an delightful rural riad.,"I have just come back from a week at Essaouira Lodge with my son. It really is a fantastic place, in a rural location outside the town. The staff were all so kind and helpful, particularly to my son. He danced for joy while he was there! We typically spent the morning around the pool and then went to Essaouira to visit the Medina and the beach, with transport provided to ferry us back and forth. The food and apartment were excellent and the gardens immaculate. We hope to visit again.",Lodge,Essaouira
 December 2016,5,A slice of paradise,"At first I was a little reluctant to book here, since I'd always stayed at traditional madina riads. However my friend wanted to stay somewhere with a pool. On arrival the Essaouira Lodge shuttle bus picked us up from the bus station and took us up into a wilderness about 20 minutes from central. What can I say? It was lovely, our one bedroom villa was kept immaculately clean and we had a balcony with a dining table. We wished we had more time to sit out there, but we stayed 3 nights only, and found ourselves mostly poolside or central. The pool and grounds are stunning, and the whole place still retains a Moroccan riad feel. The breakfast is probably the best I've had anywhere. So much choice and all very delicious, from freshly squeezed orange juice to the best hams, eggs,…",Lodge,Essaouira
 July 2016,5,Incredible Land Scape - Perfect for rest,"We went with 2 big groups last Year, we rent a big mansion and 2 apartments, we went with our personal Chef - all the Staff and even the Restaurant Staff help us a lot !! I LOVE THAT PLACE !! Really Fancy and in the perfect Country Side of Essaouira !!",Lodge,Essaouira
 December 2016,5,Paradise island,Essaouira lodge is located in a beautiful country side with amazing view durning the day and night. This place has the feel of a family run hotel and every one from the reception who was amazing to the chief that's food is a must! We stayed durning the NYE and the atmosphere and food was outstanding and reasonably price. The only improvement would be the internet or lack of but sometimes that seems a good thing these days to switch off.,Lodge,Essaouira
 December 2016,4,"Essaouira Lodge, Essaouira, Morocco","We spent a very nice 10 days in one of the apartments. The staff was always very helpful and charming. Breakfast was superb. The pool was lovely. I think that a regular hourly shuttle into the town would be an asset, as would some updating to the plumbing.",Lodge,Essaouira
 December 2016,5,A place to go back to,"Although quite a distance from town, this place is worth dropping the typical town hotels for. Spacious villas located in a beautiful garden. Tastefully designed to allow a maximum relaxing experience. Delicious food, cooked with pride and served in a splendid scenery. It feels like visiting a family after being away. True home away from home. Very convenient shuttle service will take you to town and back. Free wi-fi may need waiting for a day or so but works perfectly. Be prepared to pay in cash as the card terminal happens to be temperamental.",Lodge,Essaouira
 December 2016,5,Relaxing,I was travelling with three friends and we stayed in a two bedroom apartment for three nights. We arrived mid-afternoon and were picked up at the Supratours bus stop following an arrangement I'd made the day before. The lodge was particularly quiet even for low season but this allowed the stay to be very relaxing and peaceful following a busy three nights in the middle of Marrakech's medina. We were also able to use the shuttle bus almost as a private taxi service as there were few other guests. The kitchen facilities were very useful for making our own breakfast using ingredients we'd bought in Essaouira the night before and all the staff that we met were very friendly. The only negative was the slow wifi.,Lodge,Essaouira
 December 2016,5,Escape,"Away from the hustle and bustle of the medina, the lodge is a welcome break for those of us who prefer a bit of peace and quiet and a chance to de-stress after a day in the medina. Set in large, well kept grounds off the road to Essaouira, bird song and sparrows chattering is the most common disruption! In low season it was very quiet at the lodge, with hardly any other guests around to use the main pool. The lodge arranged my transfer from the airport to the hotel, which was welcome after the journey and waiting to get through customs. The friendly, jolly driver Saeed also took me into town and back many times in the week using the freely-provided shuttle service. On check-in Meryam informed me that I had been upgraded to a 'superior' apartment, which was nice. A small…",Lodge,Essaouira
 November 2016,5,Once again excellent,"3rd visit in a year and once again didn't disappoint, staff very friendly transport into essasouria always available and prompt pick up, highly recommended lovely relaxing hotel, will see you all again very soon",Lodge,Essaouira
 November 2016,4,Great value stay!,"We booked a 4 night stay in a super suite with terrance and view for some relaxation in the sun after spending 3 days in Marrakech. Due to our own fault we arrived after dark. The check-in was quick and we were shown to our suite with assistance to carry luggage. We were also issued with a small wifi box when I requested the wifi password. The wifi in resort is patchy hence the provision of the wifi booster box. I later found out that this wifi box also works when off site. The suite was quite spacious for two guests with a very comfortable double bed and two comfortable arm chairs for watching television. There were two cupboards in the bedroom, only one being open for guests to use. This had only shelving so no where to hang anything. The other cupboard with hanging…",Lodge,Essaouira
 November 2016,5,Winter sun,Lovely quiet hotel. Very very helpful and attentive staff. Stayed in a 3 bed villa with its own pool which was too cold to use. Fabulous villa lots of room. Hotel provides free transport to town. Only real problem with hotel was wifi was extremely poor. Will be returning,Lodge,Essaouira
 April 2016,5,Tranquil treat within easy reach of the beaches,"This is a place of rest and very, very friendly service. Staff went out of their way to assist, supply and suggest so that the atmosphere was that of partnership in creating a very good holiday. The accommodation is delightful and the hotel quiet. We will return soon I hope but we have already had our friends stay there at our recommendation. John and Doris Matthews",Lodge,Essaouira
 October 2016,5,If you want peace and quiet in a fabulous setting...,"...then this is the place, Big thank you to Mokhless, Djamel, Simohamed and the lovely Meryam for the warm welcome, great service and wonderful food. Shuttle to the town always available when needed, and nice clean spacious apartments.Will definitely come back in the future. Derek",Lodge,Essaouira
 October 2016,5,Its like Tuscany in Africa...Exquisite!,"I decided to celebrate my birthday in Morocco with a few friends. Essaouira was the second stop on the list. We took a bus over from Marrakech. Once we arrived,we were greeted promptly by the shuttle and taken for a scenic short ride to the lodge. There Miriam greeted us with a warm smile and information on what to do for the next few days. Our last night, we got in a little late and the restaurant was closing, but Thanks to Jamal, they made special arrangements and feed us one of the best meals we have had in Morocco and they surprised me with a delicious cake. I would recommend this place to everyone I know visiting.",Lodge,Essaouira
 September 2016,4,Beautiful and peaceful place to stay,Situated 20 minutes outside Essaouira in the countryside down a bumpy track is this oasis of calm and peace amid beautiful grounds. We stayed in an apartment with kitchen/sitting area/bedroom/bathroom/separate toilet and terrace. I could not fault the accommodation that was comfortable and cleaned daily. Air con would have been a bonus but we finally left the terrace door open to stay cool at night! Noisy neighbours below us one night that chose to have a blazing row was not not the Lodge's fault! Breakfast on the pool terrace daily was lovely and relaxing and the buffet lunch very tasty. Staff were very helpful and accommodating with any request made. Especially helpful were the bar/restaurant staff (yes alcohol is served here!) and the young lady on reception was great…,Lodge,Essaouira
 May 2016,5,Amazing place its a paradise on earth ....,"Very good food and very good staff .. The head keeper of restaurant (jamal ) the polyglot , helps us a lot the understand the Mesteriosity of ESSAWIRA LODGE ......try to go to organ fields ....fabulouse area....not far from the town ..around 20 mn drive ....",Lodge,Essaouira
 September 2016,2,Pool House Visit,"We booked a trip as non-residents for the day pick-up by hotels shuttle from Essaouria buffet lunch, use of pool for the day 150 MAD per person drop back to town etc - we stood at pick-up point for over an hour no show our hotel manageress called them they accused us of lying !? why would we waste half a day standing in 35 on a street no shade ?! we let it pass rebooked for following day they turned-up this time got into people carrier there was 3 guys in the front + us 3 + 1 guy sitting in the boot they then stopped and picked up 4 girls = 11 people in a 7 seater ! there wasnt enough seat belts for everybody or comfortable room on shared seats , we enjoyed the day at the lodge it was pleasant in beautiful settings but the grounds could do with a tidy-up a lot of stuff lying…",Lodge,Essaouira
 September 2016,5,We wanted peace and to do nothing....perfect,"Lovely staff, 15 mins our of town, great breakfast and dinner. We stayed in a suite with terrace. Lovely, clean and just so relaxing. Free shuttle bus to town but we spent two dates just walking, lying by the stunning pool and thoroughly switching off. Incredible value and we would love to return with family and stay in one of their stunning villas.",Lodge,Essaouira
 September 2016,5,Amazing,"We are currently staying here now and wish we knew about this place sooner! The scenery is beautiful, the rooms are huge, and the staff (especially Miriam) has been amazing. We are already wanting to come back with our families next year!!",Lodge,Essaouira
 August 2016,5,Marvellous place !!!,"Fantastic lodge in the middle of a thuya forest. Nice and friendly staff. Large swimming pool near the bar. Well equiped house with garden. The Free shuttle service makes our stay easier. I wish to come back soon, I recommend it.",Lodge,Essaouira
 July 2016,3,"A nice clean, quiet hotel but with a few problems","We stayed in this hotel July 21-29, 2016. We booked a 2BDR home on the suggestion of a staff via email and a second bed to be added to the living room. The second bed never arrived after numerous requests to the staff at the reception and we ended up finally booking the suite above the house instead but had to incur significant additional cost. Had I been aware of the layout of the home and that an additional bed was not available I would have booked a different option at the outset. The booking.com website says that the hotel is air conditioned it is NOT. I asked repeatedly at the front desk reception for a fan but did not receive one until I arrived in my sweaty pyjamas at 10:30 at night. The breakfast area is a den of wasps. The staff told me 'not to worry' when I…",Lodge,Essaouira
 March 2016,5,Return visit,"Having visited in November 2015 with friends for 2 weeks we returned with family in June, we once again had a fantastic time, staff amazing as always, see you guys again in November as we have just booked again for a week",Lodge,Essaouira
 July 2016,4,Peaceful location,I spent my last day here before the flight home at 7pm. I got a free lift from just outside the Medina to take me to the hotel. I then spent a hours hours by the pool and had a really excellent buffet lunch and a lift back to the Medina later in the afternoon. All for just 150 dirham. An absolute bargain. After the hustle and bustle of downtown it was so nice to have some quite time at this hotel with a lovely pool and pretty gardens. The staff were extremely attentive. The food was excellent. It was all freshly made. I was the only one there!! Every dish was good. I can't comment on the rooms but from what I experienced I recommend this place.,Lodge,Essaouira
 July 2016,5,Exactly what we wanted,"Visited here at the beginning of July. Booked direct on line without problems. Taxi (booked via Lodge) was waiting at the airport and took us directly there. Our room was lovely and as described on website. The pool area was so relaxing and staff were very attentive. The courtesy transport took us into Essaouira virtually anytime we requested and we either arranged our return pick up time there and then or called the hotel when we were ready to return. We were so pleased to be away from the sea front as it was very windy and cool. Breakfast was lovely especially the first few days when it was waiter service, the last few days it changed to a buffet and although it was the same selection personally we prefer waiter service. We ate lunch once and dinner once also, it was lovely…",Lodge,Essaouira
 March 2016,5,Vacation,"We , all 10 of us ! had such a lovely time in the large villa with private pool. We had a hearth fire prepared for us every evening, incredibly friendly service. The buffet lunches were delicious , fresh, healthy and local produce. Beautiful villa and gardens. Can't wait to go back !",Lodge,Essaouira
 May 2016,4,comfortable and quiet,"The Lodge is a 15/20 minutes drive from Essaouira, in the countryside, away from the wind... It is very comfortable and quiet. We had booked a huge 3BR villa with its own pool and we loved it. Everybody at the Lodge is super friendly and is trying hard to make your stay as comfortable as possible. We were greeted by Karl who made us feel at home in a fraction of a second and took great care of us! We even had dinner together at Beach and Friends ( super cool beach restaurant in Essaouira) and had a wonderful time. The Lodge is a nice ""oasis"" with friendly and relaxed people. The food by the huge hotel (heated) pool is simple and good, service is impeccable. We'll be back.",Lodge,Essaouira
 April 2016,5,Great Stay!!,"In April we visited Essouira lodge; what a great stay we had..! The lodge was terrific; large comfortable rooms, lovely pool and very tasteful decorated. Overall it is was luxury, but not to expensive. Furthermore the service was good; nice people and very helpful (shuttle to Essouira!) We can highly recommend this place. Cheers Hendrik",Lodge,Essaouira
