 August 2022,4,Good choice,Sofitel is our favorite hotel to stay in Essaouira. We love that it is away from the city in yet still close. The grounds are breathtaking. You can get rooms with views on the Atlantic. However Corona has left the hotel in a bad shape. We heard there are new owners so looking forward to the new changes. The pool has no pool tiles and they are quite sharp. My kid had a bad cut from those tiles,hotelName,city
 April 2017,3,"Nice enough, but overpriced poor food spoilt it.","We stayed in a villa with its own pool, which was nice enough, but the ""kitchen"" wasn't actually functional, with no heat source and no cutlery or crockery, so a bit pointless. The food was ridiculously expensive - 3 people for breakfast? That's be £75. What? A meal in the bar was also stupidly expensive and terrible - deep fried stuff from the freezer. Awful. We drove each day into the town, parking with the help of the locals (2 euros and they take your car away all day, delivering it back like a miracle when you walk back out of the pedestrianised medina), then ate a much better breakfast for £5 a head in the characterful medina. Fun and better, but really irritating to be forced out of our expensive hotel to avoid being ripped off for poor food at high prices. Be warned!",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 December 2017,5,A Winter Oasis,"This is the first time we have never left a hotel complex for a whole week! Beautiful hotel. We were greeted by El Mehdi ... who personally greeted us by name and made us feel so special for our entire stay. Our bedroom on the 4th floor had fantastic views across the pool and golf course to the sea and sunsets. Great layout and excellent efficient maid service. Although we had halfboard booked for 4 nights we actually used it for 6 nights. Great variety ... any amount of oysters on 3 of the nights. Wok, Pizza, Tagine stations. Large salad bar. Soup. Fresh fish and meat cooked to order ... thank you Elias!!! Lovely selection of desserts too. We are foodies ... and we were delighted with choices. Courtesy bus to take you to The Medina in Essouira ... a must visit to soak up the…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 November 2017,5,Best Hotel EVER,"This is the hotel that dreams are made of. The accommodations defy describing. The service and food were perfect. The atmosphere is really really special. The proximity to the town of Essaouria was great. At first I was a little disappointed not to be in the middle of the city, but after staying at the resort, I LOVED the location. We can't wait to go back!",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 November 2017,4,Will come back!,Great location and hotel. Don't expect European 5-Star Resort. Staff friendly and doing well with a little more attention to guests desirable. And leave mobile phones in the pocket:). Food average. If you like watersport and golf I suggest this hotel for a more luxurious feel.,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 November 2017,4,Beautiful resort,"This is our 4th visit to this wonderful hotel - We appreciated the Mogador villa upgrade as well as the free breakfast offered related to our last stay's complaints in the summer - Loved the peaceful nature of the resort, great place to relax - Liked the Mogador island and sea views from the villa - We loved the beautiful gardens and landscape of the hotel - Breakfast and dinner buffet were very good - A special thanks to Khadija from Kasbah restaurant, as well as the butlers Hakima and Aziz who were very helpful and answered all our requests in general, there's a lack of attention to details that causes issues, for example: - The ventilation didn't work in the guest toilet - Some bed sheets had holes in them - In the kids bedroom closet, the lower part the wall was uncovered…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 November 2017,5,"""A Morocon Star""","We had wanted to visit Essaouira for some time and had seen a great winter break deal for this hotel so took the plunge and booked a week in November. I am so glad we did and are very happy to report that this is a fantastic hotel and an excellent base to explore the many activities that this jewel of Morroco has to offer. The hotel is exquisitely designed with attention to detail everywhere you look, we stayed in a ""Luxury premium room"" with views over the golf course and ocean . We stayed on half board and were blown away by the quality and diversity of the food on offer with staff being both attentive and friendly. An excellent spa and fitness gymnasium is available and bicycles can be hired for 100 dirhams a day which is a good way to explore the hotel grounds and golf…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2017,5,A return to peace and tranquility,"We last visited this lovely hotel a couple of years ago and were so pleased with the whole trip that we just had to return. We'd planned the trip to coincide with my wife's birthday, in mid-October, and as we'd previously been in July we weren't sure what to expect with weather, but we needn't have worried as the temps rarely dropped below mid-20's during the day. Due to the time of year, and the fact that we were there a week before half term, the hotel was pleasantly quiet, although every evening saw the restaurant full. Unsurprising really because the food is continuously varied and excellent. Some of the tagine dishes were just out of this world, so much so that I got the head chef to give me a cooking lesson one afternoon, and have brought some great ideas back to our…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 November 2017,1,Certainly not 5 star!,"I am staying here right now and quite disappointed about a few things and unfortunately it's all those bad things that cancel out the good. So here it goes: 1. Toilet door is a frosted door with a kind of handle outside and nothing on the inside, so you have to use your finger to pull it in, annoying, 2. No tea or coffee facilities in the room! I feel this is standard for all hotels to have this facility 3. No tables in the room just these tree trunks which are damn heavy to move 4. On the very first day room service made our room by the time we had our breakfast, so when we came back it was a nice surprise. Also in the evening we had turn down service. Since then they have come to the room after 1pm and we haven't had turn down service since 4. Shower was odd to use and no…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 December 2016,5,Luxury !,"This hotel in one word is described as luxury. Yes you pay for it, but yes you do get it. I paid $300 for a beach and pool view suite. The staff is super helpful. They have bikes you can take down to the massive beautiful golf course. It's awesome !",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 November 2017,4,Luxurious but a bit old,"The best 5 stars hotel is Essaouira. Luxurious and chic to Sofitel standard. But the room is a bit old, stingy and need to be renovate to be perfect, now it's like upcountry Sofitel's room. The pool is gorgeous and the golf course is excellent, very close to nature.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2017,4,Style over practicality,"All in all this is a nice hotel with pleasant helpful (mostly, see below) staff, big rooms, nice grounds - and the hourly, on the hour, free shuttle bus into town is great (it comes back every hour on the 1/2 hour) and drops you very close to the southern gate into the medina, the Bab Sbaa. The room was a decent size, but NO shelves or table tops on which to put things apart from 2 little ""tree stumps"" and a very narrow shelf which ran along back of the bed. Strangely there was a huge blue tiled step-in bath in the room so I ended up putting toiletries, camera etc.etc. on it's rim and even in the bath! Would seem to make more sense to get rid of this bath and replace it with a desk or chest/dressing table. There is also a big area with wardrobes/shelves - but this has no…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2017,5,Super hotel,"I have just got back from a week at the hotel. I found the staff brilliant. So helpful with nothing too much trouble. Although the rooms are a bit tired, we had a super room looking over the golf course and out to the sea. We were entertained with the most amazing sunset on the 2nd day. The food is very good in the main restaurant, with plenty of choice. In the rooms there is a massive bath, walk in shower. We had to ask for a hairdryer but no problem getting one. Fortunately we took a kettle as they are not provided in the rooms. There is a small fridge which was very useful following our trip to Carrefour supermarket for wine, gin, tonic and most importantly, milk for my tea!! There is a long walk to the beach, via the golf course. Enjoyable walk which takes you to a…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 March 2017,5,Incredible views and service in a luxurious hotel,"About 40 classmates and I visited Essaouira and spent two nights here. The facilities were incredible, from the excellent meals prepared to the multiple outdoor pools. Regardless of the size of your group, the hotel offers enough places and a large enough grounds for you to find a place to hang out. The staff was also very helpful in ensuring our accommodations. The hotel is a short drive to other venues as well, my personal favorite being the ATV rental by the beach. Essaouira is a beautiful city and this Sofitel lives up to the same standard. Note: my pictures barely capture a quarter of the hotel, as the place is massive. It has a spa, a couple restaurants, bar, coffee shop, even a nightclub next door that we frequented.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2017,5,Luxurious hotel; Beautiful rooms; Lovely Golf course; Expensive food,"Stayed for a week in this hotel in October 2017. Very stylish rooms with loads of space and lovely views. The premier rooms on the upper floors in the main hotel have great sunset views, but the garden rooms are well appointed too and there are plenty of places to watch the sunset. Food in the various restaurants is good, not great but very expensive in comparison to restaurants in the main town (10 minutes drive away). The attached golf course is well maintained and on calm days relatively easy to play. On windy days a real challenge. Greenfees are about 20% higher than in Agadir.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2017,3,Top location with endless possibilities but with real issues!,"First of all, I would like the emphasize that almost all staff is extremely friendly and that this warm hospitality makes you feel at home. The hotel is very beautiful, although it needs some maintenance, as it’s located close to the sea separated by dunes and golf courts. There are two experiences we would like to share as they were in absolute contrast with the rest. When we arrived at the hotel we handed over our two vouchers from the travel agent. One voucher for a room with two adults, the other voucher for a room with three adults (both for three nights). Check in took quite long, when they handed over our room keys we were happily surprised that we received three rooms (two doubles and one single). The following day, late afternoon, hotel staff came to visit one of our…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2017,5,"Amazing staff, beautiful location",I am currently staying at the resort and felt compelled to write this review. I can in no way fault any member of staff here. The service truly exceeds 5*. Every member of staff has been exceptional and a very Special thank you to Fatima Zahra (reception) for showing so much compassion and opening the kids club earlier than it was supposed to. I have never experienced such a high standard of customer service in any hotel. We have not even left yet and can’t wait to come back. A huge thank you to everyone here!,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2017,5,Good Venue for a weekend away,"This is a full service resort and gives you lots of options. It is a perfect place to hang out during the day and explore the beach, golf or lounge and then use the available shuttle for trips into town for dinner. The architecture is different but eventually grows on you - ""flying pigs!"" The staff are helpful and as usual ask a couple different people for directions to the beach. It can be confusing. But worth the effort.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2017,3,Feel Disappointed for a luxury hotel,"The friendly staff and the arrival in the lobby gave us a great impression at first. Even more excited when we walked in to the room with a beautiful view and a private terrace. But soon we were disappointed about the cleanliness of the room with a strong smell of humidity. We managed to get another room personally bit head of housekeeping but again when you look in details there are lot of scratches on the floor and the wall, Lamps were not working and the door handle broke shortly after we arrived. I think they have done their best to solve our request however I'm convinced that the rooms need definitely more maintenance and a deep clean. On a positive note the breakfast will make you feel like a sultan with various and delicious options. We had dinner in the Kasbah buffet…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2017,4,"Good food and views but isolated, no evening entertainment and expensive drinks","In a dry and dusty landscape the hotel an island green: gardens and a traditional links-style Gary Player Palmer designed golf course. The hotel is over 5km (3 miles) from the Essaouira harbor, you can walk into town via the golf course, dunes and beach or take advantage of the free shuttle bus which runs approximately every half hour through the day, The hotel itself is smart and modern with interesting bits of art scattered around and three swimming pools: the main pool is described as heated (I suspect only by the sun shining on it), a ""biological"" pool complete with water flowing into it from a flower bed and the third is in the Spa area. The pools have plenty of sun beds and towels available and the main pool has a bar and cafe with staff that will server you as you…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2017,4,A perfect stay,"We had a perfect stay in one of the villa's Mogador. Two adults and two children had enough place to do what they wanted to do, swimming, relaxing outdoor or indoor. The butler service is good.We liked the possibilities to be active, golf, swimming and the possibility to do outdoor activities like riding a Quad or a camel. Relaxing in the Hammam and wellness centre was good as well.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2017,2,Supermodel Face.....80 year old body!,"We were excited about staying at this resort, but it was a major disappointment. The property itself is striking, with the golf course, and outdoor pools and the lobby areas....but that’s as good as it gets. Hotel is dirty, not being kept up....windows are dirty, door and equipment broken at the gym. Our two rooms were dirty, marks and damaged walls not repaired, several lamps did not work. Broken vents in hallways and rooms not being fixed. We had bugs in our room. There was no coffee machine or teapot in the room. The rooms did have a nice balcony overlooking the natural pool but that was the only highlight. Staff were slow and not well trained. We had much trouble at checkin and checkout. Fortunately we had a guide who was able to resolve things in Arabic. …",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2017,5,Fabulous resort,"We had a nice stay at Sofitel Essaouira Mogador, impressed by the kindness of the staff who make you feel comfortable straight from check-in operations. The hotel offers great amenities and 2 large pools (the main one could be a little bit more heated due to the wind) but this is not a big deal ! Special mention to the restaurant crew who're hard workers with nice attitude. The Kids Club (villa des enfants) has been amazing for our kids who loved all their activities there supervised by a great team, again. Overall, we had a super nice stay, the golf is truly a good one. I do recommend this resort, for a quality family time coupled with a good daily life ""disconnection"". 👍",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2017,5,"Superb staff, wonderful hotel","The Sofitel is stunning on arrival, with a very impressive and trendy reception area. The reception staff member on my check-in was fantastic, one of the most delightful and professional individuals I have ever had the pleasure to meet. The room I was allocated was fantastic, with an absolutely stunning view. The bed was huge, and it really dominates the room, as such there is not as much space in the room as I would like. The smooth concrete finish does mean it is easy to scratch by moving furniture, so there are some areas that need touching up. The open shower area is great. Breakfast and the buffet dinner were superb, many choices for every palette and the staff were always on top of their game. The pool area is very nice, although it does get windy! There is a free…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2017,2,Unforgivably Bad Experience,"This was our third visit as usually we love the place. Yes some of the rooms and corridors, walk ways are in need of redoing. The main Hotel Common Areas are still stunning and the staff friendly and helpful. Unfortunately my husband had food poisoning and was very ill for 3 days even on days 4/5 he was delicate. I requested a doctor but was told he would have to take a taxi into Essaouira, not possible in his condition !! Important to note we had only eaten in the Hotel and followed all the rules i.e. Bottled water ect. He is has no allergies and usually has a strong stomach. Our main problem is the Director (General Manager) would not meet with my husband to discuss this problem. He sent Fatima in his place who promised our upgrade of approx. £250 would be taken off the…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2017,5,Still Very Goood,"I love to come here in order to disconnect. The rooms are excellent especially if you can take the 420-421 (you have to pay more for upgrade). The bed is excellent, we ate in the restaurant and the room service. both are good. the 2 swimming pools are good although i prefer the eco pool. the staff is nice especially the director Karim.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2017,4,Rooms need redecorating,"The hotel itself was beautiful and the staff are very amenable, although quite slow. The rooms are in desperate need of renovation, or at least the floors need making good. The first room we were shown to was shabby to say the least with the painted floor very marked and peeling and the bathroom stained. We asked for a different room, but this was the same but with the addition of a damp musty smell. We opted for the first room as at least it smelled ok. Over the course of the week we grew to overlook the floor and bathroom and learnt to love it. The bed was exceptionally comfortable and the patio was a real sun trap with a very comfy day bed to lounge upon, sheltered slightly from the wind(which is constant making the 30degree heat very bearable). It was a shame there was no…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2017,3,Faded modern glory,"Although the staff are very pleasant, the rooms are in dire need of renovation. Apparently all the rooms are the same (according to the reception), with only the view providing the difference. The doors to the bathroom didn't close, the small domestic fridge acting as a mini bar didn't work, an extrodinary design for bathroom itself and fittings that are a throwback to the 1970's. Finally, small details like no glasses or coat hangers in the room didn't add to the experience.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2017,4,Very relaxing - 3rd visit,To put this review into perspective this was our third visit to this hotel. The first visit was for our honeymoon in 2013 - we loved the hotel so much we visited again the following year in 2014. On both occasions we were impressed with the running of the hotel. There were some negative reviews at the time on trip advisor which we disregarded based on the more positive reviews that featured. I would certainly visit the hotel again but I might be more mindful when booking again at looking at the price. The breakfast was great and there was a fantastic range of delicious food to choose from. If you would like an espresso you do need to explain that you would like a shot of coffee otherwise you end up getting a mug of black coffee. The pool area was the same as 2013 & 2014 -…,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2017,5,Beautiful and Tranquil Hotel,"This is our 2nd time at the hotel and everything was perfect for our 2 night break. The rooms are modern and stunning, both the pools are calm and peaceful and the hotel grounds itself are beautiful. The hotel is ideally situated just a 7 minute drive from the medina. Its a 15-20 minute walk through the golf to the beach. Would highly recommend checking the beach out. The service is one of the best that we have experienced, whether it be by the pool, at breakfast, at the reception or room service. They are extremely helpful and well trained with a smile on their face. I would recommend one of the rooms on the 2nd floor as the view of the golf course and the sea is mesmerizing. Even the balconies are very well furnished. Looking forward to our next visit!",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2017,4,good place,"The overall satay was very good, we had a nice weather. The walk through the beach is amazing, the site and venue are just outstanding. The kindness of the staff at the restaurants, pool, and bar was amazing, specially mustapha Rehani. The room cleaning was not that neat, as some glasses were dirty for the 3 days we stayed there, the toilet and sink were clogged. Breakfast buffet was perfect, can not say the same about dinner. lunch at the pool was excellent",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2017,4,"Super Hotel, lovely spa","We used the hotel throughout our week in Aug 2017 as a ""supporting act"" to our villa which is affiliated. The spa was lovely, my 14 year old son and his friend loved the gym, and Rachid in the pool bar was excellent. He reserved kabanas for us, brought us everything we needed and all the supporting staff were so helpful. Generally the food is OK, I think away from Marrakesh or Casablanca it is difficult to get truly good international cuisine, and Moroccan food isn't a big hit for my family so I cannot criticise the hotel for that. The views and the sunset are truly spectacular and the wind, sometimes really strong, took the edge off the heat. Highly recommend the hotel t stay if you want to spend time in Essaouira",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2016,5,Great Hotel,"One of our favorite resort destinations! Gorgeous location, great service, nice room... relaxing, pretty, luxurious. We very much enjoyed our stay!!! Highly recommendable. One of our favorite hotels from our trip to Moroccol",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 July 2017,5,A Slice of Paradise,"I stayed here with my husband and 8 year old son. It was the perfect week. I have stayed in many luxury hotels all over the world but this one was exceptional. What is often present in luxury hotels is beautiful surroundings but not much sense of hospitality. This hotel had both beauty and hospitality in abundance. The staff are really what made it special. There was always a smile, attentiveness to detail, pleasant and informative conversations and discretion where necessary. The staff were very professional and dealt with any requests efficiently and without fuss. We were on a half board basis and the choice and quality was superb. There is a well stocked gym to burn off the extra calories that you might take on board ! The pools were very relaxing with no loud music or…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 June 2017,4,"Pleasant stay, great staff!","The hotel on first impression is luxurious, spacious and light. Our room was lovely, with views onto a garden. However it did smell of damp, but I do know that this can be a problem in Essaouira generally. The facility's are wonderful, from the gym, pools to the gardens. We also enjoyed a wonderful walk to the beach via the golf course. It was a treat to be one of three couples there! The staff I must say are excellent and go beyond the call of duty. The only down side for me was the food. There are many restaurants, but there are few vegetarian options. A waiter proudly told me that they were well used to catering for vegetarians, but when I looked at the menu, it came down to vegetable pizza or pasta with tomato sauce! However, I must say that on the one evening we eat…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 June 2017,2,Fat Sparrows rule - not ok!,"This was once a very nice hotel but I feel that it is already past its best even though it is only 5 years old. There is very little to do in the area except walk around the golf course. The beach is a trek and once there you have to climb over a very large sand dune, but enjoy the camel ride it is good value for money. The restaurant has sparrows flying through the room and I have noticed they also fly into the kitchen. Nobody seems to bother about this particularly the staff but birds contaminate the food. The salads in the evening are kept cool by a fan and I unfortunately along with my husband got food poisoning. There is no atmosphere and an expensive limited bar that you can use in the evening. How this hotel is five star I will never know!",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 July 2017,4,Nice villas,"Great villas, well furnished and very well equipped! The view and outdoor area are just perfect! The staff is very helpful but not that professional, you have to remind them again and again on what to do - their job! I'd surely go again, I think it's one of the best hotels in Essaouira",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 June 2017,3,5 * prices without the service or polish,"This hotel is in a stunning setting with beautiful gardens and spacious rooms. Generally has a very quiet and relaxed feel. As I have seen in other reviews this hotel is not 5* - certainly not to UK standards but believe me the prices you are charged are in line with a 5* restaurant in London. A bottle of water is £3.20 and you are advised not to drink tap. On arrival we were provided with two bottles of still water in the room. Despite the promise in the literature of your bed being turned down every evening this only happened on our 5th night - then two bottles of water were left for us. No consistency regarding cleaning of the rooms, for example we were left a face cloth on first day never again. Were provided with a sheet as well as duvet when we asked and Rashed at the…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 June 2017,1,Dont Go - Awful Food Hygiene,"Spent the last week here with my daughter. Along with other guests we became very ill with upset tummies after eating in the restaurant. The food hygeine is extremely poor. Lots of birds in the restaurant, landing and picking at the food while the staff stood by. Food uncovered and unchilled. Bird poo all over the restaurant. My daughter spent 5 days in bed and I started to feel unwell towards the end of the holiday and still feeling very poorly. I felt the restaurant staff were lazy, and more interested in breaking their fast at sundown than attending the guests. The exception was Rachid who worked by the pool. He was the only on who was attentive to guests needs. In addition we got there to find our room was directly below lots of building work which was so noisy. …",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 May 2017,5,Ultimate hospitality experience in a 'So Magnifique' setting!,"We travelled to this wonderful hotel for quite some times now and every time we love it more - moreover as there is A LOT to love:)! This hotel offers all attributes to enjoy your holiday to the maximum: beautiful airy rooms with great amenities and a VERY comfy bed (and ordered it as such at home as well:)), 2 wonderful pool areas, a variety of restaurants to choose from with high quality food. To compliment the latter wonderful spa facilities to further relax body and soul. In general from an 'overall perspective' we feel the hotel has grown these past few years as minor flaws in processes have been ironed out and efficiency has further increased. Besides this as we understand the direct accessibility of Essaouira and infrastructure to Mogador will further be enhanced as…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 December 2016,5,Dream vacations!,Absolutely fabulous hotel in a very quite area. We enjoyed the sunset from a large balcony overseeing the golf playground and the Atlantic ocean. The food was excellent both in the daily 'all you can eat' buffet and in the guests restaurant. The service was amazing. The hotel offers a lot of activities for adults and kids. Plus no more worries about transportation; an hourly shuttle to downtown is included. It was just fantastic! Essaouira in a peaceful,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 April 2017,5,Wonderful Resort Hotel,"We were quite surprised how good this Hotel really is as the photo's on line don't really do it justice. It is a full service Resort / Golf / Spa hotel, in a beautify location a little way out of Essaouira itself. Good pool, couple of good restaurants, good buffet or a la carte breakfast, nice ambience, beautiful rooms, with balconies and views, spectacular bathrooms and good service from the pool bar and restaurant to the a la carte Restaurant for supper. Everything is expensive, but all resorts are expensive and this place offers pretty good value. I would recommend this Hotel very highly if you are going through Essaouira...and you should go there as it is really pretty.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 May 2017,5,Lovely trip,Essaouira is always lovely to visit. The hotel was lovely and room was spacious and very clean. Disappointed with initial reception at the hotel but overall this did not impact on my trip. Hotel is well positioned and very quiet,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 April 2017,4,"Great room, decent value for money. Restaurant needs a brush-up.","Me and my girlfriend visited in April 2017. We got a great room, overlooking the golf courses and the sea. The room was big and had a fantastic bed. Pool, gym and spa facilities (Hamman as well) were great as well. We felt that the restaurants were overpriced and the breakfast left us longing for a bit higher quality and service. But a great stay all in all.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 March 2017,5,Wow!,"A last minute trip to find some sunshine, I cannot speak highly enough of this hotel which has exceeded my expectation on every level. I am fairly well travelled but have never received the kind of service and attention to detail that the staff offer here. I must say a very special thank you to Youssef, the Spa Manager who came to the rescue yesterday for a medical issue by sending out to the Pharmacy for some cream and also to Rachid who took amazing care of us by the pool. An incredible place!",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 December 2016,5,"Great staff, Great hotel","I have spent five days in Sofitel Essaouira during December 2016. The staff were amazing. They were very friendly, dedicated and I can easily say that I was treated like a prince during my stay. Food was great with many varieties, rooms were clean and comfortable. I enjoyed my morning exercises in the fitness club and in some days I jogged to the beach. I was on a business trip, even though I recommend this hotel for couples.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2016,4,5 days golf with friends with local flavor,"Dear visitor, marocco is part of africa , so do not expect german efficiency or italian flair. This is very correct 5 star hotel for local standard .But much better even are the weather , the super fantastic golf court , the breathtacking views and the friendlyness of the staff and the locals. There will always be some small topics , but this is part of the game . Our room and viaws were GREAT. The food was above expectation and the wine choice below... but who cares. We were a group of 10 and enjoyed every moment of our stay. Raf",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 January 2017,5,A fantastic stay,"Very comfortable bed, super nice and calm view. Free bus every hour to go and back central of town. Great breakfast. But for dinner Restaurant only have buffet, only room service can order some food, the fish was very good.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 December 2016,5,Gorgeous resort!,"We stayed at the Sofitel and had the best experience ever. We stayed in their gorgeous villas which include 2 bedrooms, 2 bathrooms and your own private pool. The villas are decorated in a very modern style, yet warm. The rooms were pristine, quiet with beautiful views of the ocean. We even had a small garden just to ourselves around the swimming pool. The service was attentive and impeccable. The hotel also had great restaurants where we had diner. A truly fantastic experience, highly recommended for couples or families. We will come back for sure!",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 May 2016,5,Holiday time with my daughter,"I decided to take a break with my daughter and booked a holiday with British Airways Holidays and this hotel was available. It was flight and board only however we didn't mind and we like to try out local restaurants rather than eating in hotels. The hotel is lovely, perfect quite location and the pool is overlooking the golfcourse and if you want to go to the beach you can walk or get a golf buggy ride to the private entrance. We enjoyed a lovely sunset walk and had the beach to ourselves apart from the gentleman wanting to take us on a ride with his camels. I was able to play some golf and actually get a golf lesson from the pro at the hotel who was lovely and gave me some great tips that have made my swing better; but I still have a long way to go. The only downside is…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 December 2016,5,Fantastic resort,"Fantastic service, grounds and staff. We return year after year to what we regard as the best hotel we have stayed in. Nothing is too much trouble and staff are extra kind to kids. A credit to the chain!",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 December 2016,5,Great golfing break,"Fantastic venue for a chilled game of golf. Staff are amazing and we felt really well looked after in fact they could not do enough for us. They recommended great restaurants in the town for evening meals even booking the venues and ordering transport. Whatever we wanted appeared - even before we knew we wanted it. Food in the hotel at breakfast was plentiful, top quality and delightfully served. Tried the ""Aromatic A La Carte"" and the food there was amazing. Room service was also top notch. Golf course is great - greens and fairways in good condition and the view from the 17th hole looking towards the sea was memorable to say the least. If the wallet permits it go for the Mogador Suite - plenty of space huge balcony and views that go beyond the wow factor. If EasyJet continue…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 November 2016,5,Perfect Stay....,"My partner and i visited Sofitel for the third time this year November 29th for 4 days- We return often because we love Essauoira but also to stay in the luxury of Sofitel and just relax for a few days out of the chaos of London. The rooms are spacious and the linen on the bed is 5*& the bath is massive . In the summer we had the delight of Rasheed taking care of our every need around the pool, even making sure a Dr came to tend to a small cut on my hand- but upon arrival this time we were disappointed to see the beautiful pools were empty and under renovation - the hotel Manager Karim dealt with our disappointment by giving us a 2 bedroom Villa with our own pool!! What an amazing experience and one that means we may never be able to stay in ""just a room again!"" The Villa…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 November 2016,5,Béatifié hotel,Hôtel on a beautiful golf course. The rooms are very comfortable. Ask for a room with à view on the golf course and the sea. Magnificient ! There are several restaurants. Essaouira city is only a few kms away and there is a shuttle bus. Personnel vert professional and nice,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2016,3,Needs a bit of TLC....,"I travelled to this hotel for a week in October for a fly and flop with my husband. We had been recommended the Sofitel by a couple who had been the year before and we managed to get a great deal with flights direct to Essaouira from Luton, and we were very much looking forward to our trip. The reception area is really well presented and kept well. However the rooms and main restaurants /pool area all seemed to need a large dose of TLC. The restaurant at breakfast was a bit of a free for all and items would run out regularly before the 10am cut off. Birds fly around in here leave their mess all over tables/chairs/light fittings etc and doesn't seem to be regularly cleaned off). The food was good and Most of the staff, who all work very hard (they seem to be there all day…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2016,1,Huge disappointment,"The hotel itself is well designed and set in a beautiful and scenic environment, no doubt! I stayed in this hotel for 6 nights. This property claims to be a 5 star hotel, which I cannot understand at all! As I arrived at the hotel I was greeted and guided to reception. The lady who took care of me for the check-in procedure was quite brief with me and seemed uninterested! I was not told anything about the hotel and its facilities. And it was my first and probably my last stay in this hotel! I was not even told that there's a complimentary shuttle to downton Essaouira, which I heared from other guests. I took taxis instead. But let's start from the beginning. As a ""Le Club Accor"" Platinum member I usually reiceive goodies like a voucher for a welcome drink, at this time I had to…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
