 February 2020,5,Good base for exploring Ouarzazate,"We stayed a couple of nights here in February 2020, having spent a coup,e of nights out in the mountain villages we wanted to be in town and experience a bit of the city. It is in walking distance to the town centre and close to the airport. The room was lovely and clean, comfortable and with a clean bathroom. Breakfast was very good for a couple of euros extra. The staff were all really helpful and kind. It is slightly noisy at night as the road is busy but I think you would get this anywhere in town and we wanted to experience a bit of the bustle of the city so this was to be expected. Otherwise all was very good.",hotelName,city
 December 2011,4,Almost brand new hotel - good accommodation and helpful staff.,"We found Hotel Marmer when we hired a car with Hassan. His brother runs the hotel and of course Hassan encouraged us to try it on our return to Ouarzazate. This is good budget accommodation. The rooms have been furnished with attention to detail and are clean and comfortable and everything is new. There is as yet no heating/a/c or TV. The only slight problem with Hotel Marmer is that it's a little bit away from the centre - and there are hardly any restaurants nearby. One 'cheapie' that we were directed to by the staff - was OK - average food, but very cheap. There is a cafe downstairs which just serves drinks. Breakfast is included in the room price and is very good. (Croissant, bread, jam, yogurt, juice and tea or coffee). Double en-suite room MAD 200 with breakfast.",Hotel_marmar,Ouarzazate
 January 2011,5,unforgetable moments,"We were there a year ago but it's still in our memory. I didn't fill just like another client (like I use to fill in european hotels). Friendly, cheerful and helpful staff, willing to have a nice chat, with an open approach to their role as a hotel staff. Grate breakfast and atmosphere. Probably the rooms are even better now as at the time when we stayed there the hotel was brand new; they were really nice and comfortable; definitely everything you need. If you have a chance have a look at the view from rooftop. As far as I know you can sleep on the rooftop for a really god price. It's something that you are not ganna forget.",Hotel_marmar,Ouarzazate
 November 2011,5,staff is wonderfull,"This hotel began our acquaintance with Morocco. The first of what should be said – staff !!!! Extremely attentive, interesting and friendly people work there, especially Hassan. The hotel is located near the center, along with station of Supratur (buses) and parking grand-taxi, that was convenient in our itinerary. The hotel is simple, but clean and comfortable. We really liked it.",Hotel_marmar,Ouarzazate
 September 2011,5,Wonderfull place,"We stayed there for one night and it was great. Staff is so friendly, we spent long time talking and drinking mint tea with them. Rooms are great, clean and comfortable. Nice breakfast. They helped us with organizing the tour to Ait Benhaddou. If I will have a possibility I will surely come back to this hotel.",Hotel_marmar,Ouarzazate
 September 2011,4,Great Value,"Stayed here for a night and had no issues. The staff is extremely friendly - Hasan even came along with us to show us the Kasbah and then showed us a great dinner place. When I realized I'd left my wallet back at the hotel he promptly took some money out of his pocket and insisted I take it. Good breakfast too! Rooms are not too bad. Nothing to write home about, but I guess you get what you pay for. All in all a definite yes for a budget traveler.",Hotel_marmar,Ouarzazate
 October 2011,5,Excellent,"The hotel is brand new (about a year old), and the rooms (very clean, high-ceilinged, tiled, en-suite double rooms with comfy beds) are fantastic. What's more, they're wonderfully cheap (breakfast included), and the owner is very friendly and helpful. The hotel's 5-10 minutes' walk from the town centre. We had a balcony and there's also a flat roof to watch the sunset and admire the mountains from. Ouarzazate is mostly a modern town, but there is a fantastic Kasbah, and it's a calm, laid-back place where no one tried to sell me anything and the locals we met just wanted to help us. I recommend the Hotel Marmar and Ouarzazate as a perfect place to base yourself while exploring the south of Morocco.",Hotel_marmar,Ouarzazate
 September 2010,5,Excelente sin duda el mejor de marruecos,Excellent after 20 years we found again the muslim hospitality. The owner and their workers are heirs of arabian tradition and a lovely friendship. We change the route to come back and surely if we return to ouarzazate we will come back again. Unfortunately the road is quite loud. To find it arriving from Marraqueix on the first roudabout (the movie place) turn left and straight on till you see the spot on the right.(ithe spot is not too visible),Hotel_marmar,Ouarzazate
 January 2011,5,"Of all the places I've ben to, this deserves the most praise.","For a one star hotel it sure acts as a 5 star establishment. Sure, It doesn't have the facilites or the bling, but all-in-all it's just amazing. We were picked up at the bus stop, welcomed by a complimentary tea and quickly booked in. I only had to show my credit card - they didn't check it or anything. ""We trust you,"" they sayed and we were given a room. I must admit - for the price they asked I was expecting some rather sleazy establishment - boy was I wrong. The rooms were newly built and spotless clean. Not a single thing wrong. The bed was king sized, the blankets warm and soft. Cashmere. The room was simple, but looked really nice. Rooms are decorated by moroccan tiles and lot of work has been put into details. Service was excellent - the two brothers who run it are…",Hotel_marmar,Ouarzazate
 January 2011,3,got cold in the room,"Stayed at Marmar hotel in the beginning of January. Hotel seems to have just been built, but not completed. No air-con and TV in a room, empty places for some furniture. The most terrible was sleeping there - really cold! no heating, no air-cons. we put on all clothes we had and took all blankets they gave us, but it was not enough. and also it is a challenge to take a bath! breakfast is ok. The staff is helpful, they arranged us a car with a driver for 2 days, and we visited aid ben haddou, skoura and neighbourhood of the city for 1300 dhm. WiFi is available in a lobby, but in our room connection was poor. As a location to explore the surroundings the hotel is a good option.",Hotel_marmar,Ouarzazate
 January 2011,4,Cold hotel,"New hotel is suburb of the city. Room had new furniture, but not all installed - TV, aircondition. We were there in january, it was cold in hotel, because there weren't heating and aircondition. We used blanket in room to warm up. Breakfast simple, but enough. Staff is very helpful. They helped us to organize our outing to castels.",Hotel_marmar,Ouarzazate
 November 2010,4,Everything you need for a great price,"Hotel Marmar was a great hotel - it felt like a secon home with staff that goes above and beyond the call of duty, the rooms are spacious and clean, the bathrooms are modern (with excellent water pressure) and there's free wifi! Also, the breakfast that's included is the best breakfast we have had in Morocco during our three week stay and superb coffee and freshly squeezed orange juice!! The hotel can also provide you with car rental service at prices that beat any other rental place in town. Strongly recommend this hotel - you will not be disappointed.",Hotel_marmar,Ouarzazate
 October 2010,4,Pretty good place for the price...,"We traveled from Marrakech to Ouarzazate looking forth to go to the desert in Mhamid. I guess Ouarzazate and Zagora have been changing quite a lot recently since they are no longer small towns in the middle of the desert. The hotel is practically new, the price is really affordable and the location is amazing considering the bus station (5 minutes walking) and other buses companies. They also offer a car rental service which is incredibly good. We payed 35 euros per day for the car; it is possible to drive from Ouarzazate to Mhamid in one day and return. The trip and the landscapes really are worthy of a sudden stop (just be careful of the narrow way. The two guys in the hotel were more than welcoming and offered us tips about taxi prices, how to drive to Mhamid. They gave us…",Hotel_marmar,Ouarzazate
 October 2010,5,10/10,"Idir and Hassan are the most welcoming and kind hosts we have met - we got picked up and taken back to the bus station, they spoke great English and were very knowledeable about the area. The room and bathroom were very spacious and everywhere was clean and nicely decorated. The cafe attached to the hotel served a lovely breakfast and stayed open for all hours. The hotel is near to shops and places to eat. There was a very friendly, relaxed atmosphere about the place. I highly recommend staying here if you are in Ouarzazate!",Hotel_marmar,Ouarzazate
 October 2010,5,99% Recommend!!!,"The smile with which I was received, the availability and kindness with which they treated me were excellent!! Idir was a true friend during my time here, their information and advice on Ouarzazate and surrounding areas were precious!! Clearly recommend!!!",Hotel_marmar,Ouarzazate
