 December 2022,5,The best of both worlds!,"My family of 5 loved La Maison Arabe! It was a perfect home base for us in Marrekesh for 4 days. We had a deluxe room and a standard suite for our 3 kids (older teenagers). Both rooms were lovely. The suite was especially nice because the 3rd bed was in its own little niche so it wasn't so crowded in the main space. Rooms were good-sized and clean. Beds were very comfortable with soft sheets. Bathroom was nice - clean, spacious and good products with fluffy towels. I have read a few comments about the hot water - we had no problem at all. Plenty of hot water and good water pressure (weak water pressure is a pet peeve of mine). The hotel itself is very unique & charming, with lots of different areas to explore. The bar was old-school with dim lights and dark furniture. We…",hotelName,city
 January 2019,5,"Incredible Space, Amazing Staff!","I cannot say enough good things about La Maison Arabe. The staff is truly outstanding, generous, professional and willing to do anything for their guests. The space itself is breathtakingly beautiful. I get the sense that every room is different but they are spacious, cozy and clean. I loved the balcony over the riad/pool. The breakfast included in the stay is probably the best breakfast I've had at any hotel. The location is also really central - less than 15 minute walk to the Medina. It was really a memorable experience and I would go back in a heartbeat.",La_Maison_Arabe,Marrakech
 January 2019,5,Dinner At La Maison Arabe for our final night in Marrakech,What a way to end our visit to Marrakech. The hotel is absolutely stunning with restaurant seating above a beautiful pool. The lighting and atmosphere is amazing as is the service and food. A Moroccan musician playing guitar in the background added to the elegant feel of this restaurant.,La_Maison_Arabe,Marrakech
 January 2019,5,Spectacular Riad in Marrakech,"My wife and I recently stayed at the Maison Arabe in Marrakech and were completely impressed with the property, location, staff, rooms and food. The location within the walls of the old Médina allow you to completely immerse yourself into the Marrakech experience. Congratulations to everyone at the Maison Arabe for providing an exceptional customer experience.",La_Maison_Arabe,Marrakech
 January 2019,5,Wonderful stay,"We had a great stay in this beautiful hotel. Theirs was the best among all the breakfast buffets we had in Morocco. Their restaurant food too was amazing, which we found is the case in general through out Morocco. Their rooms were on the smaller side than what we are used to in US or Europe, and there was hardly room for us to walk inside the room with all our luggage. Not a big issue, but something to keep in mind. Bathroom was spotless and modern. Staff was friendly and helpful.",La_Maison_Arabe,Marrakech
 December 2018,5,Great service,"We stayed at La Maison Arabe with our daughters, and both rooms were lovely. There were outdoor seating areas for both rooms, and the riad is lovely. The food is great, the bar is great, and the service is fantastic. Everyone was friendly, helpful and able to point us in the right directions. Highly recommend this lodging in Marrakech!",La_Maison_Arabe,Marrakech
 January 2019,5,Tea in the courtyard,"We stopped off at Hotel Arabe for a drink when wandering round the streets. We were seated in the courtyard and had 2 mint teas served with pastries. It is a beautiful place. Having tea here feels very intimate. There is a man on cushions playing the Berber bass and singing very softly, what a beautiful sound! A young man at the opposite end is on hand with tea, which he prepares in a pot over a flame and then serves and refills your glass. Would happily recommend this place for tea and can only imagine it is a fantastic place to stay. Hotel manager was polite, friendly and helpful too. Thanks!",La_Maison_Arabe,Marrakech
 December 2018,5,Truly fantastic hotel in Marrakesh,"We recently spent 4 nights at La Maison Arabe and it was the highlight of our trip to Morocco. It has a fantastic location right near all of the action in the medina, yet is set in a quiet alleyway away from traffic and congestion. The food at the two restaurants is absolutely outstanding - world class, and in a lovely, relaxing setting. The rooms are beautiful and uniquely designed; the common rooms are cozy and elegant (we spent a lot of time just playing games/cards in one of the lounges); the amenities are great (we had a great experience at the hammam/spa), the outdoor pool area and ""solarium"" are wonderful, and the staff are tremendously friendly and helpful. HIGHLY recommend this hotel, even if it's a splurge for your budget.",La_Maison_Arabe,Marrakech
 January 2019,5,Paradise in Marrakech,"I started my trip in Morocco at the Riad, Hotel and Spa La Maison Arabe. In advance of my trip, the staff was incredibly helpful arranging transportation, cooking classes and recommendations about Marrakech. I was blown away with the 5 star customer service, the beauty of the grounds and the warm welcome I received. Upon arrival we were provided a welcome refreshment and historical tour en route to the room. Throughout my stay, the team were incredibly gracious hosts and always ensured you were well looked after. I booked in a hammam during my stay. It was so fantastic that I booked a second treatment the following week when I intended to come back through the city. I also referred some friends on the trip to both their cooking class and hammam. The rooms were well appointed,…",La_Maison_Arabe,Marrakech
 January 2019,5,A historic Riad in Marrakech - not to be missed!,"We stayed at La Maison Arabe on two separate occasions while traveling in Morocco. Our first stay at the Riad was so excellent we decided we had to come back! We spent New Years Eve at the Riad for 2019 and had an excellent time. We purchased a table for dinner that evening and were entertained through the night be music, dancers, a few surprises and of course an excellent meal! It was an NYE to remember! This Riad is a historic one in Marrakech and is actually the first Riad in the City. They started with the most famous restaurant in the city and over time grew to the Riad they are today. Expect 5-star service with this Riad. They treat you like royalty and cater to any request you may have. It is an experience you will not forget. The property is exquisite and ornately…",La_Maison_Arabe,Marrakech
 January 2019,5,Fabulous riad,"-Location: walking distance to the medina and the souk. -Decor: breathtaking arab decor. You don't see this in the US. It is a pleasure just to be in your room, any hotel sitting room, its garden, its restaurants or just by walking in its hallways. -Rooms: because of scheduling we had 2 rooms. Both were beautiful with garden views. -Restaurants/bar: great food in the Moroccan and the international restaurants. Full bar. -Service: very very attentive Really worth it :)",La_Maison_Arabe,Marrakech
 November 2018,5,Gorgeous property walking distance to medina,"This hotel is top notch. From the staff, to the decor, to the food, everything was wonderful. We ate dinner at the international restaurant because it was so good. White glove service. A little more diverse menu with some international options, but also had a delicious meal at the hotel restaurant with local fare. Breakfast buffet is delicious. Jazz bar with live piano music and cocktails was really nice. The hotel is maintained immaculately. We also took advantage of the off-site pool, which was about 20 minute shuttle ride and worth the trip. Food and beverage available at the pool. The hotel and restaurants are on the pricey side for Morocco, but still less than what you would pay for equivalent quality in the US. The medina and souks were an easy 10 minute walk from the…",La_Maison_Arabe,Marrakech
 January 2019,5,Photos do not do it justice!,"We stayed at La Maison Arabe for three nights and we were not disappointed. The staff was astonishingly attentive, the spa, the food, and the surroundings are out of this world. I would recommend this location a million times over to a friend.",La_Maison_Arabe,Marrakech
 January 2019,5,"Wonderful property, lovely staff","We loved everything about La Maison Arabe. The location, the room, the public spaces are all beautiful but mostly we loved the staff. Everyone there is so nice and attentive. I highly recommend this riad and would/will stay there again.",La_Maison_Arabe,Marrakech
 January 2019,5,Loved this place,"We stayed 5 nights at this gorgeous reprieve in the middle of the chaotic Medina. It was so nice returning back here each day after our adventures. The location is excellent for touring the old Medina and can easily walk or taxi to new town. The room we had was spacious and lovely. Please keep in mind that it is an old building so don't expect new and modern. I do think their bathrooms could use a cosmetic upgrade. The service here was 5 star. They were friendly, very attentive and booked whatever we requested. The breakfasts were plentiful and delicious. We did a cooking class at their cooking school one day and it was fabulous. The facility was beautiful, modern, clean and stocked with everything needed. The restaurant for dinner was amazing and the Jazz bar was…",La_Maison_Arabe,Marrakech
 January 2019,5,Fantastic,"We had a great stay in this beautiful Riad. The staff was excellent and will arrange whatever you need, whether that is simply lighting a fire in your room, or arranging for a private car to come pick you up with your bags already packed. The restaurants are delicious, and you should not forget to visit the country club, which is a lovely and relaxing way to spend an afternoon.",La_Maison_Arabe,Marrakech
 November 2018,5,Perfection in a hotel,The rooms are amazing. I had a fabulous suite that I didn't want to leave and the bathrooms divine. The staff could not be more accommodating and the food could not be more delicious. The hotel is located within minutes walk to Jemaa el-Fnaa. Do yourself a favor and stay in this marvelous place.,La_Maison_Arabe,Marrakech
 November 2018,5,This place is amazing!,"This is a small hotel that is a converted Casbah. Our suite was a beautiful three room setup surrounding a private open space. La Maison Arabe serves some of the finest food in the city in a gorgeous dining room. I cannot say enough about the service of the staff. They were always there to answer questions provide anything I needed, or make suggestions. You truly have to see this place to believe it. The experience is better than any of the top hotels we visited in the city. Be aware that there are no elevators. Since it is an updated Casbah there are many stairs as one moves about.",La_Maison_Arabe,Marrakech
 January 2019,5,I spent three days of PERFECTION at La Maison Arabe!,"This boutique hotel is unbelievable! Everything is so beautiful and well thought out. And the food is exquisite. The breakfast here is the best you'll find. And the furnishings in each room are authentic and unique, as is the experience of staying here. Do not miss your opportunity!",La_Maison_Arabe,Marrakech
 December 2018,5,Don't even consider staying anywhere else,"I was extremely disappointed when I found out La Mamounia was booked and that we wouldn't be able to stay there, after hearing so much about its storied history. In the category of ""everything happens for a reason""... after staying at La Maison Arabe, I could not be more thankful that La Mamounia couldn't accommodate us. La Maison made our entire trip to Marrakech. I will never forget this hotel starting with the mint tea and housemate pastries in a beautiful, candlelit courtyard upon our arrival even though it was midnight. Incredible staff and service; amazing food; stunning interior design and an intimate, warm environment that made you feel you belonged. As a side note, we went to La Mamounia for drinks and could not have been less impressed -- impersonal, generic…",La_Maison_Arabe,Marrakech
 January 2019,5,Boutique in all the best ways with terrific food,"If you like small, luxury hotels with a dash of eccentricity, this is the one for you. It's very expensive, especially the food, but it really is worth it. The food is astonishing - both in its price and its quality. The taste is sublime. Breakfast is a tableau of astonishing flavours that needs a full morning to explore. Even the location is perfect: a ten minute walk from the busy old town, tucked away down a tranquil footpath. Our room, a junior suite, was spacious, stylish and comfortable.",La_Maison_Arabe,Marrakech
 December 2018,5,Amazing hotel and impeccable service.,The staff and the location are perfect. Everything about this hotel was perfect. We enjoyed the breakfast every morning and ate out around the town mostly for dinners. Definitely recommend. Everyone called me by name and they even ran out to get me a razor and shaving cream!,La_Maison_Arabe,Marrakech
 December 2018,5,We loved this hotel!,"We have zero complaints about our experience at La Madison Arabe. From the minute we walked in until the minute we left, we felt the warmth of everyone who works there. The staff is helpful and friendly. The room was clean and beautiful with the most comfy bed and softest sheets and towels. The food at the restaurants were 5-stars. I wish I could have stayed longer. It is located in the old city, just a few minutes walk to the markets, yet it was quiet and serene. We also enjoyed the spa! I highly recommend this place—you will not be disappointed!",La_Maison_Arabe,Marrakech
 December 2018,5,Stop searching and book this hotel now!,"Truly impressed by this hotel, and that's rare because I am a hotel snob! The beauty of a traditional riad with the amenities of a 5-star hotel. Service was comparable to a Four Seasons - from the Front Desk attendants to the restaurant waiters to the housekeepers. Very accommodating: Last minute dinner reservation - ""sure!"" Need to move your hammam appointment an hour: ""no problem!"" Need a bellboy to run to the train station to buy you train tickets - ""happy to do it!"" They catered to everything we asked for. Location is also excellent, as we could walk to most major tourist sites, and when we took cabs, they were no more than $5. Every afternoon between 3-6pm, they offer free moroccan mint tea and pastries. If you don't want to come to the beautiful courtyard for tea, they…",La_Maison_Arabe,Marrakech
 December 2018,5,Might be my favorite hotel. Ever.,"This place is so beautifully constructed and decorated, I feel so relaxed just being within its walls. All the staff are incredibly nice and accommodating, even surprising my mother with a birthday cake by using guest information. The manager is incredibly nice and always offers to go the extra mile to make guests feel welcome and happy with their stay. It can be a little bit easy to get lost, but it really is a gorgeous place with a gorgeous outdoor restaurant.",La_Maison_Arabe,Marrakech
 December 2018,5,The restaurant was fabulous!,"We were recommended this Riad, Le Maison Arabe, by others staying in our Riad. The Property itself is stunning. We had a glass of wine in the beautiful bar downstairs and afterwards, lunch poolside. The menu was superb and with lots of variety. Our lunch was truly wonderful! The staff are well trained, friendly and accommodating. It was a lovely experience overall.",La_Maison_Arabe,Marrakech
 December 2018,5,Charming Riad — Amazing Service,"We stayed at the Maison Arabe for four nights. Upon arrival the staff was so welcoming — they took our luggage, seated us in a beautiful open space, served us refreshments while they dealt with all the paperwork. It is a nice touch not to be standing at the front desk waiting. The Riad feels like a maze but every corner has its own charm and feel. The carpets, the art, the walls, etc. Even fireplaces. Fresh flowers everywhere including the rooms. Afternoon tea every day. Heated pool even in December (although it is still very fresh in the shade). The two restaurants are excellent, and sitting at the Arab House is enjoyable in and of itself. Cannot stress enough how beautiful and charming the riad feels. What truly sets this place apart is the service. Adil at the front…",La_Maison_Arabe,Marrakech
 December 2018,5,Fabulous! The historic La Maison Arabe surpassed our every expectation! Exquisite in detail and decor throughout. Food a,"Fabulous! The historic La Maison Arabe surpassed our every expectation! Exquisite in detail and decor throughout. Food and service top quality. We enjoyed the cooking school very much - the instruction and camaraderie with other attendees was a joy and a delight! I am including a note from my wife in regard to our gratitude to staff member, Brahim, in particular: Dear Sir, It was a pleasure to stay at your riad. I completed the Trip Advisor review and gave you 5 stars. We had a lovely trip. Your staff is fabulous and I wanted to call to your attention the experience we had with one gentleman in particular. We met Brahim in your restaurant and he was very attentive and pleasant, but went beyond the call of duty to help care for our son, who became ill after eating snails in…",La_Maison_Arabe,Marrakech
 December 2018,3,Nice hotel,I am honestly not sure where all the rave reviews are coming from. I booked the hotel based on the reviews so perhaps my expectations were too high. The facilities are tired and need an upgrade and i am not sure how this hotel qualifies for 5*. The service is adequate but again neither exceptional nor in line with an actual 5* hotel. It’s charming but not amazing at least by international standards.,La_Maison_Arabe,Marrakech
 November 2018,5,Marrakech,"I have had the great good fortune to travel to many countries and stay in dozens of lovely hotels but La Maison Arabe may be my favorite EVER! It is truly unique and special. It is spectacularly beautiful and the staff could not be nicer, friendlier or more helpful. They are super professional and efficient. This is a place you don’t want to leave, even for dinner, which is why having two gorgeous restaurants with wonderful food and music on premises is an added bonus. Add in the spa and jazz bar and I could stay forever! A truly magical experience. I did not have enough time to take a cooking class but I was able to view the spaces and that looks like another good reason to return!",La_Maison_Arabe,Marrakech
 December 2018,5,"6 stars! The Staff, the Room, the Food, the Service",We stayed here and two other places around Morocco. This was by far our favorite. Our room was spacious and carefully designed. The staff did literally everything to make our stay in the country more comfortable (even keeping a piece of luggage while we traveled to other places and offering mint tea and cookies when we weren’t even guests anymore). The cooking class was great—large TV screens at each cooking terminal so you could easily view the instructors. And delicious chicken pastilla and cappuccinos. This is where you must stay!,La_Maison_Arabe,Marrakech
 December 2018,5,Secret Jem,"We passed by this wonderful Riad, and stopped for lunch, I think it was the best e had in Marrakech, a little pricey but worth it. The pool next to restaurant is an oasis, very good decoration. Food is excellent quality, we tried the tagine beef, rice croquettes with tuna, salmon sandwich, which were all great. We highly recomment it.",La_Maison_Arabe,Marrakech
 December 2018,5,Extrodinary Cooking Class,"I have taken many cooking classes, and this is in my top 3 in the world! The facility is modern and comfortable. Each person has their own station and cooks their own food. Staff is friendly, helpful and quick paced with humor. It was a 1/2 day of learning, fun and good food. If you like to cook -- don't miss this! (and they have a fantastic gift shop!)",La_Maison_Arabe,Marrakech
 November 2018,4,Excellent but....,A lovely oasis in the midst of the chaos of Marrakech. Entering into the calm Riad with scented candles and fires lit you enter a different world. Rooms spacious and comfortable; one small niggle - to be charged for coffee capsules in the coffee machine seems petty in rooms of this quality. Breakfast good but service a bit mixed. Service at reception extremely helpful. A word of warning- you will be woken early by the nearby mosque!,La_Maison_Arabe,Marrakech
 December 2018,5,"Amazing place, amazing location!!","A beautiful place to stay! The service was incredible, very comfy bedrooms, and the pool retreat a short transfer away was very peaceful. I would highly recommend this place to stay for anyone visiting Marrakesh",La_Maison_Arabe,Marrakech
 November 2018,5,The Perfect Place for the last leg of our journey around Morocco,"We stayed in a junior suite which was spacious and well thought out. We could hear Moroccan music every evening and birds chirping every morning when we left the doors to the patio open which was lovely. When we shut the doors, the room was silent for those who need quiet to sleep. The room amenities were plentiful (soaps, shampoos, conditioners, towels) as were the hotel amenities (multiple restaurants, a pool, the spa, afternoon tea, and delicious Moroccan and/or International cuisine) The location was wonderful - an easy walk to many historical buildings, the square and souks (and the ATM) - and we never felt unsafe. Quite the contrary, people seemed to go out of their way to be helpful - especially when navigating some of the twisty walkways through the souks. Best of…",La_Maison_Arabe,Marrakech
 November 2018,5,Fantastic Visit,The best in class tone was set upon arrival. We were greeted with Mint Tea and pampered in the Jazz bar while our room was prepped. All the rooms are unique and well appointed. Both restaurants were excellent and service was great. They provided us with a very knowledgeable guide to take us around town and shopping- which I strongly suggest. I highly recommend this property. If you are looking for first class service and amenities at a reasonable price - this should be at the top of your list.,La_Maison_Arabe,Marrakech
 December 2018,5,Lovely stay at La Maison Arabe,"We had a lovely stay at the hotel, our third. The room was small but charming and quiet, a feat as the hotel is situated in the middle of the Medina. The staff is charming and helpful, and the food is delicious. The Country Club is within easy reach with the complimentary shuttle, but if you are pressed for time, the heated swimming pool at the hotel is great for a swim.",La_Maison_Arabe,Marrakech
 November 2018,5,Perfect Stay in a Beautiful Hotel,"Our stay was perfect, the staff at the hotel took really good care of us. The room was well done, the staff would come around in the evening to prepare the room for the night. The style of the hotel is Marrocan and the restaurants were delicious. I will definitly go back with my husband.",La_Maison_Arabe,Marrakech
 November 2018,5,"Luxury , Fun and Worth every penny","We stayed at Maison Arabe after returning from the desert. From the minute we were met on the curb to our hotel provided car to the airport, they could not do enough to make us feel welcome and comfortable. The restaurants at Maison Arabe are the best in the city, especially for Moroccan cuisine, and the courtyard restaurant is quite beautiful. They have a fabulous cooking school which was very fun, high tech, organized and charming. Location is excellent . 2 blocks from government run fair trade market where local artisans are at work and price tags give visitors valuable information ( especially before going to the Souk). The Hammam and spa treatments are the equivalent of other more expensive treatments at other hotels, but book early, even before visit as spots can fill up.…",La_Maison_Arabe,Marrakech
 November 2018,5,wonderful experience,"We loved the La Maison Arabe. We are so happy we booked it and would highly recommend it. The staff was the nicest hotel staff we have ever dealt with. They were so helpful and friendly and knew our names and room number from day one. We loved our room and the whole riad was beautiful. Breakfast was wonderful, and dinner out by the pool was amazing with live music and gorgeous atmosphere. We enjoyed the cooking class here as well as the spa. It was a perfect oasis outside of the busy medina. We have nothing bad to say.",La_Maison_Arabe,Marrakech
 November 2018,5,Authentic Lodging in the Medina,"I was initially uncertain whether I made the correct choice because photos on the website can be misleading. Shortly after we arrived, it became clear we did make the right choice. The property is gorgeous and the staff always goes the Extra mile to accommodate. The breakfast buffet was the bomb with many selections. Our party was sick with colds and upon arrival, they sent staff to the pharmacy for cold medicine. I particularly enjoyed the jazz piano in the Jazz Bar too. The only caveat is there are a number of satires. Throughout the property which made it challenging for one person in our party. Otherwise it was greatly needed exercise. Highly recommend this property if you want to be close to the action in the Medina and numerous vendors in the Berber Market.",La_Maison_Arabe,Marrakech
 November 2018,5,The best experience in all of Marrakech!,"Our stay at La Maison Arabe was truly a highlight of our time in Morocco. The entire property is beautifully decorated and maintained. I was fortunate enough to stay in 3 different rooms/suites - each unique, stunningly gorgeous and welcomed with rose petals, delicious local pastry treats, water and wine, to enjoyed on the private terrace or perhaps while soaking in a luxurious bath. Above all - the staff was thoughtful and helpful in every way. While preparing for our vacation, Mostafa was quick to respond to our emails making the planning quick and easy. Once there, Adil was a super star resource to us during throughout our stay. Everyone on staff helped to arrange airport transport, car rental, offer great recommendations for dining and Atlas mountain excursions, and overall…",La_Maison_Arabe,Marrakech
 November 2018,5,Fantastic Place to Stay in Marrakech,"We stayed at La Maison Arabe two nights, but would have loved to stay longer. The hotel is stunning, and the staff is very friendly, attentive, and accommodating. They provided every amenity imaginable. All our meals were fabulous, and my visit to the spa with the traditional hammam was unforgettable.",La_Maison_Arabe,Marrakech
 November 2018,5,Amazing Riad and service!,"We only stayed two nights but they were a magical two nights. The property is just amazing - from fresh flowers to fires going in the fireplaces. We experienced the spa, cooking class and their restaurants - and really can’t find any flaws. It was a wonderful experience and the staff were really what made the experience. So welcoming, helpful and nice with every interaction we had with anyone there. It’s a quick walk to the Medina and really is a perfect place to stay. The weather was a bit cooler so didn’t get to enjoy the pool but will do so next time we come back! Could go on for hours as it was so great!",La_Maison_Arabe,Marrakech
 November 2018,5,Incredible food and atmosphere,"How perfect is La Maison Arabe? We had dinner here our first night and were blown away. Starting with drinks in the courtyard and then the jazz bar, and then on to dinner (the world's greatest Moroccan salads then tagine for me and pigeon for him) and dessert (ginger creme brulee!), everything was perfect. The service was on point and we can't wait to go back.",La_Maison_Arabe,Marrakech
 November 2018,5,Jewel in the Moroccan crown!,"This hidden gem in Marrakech is the most beautiful oasis. Staff are incredibly friendly, helpful and truly go out of their way to ensure your stay is memorable. the hotel has a long history worth exploring! The spa is a “MUST”!! Absolutely beautiful serene setting, with authentic decor - it’s truly suburb! Opt for a traditional hamman (steam bath) & massage to unwind and treat yourself. Two quality restaurants offer both traditional Moroccan & international cuisine have a great reputation and always heavily booked by both in-house guests and other visitors to the city. Afternoon tea on the house & jazz bar post dinner are also a treat! Would definitely stay here again without question!",La_Maison_Arabe,Marrakech
 November 2018,5,Wonderful haven of tranquility with fantastic service,"We had a wonderful week here, this really is a very special place. It's tucked away down an alley (Derb) so we were glad we got the airport transfer offered. It's located away from the busiest parts of the media so was very tranquil, but only a 10 minute walk down to the Jeema el-Fna Square. We were given a lovely refreshing welcome drink on arrival and a tour of the facilities. Our suite was amazing, it had a huge bed with a stunning domed ceiling, comfy sitting area and a lovely enclosed terrace. It was very clean, comfortable and well appointed. The desk staff were brilliant, very helpful with all enquiries, nothing was too much trouble for them. We ate in the restaurants here some nights and had wonderful meals in both, again, with great service. We will definitely stay…",La_Maison_Arabe,Marrakech
 October 2018,4,Amazing 2nd stay!,"We came with our family 2 years ago, and returned with a group of friends. Loved this hotel/riad hotel. The feeling is superb because you have the close ambience of a riad, but with the service of a 5 star hotel. Is a must the spa and the restaurant too! We were upgraded upon arrival on 2 out of the 4 rooms that we booked (they gave us the same triplex room than in our last visit!). We will come back again!",La_Maison_Arabe,Marrakech
 November 2018,5,"Amazing, authentic Moroccan cooking class",My boyfriend and I had a lovely cooking class on how to make a chicken tagine. We accidentally booked the class for the wrong date and the staff were very nice and accommodating and arranged for us to have a private cooking class so we didn’t miss out. The chef was very helpful and we had some mint tea as part of the class which was a nice touch. And to top it off we were both given a tagine and recipe at the end of the class so we can make it again at home. I would throughly recommend!,La_Maison_Arabe,Marrakech
 November 2018,5,Outstanding hotel,"This is the best hotel my husband and I have ever stayed in. It is beautiful, and tastefully designed and decorated. The food is outstanding and service is top notch. We could not recommend more highly.",La_Maison_Arabe,Marrakech
 November 2018,5,A beautiful Riad within the Old City Walls near the Souk,"We stay in La Maison Arabe in Marrakech in early November 2018. To get to the riad you follow a passageway, to narrow for cars, from a main street for a 1/2 block or so to a nice looking entryway. The original riad which I believe had 10 rooms was expanded through the purchase of an adjacent building and a major remodel. As a result the floor plan is a little confusing but quite nice once you figure out how to get around. Everything looks into a open central area where there is a relatively large attractive pool. There is a casual dining room on one side and outside tables surrounding the pool where breakfast, lunch and casual dinner are served. On some evening there is pleasant live music played at the end of the pool during dinner. There is also a formal dining room…",La_Maison_Arabe,Marrakech
 November 2018,5,Amazing! One of the best hotels ever!,"This hotel has everything of a 5 star hotel and with the feeling of staying at an arabic sultan. First of all the interior, the building, architecture and decorations are like taken from Thousand and one nights story. Everywhere you look there are new details and beautiful things. The staff are all amazing. So caring and wonderful and really keen on taking care of every guest in a personal way. The food in the restaurant by the pool was wonderful. Both the moroccan menu and the international were both delicious. The breakfast was a fantastic break for us from all the bread we have been eating since the buffet also had many vegetarian options, sallads and anything you could want. The hammam was wonderful. We are regular travelers all over the world and we have stayed in many…",La_Maison_Arabe,Marrakech
 November 2018,5,The gem of Marrakesh,From the moment you walk in to the lobby you know you are somewhere magical. You can feel the history in the air. The rooms are perfect with fine linens huge bathrooms and ample closet space. The dining rooms serve perfectly prepared meals both Moroccan and European. Don’t miss the Hammam. You will feel so pampered. Splurge on the hour long massage. The well stocked bar has a pianist in the evenings. The cooking class is a must and the gift shop is amazing. The concierge will help you with anything you need from reservations to directions. This is one special place.,La_Maison_Arabe,Marrakech
 November 2018,5,A very warm welcome,"Stayed here for 4 nights, and what a treat is it. Like a little oasis in the hustle bustle of the medina. The building is fabulous, we booked very late, so they only had one room type available which was the smallest room type, but even this room was spacious as far better than we expected. However, I think it’s the staff that make this hotel special. Nothing is too much trouble and you will feel like a family member as soon as you arrive. The service will rival any top hotel, and so much better than some faceless chain hotel. The location is very good, and you can walk to most tourist attractions, but taxis are cheap, and the hotel will happily arrange for you. They also arranged tickets for museums which allowed us to queue jump, and the queues were huge! The food in the…",La_Maison_Arabe,Marrakech
 October 2018,5,Perfect Choice for 4 nights,"This was one of our favorite hotels during our entire trip. The hotel furnishings are of the highest quality. We stayed in a junior suite and all rooms were designed differently. Room was very well designed and immaculate. There was an unbelievable amount of drawer and wardrobe space, an abundance of bright lights, nice size bathroom, remote air, and blackout curtains. We found the overall vibe of the hotel to be warm and homey and at the same time very classy. The staff was on top of every detail and were always friendly. Tea is a nice touch every afternoon as the area was very relaxing to sit in. Breakfast was included each morning with an omelet station off to the corner. This is the perfect location as it affords easy access to car pickup. Book your rooms before the…",La_Maison_Arabe,Marrakech
 November 2018,5,Superb Riad,"Just returned from a great stay at La Maison Arabe. The hotel is well appointed and the staff are all very helpful. I attended the cooking class at the hotel which was very good value and I would highly recommend. Both restaurants were very good, however a bit more variety in the menus wouldn’t go amiss. The hotel arranged for a driver to take us to the Atlas Mountains for the day - which are well worth the visit - and again was good value.",La_Maison_Arabe,Marrakech
 October 2018,5,Don't let the back-alley entrance fool you,"The approach may seem unglamorous, but inside LMA is great. Very ""Moroccan"" and yet still very much in keeping with Western/U.S. standards. High-end lux feel to all the rooms and common areas. Try the cookies.",La_Maison_Arabe,Marrakech
 November 2018,5,Probably the best luxury boutique riad in Marrakech,"We spent two nights in La Maison Arabe in Marrakech. Everything was PERFECT from start to finish. The hotel has all the amenities one can wish for but at the same type is a very typical riad with all the charming characteristics of such places. The decoration is absolutely gorgeous and full of typical handcrafted pieces made in Marocco. Above all, absolutely everyone working there has a happy face, is friendly and very helpful. I would recommend this places everyday to everyone. LAst but not least the hammam (Spa) is second to none.",La_Maison_Arabe,Marrakech
 November 2018,5,Like a fairytale,"We stayed at “La Maison Arabe” for three night and it’s one of the best hotel experiences I’ve ever had. This place is just magic. The whole interiour setting is so unique and typical for Marocco. The rooms have windows to several small partios with fountains and trees where birds are singing. We stayed in two different rooms each of them offering the best comfort you can wish for. The service at La Maison Arabe is amazing, the whole staff is doing it’s best to make your time in Marrakech special. The front desk was always willing to help us on any questions. (The sell e.g. tickets for Le Jardin Majorelle which saved us from standing in line for a long time). I can also highly recommend to visit the Hammam and enjoy a treatment. I did that twice and it was really worth it. …",La_Maison_Arabe,Marrakech
 November 2018,5,Perfect stay at La Maison Arabe in Marrakech,"We found the hotel perfect in every regard: ambiance, food, service, comfort, decor, location. On our next trip to Marrakech, definitely staying there again!! It was the best place we stayed and we stayed in a number of other wonderful hotels. I cant imagine a better place.",La_Maison_Arabe,Marrakech
 November 2018,5,Beautiful Small Hotel,"La Madison Arabe is located on the edge of the Medina in Marrakech. It is a conglomeration of six old houses, so quite a rabbit warren of stairs and passageways and courtyards. The rooms are small but very attractive and partly furnished with Moroccan antiques. The staff is incredibly helpful and eager to please. There are two restaurants: a Moroccan one and a continental and Moroccan one situated around the swimming pool. The food is excellent. The cooking course offered by this hotel is wonderful and most professionally equipped.",La_Maison_Arabe,Marrakech
 October 2018,5,Restaurant & Staff are terrific!,"We had dinner at Arabe’s Moroccan restaurant! The food was delicious, ambiance beautiful Moroccan, service impeccable, & music icing on the cake! We highly recommen Arabe! The hotel seemed very nice too!",La_Maison_Arabe,Marrakech
 November 2018,5,Wonderful Experience,"The hotel staff was amazing from start to finish. They were very accommodating at every request and really made you feel like you were at home. The rooms were well appointed, very clean and serviced promptly twice daily right after we returned the room keys to the front desk when we left the hotel. The A/C worked extremely well and was operated via remote control from anywhere in the room which was very convenient. The location was very convenient and I would highly recommend La Maison Arabe as it was the best hotel we stayed at while in Morocco, including Dar Ahlam!",La_Maison_Arabe,Marrakech
 October 2018,5,a must visit while in Marrakech,"Even if you can't stay here, you must visit. I highly recommend dinner poolside and the cooking class. The architectural details and the decor is stunning. I read on here to visit the jazz bar prior to dinner- so glad we did! The food was outstanding- but the service was the best hands down of any place we've dined in Morocco. We were relieved to have a variety of dishes that weren't Moroccan (after 2 weeks we needed a tagine break). The cooking class was awesome- you have little screens at each workstation so you can watch the instructor. One note- the class isn't part of the main hotel, it's just down the street where the boutique is located.",La_Maison_Arabe,Marrakech
 November 2018,5,Fantastic service,"Every minute spent at this hotel has been above and beyond my expectations. A special mention to Adil on reception/ the manager, he really listened to every request we had and arranged our days including taxis, restaurants and a trip to Atlas Mountains. The hotel restaurant itself is out of this world, and I would recommend the hammam and massages.",La_Maison_Arabe,Marrakech
